date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2002-03-11,24.4,24.5251,0.5127,47.7776,29.8153,1.5115,1.1399,11297200000.0,3.72,-195.2978,1.0,1.0,15.0,64.4496,22.06286153846154,10.164702222807817,22.619303968253966,9.814705462750478,32.22756376126936,12.804598505503488
2002-03-12,24.26,24.5251,1.0927,47.5034,29.8272,1.5029,1.1399,11232380000.0,3.72,-195.2978,1.0,1.0,15.0,64.4496,21.90278396946565,10.289958479910378,22.56113650793651,9.920667178939956,32.19274244937603,12.640469328996554
2002-03-13,24.05,24.5251,1.9755,47.0922,29.839,1.4899,1.1399,11135150000.0,3.72,-195.2978,1.0,1.0,15.0,64.4496,21.751819696969697,10.39631109556617,22.466873015873016,10.059529466963452,32.148130792535866,12.407343548909564
2002-03-14,24.03,24.5251,2.0603,47.0531,29.8636,1.4886,1.1406,11125890000.0,3.72,-195.2978,1.0,1.0,15.0,64.4496,21.603763157894736,10.49666279779806,22.35093015873016,10.20995079376405,32.1004259556928,12.140979364966109
2002-03-15,25.14,24.5251,-2.4459,49.2266,29.8883,1.5574,1.1413,11639820000.0,3.72,-195.2978,1.0,1.0,15.0,64.4496,21.42428805970149,10.661511385444449,22.173323015873017,10.444308224139403,32.08579944514594,11.729014791733611
2002-03-18,24.97,24.5251,-1.7817,48.8937,29.956,1.5392,1.1414,11561110000.0,3.72,-195.2978,1.0,1.0,15.0,64.4496,21.25239185185185,10.807801766220464,21.988729365079365,10.66002317427175,32.06019361807232,11.328706190807615
2002-03-19,24.66,24.5251,-0.547,48.2867,30.0238,1.5201,1.1419,11417580000.0,3.72,-195.2978,1.0,1.0,15.0,64.4496,21.092102205882355,10.928748651457578,21.756022222222224,10.829406769886436,32.02085085733994,10.926615452335788
2002-03-20,23.15,24.5251,5.94,45.3299,30.0546,1.427,1.1424,10718450000.0,3.72,-195.2978,1.0,1.0,15.0,64.4496,20.98150291970803,10.965178590280969,21.574101587301588,10.90137166687557,31.946681509989,10.672729920426018
2002-03-21,23.8,24.5251,3.0466,46.6027,30.0854,1.4671,1.1434,11019400000.0,3.72,-195.2978,1.0,1.0,15.0,64.4496,20.851539855072463,11.031245971962887,21.415249206349205,11.024649838196192,31.88278582703535,10.390599368153012
2002-03-22,23.16,24.5251,5.8942,45.3495,30.1347,1.4277,1.1443,10723080000.0,3.72,-195.2978,1.0,1.0,15.0,64.4496,20.74393309352518,11.064180886368778,21.188499206349206,11.047895527540046,31.80811397989396,10.14060367880916
2002-03-25,22.5,24.5251,9.0004,44.0572,30.184,1.387,1.1446,10417500000.0,3.72,-195.2978,1.0,1.0,15.0,64.4496,20.66005071428572,11.068897091643557,20.951038095238093,10.985088255760948,31.72894780592927,9.965949839477146
2002-03-26,22.58,24.5251,8.6143,44.2138,30.2237,1.3919,1.145,10454540000.0,3.72,-195.2978,1.0,1.0,15.0,64.4496,20.57461985815603,11.075848288765322,20.75492619047619,10.98299397271384,31.65046814692135,9.77193221776235
2002-03-27,22.4,24.5251,9.4871,43.8614,30.2634,1.3808,1.1454,10371200000.0,3.72,-195.2978,1.0,1.0,15.0,64.4496,20.496538732394367,11.075653932562142,20.50065,10.868543021264625,31.57219266495651,9.632106978735376
2002-03-28,23.55,24.5251,4.1406,46.3948,30.2714,1.4823,1.1458,10903650000.0,3.7083,-195.147,1.0,1.0,15.0,69.8751,20.38216153846154,11.12101534914437,20.17542857142857,10.738319880442056,31.50317688760591,9.437108690986516
2002-04-01,24.61,24.5251,4.5831,48.4831,30.2793,1.549,1.146,11394430000.0,3.7083,-195.147,1.0,1.0,15.0,69.8751,20.27244583333333,11.159996127696116,19.850164285714285,10.582637897321929,31.432441961029447,9.267526388392358
2002-04-02,24.05,27.4897,14.3023,47.8702,30.3075,1.5138,1.1463,11135150000.0,3.7083,-194.8838,1.0,1.0,15.0,69.8751,20.231272413793103,11.13222464242936,19.62045793650794,10.38299615348366,31.363497056222464,9.23746178302428
2002-04-03,23.62,27.4897,16.3831,47.0143,30.3357,1.4867,1.1464,10936060000.0,3.7083,-194.8838,1.0,1.0,15.0,69.8751,20.20491506849315,11.098341682216295,19.36612063492064,10.059101089082004,31.303256750709448,9.30701954583863
2002-04-04,23.0,27.4897,19.5204,45.7803,30.3426,1.4477,1.1464,10649000000.0,3.7083,-194.8838,1.0,1.0,15.0,69.8751,20.20025850340136,11.06041245211667,19.207258730158728,9.894713292503384,31.26067095551803,9.312545437655343
2002-04-05,22.83,27.4897,20.4104,45.4419,30.3495,1.437,1.1464,10570290000.0,3.7083,-194.8838,1.0,1.0,15.0,69.8751,20.20167837837838,11.02274133720266,19.11732857142857,9.831169905494315,31.22441971558104,9.286158665934254
2002-04-08,23.04,27.4897,19.3129,45.8599,30.3578,1.4502,1.1464,10667520000.0,3.7083,-194.8838,1.0,1.0,15.0,69.8751,20.19571342281879,10.98568052418298,19.00356507936508,9.744241785015944,31.181393947001773,9.259323294349134
2002-04-09,22.1,27.4897,24.3878,43.9889,30.3662,1.391,1.1465,10232300000.0,3.7083,-194.8838,1.0,1.0,15.0,69.8751,20.223660666666667,10.954102711640392,18.900242063492065,9.615719561737253,31.17776337830706,9.284522501754813
2002-04-10,22.36,27.4897,22.9414,44.5064,30.4066,1.4074,1.1465,10352680000.0,3.7083,-194.8838,1.0,1.0,15.0,69.8751,20.24165894039735,10.919767933683524,18.80131031746032,9.50805515971235,31.16142687408088,9.293255157747966
2002-04-11,21.66,27.4897,26.9146,43.1131,30.4469,1.3633,1.1473,10028580000.0,3.7083,-194.8838,1.0,1.0,15.0,69.8751,20.285559868421053,10.89699969427918,18.70090476190476,9.352554502328072,31.182559562700234,9.348350259576687
2002-04-12,21.8,27.4897,26.0995,43.3917,30.4536,1.3721,1.148,10093400000.0,3.7083,-194.8838,1.0,1.0,15.0,69.8751,20.323559477124185,10.871260980129398,18.65248571428572,9.2977393422936,31.194820457253584,9.354746371992114
2002-04-15,21.86,27.4897,25.7534,42.4137,30.4603,1.3763,1.149,10121180000.0,3.6155,-185.2903,1.0,1.0,15.0,69.8751,20.35881818181818,10.84450634821149,18.729141269841268,9.31628056760224,31.20332453002967,9.412860702239028
2002-04-16,22.84,27.4897,20.3577,44.3151,30.4932,1.438,1.1501,10574920000.0,3.6155,-185.2903,1.0,1.0,15.0,69.8751,20.35881096774193,10.809239567878402,18.73311984126984,9.316872843876483,31.16805053562034,9.416246997393356
2002-04-17,23.56,27.4897,16.6795,45.5794,30.5262,1.4833,1.1508,10908280000.0,3.6155,-185.3554,1.0,1.0,15.0,69.8751,20.33522564102564,10.778340945097147,18.70243571428572,9.317222000261356,31.11356658612279,9.385213714024356
2002-04-18,23.31,27.4897,17.9309,45.0958,30.5584,1.4676,1.1514,10792530000.0,3.6155,-185.3554,1.0,1.0,15.0,69.8751,20.31991146496815,10.745452872082677,18.70494523809524,9.316969262644216,31.065364337050823,9.387975975451022
2002-04-19,23.58,27.4897,16.5806,45.6181,30.5905,1.4846,1.1515,10917540000.0,3.6155,-185.3554,1.0,1.0,15.0,69.8751,20.296244936708863,10.715307257927302,18.68911111111111,9.318885803710414,31.011552194636167,9.370225307400696
2002-04-22,22.74,27.4897,20.887,43.993,30.6166,1.4317,1.1516,10528620000.0,3.6155,-185.3554,1.0,1.0,15.0,69.8751,20.299960377358488,10.68144697826545,18.669294444444443,9.311474328137775,30.981407355623936,9.357820116306668
2002-04-23,21.77,27.4897,26.2733,42.1165,30.6428,1.3706,1.1516,10079510000.0,3.6155,-185.3554,1.0,1.0,15.0,69.8751,20.33729375,10.658271270658972,18.720222222222223,9.335536043689306,30.99556502065897,9.384686178532917
2002-04-24,20.97,27.4897,31.0906,40.5688,30.6596,1.3202,1.1516,9709110000.0,3.6155,-185.3554,1.0,1.0,15.0,69.8751,20.40408447204969,10.65865729828668,18.819546825396827,9.400336791878775,31.06274177033637,9.41921003351805
2002-04-25,20.85,27.4897,31.8451,40.3366,30.6765,1.3127,1.1526,9653550000.0,3.6155,-185.3554,1.0,1.0,15.0,69.8751,20.47470802469136,10.663458499808597,18.934229365079364,9.470700206063476,31.13816652449996,9.46352915901589
2002-04-26,20.19,28.1298,39.3254,39.0598,30.6765,1.2711,1.1535,9347970000.0,3.2592,-160.832,1.0,1.0,15.0,69.8751,20.59035644171779,10.732543515563371,19.122551587301587,9.638241782215127,31.32289995728116,9.48430980508646
2002-04-29,19.98,28.1298,40.7898,38.6535,30.6765,1.2579,1.1541,9250740000.0,3.2592,-160.832,1.0,1.0,15.0,69.8751,20.713523780487805,10.815208287474428,19.31911031746032,9.825257225187167,31.52873206796223,9.493853092273149
2002-04-30,20.25,28.1298,38.9126,39.2899,30.679,1.2749,1.1547,9375750000.0,3.2592,-160.7751,1.0,1.0,15.0,69.8751,20.82382121212121,10.874870928030164,19.508631746031742,9.971145357212686,31.698692140151373,9.53748638881906
2002-05-01,20.51,28.1298,37.1516,39.7943,30.6815,1.2913,1.1551,9496130000.0,3.2592,-160.7751,1.0,1.0,15.0,69.8751,20.922181325301207,10.91568025920347,19.62804047619048,10.091857466398768,31.83786158450468,9.53618300979171
2002-05-02,19.61,28.1298,43.4462,38.0481,30.6848,1.2346,1.1554,9079430000.0,3.2592,-160.7751,1.0,1.0,15.0,69.8751,21.05705568862276,11.021442945997594,19.765664285714287,10.297051172660757,32.078498634620345,9.46861311305353
2002-05-03,19.21,28.1298,46.4331,37.272,30.688,1.2094,1.156,8894230000.0,3.2592,-160.7751,1.0,1.0,15.0,69.8751,21.208103571428573,11.16144363012108,19.929662698412702,10.5547629104342,32.36954720154965,9.3748997879785
2002-05-06,18.76,28.1298,49.9456,36.3989,30.8055,1.1811,1.1566,8685880000.0,3.2592,-160.7751,1.0,1.0,15.0,69.8751,21.378147928994085,11.345613176928198,20.149354761904764,10.886616247783198,32.723761105922286,9.262738514121564
2002-05-07,18.74,28.1298,50.1057,36.3601,30.8149,1.1799,1.1568,8676620000.0,3.2592,-160.7751,1.0,1.0,15.0,69.8751,21.547133529411763,11.52457404003522,20.38700476190476,11.208949268550429,33.071707569446986,9.178055493354332
2002-05-08,20.24,28.1298,38.9812,40.5937,30.8243,1.2743,1.1569,9371120000.0,3.2592,-140.7027,1.0,1.0,15.0,69.8751,21.649087134502924,11.567713831200155,20.58205317460317,11.317326661643634,33.21680096570308,9.264726512959538
