date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2014-02-20,51.89,53.3077,2.7321,30.6172,22.8624,2.6593,1.535,2615826790.0,17.0882,24.6848,4.0,5.0,22.72,27.0579
2014-02-21,50.06,54.9231,9.7145,30.095,22.8625,2.6163,1.543,2523574660.0,16.5807,24.6212,4.0,5.0,20.1787,25.5302
2014-02-24,50.93,54.9231,7.8404,30.618,22.8642,2.6618,1.5726,2567432230.0,16.5807,24.6212,4.0,5.0,20.1787,25.5302
2014-02-25,50.21,54.9231,9.3868,30.1852,22.8736,2.6242,1.5822,2531136310.0,16.5807,24.6212,4.0,5.0,20.1787,25.5302
2014-02-26,50.75,54.9231,8.2229,30.5098,22.8829,2.6524,1.5824,2558358250.0,16.5807,24.6212,4.0,5.0,20.1787,25.5302
2014-02-27,50.79,54.9231,8.1376,30.5338,22.8919,2.6545,1.5834,2560374690.0,16.5807,24.6212,4.0,5.0,20.1787,25.5302
2014-02-28,49.44,55.3077,11.8683,29.7867,22.9136,2.5763,1.5867,2492319840.0,16.5813,24.6217,4.0,5.0,20.1787,25.5302
2014-03-03,48.14,55.3077,14.8893,29.0035,22.93,2.5086,1.5934,2426785540.0,16.5813,24.6217,4.0,5.0,20.1787,25.5305
2014-03-04,49.54,55.3077,11.6425,29.847,22.9314,2.5815,1.5975,2497360940.0,16.5813,24.6217,4.0,5.0,20.1787,25.5305
2014-03-05,48.73,55.3077,13.4983,29.359,22.9329,2.5394,1.5977,2456528030.0,16.5814,24.6217,4.0,5.0,20.1787,25.5305
2014-03-06,47.62,55.3077,16.1438,28.6902,22.9544,2.4815,1.5996,2400571820.0,16.5814,24.6217,4.0,5.0,20.1787,25.5305
2014-03-07,47.29,55.3077,16.9543,28.4914,22.9613,2.4643,1.6024,2383936190.0,16.5814,24.6217,4.0,5.0,20.1787,25.5305
2014-03-10,46.95,55.3077,17.8013,28.2865,23.0288,2.4466,1.6154,2366796450.0,16.5814,24.6217,4.0,5.0,20.1787,25.5305
2014-03-11,46.14,55.3077,19.8693,27.7985,23.033,2.4044,1.616,2325963540.0,16.5814,24.6217,4.0,5.0,20.1787,25.5305
2014-03-12,46.46,55.3077,19.0437,27.9913,23.0372,2.4211,1.6188,2342095060.0,16.5814,24.6217,4.0,5.0,20.1787,25.5305
2014-03-13,45.07,55.3077,22.7151,27.1424,23.0453,2.3486,1.6234,2272023770.0,16.5814,24.6217,4.0,5.0,20.1787,25.5305
2014-03-14,46.16,55.3077,19.8174,27.7989,23.0533,2.4054,1.6313,2326971760.0,16.5814,24.6217,4.0,5.0,20.1787,25.5305
2014-03-17,46.4,55.3077,19.1976,27.9434,23.057,2.4179,1.6401,2339070400.0,16.5814,24.6217,4.0,5.0,20.1787,25.5305
2014-03-18,47.73,55.3077,15.8762,28.7444,23.0594,2.4872,1.6407,2406117030.0,16.5814,24.6217,4.0,5.0,20.1787,25.5305
2014-03-19,47.49,55.3077,16.4618,28.5998,23.0594,2.4747,1.6413,2394018390.0,16.5814,24.6217,4.0,5.0,20.1787,25.5305
2014-03-20,47.67,55.3077,16.022,28.7082,23.0646,2.4841,1.6473,2403092370.0,16.5814,24.6217,4.0,5.0,20.1787,25.5305
2014-03-21,47.28,55.3077,16.9791,28.4734,23.0754,2.4638,1.6501,2383432080.0,16.5814,24.6217,4.0,5.0,20.1787,25.5305
2014-03-24,46.24,55.3077,19.6101,27.847,23.1225,2.4096,1.6599,2331004640.0,16.5814,24.6217,4.0,5.0,20.1787,25.5305
2014-03-25,45.62,55.3077,21.2356,27.4737,23.1273,2.3773,1.6633,2299749820.0,16.5814,24.6217,4.0,5.0,20.1787,25.5305
2014-03-26,45.43,55.3077,21.7427,27.3592,23.1321,2.3674,1.6667,2290171730.0,16.5814,24.6217,4.0,5.0,20.1787,25.5305
2014-03-27,44.82,55.3077,23.3996,26.9919,23.1394,2.3356,1.6697,2259421020.0,16.5814,24.6217,4.0,5.0,20.1787,25.5305
2014-03-28,44.53,55.3077,24.2032,26.8172,23.143,2.3205,1.6736,2244801830.0,16.5814,24.6217,4.0,5.0,20.1787,25.5305
2014-03-31,45.12,55.3077,22.5791,27.1725,23.1656,2.3512,1.6817,2274544320.0,16.5814,24.6217,4.0,5.0,20.1787,25.5305
2014-04-01,45.98,55.3077,20.2864,27.6905,23.167,2.3961,1.6832,2317897780.0,16.5814,24.6217,4.0,5.0,20.1787,25.5305
2014-04-02,45.98,55.3077,20.2864,27.6905,23.1828,2.3961,1.6838,2317897780.0,16.5814,24.6217,4.0,5.0,20.1787,25.5305
2014-04-03,45.97,55.3077,20.3126,27.6844,23.2099,2.3955,1.6844,2317393670.0,16.5814,24.6217,4.0,5.0,20.1787,25.5305
2014-04-04,44.63,55.3077,23.9249,26.8774,23.2306,2.3257,1.688,2249842930.0,16.5814,24.6217,4.0,5.0,20.1787,25.5305
