date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2022-02-25,27.35,42.0185,53.6325,31.0126,38.78,3.6533,5.6029,1814013064.15,35.004,16.9154,1.0,1.0,20.0,-78.7975
2022-02-28,27.47,42.6167,55.1391,30.1074,38.7846,3.6841,5.6067,1821972170.83,35.0006,17.183,1.0,1.0,20.0,-78.7975
2022-03-01,27.15,42.6167,56.9676,29.7567,38.7823,3.6412,5.6048,1800747886.35,35.0006,17.183,1.0,1.0,20.0,-78.7975
2022-03-02,27.48,42.6167,55.0826,30.1184,38.78,3.6854,5.6029,1822635429.72,35.0006,17.183,1.0,1.0,20.0,-78.7975
2022-03-03,26.59,42.6167,60.2734,29.1429,38.78,3.5661,5.6029,1763605388.51,35.0006,17.183,1.0,1.0,20.0,-78.7975
2022-03-04,25.45,42.6167,67.4527,27.8935,38.78,3.4132,5.6029,1687993875.05,35.0006,17.183,1.0,1.0,20.0,-78.7975
2022-03-07,25.29,42.6167,68.5121,27.7181,38.7846,3.3917,5.6067,1677381732.81,35.0006,17.183,1.0,1.0,20.0,-78.7975
2022-03-08,26.79,42.6167,59.0769,29.3621,38.7823,3.5929,5.6048,1776870566.31,35.0006,17.183,1.0,1.0,20.0,-78.7975
2022-03-09,27.28,42.6167,56.2196,29.8992,38.78,3.6586,5.6029,1809370251.92,34.9579,18.6443,1.0,1.0,20.0,-78.7975
2022-03-10,21.27,41.95,97.2261,23.3121,38.78,2.8526,5.6029,1410751659.03,34.9579,18.6443,1.0,1.0,20.0,-78.7975
2022-03-11,18.78,41.95,123.3759,20.5831,38.78,2.5186,5.6029,1245600195.42,34.9579,18.6443,1.0,1.0,20.0,-78.7975
2022-03-14,15.36,41.95,173.112,16.8347,38.7823,2.06,5.6048,1018765655.04,34.9579,18.6443,1.0,1.0,20.0,-78.7975
2022-03-15,15.77,41.95,166.0114,17.2841,38.78,2.115,5.6029,1045959269.53,34.9579,18.6443,1.0,1.0,20.0,-78.7975
2022-03-16,19.9,41.95,110.804,21.8106,38.7686,2.6689,5.6018,1319885191.1,34.9579,18.6443,1.0,1.0,20.0,-78.7975
2022-03-17,19.79,41.95,111.9757,21.69,38.7686,2.6541,5.6018,1312589343.31,34.9579,18.6443,1.0,1.0,20.0,-78.7975
2022-03-18,20.6,41.95,103.6408,22.5778,38.7686,2.7627,5.6018,1366313313.4,34.9579,18.6443,1.0,1.0,20.0,-78.7975
2022-03-21,19.88,41.95,111.0161,21.7887,38.78,2.6662,5.6048,1318558673.32,34.9579,18.6443,1.0,1.0,20.0,-78.7975
2022-03-22,21.68,41.95,93.4963,23.7615,38.7686,2.9076,5.6029,1437945273.52,34.9579,18.6443,1.0,1.0,20.0,-78.7975
2022-03-23,22.09,41.95,89.9049,24.2109,38.7572,2.9626,5.6018,1465138888.01,34.9579,18.654,1.0,1.0,20.0,-78.7975
2022-03-24,21.81,41.95,92.343,23.904,38.7572,2.925,5.6018,1446567639.09,34.9579,18.654,1.0,1.0,20.0,-78.7975
2022-03-25,21.75,40.35,85.5172,24.3017,38.7572,2.9202,5.6018,1442588085.75,34.9579,18.5302,1.0,1.0,20.0,-78.7975
2022-03-28,21.53,40.35,87.4129,24.0559,38.78,2.8907,5.6048,1427996390.17,34.9579,18.5302,1.0,1.0,20.0,-78.7975
2022-03-29,23.02,40.35,75.2824,25.7207,38.7686,3.0907,5.6029,1526821964.78,34.9579,18.5302,1.0,1.0,20.0,-78.7975
2022-03-30,21.47,40.35,87.9367,23.9888,38.7572,2.8826,5.6018,1424016836.83,34.9579,18.5302,1.0,1.0,20.0,-78.7975
