date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2002-03-11,29.9,31.2,4.3478,28.9644,20.9777,2.2816,1.636,30332010150.0,9.5378,17.1085,1.0,1.0,18.0,793.8259,20.231272727272728,21.93849647342164,20.231272727272728,21.93849647342164,42.16976920069436,-1.7072237461489053
2002-03-12,29.81,31.2,4.6629,28.8773,21.1484,2.2748,1.6386,30240709785.0,9.5378,17.1085,1.0,1.0,18.0,793.8259,20.1036631147541,21.89307276703096,20.1036631147541,21.89307276703096,41.99673588178506,-1.7894096522768628
2002-03-13,29.15,31.2,7.0326,28.2379,21.3192,2.2244,1.652,29571173775.0,9.5378,17.1085,1.0,1.0,18.0,793.8259,19.99739430894309,21.83499344032569,19.99739430894309,21.83499344032569,41.832387749268776,-1.8375991313826
2002-03-14,28.67,31.2,8.8246,27.7729,21.3924,2.1878,1.6653,29084238495.0,9.5378,17.1085,1.0,1.0,18.0,793.8259,19.90729112903226,21.76918668354261,19.90729112903226,21.76918668354261,41.67647781257487,-1.861895554510351
2002-03-15,28.99,31.2,7.6233,28.0829,21.4655,2.2122,1.671,29408862015.0,9.5378,17.1085,1.0,1.0,18.0,793.8259,19.8090192,21.709051255753927,19.8090192,21.709051255753927,41.51807045575393,-1.900032055753929
2002-03-18,29.42,31.2,6.0503,28.4995,21.7094,2.245,1.6767,29845074870.0,9.5378,17.1085,1.0,1.0,18.0,793.8259,19.69982301587302,21.65675513110554,19.69982301587302,21.65675513110554,41.35657814697856,-1.9569321152325223
2002-03-19,26.0,31.2,20.0,25.1865,21.9534,1.984,1.6958,26375661000.0,9.5378,17.1085,1.0,1.0,18.0,793.8259,19.70218661417323,21.57066087761066,19.456292063492064,21.477322503267875,41.27284749178389,-2.02103043977581
2002-03-20,26.55,31.2,17.5141,25.6994,22.3688,2.026,1.7148,26933607675.0,9.5378,17.0996,1.0,1.0,18.0,793.8259,19.6850921875,21.486439610595824,19.18892222222222,21.287809303200326,41.17153179809583,-2.098887080978105
2002-03-21,27.39,31.2,13.9102,26.5124,22.7842,2.0901,1.7326,27785744415.0,9.5378,17.0996,1.0,1.0,18.0,793.8259,19.64032558139535,21.408382361714214,18.841335714285712,21.00960202889513,41.04870794310956,-2.1682663146094185
2002-03-22,27.63,31.2,12.9207,26.7447,22.9172,2.1084,1.7504,28029212055.0,9.5378,17.0996,1.0,1.0,18.0,793.8259,19.58863615384616,21.33338486401724,18.389244444444447,20.50938310301724,40.922021017863386,-2.120138658572792
2002-03-25,27.05,31.2,15.342,26.1833,23.0502,2.0642,1.762,27440831925.0,9.5378,17.0996,1.0,1.0,18.0,793.8259,19.556219083969467,21.254413697952483,17.935220634920636,19.92573866035312,40.81063278192195,-1.990518025432486
2002-03-26,26.71,31.2,16.8102,25.8542,23.1081,2.0382,1.7736,27095919435.0,9.5378,17.0996,1.0,1.0,18.0,793.8259,19.535415909090908,21.174483547434747,17.539534126984126,19.43937523502713,40.709899456525655,-1.899841108043006
2002-03-27,26.51,31.2,17.6914,25.6606,23.166,2.023,1.7806,26893029735.0,9.5378,17.0996,1.0,1.0,18.0,793.8259,19.52155112781955,21.094730696416487,17.109505555555558,18.81712909166032,40.61628182423604,-1.7076235361047587
2002-03-28,26.7,31.2,16.8539,25.8445,23.2097,2.0375,1.7875,27085774950.0,9.5378,17.0996,1.0,1.0,18.0,793.8259,19.50164328358209,21.016541067312968,16.605743650793652,17.94036065667576,40.518184350895055,-1.3346170058821087
2002-04-01,26.65,31.2,17.0732,25.7961,23.3,2.0336,1.792,27035052525.0,9.5378,17.0996,1.0,1.0,18.0,793.8259,19.483654814814816,20.93901743345697,16.061451587301587,16.835034039021057,40.42267224827179,-0.77358245171947
2002-04-02,26.0,31.2,20.0,25.167,23.3467,1.984,1.7965,26375661000.0,9.5378,17.0996,1.0,1.0,18.0,793.8259,19.48745147058824,20.86136835405821,15.644396031746032,16.057409398133444,40.348819824646455,-0.4130133663874122
2002-04-03,26.01,31.2,19.9539,25.1767,23.4544,1.9848,1.8006,26385805485.0,9.5378,17.0996,1.0,1.0,18.0,793.8259,19.49085620437956,20.784568845129336,15.221583333333331,15.207942742610523,40.2754250495089,0.0136405907228081
2002-04-04,25.1,31.2,24.3028,24.2958,23.5621,1.9154,1.8046,25462657350.0,9.5378,17.0996,1.0,1.0,18.0,793.8259,19.52572536231884,20.71262460984084,14.820170634920634,14.258508763323428,40.23834997215968,0.5616618715972077
2002-04-05,25.16,31.2,24.0064,23.765,23.6295,1.9199,1.8182,25523524260.0,9.6053,16.992,1.0,1.0,18.0,793.8259,19.55796043165468,20.640941464669577,14.45606111111111,13.401125014069368,40.19890189632426,1.0549360970417414
2002-04-08,24.03,31.2,29.8377,22.6976,23.5621,1.8337,1.8317,24377197455.0,9.6053,16.992,1.0,1.0,18.0,793.8259,19.631387142857143,20.58490163078721,14.192203174603174,12.747371347366876,40.21628877364436,1.444831827236298
2002-04-09,24.41,31.2,27.8165,23.0566,23.4544,1.8627,1.8327,24762687885.0,9.6053,16.992,1.0,1.0,18.0,793.8259,19.68943758865248,20.52283175754172,13.918035714285717,12.055801612365492,40.212269346194205,1.8622341019202224
2002-04-10,24.25,31.2,28.6598,22.9055,23.3467,1.8505,1.8337,24600376125.0,9.6053,16.992,1.0,1.0,18.0,793.8259,19.752609154929576,20.463776680253268,13.61939365079365,11.182554137145928,40.21638583518285,2.4368395136477226
2002-04-11,22.55,31.3333,38.9503,21.3785,23.3,1.757,1.8327,23357171792.9,9.6,17.0094,1.0,1.0,18.0,793.8259,19.88685874125874,20.45469092010309,13.419165079365078,10.473398307157565,40.34154966136183,2.945766772207513
2002-04-12,22.52,31.3333,39.1354,21.35,23.2534,1.7546,1.8317,23326097950.16,9.6,17.0094,1.0,1.0,18.0,793.8259,20.020529166666662,20.44606334984456,13.246141269841267,9.843240947763258,40.46659251651123,3.402900322078011
2002-04-15,22.44,31.3333,39.6315,21.3552,23.2097,1.7533,1.8182,23243234369.52,9.6015,17.02,1.0,1.0,18.0,793.8259,20.15577724137931,20.439931177401483,13.254943650793653,9.866493675737066,40.5957084187808,3.3884499750565844
2002-04-16,23.75,31.3333,31.9297,22.6018,23.166,1.8556,1.8317,24600125502.5,9.6015,17.02,1.0,1.0,18.0,793.8259,20.236420547945208,20.392620205118217,13.294955555555555,9.932226863164626,40.62904075306342,3.362728692390929
2002-04-17,23.98,31.3333,30.6643,22.8207,23.1113,1.8736,1.8327,24838358296.84,9.6015,17.02,1.0,1.0,18.0,793.8259,20.30735850340136,20.34085401956329,13.409828571428571,10.04899586729626,40.648212522964656,3.360832704132312
2002-04-18,23.1,31.3333,35.642,21.9833,23.0566,1.8049,1.8317,23926858909.8,9.6015,17.02,1.0,1.0,18.0,793.8259,20.410970945945945,20.31070096593551,13.56156507936508,10.238931619049469,40.72167191188146,3.322633460315611
2002-04-19,24.48,31.6,29.085,23.2744,23.1113,1.9127,1.8327,25356255675.84,9.6015,17.0167,1.0,1.0,18.0,793.8259,20.46918590604027,20.254436644400407,13.635664285714284,10.31754704500224,40.72362255044068,3.318117240712045
2002-04-22,24.41,31.6,29.4551,23.2078,23.1869,1.9072,1.8337,25283750042.78,9.6015,17.0167,1.0,1.0,18.0,793.8259,20.529092,20.19968344838525,13.696765873015874,10.388575086600962,40.728775448385264,3.308190786414912
