date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2014-10-02,29.4,32.5714,10.7871,7.3173,6.276,6.3359,4.3467,659192100.0,27.3038,-2.9727,2.0,1.0,-2.4,-0.1072
2014-10-03,29.44,32.5714,10.6365,7.6311,6.279,6.3445,4.353,660088960.0,27.3038,-7.2375,3.0,1.0,-2.4,-0.1072
2014-10-06,29.32,32.5714,11.0894,7.6,6.2916,6.3187,4.3672,657398380.0,27.3038,-7.2375,3.0,1.0,-2.4,-0.1072
2014-10-07,29.2,32.5714,11.5459,7.5689,6.2934,6.2928,4.3733,654707800.0,27.3038,-7.2375,3.0,1.0,-2.4,-0.1072
2014-10-08,29.68,32.5714,9.7419,7.6933,6.2972,6.3963,4.3758,665470120.0,27.3038,-7.2375,3.0,1.0,-2.4,-0.1072
2014-10-09,29.64,32.5714,9.89,7.6829,6.3038,6.3876,4.3813,664573260.0,27.3038,-7.2375,3.0,1.0,-2.4,-0.1072
2014-10-10,29.68,32.5714,9.7419,7.6901,6.3082,6.3963,4.385,665470120.0,27.3038,-7.2784,3.0,1.0,-2.4,-0.1072
2014-10-13,29.84,32.5714,9.1535,7.7316,6.31,6.4307,4.3942,669057560.0,27.3038,-7.2784,3.0,1.0,-2.4,-0.1072
2014-10-14,30.32,32.5714,7.4255,7.8559,6.31,6.5342,4.3978,679819880.0,27.3038,-7.2784,3.0,1.0,-2.4,-0.1072
2014-10-15,30.12,32.5714,8.1388,7.8041,6.3124,6.4911,4.4037,675335580.0,27.3038,-7.2784,3.0,1.0,-2.4,-0.1072
2014-10-16,30.08,32.5714,8.2826,7.5022,6.3154,6.4825,4.4099,674438720.0,27.3038,-4.8155,3.0,1.0,-2.4,-0.1072
2014-10-17,30.0,32.5714,8.5713,7.4822,6.3176,6.4652,4.413,672645000.0,27.3038,-4.8155,3.0,1.0,-2.4,-0.1072
2014-10-20,30.44,32.5714,7.002,7.592,6.3191,6.56,4.4162,682510460.0,27.3038,-4.8155,3.0,1.0,-2.4,-0.1072
2014-10-21,30.56,32.5714,6.5818,7.6219,6.3194,6.5859,4.4254,685201040.0,27.3038,-4.8155,3.0,1.0,-2.4,-0.1072
2014-10-22,30.6,32.5714,6.4425,7.6319,6.3196,6.5945,4.4346,686097900.0,27.3038,-4.8155,3.0,1.0,-2.4,-0.1072
2014-10-23,30.64,32.5714,6.3035,7.6419,6.3257,6.6031,4.4348,686994760.0,27.3038,-4.7991,3.0,1.0,-2.4,-0.1072
