date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2022-06-21,69.4,76.8333,10.7108,37.8842,37.055,10.0198,11.2395,4950725548.2,20.7057,2.2565,5.0,1.0,7.6271,10.734
2022-06-22,70.95,76.8333,8.2922,38.7303,37.0621,10.2436,11.2392,5061296507.85,20.7057,2.2565,5.0,1.0,7.6271,10.734
2022-06-23,72.52,76.8333,5.9477,39.5873,37.0621,10.4703,11.238,5173294189.56,20.7057,2.2565,5.0,1.0,7.6271,10.734
2022-06-24,74.12,76.8333,3.6607,40.4607,37.0621,10.7013,11.2374,5287431954.36,20.7057,2.2565,5.0,1.0,7.6271,10.734
2022-06-27,73.87,76.8333,4.0115,40.3243,37.0479,10.6652,11.234,5269597928.61,20.7057,2.2565,5.0,1.0,7.6271,10.734
2022-06-28,73.45,76.8333,4.6063,40.095,37.055,10.6045,11.234,5239636765.35,20.7057,2.2565,5.0,1.0,7.6271,10.734
2022-06-29,73.19,76.9667,5.1601,39.9531,37.0621,10.567,11.2339,5221089378.57,20.7057,2.2565,5.0,1.0,7.6271,10.734
2022-06-30,72.13,76.9667,6.7055,39.3744,37.0621,10.414,11.2334,5145473109.39,20.7057,2.2565,5.0,1.0,7.6271,10.734
2022-07-01,73.53,76.9667,4.6739,40.1387,37.0621,10.6161,11.2147,5245343653.59,20.7057,2.2565,5.0,1.0,7.6271,10.734
2022-07-05,72.7,76.9667,5.8689,39.6856,37.0479,10.4963,11.2126,5186134688.1,20.7057,2.2565,5.0,1.0,7.6271,10.734
2022-07-06,73.11,76.9667,5.2752,39.9094,37.055,10.5555,11.2091,5215382490.33,20.7057,2.2565,5.0,1.0,7.6271,10.734
2022-07-07,72.74,78.0938,7.3602,39.5348,37.055,10.4253,11.2056,5188988132.22,21.1114,2.3947,6.0,1.0,7.6271,10.734
2022-07-08,73.35,78.0938,6.4673,39.8663,37.055,10.5127,11.2048,5232503155.05,21.1114,2.3947,6.0,1.0,7.6271,10.734
2022-07-11,73.7,78.3438,6.3009,40.0565,37.0456,10.5556,11.2015,5257470791.1,21.179,2.3947,6.0,1.0,7.6271,10.734
2022-07-12,73.27,78.4688,7.0954,40.0033,37.0479,10.4627,11.1996,5226796266.81,21.4311,2.0692,6.0,1.0,7.6271,10.734
2022-07-13,72.06,78.4688,8.8937,39.3427,37.055,10.2899,11.1986,5140479582.18,21.4311,2.0692,6.0,1.0,7.6271,10.734
2022-07-14,73.44,78.4688,6.8475,40.0961,37.055,10.487,11.1968,5238923404.32,21.4311,2.0692,6.0,1.0,7.6271,10.734
2022-07-15,74.78,78.4688,4.9329,40.8277,37.055,10.6514,11.1952,5334513782.34,21.431,2.0692,6.0,1.0,7.2919,10.7238
2022-07-18,74.73,78.5312,5.0866,40.8004,37.0456,10.6443,11.1896,5330946977.19,21.431,2.0692,6.0,1.0,7.2919,10.7238
2022-07-19,76.26,78.5312,2.9782,41.6357,37.0479,10.8622,11.1856,5440091214.78,21.431,2.0692,6.0,1.0,7.2919,10.7238
2022-07-20,76.2,78.5312,3.0593,41.603,37.055,10.8537,11.1825,5435811048.6,21.431,2.0692,6.0,1.0,7.2919,10.7238
2022-07-21,75.63,78.5312,3.836,41.2918,37.055,10.7725,11.1764,5395149469.89,21.431,2.0692,6.0,1.0,7.2919,10.7238
2022-07-22,76.23,78.5312,3.0188,41.6193,37.055,10.858,11.1733,5437951131.69,21.431,2.0692,6.0,1.0,7.2919,10.7238
2022-07-25,77.18,78.5312,1.7507,41.8229,37.0456,10.9937,11.1666,5505720429.54,21.4275,2.2934,6.0,1.0,7.2919,10.5252
2022-07-26,76.89,78.5312,2.1345,41.6658,37.0479,10.9524,11.1623,5485032959.67,21.4275,2.2934,6.0,1.0,7.2919,10.5252
2022-07-27,77.42,78.5312,1.4353,41.953,37.055,11.0279,11.1606,5522841094.26,21.4275,2.2934,6.0,1.0,7.2919,10.5252
2022-07-28,79.0,78.5312,-0.5934,42.8091,37.0621,11.2529,11.1623,5635552137.0,21.4275,2.2934,6.0,1.0,7.2919,10.5252
2022-07-29,79.59,78.7188,-1.0946,43.1289,37.0621,11.337,11.1623,5677640437.77,21.4275,2.2934,6.0,1.0,7.2919,10.5252
2022-08-01,78.56,78.7188,0.2021,42.5707,37.0479,11.1903,11.1588,5604164251.68,21.4275,2.2934,6.0,1.0,7.2919,10.5252
2022-08-02,77.88,78.7188,1.077,42.2022,37.055,11.7518,11.1606,5885398531.32,21.4275,2.2934,6.0,1.0,7.2919,10.5252
2022-08-03,76.24,80.2188,5.2188,41.3516,37.0621,11.4062,11.1623,5761463585.36,21.3215,2.4743,6.0,1.0,7.2919,10.5252
2022-08-04,75.86,80.2188,5.7458,41.1455,37.0621,11.3493,11.1623,5732746951.54,21.3215,2.4743,6.0,1.0,7.2919,10.5252
2022-08-05,76.8,80.2188,4.4516,41.6554,37.0621,11.49,11.1623,5803782835.2,21.3215,2.4743,6.0,1.0,7.2919,10.5252
