date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2002-01-11,46.63,53.6667,15.0905,42.8348,32.9429,8.6461,6.2038,17810888060.0,-3.236,8.2266,3.0,1.0,20.0,-5.374,31.818469166666667,18.9135651735134,31.818469166666667,18.9135651735134,50.732034340180064,12.904903993153273
2002-01-14,44.11,53.6667,21.6656,40.5199,33.0611,8.1788,6.2178,16848343820.0,-3.236,8.2266,3.0,1.0,20.0,-5.374,31.7345611570248,18.857195710220594,31.7345611570248,18.857195710220594,50.59175686724539,12.877365446804198
2002-01-15,43.85,53.6667,22.387,40.6961,33.0872,7.8509,6.2194,16749033700.0,-3.1344,8.4337,3.0,1.0,20.0,-10.4486,31.65794180327869,18.798171245219617,31.65794180327869,18.798171245219617,50.45611304849831,12.859770558059072
2002-01-16,42.7,53.6667,25.6831,39.6288,33.1012,7.645,6.225,16309777400.0,-3.1344,8.4337,3.0,1.0,20.0,-10.4486,31.60936585365853,18.72872099710797,31.60936585365853,18.72872099710797,50.3380868507665,12.880644856550564
2002-01-17,43.02,53.6667,24.7483,39.9258,33.2263,7.7023,6.233,16432005240.0,-3.1344,8.4337,3.0,1.0,20.0,-10.4486,31.55403467741936,18.66260627950306,31.55403467741936,18.66260627950306,50.21664095692242,12.891428397916297
2002-01-18,43.0,53.6667,24.8063,39.9072,33.3397,7.6987,6.2376,16424366000.0,-3.1344,8.4337,3.0,1.0,20.0,-10.4486,31.5000528,18.59699747370169,31.5000528,18.59699747370169,50.0970502737017,12.903055326298311
2002-01-22,41.05,53.6667,30.735,38.0974,33.3664,7.3496,6.2529,15679540100.0,-3.1344,8.4337,3.0,1.0,20.0,-10.4486,31.49398095238095,18.522585505285008,31.49398095238095,18.522585505285008,50.01656645766596,12.971395447095944
2002-01-23,42.0,53.6667,27.7779,38.9791,33.3793,7.5196,6.2568,16042404000.0,-3.1344,8.4337,3.0,1.0,20.0,-10.4486,31.464720472440945,18.451883426129765,31.288965873015872,18.418507127678563,49.91660389857071,12.87045874533731
2002-01-24,43.35,53.6667,23.7986,40.0832,33.4593,7.7613,6.2568,16558052700.0,-3.1344,8.5253,3.0,1.0,20.0,-10.4486,31.40482890625,18.39158111821542,31.139055555555554,18.40185372196424,49.796410024465416,12.73720183359132
2002-01-25,43.27,53.6667,24.0275,40.0092,33.4662,7.747,6.2568,16527495740.0,-3.1344,8.5253,3.0,1.0,20.0,-10.4486,31.34764031007752,18.33110948596214,31.02238253968254,18.39995433800456,49.67874979603966,12.62242820167798
2002-01-28,43.74,53.6667,22.6948,40.4438,33.6035,7.8312,6.2572,16707017880.0,-3.1344,8.5253,3.0,1.0,20.0,-10.4486,31.28108,18.275684126570216,30.83781825396825,18.365623484671143,49.556764126570215,12.472194769297108
2002-01-29,41.66,53.6667,28.8207,38.5206,33.6347,7.4588,6.2601,15912536920.0,-3.1344,8.5253,3.0,1.0,20.0,-10.4486,31.26229847328244,18.206526422391185,30.823122222222224,18.36649774732195,49.46882489567363,12.456624474900272
2002-01-30,43.5,53.6667,23.3717,40.2219,33.666,7.7882,6.2631,16615347000.0,-3.1344,8.5253,3.0,1.0,20.0,-10.4486,31.20252121212121,18.14990135903644,30.79602063492063,18.375019295873702,49.352422571157646,12.421001339046928
2002-01-31,43.8,53.6667,22.5267,40.4993,33.666,7.8419,6.2668,16729935600.0,-3.1344,8.5253,3.0,1.0,20.0,-10.4486,31.137289473684213,18.096664343712057,30.86415,18.32788456048652,49.23395381739627,12.536265439513482
2002-02-01,43.14,53.6667,24.4013,39.889,33.6924,7.7237,6.2675,16477840680.0,-3.1563,8.5253,3.0,1.0,20.0,-10.4486,31.087020895522382,18.03789188670345,30.92272142857143,18.29505523023577,49.12491278222584,12.627666198335657
2002-02-04,42.28,53.6667,26.9316,39.0939,33.7758,7.5698,6.2817,16149353360.0,-3.1563,8.5253,3.0,1.0,20.0,-10.4486,31.056239999999995,17.97401875542385,30.996407936507936,18.259821142219785,49.03025875542384,12.73658679428815
2002-02-05,42.02,53.6667,27.717,39.5482,33.7764,7.4979,6.2828,16050043240.0,-3.0479,8.0148,3.0,1.0,20.0,-10.4486,31.03168676470588,17.909613694813554,31.06110476190476,18.233417260442906,48.94130045951944,12.827687501461856
2002-02-06,41.01,53.6667,30.8625,38.5976,33.7771,7.3177,6.284,15664261620.0,-3.0479,8.0148,3.0,1.0,20.0,-10.4486,31.03045182481752,17.84365389731657,31.22668015873016,18.13509373949204,48.87410572213409,13.09158641923812
2002-02-07,39.34,53.6667,36.4176,37.0259,33.804,7.0197,6.289,15026385080.0,-3.0479,8.0148,3.0,1.0,20.0,-10.4486,31.069489130434786,17.784325285953255,31.434594444444446,18.042269965408703,48.85381441638803,13.392324479035745
2002-02-08,38.87,53.6667,38.0671,36.6698,33.8473,6.9358,6.2982,14846862940.0,-2.5619,11.5278,1.0,1.0,20.0,-10.4486,31.11983165467626,17.729709616457857,31.639532539682538,17.969060519164955,48.84954127113412,13.670472020517582
2002-02-11,40.9,53.6667,31.2144,38.5849,33.8791,7.2981,6.3176,15622245800.0,-2.5619,11.5278,1.0,1.0,20.0,-10.4486,31.120507142857143,17.665820371201967,31.79171746031746,17.88272408400948,48.78632751405911,13.90899337630798
2002-02-12,40.25,53.6667,33.3334,38.1517,33.9184,7.1821,6.3211,15373970500.0,-2.5429,11.6034,1.0,1.0,20.0,-10.4486,31.136201418439715,17.603601553156206,31.939579365079368,17.81719809895739,48.73980297159592,14.122381266121977
2002-02-13,40.62,53.6667,32.1189,38.9342,33.9576,7.2481,6.3246,15515296440.0,-2.5429,11.8261,1.0,1.0,20.0,-10.4486,31.143121830985915,17.541260208038523,32.039211904761906,17.782513803485074,48.68438203902444,14.256698101276832
2002-02-14,39.96,53.6667,34.3011,38.5565,33.9666,7.1101,6.3258,15263201520.0,-2.3961,12.2304,1.0,3.0,19.3333,-10.4486,31.16520559440559,17.481380890241102,32.15760555555556,17.74720430742963,48.64658648464669,14.410401248125924
2002-02-15,41.32,54.0,30.6873,39.4162,33.993,7.2055,6.3274,15782669840.0,14.7593,23.6385,2.0,3.0,19.3333,-10.4486,31.16188680555556,17.420195469808256,32.27487380952381,17.68771341053299,48.58208227536382,14.587160398990822
2002-02-19,39.63,54.2,36.7651,37.6604,34.0532,6.9551,6.3428,15137154060.0,14.8971,19.4076,2.0,3.0,19.3333,-10.3004,31.200529655172414,17.365838618591432,32.469296825396825,17.600458403466366,48.56636827376384,14.86883842193046
2002-02-20,39.5,54.2,37.2152,37.5368,34.0631,6.9323,6.347,15087499000.0,14.8971,19.4076,2.0,3.0,19.3333,-10.3004,31.241726027397263,17.313010258431643,32.667655555555555,17.511054782693382,48.55473628582891,15.156600772862172
2002-02-21,37.0,54.2,46.4865,35.1611,34.0748,6.4936,6.3523,14132594000.0,14.8971,19.4076,2.0,3.0,19.3333,-10.3004,31.34543197278912,17.299372300359238,32.90387142857143,17.494990688248368,48.64480427314835,15.40888074032306
2002-02-22,37.58,54.2,44.2257,35.7122,34.0796,6.5954,6.3536,14354131960.0,14.8971,19.6998,2.0,3.0,19.3333,-10.3004,31.432460810810813,17.272909369683024,33.143276984126985,17.44138311700841,48.70537018049384,15.701893867118574
2002-02-25,40.03,54.2,35.3985,38.0405,34.1507,7.0253,6.3558,15289938860.0,14.8971,19.6998,2.0,3.0,19.3333,-10.3004,31.45907852348993,17.217521994945365,33.30198888888889,17.36947835659884,48.67660051843529,15.932510532290053
2002-02-26,38.72,54.2,39.9793,36.7956,34.172,6.7954,6.3558,14789568640.0,14.8971,19.6998,2.0,3.0,19.3333,-10.3004,31.51588,17.173743739900114,33.50675396825397,17.294151203597824,48.689623739900114,16.212602764656143
2002-02-27,38.2,54.2,41.8848,36.3014,34.1803,6.7042,6.3558,14590948400.0,14.8971,19.6998,2.0,3.0,19.3333,-10.3004,31.584548344370862,17.137188823903234,33.62431746031746,17.300404570146117,48.721737168274096,16.32391289017134
2002-02-28,37.21,54.2,45.6598,35.0773,34.1984,6.4247,6.3809,14212806020.0,14.5608,19.5294,2.0,3.0,19.3333,-10.3004,31.677148684210525,17.118460554277146,33.82243571428572,17.294112038020174,48.79560923848767,16.528323676265543
2002-03-01,41.59,54.2,30.3198,39.2063,34.233,7.181,6.3867,15885799580.0,14.5608,19.5294,2.0,3.0,19.3333,-10.3004,31.668277124183007,17.062409785311903,33.91423888888889,17.244105195865497,48.730686909494906,16.67013369302339
2002-03-04,43.95,54.2,23.322,40.7586,34.4057,7.5885,6.4119,16787229900.0,14.5608,19.5294,2.0,3.0,19.3333,-10.3004,31.61408051948052,17.019852654370446,33.983016666666664,17.18385643145682,48.63393317385096,16.799160235209843
2002-03-05,45.6,54.2,18.8596,42.2888,34.4067,7.8734,6.4123,17417467200.0,14.5608,19.5294,2.0,3.0,19.3333,-10.3004,31.531793548387096,16.995408290383644,34.05711031746032,17.097458983214224,48.527201838770736,16.959651334246097
2002-03-06,44.72,54.2,21.1986,41.7047,34.4077,7.7214,6.4127,17081340640.0,14.5608,19.648,2.0,3.0,19.3333,-10.3004,31.465555128205125,16.960685372990866,34.129087301587305,17.023338423991856,48.42624050119599,17.10574887759545
2002-03-07,45.02,54.2,20.3909,41.9845,34.4235,7.8039,6.4247,17263864420.0,14.5608,19.648,2.0,3.0,19.3333,-10.3004,31.39501592356688,16.929324860962826,34.14866190476191,17.005965364927015,48.3243407845297,17.142696539834894
2002-03-08,47.55,54.2,13.9853,44.3439,34.5107,8.2425,6.4252,18234046050.0,14.5608,19.648,2.0,3.0,19.3333,-10.3004,31.284827848101266,16.93206699247963,34.08441269841269,17.06710580851474,48.21689484058089,17.017306889897952
2002-03-11,46.95,54.2,15.442,43.7844,34.6,8.1385,6.4385,18003963450.0,14.5608,19.648,2.0,3.0,19.3333,-10.3004,31.18518742138365,16.925098349140207,34.04730952380952,17.10275768670505,48.11028577052386,16.944551837104466
2002-03-12,45.17,54.2,19.9911,42.1244,34.6156,7.8299,6.4409,17321385070.0,14.5608,19.648,2.0,3.0,19.3333,-10.3004,31.115224375000004,16.894984401982693,33.99222619047619,17.137001245152216,48.01020877698269,16.85522494532397
2002-03-13,43.52,54.2,24.5404,40.5857,34.6313,7.5439,6.4433,16688657920.0,14.5608,19.648,2.0,3.0,19.3333,-10.3004,31.074386956521742,16.85007399644038,33.95213333333333,17.15327953023561,47.92446095296212,16.798853803097717
2002-03-14,44.07,54.2,22.9862,41.0986,34.914,7.6393,6.4456,16899566970.0,14.5608,19.648,2.0,3.0,19.3333,-10.3004,31.024459876543208,16.8096788775106,33.853946031746034,17.180555495413532,47.83413875405381,16.6733905363325
2002-03-15,45.29,54.2,19.6732,42.2363,34.914,7.8507,6.4464,17367401590.0,14.5608,19.648,2.0,3.0,19.3333,-10.3004,30.95482024539877,16.781286340577832,33.7274380952381,17.226123867743933,47.7361065859766,16.501314227494166
2002-03-18,45.8,54.2,18.3406,42.7119,34.9342,7.9391,6.4654,17562971800.0,14.5608,19.648,2.0,3.0,19.3333,-10.3004,30.877904268292685,16.758703051515575,33.57803015873016,17.277623992386314,47.63660731980826,16.300406166343844
2002-03-19,46.05,54.2,17.6982,42.9451,34.9886,7.9825,6.4666,17658839550.0,14.5608,19.648,2.0,3.0,19.3333,-10.3004,30.798027272727275,16.73900707860915,33.34171666666666,17.289668444694943,47.53703435133642,16.05204822197172
2002-03-20,44.35,54.2,22.2097,41.5612,35.0429,7.6878,6.4679,17006938850.0,14.5608,19.6206,2.0,3.0,19.3333,-10.3004,30.74629036144578,16.70151322125589,32.99953253968254,17.07696080871455,47.44780358270167,15.922571730967991
2002-03-21,45.25,54.2,19.779,42.4046,35.0773,7.8438,6.4727,17352062750.0,14.5608,19.6206,2.0,3.0,19.3333,-10.3004,30.680617964071857,16.67274504718254,32.60479047619047,16.798686589742324,47.3533630112544,15.806103886448147
