date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2008-03-06,13.74,20.7873,51.2904,6.1987,9.5504,0.5505,0.5505,22258800000.0,1.2379,3.2172,3.0,2.0,1.6945,-8.0423
2008-03-07,13.69,20.9978,53.3806,6.212,9.5504,0.5485,0.5495,22177800000.0,1.2379,3.6426,5.0,2.0,1.6945,-8.0423
2008-03-10,13.31,20.9978,57.7596,6.0305,9.5535,0.5333,0.5485,21562200000.0,1.2379,3.6425,5.0,2.0,1.6945,-8.0423
2008-03-11,14.09,20.5391,45.7708,6.3839,9.5526,0.5645,0.5495,22825800000.0,1.2379,3.6425,5.0,2.0,1.6945,-8.0423
2008-03-12,14.04,20.5173,46.1346,6.3911,9.5504,0.5625,0.5505,22744800000.0,1.2379,3.0498,6.0,2.0,1.6945,-8.0423
2008-03-13,13.91,20.3484,46.2861,6.3606,9.5504,0.5573,0.5539,22534200000.0,1.2379,2.4036,7.0,2.0,1.6945,-8.0423
2008-03-14,13.54,20.3484,50.2836,6.235,9.5504,0.5425,0.5505,21934800000.0,1.2379,2.4339,7.0,2.0,1.6945,-5.4392
2008-03-17,13.25,20.0138,51.0475,6.113,9.5535,0.5309,0.5495,21465000000.0,1.2379,2.4478,7.0,2.0,1.6945,-5.4392
2008-03-18,13.79,20.0138,45.1327,6.3622,9.5526,0.5525,0.5505,22339800000.0,1.2379,2.4478,7.0,2.0,1.6945,-5.4392
2008-03-19,13.41,20.0138,49.2453,6.1869,9.5504,0.5373,0.5495,21724200000.0,1.2379,2.4478,7.0,2.0,1.6945,-5.4392
2008-03-20,13.74,20.0138,45.6608,6.3216,9.5504,0.5505,0.5505,22258800000.0,1.2379,2.8077,8.0,2.0,1.5825,-5.4392
2008-03-24,14.01,20.241,44.4754,6.3873,9.5535,0.5613,0.5505,22696200000.0,1.2379,2.783,8.0,2.0,1.5825,-5.4392
2008-03-25,14.42,20.241,40.3675,6.5743,9.5526,0.5777,0.5505,23360400000.0,1.2379,2.783,9.0,2.0,1.5825,-5.4392
2008-03-26,14.19,20.5387,44.7407,6.4398,9.5504,0.5685,0.5515,22987800000.0,1.2379,2.7609,9.0,2.0,1.5825,-5.4392
2008-03-27,14.36,20.3285,41.5634,6.5169,9.5504,0.5753,0.5525,23263200000.0,1.2379,2.7508,9.0,2.0,1.5825,-5.4392
2008-03-28,14.47,20.3285,40.4872,6.5668,9.5504,0.5797,0.5549,23441400000.0,1.2379,2.7508,9.0,2.0,1.5825,-5.4392
2008-03-31,14.32,20.3285,41.9588,6.5005,9.5535,0.5489,0.5525,23198400000.0,1.2327,2.7491,9.0,2.0,1.5825,-5.4392
2008-04-01,15.4,20.3285,32.0032,6.9908,9.5526,0.5903,0.5549,24948000000.0,1.2327,2.7491,9.0,2.0,1.5825,-5.4392
2008-04-02,15.68,20.3285,29.646,7.1179,9.5504,0.6011,0.5573,25401600000.0,1.2327,2.7491,9.0,2.0,1.5825,-5.4392
2008-04-03,15.35,20.3285,32.4332,6.9681,9.5504,0.5884,0.5593,24867000000.0,1.2327,2.7491,9.0,2.0,1.5825,-5.4392
2008-04-04,15.95,20.3285,27.4514,7.2405,9.5504,0.6114,0.5613,25839000000.0,1.2327,2.7491,9.0,2.0,1.5825,-5.4392
2008-04-07,15.92,20.3285,27.6916,7.2268,9.5535,0.6103,0.5619,25790400000.0,1.2327,2.7491,9.0,2.0,1.5825,-5.4392
2008-04-08,15.92,20.3285,27.6916,7.2268,9.5526,0.6103,0.5625,25790400000.0,1.2327,2.7491,9.0,2.0,1.5825,-5.4392
2008-04-09,15.54,20.3285,30.814,7.0543,9.5504,0.5957,0.5635,25174800000.0,1.2327,2.7491,9.0,2.0,1.5825,-5.4392
2008-04-10,15.42,20.2722,31.4669,6.9999,9.5504,0.5911,0.5645,24980400000.0,1.2327,2.7491,9.0,2.0,1.5825,-5.4392
2008-04-11,15.28,20.2722,32.6715,6.974,9.5504,0.5786,0.5665,24753600000.0,1.2449,2.7549,9.0,2.0,1.5825,-5.4392
2008-04-14,15.29,20.2722,32.5847,6.9849,9.5526,0.579,0.5685,24769800000.0,1.2449,2.6584,9.0,2.0,1.5825,-5.4392
2008-04-15,15.32,20.3852,33.0627,7.0179,9.5504,0.5801,0.5719,24818400000.0,1.2449,2.6065,9.0,2.0,1.5825,-5.4392
2008-04-16,15.86,20.55,29.5712,7.2543,9.5483,0.6006,0.5753,25693200000.0,1.2449,2.607,9.0,2.0,1.5825,-5.4392
2008-04-17,16.05,20.55,28.0374,7.3412,9.5483,0.6078,0.5765,26001000000.0,1.2449,2.607,9.0,2.0,1.5825,-5.4392
2008-04-18,16.34,20.55,25.765,7.454,9.5483,0.6188,0.5777,26470800000.0,1.2449,2.5978,9.0,2.0,1.5825,-5.4392
2008-04-21,16.07,20.4694,27.3765,7.3265,9.5504,0.6085,0.5786,26033400000.0,1.7264,2.6084,9.0,2.0,1.5825,-5.4392
2008-04-22,15.97,20.451,28.0589,7.2657,9.5483,0.6048,0.5788,25871400000.0,1.7264,2.5911,9.0,2.0,1.5825,-5.4392
2008-04-23,15.93,20.451,28.3804,7.2472,9.544,0.6032,0.579,25806600000.0,1.7264,2.5963,9.0,2.0,1.5825,-5.4392
2008-04-24,15.89,20.2197,27.248,7.1732,9.5397,0.5904,0.5794,25741800000.0,1.5946,2.6078,9.0,2.0,1.5825,-5.4392
2008-04-25,15.34,19.9768,30.2269,6.8421,9.5397,0.57,0.579,24850800000.0,1.6865,2.605,9.0,2.0,1.5825,-5.4392
2008-04-28,15.71,19.9768,27.1598,6.9875,9.5483,0.5837,0.5794,25450200000.0,1.6865,2.5963,9.0,2.0,1.5825,-5.4392
2008-04-29,15.39,19.9768,29.8038,6.8379,9.544,0.5718,0.579,24931800000.0,1.6865,2.1845,10.0,2.0,1.5825,-6.4618
2008-04-30,15.59,20.1236,29.0802,6.9514,9.5397,0.5792,0.5791,25255800000.0,1.6865,2.2074,10.0,2.0,1.5825,-6.4618
2008-05-01,15.91,20.1236,26.484,7.0944,9.5397,0.5911,0.5792,25774200000.0,1.6865,2.2076,10.0,2.0,1.5825,-6.4618
2008-05-02,16.05,20.1236,25.3807,7.1569,9.5397,0.5963,0.5794,26001000000.0,1.6865,2.2076,10.0,2.0,1.5825,-6.4618
2008-05-05,16.07,20.1236,25.2246,7.1655,9.544,0.5971,0.5797,26033400000.0,1.6865,2.2076,10.0,2.0,1.5825,-6.4618
2008-05-06,15.87,20.0546,26.368,7.1265,9.5397,0.5896,0.5799,25709400000.0,1.6865,1.7065,10.0,2.0,1.5825,-6.4618
2008-05-07,15.4,20.0066,29.913,6.941,9.5397,0.5722,0.5797,24948000000.0,1.6865,1.5166,10.0,2.0,1.5825,-6.4618
2008-05-08,15.27,19.9465,30.6254,7.0213,9.5397,0.5674,0.5794,24737400000.0,8.4289,1.7325,12.0,2.0,1.5825,-6.4618
2008-05-09,15.37,19.9465,29.7755,7.1026,9.5397,0.5711,0.5792,24899400000.0,8.4289,1.5784,12.0,2.0,1.5825,-6.4618
2008-05-12,15.41,19.8993,29.1324,7.1748,9.5483,0.5726,0.5791,24964200000.0,8.4289,1.5473,12.0,2.0,1.5825,-6.4618
2008-05-13,15.23,19.8993,30.6586,7.1378,9.5483,0.5659,0.579,24672600000.0,8.4289,1.7019,13.0,2.0,1.5825,-6.4618
2008-05-14,15.23,19.8993,30.6586,7.1378,9.544,0.5659,0.5788,24672600000.0,8.4289,1.7019,13.0,2.0,1.5825,-6.4618
2008-05-15,15.46,19.8993,28.7147,7.262,9.544,0.5744,0.5786,25045200000.0,8.4289,1.7882,13.0,2.0,1.5825,-6.4618
2008-05-16,15.59,19.6046,25.7511,7.323,9.544,0.5792,0.5788,25255800000.0,8.4289,1.7882,13.0,2.0,1.5825,-6.4618
2008-05-19,15.27,19.6046,28.3864,7.1727,9.5504,0.5674,0.5786,24737400000.0,8.4289,1.7882,13.0,2.0,1.5825,-6.4618
2008-05-20,15.31,19.6046,28.0509,7.1915,9.5504,0.5688,0.5781,24802200000.0,8.4289,1.7882,13.0,2.0,1.5825,-6.4618
2008-05-21,14.93,19.5433,30.8995,6.994,9.5483,0.5547,0.5777,24186600000.0,8.4289,2.0039,14.0,2.0,1.5825,-6.4618
2008-05-22,14.89,19.5433,31.2512,6.9697,9.5483,0.5532,0.5765,24121800000.0,8.4289,1.9988,14.0,2.0,1.5825,-6.4618
2008-05-23,14.77,19.5433,32.3175,6.9135,9.5483,0.5488,0.5753,23927400000.0,8.4289,1.9988,14.0,2.0,1.5825,-6.4618
2008-05-27,14.65,19.5433,33.4014,6.857,9.5526,0.5443,0.5749,23733000000.0,8.4289,2.0145,14.0,2.0,1.5825,-6.4618
2008-05-28,14.98,19.5433,30.4626,7.0115,9.5504,0.5566,0.5744,24267600000.0,8.4289,2.0145,14.0,2.0,1.5825,-6.4618
2008-05-29,14.82,19.5433,31.8711,6.9366,9.5504,0.5506,0.5735,24008400000.0,8.4289,2.0145,14.0,2.0,1.5825,-6.4618
2008-05-30,14.91,19.5339,31.0121,6.9751,9.5504,0.554,0.5726,24154200000.0,8.4289,2.5215,15.0,2.0,1.5825,-6.4618
2008-06-02,15.09,19.5339,29.4493,7.0593,9.5526,0.5607,0.5724,24445800000.0,8.4289,2.4648,15.0,2.0,1.5825,-6.4618
2008-06-03,14.72,19.5339,32.7031,6.8862,9.5504,0.5469,0.5722,23846400000.0,8.4289,2.4648,15.0,2.0,1.5825,-6.4618
2008-06-04,14.42,19.5339,35.4639,6.7298,9.5504,0.5358,0.572,23360400000.0,8.4289,2.9196,16.0,2.0,1.5825,-6.4618
2008-06-05,14.77,19.4139,31.4414,6.8996,9.5504,0.5488,0.5718,23927400000.0,8.4289,2.9509,16.0,2.0,1.5825,-6.4618
2008-06-06,14.0,19.4139,38.6707,6.5277,9.5504,0.5202,0.5714,22680000000.0,8.4289,2.9716,16.0,2.0,1.5825,-6.4618
2008-06-09,13.85,19.4139,40.1726,6.4578,9.5535,0.5146,0.5711,22437000000.0,8.4289,2.9716,16.0,2.0,1.5825,-6.4618
2008-06-10,13.76,19.4139,41.0894,6.4158,9.5526,0.5112,0.5706,22291200000.0,8.4289,2.9716,16.0,2.0,1.5825,-6.4618
2008-06-11,13.69,19.4139,41.8108,6.3832,9.5504,0.5086,0.57,22177800000.0,8.4289,2.9716,16.0,2.0,1.5825,-6.4618
