date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2024-04-12,72.73,86.6,19.0705,131.5904,79.2667,27.5423,27.717,11307551871.84,76.233,164.3579,6.0,1.0,20.0,195.5986
2024-04-15,71.3,86.0909,20.7446,130.0383,79.75,26.959,27.68,11085225470.4,76.253,163.817,7.0,1.0,20.0,195.5986
2024-04-16,74.52,86.0909,15.5272,135.911,80.2333,28.1766,27.717,11585848556.16,76.253,163.817,7.0,1.0,20.0,195.5986
2024-04-17,73.21,86.0909,17.5945,142.9883,81.3333,27.6812,27.6991,11382178915.68,76.253,161.9513,7.0,1.0,20.0,195.5986
2024-04-18,70.92,86.0909,21.3916,138.5156,82.4333,26.8154,27.6812,11026145727.36,76.253,161.9513,7.0,1.0,20.0,195.5986
2024-04-19,64.49,86.0909,33.495,125.957,85.6166,24.3841,27.6622,10026454285.92,76.253,161.9513,7.0,1.0,20.0,195.5986
2024-04-22,65.79,86.0909,30.8571,128.4961,88.8,24.8757,27.6431,10228569196.32,76.253,161.9513,7.0,1.0,20.0,195.5986
2024-04-23,71.72,86.0909,20.0375,140.0781,90.7222,27.1179,27.5927,11150524133.76,76.253,161.9513,7.0,1.0,20.0,195.5986
2024-04-24,70.99,86.0909,21.2719,138.6523,92.6444,26.8418,27.5423,11037028837.92,76.253,161.9513,7.0,1.0,20.0,195.5986
2024-04-25,71.59,86.0909,20.2555,139.8242,93.5444,27.0687,27.375,11130312642.72,76.253,161.9513,7.0,1.0,20.0,195.5986
2024-04-26,85.0,86.0909,1.2834,166.0156,94.4444,32.1391,27.5423,13215205680.0,76.253,161.9513,7.0,1.0,20.0,195.5986
2024-04-29,85.7,86.0909,0.4561,167.3828,101.9976,32.4038,27.5927,13324036785.6,76.253,161.9513,7.0,1.0,20.0,195.5986
2024-04-30,84.76,86.0909,1.5702,165.5469,109.5507,32.0484,27.6431,13177892158.08,76.253,161.9513,7.0,1.0,20.0,195.5986
2024-05-01,74.83,86.6364,15.7776,146.1523,117.7538,28.2938,27.6622,11634045188.64,76.253,161.9513,7.0,1.0,20.0,195.5986
2024-05-02,79.06,86.6364,9.5831,154.4141,125.957,29.8932,27.6812,12291696012.48,76.253,161.9513,7.0,1.0,20.0,195.5986
2024-05-03,76.96,86.6364,12.5733,150.3125,127.2266,29.0991,27.6991,11965202695.68,76.253,161.9513,7.0,1.0,20.0,195.5986
2024-05-06,78.11,86.6364,10.9159,152.5586,128.4961,29.534,27.717,12143996654.88,76.253,161.9513,7.0,1.0,20.0,195.5986
2024-05-07,76.19,86.6364,13.711,148.8086,129.2672,28.8076,27.7228,11845335490.0,76.253,161.9513,7.0,1.0,20.0,195.5986
2024-05-08,69.26,87.7273,26.6637,109.4674,128.4961,24.8006,27.717,10767921460.0,81.9721,187.4922,7.0,1.0,20.0,206.9506
2024-05-09,70.06,87.7273,25.2174,110.7318,127.2266,25.0871,27.6991,10892298260.0,81.9721,187.4922,7.0,1.0,20.0,206.9506
