date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2024-11-20,8.05,21.25,163.9752,11.4682,5.6823,171686.9293,169.1818,572232535.35,-26.2419,0.2771,6.0,1.0,3.0,38.7882,320.2756109126984,221.52606974146784,203.98568174603173,26.31970799653343,541.8016806541663,177.6659737494983
2024-11-21,8.4,21.25,152.9762,11.4682,5.6823,179151.5784,170.3218,597112210.8,-26.2419,0.2771,6.0,1.0,3.0,38.7882,320.1298537698413,221.61208580370908,203.7841587301588,26.61299957675805,541.7419395735503,177.17115915340068
2024-11-22,8.68,21.25,144.8157,11.4682,5.6823,185123.2977,171.5082,617015951.16,-26.2419,0.2771,6.0,1.0,3.0,38.7882,319.9604944444444,221.71356138908047,203.4997857142857,27.050059677280466,541.674055833525,176.44972603700526
2024-11-25,8.57,21.25,147.958,11.4682,5.6823,182777.2651,172.8001,609196624.59,-26.2419,0.2771,6.0,1.0,3.0,38.7882,319.83747837301587,221.7919030145183,203.1253095238096,27.48971941097521,541.6293813875342,175.63559011283434
2024-11-26,8.43,21.25,152.0759,11.4682,5.6823,179791.4055,173.0639,599244754.41,-26.2419,0.2771,6.0,1.0,3.0,38.7882,319.7193121031746,221.8655203405852,202.74248015873013,27.862555168661764,541.5848324437599,174.87992499006836
2024-11-27,8.73,21.25,143.4135,11.4682,5.6823,217210.4272,173.6755,620570190.51,-26.2419,0.2633,6.0,1.0,3.0,38.7882,319.57239484126984,221.9578674141215,202.34861984126985,28.34734407610277,541.5302622553913,174.0012757651671
2024-11-29,8.57,21.25,147.958,11.4682,5.6823,213229.4801,174.9996,609196624.59,-26.2419,0.2633,6.0,1.0,3.0,38.7882,319.4317103174604,222.04428158523075,202.14257142857144,28.64839246561336,541.475991902691,173.49417896295805
2024-12-02,8.85,21.25,140.113,11.4682,5.6823,220196.1375,176.5672,629100364.95,-26.2419,0.2633,6.0,1.0,3.0,38.7882,319.30288035714284,222.12960148626016,201.86845634920635,29.075589769788568,541.432481843403,172.7928665794178
2024-12-03,8.79,21.25,141.752,11.4682,5.6823,218703.2824,177.4223,624835277.73,-26.2419,0.2633,6.0,1.0,3.0,38.7882,319.2291849206349,222.18243212712508,201.57485873015875,29.494702829798378,541.41161704776,172.08015590036038
2024-12-04,9.85,21.25,115.736,11.4682,5.6823,245077.057,178.2773,700185151.95,-26.2419,0.1577,6.0,1.0,3.0,38.7882,319.1469496031746,222.25018877570355,201.0505412698413,30.421678191561263,541.3971383788781,170.62886307828003
2024-12-05,9.14,21.25,132.4945,11.4682,5.6823,227411.6042,178.7048,649714953.18,-26.2419,0.1577,6.0,1.0,3.0,38.7882,319.12013194444444,222.27193607323443,200.46980555555555,31.025271796446813,541.3920680176789,169.44453375910874
2024-12-06,9.11,21.25,133.2602,11.4682,5.6823,226665.1766,179.5598,647582409.57,-26.2419,0.1577,6.0,1.0,3.0,38.7882,319.0851240079365,222.29987054918905,199.79375396825395,31.55407480948365,541.3849945571255,168.2396791587703
2024-12-09,9.64,21.25,120.4357,11.4682,5.6823,239852.0639,180.8424,685257346.68,-26.2419,0.1577,6.0,1.0,3.0,38.7882,318.9879378968254,222.37612700324027,198.9351753968254,32.228126487153006,541.3640649000656,166.70704890967238
2024-12-10,9.01,22.8571,153.6859,11.4682,5.6823,192161.3954,181.4124,640473930.87,29.3636,-1.6761,5.0,1.0,3.0,38.7882,318.95306666666664,222.4007150375331,198.4290325396825,32.43498973105856,541.3537817041997,165.994042808624
2024-12-11,8.74,22.8571,161.5229,11.4682,5.6823,186402.9518,181.9825,621281038.38,29.3636,-1.6761,5.0,1.0,3.0,38.7882,318.93998531746035,222.40979845182991,197.9455976190476,32.528125063530695,541.3497837692903,165.41747255551692
2024-12-12,8.59,22.8571,166.0896,11.4682,5.6823,183203.8165,181.9825,610618320.33,29.3636,-1.6761,5.0,1.0,3.0,38.7882,318.9227970238095,222.4212981612856,197.5874492063492,32.62911534261782,541.3440951850951,164.9583338637314
2024-12-13,9.03,22.8571,153.124,11.4682,5.6823,192587.9468,182.3388,641895626.61,29.3636,-1.6761,5.0,1.0,3.0,38.7882,318.9041234126984,222.4348485853102,196.9242738095238,32.6772619678945,541.3389719980087,164.2470118416293
