date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2006-08-25,12.18,16.4444,35.0115,14.6061,17.0419,1.5776,1.7578,2928165310.98,9.605,17.2335,1.0,5.0,12.6,29.7758
2006-08-28,12.44,16.2962,30.9984,14.9179,17.0419,1.6112,1.7594,2990671302.84,9.605,17.2335,1.0,5.0,12.6,29.7758
2006-08-29,12.56,16.2962,29.7468,15.0618,17.0419,1.6268,1.7582,3019520222.16,9.605,17.2335,1.0,5.0,12.6,29.7758
2006-08-30,12.68,16.2962,28.5189,15.2057,17.0419,1.6423,1.7578,3048369141.48,9.605,17.2335,1.0,5.0,12.6,29.7758
2006-08-31,12.71,16.2962,28.2156,15.2416,17.0419,1.6462,1.7578,3055581371.31,9.605,17.2335,1.0,5.0,12.6,29.7758
2006-09-01,12.76,16.2962,27.7132,15.3016,17.0419,1.6527,1.7578,3067601754.36,9.605,17.2335,1.0,5.0,12.6,29.7758
2006-09-05,12.91,16.2962,26.2293,15.4815,17.0419,1.6721,1.7594,3103662903.51,9.605,17.2335,1.0,5.0,12.6,29.7758
2006-09-06,12.63,16.2962,29.0277,15.1457,17.0419,1.6359,1.7582,3036348758.43,9.605,17.2335,1.0,5.0,12.4,29.7758
2006-09-07,12.62,16.2962,29.13,15.1337,17.0419,1.6346,1.7582,3033944681.82,9.605,17.2335,1.0,5.0,12.4,29.7758
2006-09-08,12.74,16.2962,27.9137,15.2776,17.0419,1.6501,1.7582,3062793601.14,9.605,17.2335,1.0,5.0,12.4,29.7758
2006-09-11,12.74,16.2962,27.9137,15.2776,17.0422,1.6501,1.7607,3062793601.14,9.605,17.2335,1.0,5.0,12.4,29.7758
2006-09-12,12.77,16.2962,27.6132,15.3136,17.0419,1.654,1.7594,3070005830.97,9.605,17.2335,1.0,5.0,12.4,29.7758
2006-09-13,13.02,16.2962,25.1628,15.6134,17.0419,1.6864,1.7582,3130107746.22,9.605,17.2335,1.0,5.0,12.4,29.7758
2006-09-14,12.87,16.2962,26.6216,15.4335,17.0419,1.6669,1.7582,3094046597.07,9.605,17.2335,1.0,5.0,12.4,29.7758
2006-09-15,12.87,16.2962,26.6216,15.4335,17.0419,1.6669,1.7582,3094046597.07,9.605,17.2335,1.0,5.0,12.4,29.7758
2006-09-18,12.97,16.2962,25.6453,15.5534,17.0422,1.6799,1.7607,3118087363.17,9.605,17.2335,1.0,5.0,12.4,29.7758
2006-09-19,12.89,16.2962,26.4251,15.4575,17.0419,1.6695,1.7594,3098854750.29,9.605,17.2335,1.0,5.0,12.4,29.7758
2006-09-20,12.99,16.2962,25.4519,15.5774,17.0419,1.6825,1.7582,3122895516.39,9.605,17.2335,1.0,5.0,12.4,29.7758
2006-09-21,12.73,16.2962,28.0141,15.2656,17.0419,1.6488,1.7582,3060389524.53,9.605,17.2335,1.0,5.0,12.4,29.7758
2006-09-22,12.71,16.2962,28.2156,15.2416,17.0419,1.6462,1.7582,3055581371.31,9.605,17.2335,1.0,5.0,12.4,29.7758
2006-09-25,12.8,16.2962,27.3141,15.3496,17.0422,1.6579,1.7607,3077218060.8,9.605,17.2335,1.0,5.0,12.4,29.7758
2006-09-26,13.01,16.1974,24.4996,15.6182,17.0419,1.6851,1.7594,3127703669.61,9.605,17.2332,1.0,6.0,13.3333,29.4159
2006-09-27,12.86,16.1974,25.9518,15.4382,17.0419,1.6656,1.7582,3091642520.46,9.605,17.2332,1.0,6.0,13.3333,29.4159
