date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2002-05-03,16.879999,17.5,3.673,13.3968,9.5833,0.2794,0.1758,5501191674.1,12.5654,10.7477,1.0,1.0,13.0,2.7437,14.858584343434345,17.942929946439904,11.257396825396826,10.317962853415889,32.80151428987425,0.9394339719809376
2002-05-06,16.950001,17.5,3.2448,13.4524,9.5833,0.2805,0.1753,5524005325.9,12.5654,10.7477,1.0,1.0,13.0,2.7437,14.80022361809045,17.916487385329795,11.110319841269842,10.298881209257804,32.716711003420244,0.8114386320120381
2002-05-07,17.110001,17.5,2.2794,13.5794,9.5833,0.2832,0.1756,5576149325.9,12.5654,10.7477,1.0,1.0,13.0,2.7437,14.7376195,17.893331366970507,10.967434126984127,10.29549178893492,32.63095086697051,0.6719423380492078
2002-05-08,17.690001,17.5,-1.0741,14.0397,9.5833,0.2928,0.1758,5765171325.9,12.5654,10.7477,1.0,1.0,13.0,2.7437,14.658954228855722,17.883352148657544,10.83348253968254,10.341756595388087,32.54230637751326,0.491725944294453
2002-05-09,18.27,17.5,-4.2146,14.5,9.5833,0.3024,0.1758,5954193000.0,12.5654,10.7477,1.0,1.0,13.0,2.7437,14.565520792079209,17.888168974702964,10.728807936507936,10.427118195042045,32.453689766782176,0.3016897414658928
2002-05-10,18.23,18.0,-1.2617,14.4683,9.5833,0.3017,0.1758,5941157000.0,12.5814,10.7837,1.0,1.0,13.0,2.7437,14.48755418719212,17.878380572954743,10.62246746031746,10.480825577648597,32.365934760146864,0.1416418826688659
2002-05-13,18.1,18.0,-0.5525,14.3651,9.5833,0.2996,0.1753,5898790000.0,12.5814,10.7837,1.0,1.0,13.0,2.7437,14.413828431372549,17.8653510257806,10.49181984126984,10.51693637669086,32.27917945715315,-0.0251165354210201
2002-05-14,18.09,18.0,-0.4975,14.3571,9.5833,0.2994,0.1756,5895531000.0,12.5814,10.7837,1.0,1.0,13.0,2.7437,14.34109024390244,17.85191383836902,10.373984126984126,10.556467379341743,32.19300408227146,-0.1824832523576169
2002-05-15,18.43,18.0,-2.3332,14.627,9.5833,0.305,0.1758,6006337000.0,12.5814,10.7837,1.0,1.0,13.0,2.7437,14.26014708737864,17.84617348269114,10.233366666666669,10.607073212290013,32.10632057006978,-0.3737065456233424
2002-05-16,18.42,18.0,-2.2801,14.619,9.5833,0.3049,0.1758,6003078000.0,12.5814,10.7837,1.0,1.0,13.0,2.7437,14.180242512077294,17.839885125645907,10.098115873015873,10.657402397570731,32.0201276377232,-0.5592865245548584
2002-05-17,18.41,18.0,-2.2271,14.6111,9.5833,0.3047,0.1758,5999819000.0,12.5814,10.7837,1.0,1.0,13.0,2.7437,14.101361057692309,17.833065949545613,9.968988888888893,10.707670880801103,31.93442700723792,-0.7386819919122143
2002-05-20,18.450001,18.0,-2.439,14.6429,9.5833,0.3053,0.1753,6012855325.9,12.5814,10.7837,1.0,1.0,13.0,2.7437,14.02222057416268,17.8268987622909,9.83083492063492,10.754844912639658,31.849119336453576,-0.9240099920047378
2002-05-21,17.73,18.0,1.5228,14.0714,9.5833,0.2934,0.1756,5778207000.0,12.5814,10.7837,1.0,1.0,13.0,2.7437,13.962699523809524,17.80510409967968,9.729033333333332,10.772421353348577,31.767803623489208,-1.043388020015243
2002-05-22,17.860001,18.0,0.7839,14.1746,9.5833,0.2956,0.1758,5820574325.9,12.5814,10.7837,1.0,1.0,13.0,2.7437,13.90024075829384,17.785815591488234,9.62783253968254,10.796247789204038,31.68605634978207,-1.168415249521498
2002-05-23,17.799999,18.0,1.1236,14.127,9.5833,0.2946,0.1758,5801019674.1,12.5814,10.7837,1.0,1.0,13.0,2.7437,13.83997358490566,17.765304082653824,9.510487301587302,10.807776249682348,31.605277667559484,-1.297288948095046
2002-05-24,17.84,18.0,0.8969,14.1587,9.5833,0.2953,0.1758,5814056000.0,12.5814,10.7837,1.0,1.0,13.0,2.7437,13.779207981220658,17.74552944108507,9.387142063492064,10.816758987692056,31.524737422305726,-1.4296169241999923
2002-05-28,17.450001,18.0,3.1519,13.8492,9.5833,0.2888,0.1753,5686955325.9,12.5814,10.7837,1.0,1.0,13.0,2.7437,13.729547663551402,17.718723118988816,9.29663888888889,10.820876385195236,31.44827078254022,-1.5242374963063463
2002-05-29,16.879999,18.0,6.6351,13.2569,9.5833,0.2794,0.1756,5501191674.1,12.5814,10.9029,1.0,1.0,13.0,0.17,13.69655023255814,17.683895971336035,9.23541111111111,10.813879124926258,31.380446203894174,-1.5784680138151472
