date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2021-07-15,40.78,49.6667,21.7918,151.149,32.1998,3.5406,4.084,588659300.0,13.3959,396.7223,3.0,2.0,15.0,53.0598
2021-07-16,40.68,49.6667,22.0912,150.7784,32.2122,3.5319,4.082,587215800.0,13.3959,396.7223,3.0,2.0,15.0,53.0598
2021-07-19,40.14,49.6667,23.7337,148.7769,32.252,3.485,4.0716,579420900.0,13.3959,396.7223,3.0,2.0,15.0,53.0598
2021-07-20,40.32,49.6667,23.1813,149.444,32.252,3.5007,4.0634,582019200.0,13.3959,396.7223,3.0,2.0,15.0,53.0598
2021-07-21,40.85,49.6667,21.5831,151.4085,32.252,3.5467,4.0551,589669750.0,13.3959,396.7223,3.0,2.0,15.0,53.0598
2021-07-22,39.99,49.6667,24.1978,148.2209,32.2799,3.472,4.0543,577255650.0,13.3959,396.7223,3.0,2.0,15.0,53.0598
2021-07-23,40.28,49.6667,23.3036,149.2958,32.2984,3.4972,4.0517,581441800.0,13.3959,396.7223,3.0,2.0,15.0,53.0598
2021-07-26,40.73,49.6667,21.9413,150.9637,32.3937,3.5362,4.0498,587937550.0,13.3959,396.7223,3.0,2.0,15.0,53.0598
2021-07-27,41.14,49.6667,20.7261,152.4833,32.4016,3.5718,4.0496,593855900.0,13.3959,396.7223,3.0,2.0,15.0,53.0598
2021-07-28,41.71,49.6667,19.0762,154.596,32.4094,3.6213,4.0493,602083850.0,13.3959,396.7223,3.0,2.0,15.0,53.0598
2021-07-29,41.13,49.6667,20.7554,152.4463,32.4676,3.571,4.0488,593711550.0,13.3959,396.7223,3.0,2.0,15.0,53.0598
2021-07-30,40.13,49.6667,23.7645,148.7398,32.5354,3.4842,4.048,579276550.0,13.3959,396.7223,3.0,2.0,15.0,53.0598
2021-08-02,40.25,49.6667,23.3955,149.1846,32.608,3.4946,4.0428,581008750.0,13.3959,396.7223,3.0,2.0,15.0,53.0598
2021-08-03,40.86,49.6667,21.5534,151.4455,32.6299,3.5475,4.0394,589814100.0,13.3959,396.7223,3.0,2.0,15.0,53.0598
2021-08-04,40.05,49.6667,24.0117,148.4433,32.6367,3.4772,4.0336,578121750.0,13.3959,396.7223,3.0,2.0,15.0,53.0598
2021-08-05,41.09,49.6667,20.873,152.298,32.6464,3.615,4.0232,601023430.0,13.3959,396.7223,3.0,2.0,15.0,53.0598
2021-08-06,40.47,49.6667,22.7247,12646.875,32.6865,3.5012,4.0178,591954690.0,13.9972,6342.2245,3.0,2.0,15.0,51.7541
2021-08-09,40.67,49.6667,22.1212,12709.375,32.7721,3.5185,4.0083,594880090.0,13.9972,6342.2245,3.0,2.0,15.0,51.7541
2021-08-10,40.38,49.6667,22.9983,12618.75,32.8023,3.4934,4.0076,590638260.0,13.9972,6342.2245,3.0,2.0,15.0,51.7541
2021-08-11,40.43,49.6667,22.8462,12634.375,32.8365,3.4977,3.9969,591369610.0,13.9972,6342.2245,3.0,2.0,15.0,51.7541
2021-08-12,40.69,49.6667,22.0612,12715.625,32.871,3.5202,3.9832,595172630.0,13.9972,6342.2245,3.0,2.0,15.0,51.7541
2021-08-13,41.84,49.6667,18.7063,13075.0,32.9144,3.6197,3.9763,611993680.0,13.9972,6342.2245,3.0,2.0,15.0,51.7541
2021-08-16,42.35,49.6667,17.2767,13234.375,33.113,3.6638,3.9653,619453450.0,13.9972,6342.2245,3.0,2.0,15.0,51.7541
2021-08-17,42.45,49.6667,17.0005,13265.625,33.1485,3.6724,3.9593,620916150.0,13.9972,6342.2245,3.0,2.0,15.0,51.7541
2021-08-18,41.6,49.6667,19.3911,13000.0,33.1992,3.5989,3.9588,608483200.0,13.9972,6342.2245,3.0,2.0,15.0,51.7541
2021-08-19,41.42,49.6667,19.9099,12943.75,33.3348,3.5833,3.954,605850340.0,13.9972,6342.2245,3.0,2.0,15.0,51.7541
2021-08-20,43.05,49.6667,15.3698,13453.125,33.4473,3.7244,3.9496,629692350.0,13.9972,6342.2245,3.0,2.0,15.0,51.7541
2021-08-23,43.09,49.6667,15.2627,13465.625,34.1403,3.7278,3.9284,630277430.0,13.9972,6342.2245,3.0,2.0,15.0,51.7541
2021-08-24,42.1,49.6667,17.9732,13156.25,34.1773,3.6422,3.9237,615796700.0,13.9972,6342.2245,3.0,2.0,15.0,51.7541
2021-08-25,41.63,49.6667,19.3051,13009.375,34.2143,3.6015,3.9188,608922010.0,13.9972,6342.2245,3.0,2.0,15.0,51.7541
2021-08-26,41.21,49.6667,20.521,12878.125,34.8488,3.5652,3.9125,602778670.0,13.9972,6342.2245,3.0,2.0,15.0,51.7541
2021-08-27,42.16,49.6667,17.8053,13175.0,35.0459,3.6474,3.9058,616674320.0,13.9972,6342.2245,3.0,2.0,15.0,51.7541
2021-08-30,42.97,49.6667,15.5846,13428.125,35.1506,3.7174,3.8802,628522190.0,13.9972,6342.2245,3.0,2.0,15.0,51.7541
2021-08-31,43.13,49.6667,15.1558,13478.125,35.28,3.7313,3.8741,630862510.0,13.9972,6342.2245,3.0,2.0,15.0,51.7541
2021-09-01,43.3,49.6667,14.7037,13531.25,35.4094,3.746,3.8718,633349100.0,13.9972,6342.2245,3.0,2.0,15.0,51.7541
2021-09-02,42.49,49.6667,16.8903,13278.125,35.4217,3.6759,3.8648,621501230.0,13.9972,6342.2245,3.0,2.0,15.0,51.7541
2021-09-03,40.57,49.6667,22.4222,12678.125,35.4833,3.5098,3.8582,593417390.0,13.9972,6342.2245,3.0,2.0,15.0,51.7541
2021-09-07,40.07,49.6667,23.9498,12521.875,35.6065,3.4665,3.8522,586103890.0,13.9972,6342.2245,3.0,2.0,15.0,51.7541
2021-09-08,39.94,49.6667,24.3533,12481.25,35.7033,3.4553,3.85,584202380.0,13.9972,6342.2245,3.0,2.0,15.0,51.7541
2021-09-09,39.7,49.6667,25.105,12406.25,35.8714,3.4345,3.8471,580691900.0,13.9972,6342.2245,3.0,2.0,15.0,51.7541
