date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2008-11-21,4.35,6.1667,41.7632,8.5951,12.2168,0.3365,0.5043,792565797.9,1.1863,1.7103,2.0,2.0,11.5,95.1749,10.516773015873015,11.116856870861575,13.038200793650796,10.77968569171822,21.63362988673459,2.258515101932573
2008-11-24,4.67,5.7778,23.7216,9.2274,12.2168,0.3613,0.5039,850869488.78,1.1863,1.7103,2.0,2.0,11.5,95.1749,10.534938293650796,11.130958148700971,13.159892063492064,10.813270494443932,21.66589644235177,2.346621569048132
2008-11-25,4.98,5.7778,16.0201,9.84,12.2168,0.3853,0.5039,907351189.32,1.1863,1.7103,2.0,2.0,11.5,95.1749,10.537822817460317,11.13219323329032,13.21900476190476,10.808346102273571,21.67001605075064,2.4106586596311885
2008-11-26,5.24,5.7778,10.2634,10.3537,12.2078,0.4054,0.5039,954722938.16,1.1863,1.7103,2.0,2.0,11.5,95.1749,10.522779761904763,11.127420792426085,13.249576984126984,10.794374894895084,21.650200554330844,2.4552020892319
2008-11-28,5.46,5.7778,5.8205,10.7884,12.1966,0.4224,0.5039,994806725.64,1.1863,1.7103,2.0,2.0,11.5,95.1749,10.495324206349206,11.121905620222554,13.244888095238096,10.797496952153882,21.61722982657176,2.4473911430842143
2008-12-01,4.81,5.7778,20.1206,9.5041,12.1809,0.3721,0.5039,876377353.54,1.1863,1.7103,2.0,2.0,11.5,95.1749,10.501014087301588,11.126102371551593,13.349469841269842,10.799788831492885,21.62711645885318,2.5496810097769576
2008-12-02,5.11,5.7778,13.0685,10.0968,12.1796,0.3953,0.5038,931037063.74,1.1863,1.7103,2.0,2.0,11.5,95.1749,10.492711706349205,11.12261471586318,13.383696825396823,10.791945256895309,21.615326422212384,2.591751568501518
2008-12-03,5.31,5.7778,8.8098,10.492,12.1718,0.4108,0.5038,967476870.54,1.1863,1.7103,2.0,2.0,11.5,95.1749,10.477122619047618,11.119449790404014,13.40133015873016,10.782563762877476,21.596572409451632,2.618766395852685
2008-12-04,5.13,5.7778,12.6277,10.1363,12.1632,0.3969,0.5038,934681044.42,1.1863,1.7103,2.0,2.0,11.5,95.1749,10.471778174603177,11.117764056813828,13.411079365079363,10.78129438073398,21.589542231417003,2.6297849843453847
2008-12-05,5.35,5.7778,7.9963,10.571,12.154,0.4139,0.5038,974764831.9,1.1863,1.7103,2.0,2.0,11.5,95.1749,10.457244444444443,11.116199605444296,13.390169047619048,10.789281520986908,21.57344404988874,2.6008875266321407
2008-12-08,5.3,5.7778,9.0151,10.4722,12.145,0.41,0.5038,965654880.2,1.1863,1.7103,2.0,2.0,11.5,95.1749,10.444732142857143,11.1142627148216,13.396592857142858,10.786410627385916,21.558994857678744,2.6101822297569406
2008-12-09,5.12,5.6666,10.6758,10.66,12.1443,0.4088,0.5037,932859054.08,-0.9172,-0.2725,2.0,2.0,11.5,95.1749,10.432459126984126,11.11057760872219,13.39996507936508,10.78548568222526,21.54303673570632,2.614479397139821
2008-12-10,4.72,5.2222,10.6398,11.4037,12.1414,0.391,0.5036,859979440.48,-2.8126,-5.5093,2.0,2.0,11.5,95.1749,10.416975992063492,11.104827707352268,13.406048412698414,10.78369664150252,21.52180369941576,2.622351771195893
2008-12-11,4.55,5.2222,14.7736,10.993,12.1386,0.3769,0.5034,829005604.7,-2.8126,-5.5093,2.0,2.0,11.5,95.1749,10.40969484126984,11.100756907928355,13.461061111111112,10.7727598668415,21.5104517491982,2.688301244269613
2008-12-12,4.77,5.2222,9.4801,11.5245,12.1262,0.3951,0.5032,869089392.18,-2.8126,-5.5093,2.0,2.0,11.5,95.1749,10.387453571428573,11.091344815805163,13.493737301587302,10.75422807909674,21.47879838723373,2.739509222490561
2008-12-15,4.68,5.2222,11.5855,11.3071,12.1118,0.3877,0.5032,852691479.12,-2.8126,-5.5093,2.0,2.0,11.5,95.1749,10.36730753968254,11.079900451073916,13.52056111111111,10.745144045247176,21.447207990756457,2.775417065863934
2008-12-16,5.0,5.2222,4.444,12.0802,12.111,0.4142,0.5031,910995170.0,-2.8126,-5.5093,2.0,2.0,11.5,95.1749,10.33214880952381,11.070503336255754,13.492151587301588,10.76450862958606,21.40265214577956,2.727642957715526
2008-12-17,5.07,5.2222,3.002,12.2493,12.1118,0.42,0.503,923749102.38,-2.8126,-5.5093,2.0,2.0,11.5,95.1749,10.291995238095238,11.060291262649857,13.45373888888889,10.793429076788843,21.35228650074509,2.6603098121000457
2008-12-18,4.75,5.2222,9.9411,11.4762,12.1102,0.3935,0.503,865445411.5,-2.8126,-5.5093,2.0,2.0,11.5,95.1749,10.274327777777778,11.053710809804146,13.473265873015873,10.784758615254276,21.32803858758192,2.6885072577615965
2008-12-19,4.65,5.2222,12.3054,11.2346,12.0976,0.3852,0.503,847225508.1,-2.8126,-5.5093,2.0,2.0,11.5,95.1749,10.262942063492064,11.048646285148694,13.499970634920636,10.777608748979809,21.31158834864076,2.722361885940826
2008-12-22,4.67,5.2222,11.8244,11.2829,12.0916,0.3868,0.5024,850869488.78,-2.8126,-5.5093,2.0,2.0,11.5,95.1749,10.25638015873016,11.046730914521977,13.513960317460318,10.774253557677582,21.303111073252136,2.7397067597827363
2008-12-23,4.57,5.2222,14.2713,11.0413,12.0916,0.3786,0.5024,832649585.38,-2.8126,-5.5093,2.0,2.0,11.5,95.1749,10.258369642857144,11.047364758565628,13.567853968253967,10.760808456153258,21.30573440142277,2.8070455121007107
2008-12-24,4.59,5.2222,13.7734,11.0896,12.0916,0.3802,0.5024,836293566.06,-2.8126,-5.5093,2.0,2.0,11.5,95.1749,10.259734325396826,11.047757176110364,13.564671428571428,10.760686931097498,21.30749150150719,2.8039844974739303
2008-12-26,4.67,5.2222,11.8244,11.2829,12.085,0.3868,0.5022,850869488.78,-2.8126,-5.5093,2.0,2.0,11.5,95.1749,10.261149603174603,11.047912145229391,13.527930952380952,10.758646710254483,21.309061748403995,2.769284242126469
2008-12-29,4.57,5.2222,14.2713,11.0413,12.0754,0.3786,0.5016,832649585.38,-2.8126,-5.5093,2.0,2.0,11.5,95.1749,10.268464682539683,11.049347133466624,13.503851587301588,10.753518829977134,21.31781181600631,2.750332757324454
2008-12-30,4.77,5.2222,9.4801,11.5245,12.0737,0.3951,0.5016,869089392.18,-2.8126,-5.5093,2.0,2.0,11.5,95.1749,10.266619444444444,11.049401088128729,13.445138095238097,10.755144720966449,21.316020532573173,2.689993374271649
2008-12-31,4.92,5.2222,6.1423,11.8869,12.0734,0.4076,0.5016,896419247.28,-2.8126,-5.5093,2.0,2.0,11.5,95.1749,10.255351984126984,11.050708136662797,13.326680952380952,10.752710968820356,21.30606012078978,2.5739699835605965
2009-01-02,5.0,5.2222,4.444,12.0802,12.0731,0.4142,0.5016,910995170.0,-2.8126,-5.5093,2.0,2.0,11.5,95.1749,10.275300396825395,11.031068673572516,13.178146825396826,10.74506059924955,21.30636907039792,2.4330862261472763
2009-01-05,4.98,5.2222,4.8635,12.0319,12.0718,0.4125,0.5014,907351189.32,-2.8126,-5.5093,2.0,2.0,11.5,95.1749,10.29516765873016,11.012233624382354,13.045900793650794,10.74403114130607,21.30740128311251,2.301869652344724
2009-01-06,5.14,5.2222,1.5992,12.4185,12.0724,0.4258,0.5014,936503034.76,-2.8126,-5.5093,2.0,2.0,11.5,95.1749,10.305130753968252,11.00206525131988,12.922948412698412,10.785929122991336,21.307196005288134,2.1370192897070748
2009-01-07,5.1,5.2222,2.3961,12.3218,12.0731,0.4225,0.5014,929215073.4,-2.8126,-5.5093,2.0,2.0,11.5,95.1749,10.316991666666668,10.99028047324028,12.774644444444444,10.801296224298456,21.30727213990695,1.973348220145988
