date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2002-01-25,43.13,46.2251,7.1762,15.7714,12.914,1.5189,1.289,9514478000.0,3.0677,5.2992,1.0,1.0,12.0,870.8343,15.318176153846156,10.211437619200456,15.787449206349208,10.001351462651405,25.529613773046613,5.786097743697804
2002-01-28,42.53,46.2251,8.6882,15.1839,12.9215,1.544,1.2891,9382118000.0,3.0519,5.4735,1.0,1.0,12.0,956.1707,15.26756564885496,10.188567179296689,15.771445238095238,10.011158419576484,25.45613282815165,5.760286818518754
2002-01-29,42.17,46.2251,9.6161,15.0553,12.9235,1.5309,1.2891,9302702000.0,3.0519,5.4735,1.0,1.0,12.0,956.1707,15.224751515151516,10.161517833477143,15.74429126984127,10.023265945421342,25.38626934862866,5.721025324419928
2002-01-30,42.43,46.2251,8.9444,15.1482,12.9241,1.5403,1.2891,9360058000.0,3.0519,5.4735,1.0,1.0,12.0,956.1707,15.177530827067669,10.137591499315654,15.72241507936508,10.03516255042492,25.315122326383324,5.68725252894016
2002-01-31,42.76,46.2251,8.1036,15.3399,12.9302,1.5845,1.2891,9432856000.0,2.5455,9.0463,1.0,1.0,12.0,956.1707,15.124740298507463,10.11787949436908,15.681620634920636,10.055746040518862,25.242619792876543,5.625874594401774
2002-02-01,43.16,46.2251,7.1017,15.4834,12.9374,1.5993,1.2896,9521096000.0,2.5455,9.0463,1.0,1.0,12.0,956.1707,15.065310370370373,10.103678927080642,15.628165873015874,10.083493812318528,25.168989297451013,5.544672060697346
2002-02-04,42.65,46.2251,8.3824,15.3694,12.9452,1.5804,1.291,9408590000.0,2.5455,9.0504,1.0,1.0,12.0,956.1707,15.016171323529411,10.082486771668746,15.572639682539682,10.104120484183309,25.09865809519816,5.468519198356376
2002-02-05,42.31,46.2251,9.2534,15.2468,12.948,1.5678,1.2912,9333586000.0,2.5455,9.0504,1.0,1.0,12.0,956.1707,14.974107299270072,10.057408726827989,15.526209523809523,10.119722332589395,25.03151602609806,5.406487191220126
2002-02-06,42.43,46.2251,8.9444,15.2901,12.9566,1.5722,1.2912,9360058000.0,2.5455,9.0504,1.0,1.0,12.0,956.1707,14.930413768115944,10.03377284984157,15.48022222222222,10.13648114292836,24.96418661795752,5.34374107929386
2002-02-07,42.43,46.2251,8.9444,15.2901,12.9663,1.5722,1.2918,9360058000.0,2.5455,9.0504,1.0,1.0,12.0,987.7922,14.887348920863309,10.010236950665002,15.440680952380951,10.15229529622313,24.89758587152831,5.288385656157821
2002-02-08,43.32,46.2251,6.7061,15.6108,12.968,1.6052,1.2927,9556392000.0,2.5455,9.0504,1.0,1.0,12.0,987.7922,14.828911428571429,9.99810168593591,15.390665079365082,10.179861581379718,24.82701311450733,5.210803497985364
2002-02-11,44.27,46.2251,4.4163,15.9532,12.9874,1.6404,1.2935,9765962000.0,2.5455,9.0504,1.0,1.0,12.0,987.7922,14.755063120567378,10.000848789273634,15.32965,10.222666769627187,24.75591190984101,5.10698323037281
2002-02-12,43.9,46.2251,5.2964,15.8198,12.9913,1.6267,1.2936,9684340000.0,2.5455,9.0504,1.0,1.0,12.0,987.7922,14.688452816901409,9.996883547873496,15.28403253968254,10.254717279058095,24.685336364774905,5.029315260624443
2002-02-13,43.6,46.2251,6.0209,15.7117,12.9935,1.6156,1.294,9618160000.0,2.5455,9.0504,1.0,1.0,12.0,987.7922,14.62784055944056,9.987955452896632,15.232526984126984,10.285011521614647,24.615796012337192,4.947515462512335
2002-02-14,43.41,46.2251,6.4849,15.6432,12.9984,1.6086,1.2946,9576246000.0,2.5455,9.0504,1.0,1.0,12.0,987.7922,14.57129236111111,9.976076662949524,15.1765373015873,10.313464106936983,24.54736902406064,4.863073194650317
2002-02-15,44.21,46.2251,4.558,15.9315,13.0064,1.6382,1.2948,9752726000.0,2.5455,9.0504,1.0,1.0,12.0,987.7922,14.502235172413792,9.976094910929792,15.12007619047619,10.35220298072582,24.478330083343582,4.76787320975037
2002-02-19,43.17,46.2251,7.0769,15.5288,13.013,1.5997,1.2957,9523302000.0,2.5455,9.0504,1.0,1.0,12.0,987.7922,14.451376712328766,9.960609867099372,15.083378571428574,10.37259653768993,24.41198657942813,4.710782033738644
2002-02-20,43.34,46.2251,6.6569,15.5899,13.013,1.606,1.2957,9560804000.0,2.5455,9.0504,1.0,1.0,12.0,987.7922,14.398353061224489,9.947235511074505,15.044940476190476,10.394931210594352,24.345588572299,4.650009265596124
2002-02-21,43.0,46.2251,7.5002,15.4676,13.0258,1.5934,1.2957,9485800000.0,2.5455,9.0504,1.0,1.0,12.0,987.7922,14.35174391891892,9.929546772348097,14.99935714285714,10.415465882176782,24.281290691267017,4.583891260680359
2002-02-22,43.54,46.2251,6.167,15.6619,13.0529,1.6134,1.2957,9604924000.0,2.5455,9.0504,1.0,1.0,12.0,987.7922,14.296812751677852,9.918634388554846,14.933964285714287,10.445041480629662,24.215447140232698,4.488922805084625
2002-02-25,44.24,46.2251,4.4871,15.9137,13.0715,1.6393,1.2959,9759344000.0,2.5455,9.0504,1.0,1.0,12.0,987.7922,14.231414666666666,9.917690293072962,14.86117619047619,10.485877660628535,24.149104959739628,4.375298529847655
2002-02-26,43.89,46.2251,5.3203,15.7878,13.088,1.6263,1.2961,9682134000.0,2.5455,9.0504,1.0,1.0,12.0,987.7922,14.172400662251654,9.911141412804056,14.791209523809524,10.520110098309264,24.08354207505571,4.27109942550026
2002-02-27,45.11,46.2251,2.472,16.2266,13.1044,1.6716,1.2961,9951266000.0,2.5455,9.0504,1.0,1.0,12.0,987.7922,14.095424342105265,9.923751472860395,14.702664285714285,10.576771977237396,24.01917581496566,4.125892308476889
2002-02-28,44.84,46.2251,3.089,16.1295,13.113,1.6615,1.2963,9891704000.0,2.5455,9.042,1.0,1.0,12.0,987.7922,14.023486928104576,9.930997770356612,14.62510634920635,10.626096870853347,23.954484698461187,3.999009478353001
2002-03-01,45.65,46.2251,1.2598,16.4209,13.12,1.6916,1.2971,10070390000.0,2.5455,9.042,1.0,1.0,12.0,987.7922,13.940605844155844,9.951782701155174,14.538809523809524,10.69045380337002,23.89238854531102,3.848355720439504
2002-03-04,47.54,49.9232,5.013,17.1007,13.1391,1.7616,1.2982,10487324000.0,2.5455,9.042,1.0,1.0,12.0,987.7922,13.883008387096774,9.945304548678646,14.494531746031743,10.718448406814492,23.828312935775426,3.776083339217253
2002-03-05,45.76,49.9232,9.0979,16.4604,13.1417,1.6956,1.299,10094656000.0,2.5455,9.042,1.0,1.0,12.0,987.7922,13.852334615384615,9.920571393570183,14.421592063492064,10.723694379446687,23.7729060089548,3.697897684045376
