date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2002-09-18,1.1,2.1875,98.8636,14.9254,18.3217,1.2646,1.4763,1529589072.0,6.3607,19.084,1.0,1.0,15.0,2.4094,65.90137052238805,19.228377526668226,71.37133412698412,18.017952417555847,85.12974804905627,53.35338170942828
2002-09-19,1.07,2.1875,104.4393,14.5777,18.3084,1.2302,1.4763,1487873006.4,6.3607,19.13,1.0,1.0,15.0,2.4094,66.0446342007435,19.335769868684363,71.81284047619047,18.14182334013065,85.38040406942787,53.67101713605983
2002-09-20,1.03,2.1875,112.3786,14.0327,18.3084,1.1842,1.4763,1432251585.6,6.3607,19.13,1.0,1.0,15.0,2.4094,66.21624148148149,19.50470157599465,72.31735714285713,18.379352494646515,85.72094305747613,53.93800464821062
2002-09-23,0.99531,2.1875,119.7808,13.5601,18.2013,1.1443,1.4784,1384013908.4112,6.3607,19.13,1.0,1.0,15.0,2.4094,66.4138966789668,19.738583647999256,72.86433095238095,18.75736194462523,86.15248032696604,54.10696900775572
2002-09-24,0.96875,2.1875,125.8065,13.1982,18.1586,1.1138,1.4774,1347081285.0,6.3607,19.13,1.0,1.0,15.0,2.4094,66.63225183823529,20.028546734454817,73.4591277777778,19.23622141598351,86.66079857269011,54.22290636179429
2002-09-25,0.99844,2.1875,119.0918,13.6027,18.1159,1.1479,1.4763,1388366284.5888,6.3607,19.13,1.0,1.0,15.0,2.4094,66.82441135531136,20.24224534122982,73.99231904761906,19.56244745894017,87.06665669654117,54.42987158867889
2002-09-26,0.99719,2.1875,119.3664,13.5857,18.1159,1.1464,1.4763,1386628115.1888,6.3607,19.13,1.0,1.0,15.0,2.4094,67.0161704379562,20.452945747592416,74.54420476190475,19.854011903781505,87.46911618554861,54.69019285812325
2002-09-27,0.97625,2.1875,124.0717,13.3004,18.1063,1.1224,1.4763,1357510301.4,6.3607,19.13,1.0,1.0,15.0,2.4094,67.2236450909091,20.7034740975738,75.12523333333333,20.22321782778202,87.92711918848289,54.9020155055513
2002-09-30,0.96875,2.1875,125.8065,13.1982,18.0942,1.1235,1.4784,1347081285.0,5.2511,14.1949,1.0,1.0,15.0,2.4094,67.4359018115942,20.96448844766435,75.71171587301589,20.61234737409368,88.40039025925856,55.09936849892222
2002-10-01,0.99375,2.1875,120.1258,13.5388,18.084,1.1525,1.4774,1381844673.0,5.2511,14.1949,1.0,1.0,15.0,2.4094,67.62611805054152,21.16458890250393,76.23613253968254,20.89541710965285,88.79070695304546,55.34071543002969
2002-10-02,0.97969,2.1875,123.2849,13.3473,18.0739,1.1362,1.4763,1362293743.5888,5.2511,14.1949,1.0,1.0,15.0,2.4094,67.82632949640288,21.38846037808987,76.78562142857142,21.215200929856344,89.21478987449275,55.57042049871507
2002-10-03,0.94844,2.1875,130.6419,12.9215,18.0739,1.0999,1.4763,1318839508.5888,5.2511,14.1949,1.0,1.0,15.0,2.4094,68.05147491039426,21.67863724883138,77.38482857142857,21.660544286438824,89.73011215922564,55.72428428498975
2002-10-04,0.90781,2.1875,140.9645,12.368,18.0739,1.0528,1.4763,1262342050.4112,5.2511,14.1949,1.0,1.0,15.0,2.4094,68.31187857142858,22.074095118893613,78.07463174603174,22.286367257581134,90.3859736903222,55.78826448845061
2002-10-07,0.90312,2.1875,142.2159,12.3041,18.0556,1.0474,1.4784,1255820438.8224,5.2511,14.1949,1.0,1.0,15.0,2.4094,68.57488220640569,22.471369941291904,78.75690079365079,22.91975681583554,91.0462521476976,55.837143977815245
2002-10-08,0.88906,2.1875,146.0464,12.1125,18.0556,1.0311,1.4774,1236269509.4112,5.2511,14.1949,1.0,1.0,15.0,2.4094,68.84960390070921,22.900841779534364,79.47836587301587,23.59135872062028,91.75044568024356,55.8870071523956
2002-10-09,0.86406,2.1875,153.1653,11.7719,18.0556,1.0021,1.4763,1201506121.4112,5.2511,14.1949,1.0,1.0,15.0,2.4094,69.14753922261484,23.403192765607137,80.2110619047619,24.426865178280604,92.55073198822195,55.7841967264813
2002-10-10,0.89219,2.1875,145.1832,12.1552,18.042,1.0347,1.4763,1240621885.5888,5.2511,14.1949,1.0,1.0,15.0,2.4094,69.41527042253522,23.793511327765263,80.87095238095237,25.0471846915815,93.20878175030047,55.82376768937088
2002-10-11,0.92656,2.1875,136.0883,12.6234,17.9952,1.0746,1.4763,1288414591.4112,5.2511,14.1949,1.0,1.0,15.0,2.4094,69.64921087719298,24.077692590960137,81.4490634920635,25.474127888310854,93.72690346815313,55.97493560375265
2002-10-14,0.93531,2.1875,133.8797,12.7426,17.942,1.0847,1.4784,1300581777.2112,5.2511,14.1949,1.0,1.0,15.0,2.4094,69.87379300699301,24.33364217849662,82.05625079365079,25.80531937526292,94.20743518548964,56.25093141838787
2002-10-15,0.95125,1.6406,72.4678,13.0308,17.942,1.1098,1.4774,1322746913.4,5.1332,12.0448,2.0,2.0,12.5,3.1299,69.88283135888501,24.291546185749453,82.2359253968254,25.657525314501985,94.17437754463448,56.57840008232341
2002-10-16,1.02,1.5938,56.2549,14.346,17.942,1.2407,1.4763,1417245315.84,5.2136,12.0543,2.0,3.0,15.8333,3.1299,69.83551215277777,24.26248243366699,82.30299523809524,25.577720296341845,94.09799458644476,56.72527494175339
2002-10-17,1.1,1.5938,44.8909,15.5807,17.9402,1.338,1.4763,1528401811.2,5.2136,12.0925,2.0,3.0,15.8333,3.0858,69.74919861591695,24.26473006745505,82.27189523809524,25.62111640395355,94.013928683372,56.65077883414169
2002-10-18,1.12,1.5938,42.3036,15.8865,17.8977,1.3719,1.4763,1556190935.04,4.7492,12.3608,2.0,3.0,15.8333,4.2906,69.65455862068966,24.27627000751269,82.18722539682538,25.73608800026279,93.93082862820232,56.45113739656259
2002-10-21,1.17,1.5938,36.2222,16.5957,17.8832,1.4332,1.4774,1625663744.64,4.7492,12.3608,2.0,3.0,15.8333,4.2906,69.53967079037801,24.31349541069038,82.05429047619047,25.9307239738606,93.8531662010684,56.12356650232987
2002-10-22,1.1,1.5938,44.8909,15.6028,17.8801,1.3474,1.4763,1528401811.2,4.7492,12.3608,2.0,3.0,15.8333,4.2906,69.45525719178082,24.31450844193168,81.99015476190476,26.013092920495588,93.7697656337125,55.97706184140917
