date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2003-01-09,12.08,15.6564,29.606,5.7444,7.0708,0.1044,0.1571,845600000.0,14.3723,53.2583,1.0,1.0,7.0,18.8342
2003-01-10,11.62,15.6564,34.7367,5.5257,7.0708,0.1004,0.1556,813400000.0,14.3723,52.9373,1.0,1.0,7.0,18.6054
2003-01-13,11.92,15.6564,31.3456,5.6684,7.0738,0.103,0.1542,834400000.0,14.3723,52.9373,1.0,1.0,7.0,18.6054
2003-01-14,11.88,15.6564,31.7879,5.6493,7.0712,0.1027,0.153,831600000.0,14.3723,52.9373,1.0,1.0,7.0,18.6054
2003-01-15,11.81,15.6564,32.569,5.6161,7.0708,0.1021,0.1518,826700000.0,14.3723,52.3122,1.0,1.0,7.0,18.6054
2003-01-16,11.72,15.6564,33.587,5.5733,7.0704,0.1013,0.1513,820400000.0,14.3723,52.0931,1.0,1.0,7.0,18.6054
2003-01-17,11.55,15.6564,35.5532,5.4924,7.0704,0.0998,0.1508,808500000.0,14.3723,52.0931,1.0,1.0,7.0,18.6054
2003-01-21,11.27,15.6564,38.921,5.3593,7.0712,0.0974,0.1508,788900000.0,14.3723,52.0931,1.0,1.0,7.0,18.6054
2003-01-22,11.03,15.6564,41.9438,5.2451,7.0708,0.0953,0.1507,772100000.0,14.3723,52.0931,1.0,1.0,7.0,18.6054
2003-01-23,11.49,15.6564,36.2611,5.4766,7.0708,0.0965,0.1505,781320000.0,14.3723,51.286,1.0,1.0,7.0,18.6054
2003-01-24,11.68,15.6564,34.0445,5.4728,7.0708,0.0981,0.1503,794240000.0,14.3723,50.4909,1.0,1.0,7.0,18.6054
2003-01-27,11.62,15.6564,34.7367,5.4447,7.0738,0.0976,0.1489,790160000.0,14.3723,49.8405,1.0,1.0,7.0,18.0647
2003-01-28,11.64,15.6564,34.5052,5.454,7.0712,0.0977,0.1475,791520000.0,14.3723,49.8405,1.0,1.0,7.0,18.0647
2003-01-29,11.77,15.6564,33.0195,5.5149,7.0708,0.0988,0.1474,800360000.0,14.3723,49.8405,1.0,1.0,7.0,18.0647
2003-01-30,11.49,15.6564,36.2611,5.3838,7.0708,0.0965,0.1473,781320000.0,14.3723,49.8405,1.0,1.0,7.0,18.0647
2003-01-31,11.71,15.6564,33.7011,5.4868,7.0708,0.0983,0.1473,796280000.0,14.3723,49.8405,1.0,1.0,7.0,18.0647
2003-02-03,11.63,15.6564,34.6208,5.4493,7.0738,0.0976,0.1473,790840000.0,14.3723,49.8405,1.0,1.0,7.0,18.0647
2003-02-04,11.64,15.6564,34.5052,5.454,7.0712,0.0977,0.1473,791520000.0,14.3723,49.8405,1.0,1.0,7.0,18.0647
2003-02-05,11.84,15.6564,32.2331,5.5477,7.0708,0.0994,0.1473,805120000.0,14.3723,49.8405,1.0,1.0,7.0,18.0647
2003-02-06,11.81,15.6564,32.569,5.5337,7.0708,0.0992,0.1471,803080000.0,14.3723,49.8405,1.0,1.0,7.0,18.0647
2003-02-07,11.65,15.6564,34.3897,5.4587,7.0708,0.0978,0.1469,792200000.0,14.3723,49.8405,1.0,1.0,7.0,18.0647
2003-02-10,11.88,15.6564,31.7879,5.5467,7.0712,0.0997,0.1463,807840000.0,14.3723,49.8405,1.0,1.0,7.0,18.0647
2003-02-11,11.77,15.6564,33.0195,5.4954,7.0712,0.0988,0.1457,800360000.0,14.3723,49.8287,1.0,1.0,7.0,18.0647
2003-02-12,11.58,15.6564,35.2021,5.4067,7.0708,0.0972,0.1457,787440000.0,14.3723,49.8287,1.0,1.0,7.0,18.0647
2003-02-13,11.66,15.6564,34.2744,5.444,7.0708,0.0979,0.1457,792880000.0,14.3723,49.8287,1.0,1.0,7.0,18.0647
2003-02-14,11.48,15.6564,36.3798,5.36,7.0708,0.0964,0.1452,780640000.0,14.3723,49.8287,1.0,1.0,7.0,18.0647
2003-02-18,11.67,15.6564,34.1594,5.4487,7.0738,0.098,0.1447,793560000.0,14.3723,49.8287,1.0,1.0,7.0,18.0647
2003-02-19,11.61,15.6564,34.8527,5.4207,7.0712,0.0975,0.1446,789480000.0,14.3723,49.8287,1.0,1.0,7.0,18.0647
