date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2021-03-30,26.88,30.7778,14.5007,8.5969,9.0617,0.4198,0.3425,2449157088.0,2.6276,0.2162,2.0,2.0,8.649,15.466,17.86435981308411,9.027156621256246,17.86435981308411,9.027156621256246,26.89151643434036,8.837203191827864
2021-03-31,26.99,31.3333,16.0923,8.5764,9.0443,0.4212,0.3433,2459179680.25,2.6216,-0.2803,2.0,2.0,0.0275,3.7165,17.847951851851853,8.986492525545144,17.847951851851853,8.986492525545144,26.834444377397,8.86145932630671
2021-04-01,29.04,31.8889,9.8103,9.2768,9.0617,0.4532,0.3435,2645964354.0,2.6216,-0.1239,2.0,2.0,0.0275,3.7165,17.774211926605506,8.977861288456388,17.774211926605506,8.977861288456388,26.75207321506189,8.796350638149118
2021-04-05,31.7,31.8889,0.5959,10.1265,9.0791,0.4947,0.3436,2888328857.5,2.6216,-0.1239,2.0,2.0,0.0275,3.7165,17.618045454545452,9.085439001815654,17.618045454545452,9.085439001815654,26.703484456361107,8.532606452729798
2021-04-06,31.14,31.8889,2.4049,9.9476,9.1008,0.4859,0.3465,2837304751.5,2.6216,-0.1239,2.0,2.0,0.0275,3.7165,17.48099009009009,9.158593457760706,17.48099009009009,9.158593457760706,26.6395835478508,8.322396632329383
2021-04-07,30.78,31.8889,3.6027,9.8326,9.1225,0.4803,0.3493,2804503540.5,2.6216,-0.1239,2.0,2.0,0.0275,3.7165,17.357076785714288,9.21107294116077,17.357076785714288,9.21107294116077,26.568149726875056,8.146003844553517
2021-04-08,29.05,31.8889,9.7725,9.28,9.1318,0.4533,0.3496,2646875498.75,2.6216,-0.1239,2.0,2.0,0.0275,3.7165,17.289956637168142,9.197576210143977,17.289956637168142,9.197576210143977,26.48753284731212,8.092380427024167
2021-04-09,30.84,31.8889,3.4011,9.8518,9.141,0.4812,0.35,2809970409.0,2.6216,-0.1239,2.0,2.0,0.0275,3.7165,17.16812456140351,9.248723395423555,17.16812456140351,9.248723395423555,26.416847956827063,7.919401165979952
2021-04-12,32.29,31.8889,-1.2422,10.315,9.1688,0.5039,0.3518,2942086397.75,2.6216,-0.1239,2.0,2.0,0.0275,3.7165,17.008034782608696,9.366741596735098,17.008034782608696,9.366741596735098,26.3747763793438,7.641293185873598
2021-04-13,31.68,31.8889,0.6594,10.1201,9.1967,0.4944,0.3535,2886506568.0,2.6216,-0.1239,2.0,2.0,0.0275,3.7165,16.86709827586207,9.448653194912811,16.86709827586207,9.448653194912811,26.31575147077488,7.418445080949258
