date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2015-11-05,62.54,61.35,-1.9028,18.1423,16.5464,1.231,1.0312,6393714360.0,1.015,5.1132,2.0,2.0,6.8,-11.8378,4.806164285714285,4.488657792565816,5.983842063492064,5.344758144565188,9.2948220782801,0.6390839189268762
2015-11-06,59.81,61.35,2.5748,17.3503,16.5562,1.1773,1.0313,6114615540.0,1.015,5.1132,2.0,2.0,6.8,-11.8378,4.80689126984127,4.488265875576457,5.9422476190476194,5.350777756516681,9.295157145417726,0.5914698625309383
2015-11-09,59.49,61.35,3.1266,17.2575,16.5733,1.171,1.0316,6081900660.0,1.015,5.1132,2.0,2.0,6.8,-11.8378,4.804089682539682,4.488874322432877,5.894203174603175,5.348648815541103,9.29296400497256,0.5455543590620717
2015-11-10,60.94,61.75,1.3292,17.6781,16.5756,1.1995,1.0316,6230139960.0,1.015,5.1132,2.0,2.0,6.8,-11.8378,4.800823015873016,4.490806253330954,5.824631746031746,5.350578686843464,9.29162926920397,0.4740530591882823
2015-11-11,61.3,61.75,0.7341,17.7825,16.5756,1.2066,1.0318,6266944200.0,1.015,5.1132,2.0,2.0,6.8,-11.8378,4.79527361111111,4.494105414634936,5.765063492063493,5.365236545623678,9.289379025746047,0.3998269464398145
2015-11-12,60.58,61.75,1.9313,17.5737,16.5759,1.1924,1.032,6193335720.0,1.015,5.1132,2.0,2.0,6.8,-11.8378,4.791605952380952,4.495689799698563,5.7223444444444445,5.374226870723666,9.287295752079515,0.3481175737207787
2015-11-13,60.25,61.75,2.4896,17.478,16.5766,1.1859,1.0322,6159598500.0,1.015,5.1132,2.0,2.0,6.8,-11.8378,4.79327619047619,4.49467574962456,5.69235873015873,5.381694253749703,9.28795194010075,0.3106644764090278
2015-11-16,61.11,61.75,1.0473,17.7274,16.579,1.2029,1.033,6247519740.0,1.015,5.1132,2.0,2.0,6.8,-11.8378,4.793499007936508,4.494486880145973,5.649683333333333,5.397140240101177,9.28798588808248,0.2525430932321555
2015-11-17,60.55,62.15,2.6424,17.5132,16.5807,1.2574,1.0334,6190268700.0,-4.9469,7.1383,1.0,2.0,6.8,-11.8378,4.792947619047619,4.494734182998976,5.6195119047619055,5.403286748483421,9.287681802046595,0.2162251562784849
2015-11-18,61.9,62.15,0.4039,17.8829,16.5836,1.2849,1.0336,6328284600.0,-4.9463,7.156,1.0,2.0,6.8,-11.8378,4.7863718253968255,4.498732368870105,5.560697619047619,5.419510860916663,9.28510419426693,0.1411867581309556
2015-11-19,62.4,62.15,-0.4006,17.9962,16.5868,1.2951,1.0339,6379401600.0,-4.9456,7.1536,1.0,2.0,6.8,-11.7604,4.775187301587302,4.504614675246142,5.49405873015873,5.440907697570559,9.279801976833443,0.053151032588171
2015-11-20,62.51,62.15,-0.5759,18.0279,16.5871,1.2974,1.0339,6390647340.0,-4.9456,7.1536,1.0,2.0,6.8,-11.7604,4.761674603174602,4.5104393735395325,5.421195238095239,5.460353609148085,9.272113976714136,-0.0391583710528467
2015-11-23,62.38,62.15,-0.3687,17.9904,16.5912,1.2947,1.0341,6377356920.0,-4.9456,7.1536,1.0,2.0,6.8,-11.7604,4.746744246031746,4.514949434550452,5.348412698412698,5.476026993899576,9.261693680582198,-0.1276142954868779
2015-11-24,62.66,62.15,-0.8139,18.0712,16.5922,1.3005,1.0348,6405982440.0,-4.9456,7.1536,1.0,2.0,6.8,-11.7604,4.731355357142857,4.5206661142878,5.281373015873016,5.499488683336424,9.252021471430655,-0.2181156674634081
2015-11-25,62.19,62.65,0.7397,17.8584,16.5931,1.2907,1.0354,6357932460.0,-4.9456,7.1474,1.0,2.0,6.8,-11.7604,4.717912301587301,4.522445431621656,5.227138095238095,5.510390343340162,9.240357733208956,-0.2832522481020669
2015-11-27,62.84,62.65,-0.3024,18.045,16.5989,1.3042,1.0357,6424384560.0,-4.9456,7.1474,1.0,2.0,6.8,-11.7604,4.701780952380953,4.525829309472849,5.165737301587302,5.528674561197903,9.2276102618538,-0.3629372596106011
2015-11-30,62.31,62.65,0.5457,17.8928,16.6047,1.2932,1.0386,6370200540.0,-4.9456,7.1474,1.0,2.0,6.8,-11.7604,4.686321626984126,4.526693777644918,5.096803174603175,5.531724281486668,9.213015404629044,-0.4349211068834933
2015-12-01,62.59,62.65,0.0959,17.9732,16.607,1.299,1.0398,6398826060.0,-4.9456,7.1474,1.0,2.0,6.8,-11.7604,4.669921626984127,4.528324954346331,4.9984142857142855,5.5093257286562425,9.19824658133046,-0.510911442941957
2015-12-02,61.93,62.65,1.1626,17.7837,16.6093,1.2853,1.041,6331351620.0,-4.9456,7.1474,1.0,2.0,6.8,-11.7604,4.648935912698412,4.519998074732615,4.903034126984127,5.470432833656345,9.168933987431028,-0.5673987066722175
2015-12-03,61.14,62.65,2.4697,17.5277,16.6126,1.2689,1.0414,6250586760.0,-4.9456,6.5768,2.0,2.0,6.8,-11.7604,4.631392857142857,4.51123800559557,4.802137301587302,5.396051376044969,9.142630862738429,-0.5939140744576674
2015-12-04,62.25,62.65,0.6426,17.8459,16.6191,1.292,1.0417,6364066500.0,-4.9456,6.5768,2.0,2.0,6.8,-11.7604,4.608013095238095,4.501284784883038,4.6860277777777775,5.32589748087039,9.109297880121131,-0.6398697030926126
2015-12-07,61.98,62.65,1.081,17.7685,16.6217,1.2864,1.0436,6336463320.0,-4.9456,6.5768,2.0,2.0,6.8,-11.7604,4.585857936507937,4.491078478412624,4.575009523809523,5.253021167814566,9.07693641492056,-0.6780116440050428
2015-12-08,62.2,62.65,0.7235,17.8315,16.6224,1.2909,1.0436,6358954800.0,-4.9456,6.5768,2.0,2.0,6.8,-11.7604,4.568520436507937,4.489084565470275,4.464342857142857,5.185141501859703,9.057605001978212,-0.7207986447168455
2015-12-09,62.56,63.8333,2.0353,17.8559,16.6232,1.2658,1.0436,6395759040.0,-4.9018,6.5753,2.0,2.0,6.8,-11.7604,4.552673214285715,4.4838882500906605,4.378520634920635,5.134497407011724,9.036561464376376,-0.7559767720910884
2015-12-10,61.14,63.8333,4.4051,17.4506,16.627,1.2371,1.0443,6250586760.0,-4.9018,6.5753,2.0,2.0,6.8,-11.7604,4.538171031746033,4.472485131437405,4.301402380952381,5.0594062250736105,9.010656163183436,-0.7580038441212293
2015-12-11,60.81,63.8333,4.9717,17.3564,16.6322,1.2304,1.0444,6216849540.0,-4.9018,6.5753,2.0,2.0,6.8,-11.7604,4.522820833333334,4.457640438080593,4.229361904761904,4.983559000342672,8.980461271413926,-0.7541970955807678
2015-12-14,60.86,63.5,4.3378,17.3707,16.6446,1.2907,1.0452,6221961240.0,-3.1984,6.4717,3.0,2.0,6.8,-11.7604,4.507178174603174,4.444383275877828,4.161003968253968,4.921658498569709,8.951561450481002,-0.7606545303157413
