date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2025-08-18,11.48,16.3333,42.2761,135.0588,135.0588,2.3776,2.1925,141318800.0,-30.8573,-1277.5969,3.0,1.0,-10.0,36.1775
2025-08-19,11.48,16.3333,42.2761,135.0588,135.0588,2.3776,2.201,141318800.0,-30.8573,-1277.5969,3.0,1.0,-10.0,36.1775
2025-08-20,11.76,16.3333,38.8886,138.3529,135.0588,2.4355,2.206,144765600.0,-30.8573,-1277.5969,3.0,1.0,-10.0,36.1775
2025-08-21,11.49,16.3333,42.1523,135.1765,135.1176,2.3796,2.206,141441900.0,-30.8573,-1277.5969,3.0,1.0,-10.0,36.1775
2025-08-22,12.34,16.3333,32.3606,145.1765,135.1765,2.5557,2.206,151905400.0,-30.8573,-1277.5969,3.0,1.0,-10.0,36.1775
2025-08-25,12.24,16.3333,33.442,144.0,136.7647,2.535,2.1925,150674400.0,-30.8573,-1277.5969,3.0,1.0,-10.0,36.1775
2025-08-26,12.64,16.3333,29.2191,148.7059,138.3529,2.6178,2.201,155598400.0,-30.8573,-1277.5969,3.0,1.0,-10.0,36.1775
2025-08-27,12.35,16.3333,32.2534,145.2941,141.1764,2.5577,2.206,152028500.0,-30.8573,-1277.5969,3.0,1.0,-10.0,36.1775
2025-08-28,12.36,16.3333,32.1464,145.4118,144.0,2.5598,2.206,152151600.0,-30.8573,-1277.5969,3.0,1.0,-10.0,36.1775
2025-08-29,12.05,16.3333,35.5461,141.7647,142.8824,2.4956,2.206,148335500.0,-30.8573,-1277.5969,3.0,1.0,-10.0,36.1775
2025-09-02,12.34,16.3333,32.3606,145.1765,144.0,2.5557,2.1925,151905400.0,-30.8573,-1277.5969,3.0,1.0,-10.0,36.1775
2025-09-03,12.63,16.3333,29.3215,148.5882,144.5883,2.6157,2.201,155475300.0,-30.8573,-1277.5969,3.0,1.0,-10.0,36.1775
2025-09-04,12.8,16.3333,27.6039,150.5882,145.1765,2.6509,2.201,157568000.0,-30.8573,-1277.5969,3.0,1.0,-10.0,36.1775
2025-09-05,12.91,16.3333,26.5167,151.8824,145.1765,2.6737,2.201,158922100.0,-30.8573,-1277.5969,3.0,1.0,-10.0,36.1775
