date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2017-01-17,28.956514437,32.3574,11.7448,16.8617,16.4948,1.7029,1.9823,1141497622.3159,1.1326,-1.803,3.0,1.0,15.0,-13.9516
2017-01-18,28.956514437,32.3574,11.7448,16.8617,16.5,1.7029,1.9801,1141497622.3159,1.1326,-1.803,3.0,1.0,15.0,-13.9516
2017-01-19,28.043471189,32.3574,15.383,16.33,16.4897,1.6492,1.9756,1105504454.0452,1.1326,-1.803,3.0,1.0,15.0,-13.9516
2017-01-20,27.56521044,32.3574,17.3849,16.0515,16.4884,1.6211,1.9718,1086650889.7111,1.1326,-1.803,3.0,1.0,15.0,-13.9516
2017-01-23,27.56521044,32.3574,17.3849,16.0515,16.4513,1.6211,1.9689,1086650889.7111,1.1326,-1.803,3.0,1.0,15.0,-13.9516
2017-01-24,28.226079839,32.3574,14.6365,16.4363,16.442,1.66,1.9689,1112703087.7151,1.1326,-1.803,3.0,1.0,15.0,-13.9516
2017-01-25,28.399992838,32.3574,13.9345,16.5376,16.4513,1.6702,1.9689,1119558929.2661,1.1326,-1.803,3.0,1.0,15.0,-13.9516
2017-01-26,28.530427588,32.3574,13.4137,16.6135,16.4513,1.6779,1.9689,1124700810.4589,1.1326,-1.803,3.0,1.0,15.0,-13.9516
2017-01-27,28.695644938,32.3574,12.7607,16.7097,16.4513,1.6876,1.9689,1131213859.9697,1.1326,-1.803,3.0,1.0,15.0,-13.9516
2017-01-30,28.695644938,32.3574,12.7607,16.7097,16.442,1.6876,1.9688,1131213859.9697,1.1326,-1.803,3.0,1.0,15.0,-13.9516
2017-01-31,28.695644938,32.3574,12.7607,16.7097,16.442,1.6876,1.9686,1131213859.9697,1.1326,-1.803,3.0,1.0,15.0,-13.9516
2017-02-01,28.347818938,32.3574,14.1442,16.5072,16.4513,1.6671,1.9684,1117502176.789,1.1326,-1.803,3.0,1.0,15.0,-13.9516
2017-02-02,28.043471189,32.3574,15.383,16.33,16.442,1.6492,1.9664,1105504454.0452,1.1326,-1.803,3.0,1.0,15.0,-13.9516
2017-02-03,28.521731938,32.3574,13.4482,16.6085,16.442,1.6774,1.9646,1124358018.3794,1.1326,-1.803,3.0,1.0,15.0,-13.9516
2017-02-06,28.660862338,32.3574,12.8975,16.6895,16.4391,1.6856,1.9642,1129842691.6517,1.1326,-1.803,3.0,1.0,15.0,-13.9516
2017-02-07,28.365210238,32.3574,14.0742,16.5173,16.442,1.6682,1.9642,1118187760.948,1.1326,-1.803,3.0,1.0,15.0,-13.9516
2017-02-08,28.643471038,32.3574,12.9661,16.6794,16.442,1.6845,1.964,1129157107.4926,1.1326,-1.803,3.0,1.0,15.0,-13.9516
2017-02-09,28.739123187,32.3574,12.5901,16.7351,16.442,1.6902,1.9636,1132927820.3279,1.1326,-1.803,3.0,1.0,15.0,-13.9516
2017-02-10,28.739123187,32.7804,14.0619,16.7351,16.442,1.6926,1.9633,1132927820.3279,0.8424,-1.8981,4.0,1.0,15.0,-13.9516
2017-02-13,29.652166435,32.7804,10.5498,17.2667,16.4391,1.7464,1.9504,1168920988.5986,0.8153,-1.5902,5.0,1.0,15.0,-13.9516
2017-02-14,29.791296835,32.7804,10.0335,17.3478,16.442,1.7546,1.9417,1174405661.8709,0.8153,-1.5902,5.0,1.0,15.0,-13.9516
2017-02-15,29.399992586,32.7804,11.498,17.1199,16.442,1.7315,1.9413,1158980018.332,0.8153,-1.5902,5.0,1.0,15.0,-13.9516
2017-02-16,29.399992586,32.7804,11.498,17.1199,16.442,1.7315,1.9401,1158980018.332,0.8153,-1.5902,5.0,1.0,15.0,-13.9516
2017-02-17,29.834775085,33.6263,12.7084,15.9442,16.4391,1.4544,1.9391,1020448001.343,4.2422,11.2947,1.0,1.0,15.0,28.7597
2017-02-21,29.173905687,33.6263,15.2616,15.591,16.4272,1.4222,1.9334,997844081.7754,4.2422,11.2947,1.0,1.0,15.0,28.7597
2017-02-22,29.173905687,33.6263,15.2616,15.591,16.4262,1.4222,1.9315,997844081.7754,4.2422,11.2947,1.0,1.0,15.0,28.7597
2017-02-23,29.182601337,33.6263,15.2272,15.5957,16.4248,1.4226,1.9263,998141501.7706,4.2422,11.2947,1.0,1.0,15.0,28.7597
2017-02-24,29.182601337,33.6263,15.2272,15.5957,16.415,1.4226,1.9263,998141501.7706,4.2422,11.2947,1.0,1.0,15.0,28.7597
2017-02-27,30.043470685,33.6263,11.9255,16.0557,16.3878,1.4646,1.9225,1027586081.228,4.2422,11.2947,1.0,1.0,15.0,28.7597
2017-02-28,29.765209885,33.6263,12.9718,15.907,16.382,1.451,1.9212,1018068641.3813,4.2422,11.2947,1.0,1.0,15.0,28.7597
2017-03-01,30.217383684,33.6263,11.2813,16.1487,16.3761,1.4731,1.9198,1033534481.098,4.2422,11.2947,1.0,1.0,15.0,28.7597
2017-03-02,29.878253335,33.6263,12.5444,15.9674,16.3616,1.4565,1.9195,1021935101.319,4.2422,11.2947,1.0,1.0,15.0,28.7597
2017-03-03,29.173905687,33.6263,15.2616,15.591,16.3616,1.4222,1.9155,997844081.7754,4.2422,11.2947,1.0,1.0,15.0,28.7597
2017-03-06,29.104340487,33.6263,15.5371,15.5538,16.3474,1.4188,1.9134,995464721.8137,4.2422,11.2947,1.0,1.0,15.0,28.7597
2017-03-07,28.643471038,33.6263,17.396,15.3075,16.3458,1.3963,1.9094,979701462.1018,4.2422,11.2947,1.0,1.0,15.0,28.7597
2017-03-08,28.643471038,33.6263,17.396,15.3075,16.3441,1.3963,1.9054,979701462.1018,4.2422,11.2947,1.0,1.0,15.0,28.7597
2017-03-09,27.252167041,33.6263,23.3895,14.564,16.3441,1.3285,1.9007,932114262.9708,4.2422,11.2947,1.0,1.0,15.0,28.7597
2017-03-10,27.252167041,33.6263,23.3895,14.564,16.3441,1.3285,1.9006,932114262.9708,4.2422,11.2947,1.0,1.0,15.0,28.7597
2017-03-13,26.791297592,33.6263,25.512,14.3177,16.3441,1.3061,1.9006,916351003.2588,4.2422,11.2947,1.0,1.0,15.0,28.7597
2017-03-14,26.791297592,33.6263,25.512,14.3177,16.3441,1.3061,1.9006,916351003.2588,4.2422,11.2947,1.0,1.0,15.0,28.7597
2017-03-15,26.791297592,33.6263,25.512,14.3177,16.337,1.3061,1.9006,916351003.2588,4.2422,11.2947,1.0,1.0,15.0,28.7597
2017-03-16,26.173906443,33.6263,28.4726,13.9878,16.33,1.276,1.9006,895234183.6331,4.2422,11.2947,1.0,1.0,15.0,28.7597
2017-03-17,26.086949943,33.6263,28.9008,13.9413,16.3294,1.2717,1.9006,892259983.681,4.2422,11.2947,1.0,1.0,15.0,28.7597
2017-03-20,26.139123843,33.6263,28.6436,13.9692,16.3073,1.2743,1.8934,894044503.6523,4.2422,11.2947,1.0,1.0,15.0,28.7597
2017-03-21,26.139123843,33.6263,28.6436,13.9692,16.294,1.2743,1.8907,894044503.6523,4.2422,11.2947,1.0,1.0,15.0,28.7597
2017-03-22,25.008689346,33.6263,34.4585,13.3651,16.294,1.2192,1.8899,855379904.3776,4.2422,11.2947,1.0,1.0,15.0,28.7597
2017-03-23,25.747819594,33.6263,30.5986,13.7601,16.294,1.2552,1.8871,880660603.902,4.2422,11.2947,1.0,1.0,15.0,28.7597
