date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2008-06-25,28.64,28.5,-0.4888,21.1178,21.148,1.9585,1.7492,617431516.32,19.3931,16.9898,1.0,3.0,21.3333,30.7457
2008-06-26,27.71,28.5,2.851,20.4321,21.1422,1.8949,1.7508,597382238.73,19.3931,16.9898,1.0,3.0,21.3333,30.7457
2008-06-27,28.38,28.5,0.4228,20.9261,21.1365,1.9407,1.751,611826341.94,19.3931,16.9898,1.0,3.0,21.3333,30.7457
2008-06-30,27.18,28.7143,5.645,20.0339,21.1292,1.8528,1.7511,585956306.34,19.398,16.9888,1.0,4.0,21.0,29.2572
2008-07-01,27.84,28.7143,3.1404,20.5204,21.122,1.8978,1.7529,600184825.92,19.398,16.9888,1.0,4.0,21.0,29.2572
2008-07-02,29.02,29.1429,0.4235,21.3728,21.1292,1.9759,1.7547,625623694.26,19.4008,16.9827,1.0,4.0,21.1,29.0603
2008-07-03,28.32,29.1429,2.9057,20.8573,21.122,1.9282,1.755,610532840.16,19.4008,16.9827,1.0,4.0,21.1,29.0603
2008-07-07,30.5,29.1429,-4.4495,22.4628,21.1292,2.0767,1.7552,657530071.5,19.4008,16.9827,1.0,4.0,21.1,29.0603
2008-07-08,30.72,29.1429,-5.1338,22.6248,21.1365,2.0917,1.7554,662272911.36,19.4008,16.9827,1.0,4.0,21.1,29.0603
2008-07-09,30.18,29.1429,-3.4364,22.2271,21.1422,2.0549,1.7557,650631395.34,19.4008,16.9827,1.0,4.0,21.1,29.0603
2008-07-10,30.08,29.1429,-3.1154,22.1535,21.148,2.0481,1.7558,648475559.04,19.4008,16.9827,1.0,4.0,21.1,29.0603
2008-07-11,30.0,29.1429,-2.857,22.0946,21.1547,2.0426,1.756,646750890.0,19.4008,16.9827,1.0,4.0,21.1,29.0603
2008-07-14,29.46,29.1429,-1.0764,21.6969,21.1614,2.0059,1.7626,635109373.98,19.4008,16.9827,1.0,4.0,21.1,29.0603
2008-07-15,30.38,29.1429,-4.0721,22.3744,21.1634,2.0685,1.7693,654943067.94,19.4008,16.9827,1.0,4.0,21.1,29.0603
2008-07-16,31.368,29.1429,-7.0935,23.1021,21.1654,2.1358,1.7696,676242730.584,19.4008,16.9827,1.0,4.0,21.1,29.0603
2008-07-17,30.69,30.1429,-1.7827,22.6027,21.1654,2.0896,1.7699,661626160.47,19.4008,16.9827,1.0,4.0,21.1,29.0603
2008-07-18,30.26,31.0,2.4455,22.2992,21.1654,2.0603,1.77,652356064.38,19.4002,16.9871,1.0,4.0,21.1,29.0603
2008-07-21,30.97,31.0,0.0969,22.8224,21.181,2.1087,1.7701,667662502.11,19.4002,16.9871,1.0,4.0,21.1,29.0603
2008-07-22,31.49,31.0,-1.556,23.2056,21.1965,2.1441,1.7722,678872850.87,19.4002,16.9871,1.0,4.0,21.1,29.0603
2008-07-23,32.4,31.0,-4.321,23.8762,21.1965,2.206,1.7743,698490961.2,19.4002,16.9871,1.0,4.0,21.1,29.0603
2008-07-24,30.02,31.0,3.2645,22.1223,21.1965,2.044,1.7751,647182057.26,19.4002,16.9871,1.0,4.0,21.1,29.0603
2008-07-25,30.21,31.0,2.615,22.2623,21.233,2.0569,1.7759,651278146.23,19.4002,16.9871,1.0,4.0,21.1,29.0603
2008-07-28,31.57,31.0,-1.8055,23.2646,21.2694,2.1495,1.7796,680597519.91,19.4002,16.9871,1.0,4.0,21.1,29.0603
2008-07-29,32.19,31.0,-3.6968,23.7214,21.2748,2.1917,1.7834,693963704.97,19.4002,16.9871,1.0,4.0,21.1,29.0603
2008-07-30,32.52,31.0,-4.674,23.9646,21.2801,2.2142,1.788,701077964.76,19.4002,16.9871,1.0,4.0,21.1,29.0603
2008-07-31,32.63,31.0,-4.9954,24.0457,21.3066,2.2217,1.7925,703449384.69,19.4002,16.9871,1.0,4.0,21.1,29.0603
2008-08-01,32.67,31.0,-5.1117,24.0752,21.333,2.2244,1.7962,704311719.21,19.4002,16.9871,1.0,4.0,21.1,29.0603
2008-08-04,31.46,31.0,-1.4622,23.1835,21.3426,2.142,1.8,678226099.98,19.4002,16.9871,1.0,4.0,21.1,29.0603
2008-08-05,31.3,31.0,-0.9585,23.0656,21.3523,2.1311,1.8029,674776761.9,19.4002,16.9871,1.0,4.0,21.1,29.0603
2008-08-06,31.01,31.0,-0.0322,22.8519,21.3528,2.1114,1.8058,668524836.63,19.4002,16.9871,1.0,4.0,21.1,29.0603
2008-08-07,31.06,31.0,-0.1932,22.8887,21.3534,2.1148,1.8072,669602754.78,19.4002,16.9871,1.0,4.0,21.1,29.0603
2008-08-08,31.91,31.0,-2.8518,23.5151,21.3625,2.1727,1.8085,687927363.33,19.4002,16.9871,1.0,4.0,21.1,29.0603
2008-08-11,32.89,31.0,-5.7464,24.2373,21.3716,2.2394,1.815,709054559.07,19.4002,16.9871,1.0,4.0,21.1,29.0603
2008-08-12,32.0,31.0,-3.125,23.5814,21.3722,2.1788,1.8215,689867616.0,19.4002,16.9871,1.0,4.0,21.1,29.0603
2008-08-13,32.24,31.0,-3.8462,23.7583,21.3728,2.1952,1.8222,695041623.12,19.4002,16.9871,1.0,4.0,21.1,29.0603
