date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2008-06-02,21.6,25.25,16.8981,15.2542,15.2189,1.3299,1.3268,3456000000.0,7.7831,14.8931,2.0,2.0,11.5,7.8352,17.17,0.3845246676092465,17.17,0.3845246676092465,17.554524667609247,16.785475332390757
2008-06-03,21.32,25.25,18.4334,15.0565,15.1836,1.3126,1.3237,3411200000.0,7.7831,14.8931,2.0,2.0,11.5,7.8352,17.59113333333333,0.7784532505766361,17.59113333333333,0.7784532505766361,18.369586583909967,16.812680082756696
2008-06-04,21.57,25.25,17.0607,15.2331,15.2084,1.328,1.3258,3451200000.0,7.7831,14.8931,2.0,2.0,11.5,7.8352,17.458525,0.688718270291512,17.458525,0.688718270291512,18.147243270291515,16.76980672970849
2008-06-05,21.8,25.25,15.8257,15.3955,15.2331,1.3422,1.328,3488000000.0,7.7831,14.8931,2.0,2.0,11.5,7.8352,17.13196,0.9428537203617536,17.13196,0.9428537203617536,18.07481372036176,16.189106279638246
2008-06-06,22.1,25.1667,13.8765,15.3793,15.2436,1.3553,1.329,3536000000.0,7.7859,14.9357,2.0,2.0,11.5,5.7745,16.589383333333334,1.5740124350419429,16.589383333333334,1.5740124350419429,18.16339576837528,15.01537089829139
2008-06-09,22.33,25.1667,12.7035,15.5393,15.2542,1.3694,1.3299,3572800000.0,7.7859,14.9357,2.0,2.0,11.5,5.7745,16.034257142857143,2.054690138729068,16.034257142857143,2.054690138729068,18.08894728158621,13.979567004128077
2008-06-10,21.85,25.1667,15.1794,15.2053,15.2436,1.3399,1.3349,3496000000.0,7.7859,14.9357,2.0,2.0,11.5,5.7745,15.9274,1.926133897585672,15.9274,1.926133897585672,17.853533897585674,14.001266102414329
2008-06-11,21.71,25.1667,15.9222,15.1079,15.2331,1.3313,1.3313,3473600000.0,7.7859,14.9357,2.0,2.0,11.5,5.7745,15.92682222222222,1.8017341152191253,15.92682222222222,1.8017341152191253,17.728556337441347,14.125088107003094
2008-06-12,21.85,25.1667,15.1794,15.2053,15.2192,1.3399,1.3356,3496000000.0,7.7859,14.9357,2.0,2.0,11.5,5.7745,15.85208,1.715055637451904,15.85208,1.715055637451904,17.567135637451905,14.137024362548097
2008-06-13,22.39,25.1667,12.4015,15.5811,15.2331,1.373,1.3399,3582400000.0,7.7859,14.9357,2.0,2.0,11.5,5.7745,15.538390909090907,1.9312388663521385,15.538390909090907,1.9312388663521385,17.469629775443046,13.60715204273877
2008-06-16,22.75,25.1667,10.6229,15.8316,15.2436,1.3951,1.3399,3640000000.0,7.7859,14.9357,2.0,2.0,11.5,5.7745,15.128766666666666,2.324677538277019,15.128766666666666,2.324677538277019,17.453444204943686,12.804089128389649
2008-06-17,23.18,25.1667,8.5708,16.1308,15.2542,1.4215,1.3399,3708800000.0,7.7859,14.9357,2.0,2.0,11.5,5.7745,14.624307692307692,2.8743707121332203,14.624307692307692,2.8743707121332203,17.498678404440913,11.749936980174471
2008-06-18,23.04,25.1667,9.2305,16.0334,15.3168,1.4129,1.341,3686400000.0,7.7859,14.9357,2.0,2.0,11.5,5.7745,14.239035714285714,3.1152128258218315,14.239035714285714,3.1152128258218315,17.354248540107545,11.123822888463884
2008-06-19,22.89,25.1667,9.9463,15.929,15.3793,1.4037,1.3422,3662400000.0,7.7859,14.9357,2.0,2.0,11.5,5.7745,13.952853333333334,3.199980322900812,13.952853333333334,3.199980322900812,17.152833656234144,10.752873010432522
2008-06-20,23.0,25.1667,9.4204,16.0056,15.3874,1.4105,1.3487,3680000000.0,7.7859,14.9357,2.0,2.0,11.5,5.7745,13.669575,3.2925919306831823,13.669575,3.2925919306831823,16.962166930683182,10.376983069316818
2008-06-23,22.75,25.1667,10.6229,15.8316,15.3955,1.3951,1.3553,3640000000.0,7.7859,14.9357,2.0,2.0,11.5,5.7745,13.49035882352941,3.272552897215496,13.49035882352941,3.272552897215496,16.762911720744906,10.217805926313916
2008-06-24,22.88,25.1667,9.9943,15.9221,15.4674,1.4031,1.3624,3660800000.0,7.7859,14.9357,2.0,2.0,11.5,5.7745,13.296133333333334,3.2800380467664243,13.296133333333334,3.2800380467664243,16.57617138009976,10.016095286566909
2008-06-25,23.37,25.1667,7.6881,16.263,15.5393,1.4331,1.3694,3739200000.0,7.7859,14.9357,2.0,2.0,11.5,5.7745,13.000973684210528,3.4374717430502626,13.000973684210528,3.4374717430502626,16.43844542726079,9.563501941160265
2008-06-26,22.62,25.1667,11.2586,15.7411,15.5602,1.3872,1.3712,3619200000.0,7.7859,14.9357,2.0,2.0,11.5,5.7745,12.913855000000002,3.3683971548989864,12.913855000000002,3.3683971548989864,16.282252154898988,9.545457845101016
2008-06-27,22.52,25.1667,11.7527,15.6715,15.5811,1.381,1.373,3603200000.0,7.7859,14.9357,2.0,2.0,11.5,5.7745,12.858561904761906,3.292870826114531,12.858561904761906,3.292870826114531,16.151432730876436,9.565691078647376
2008-06-30,22.18,25.1667,13.4657,15.4349,15.5602,1.3602,1.3712,3548800000.0,7.7859,14.9357,2.0,2.0,11.5,5.7745,12.886159090909093,3.2161188300806205,12.886159090909093,3.2161188300806205,16.10227792098971,9.67004026082847
2008-07-01,22.88,25.1667,9.9943,15.9221,15.5811,1.4031,1.373,3660800000.0,7.7859,14.9357,2.0,2.0,11.5,5.7745,12.760426086956524,3.1995104297685346,12.760426086956524,3.1995104297685346,15.959936516725058,9.560915657187987
2008-07-02,22.65,25.1667,11.1113,15.762,15.6263,1.389,1.377,3624000000.0,7.7859,14.9357,2.0,2.0,11.5,5.7745,12.6917125,3.1472373894400048,12.6917125,3.1472373894400048,15.838949889440004,9.544475110559995
2008-07-03,21.8,25.1667,15.4436,15.1705,15.5811,1.3369,1.373,3488000000.0,7.7859,14.9357,2.0,2.0,11.5,5.7745,12.801787999999998,3.1297453483097746,12.801787999999998,3.1297453483097746,15.931533348309774,9.672042651690225
2008-07-07,21.49,25.1667,17.1089,14.9548,15.5602,1.3179,1.3712,3438400000.0,7.7859,14.9357,2.0,2.0,11.5,5.7745,12.967446153846153,3.1807234915636124,12.967446153846153,3.1807234915636124,16.148169645409766,9.78672266228254
2008-07-08,21.7,25.1667,15.9756,15.1009,15.5393,1.3307,1.3694,3472000000.0,7.7859,14.9357,2.0,2.0,11.5,5.7745,13.07885925925926,3.1722285908343872,13.07885925925926,3.1722285908343872,16.251087850093647,9.90663066842487
2008-07-09,21.59,25.1667,16.5665,15.0244,15.4871,1.324,1.3648,3454400000.0,7.7859,14.9357,2.0,2.0,11.5,5.7745,13.203417857142856,3.181940430228253,13.203417857142856,3.181940430228253,16.38535828737111,10.021477426914602
2008-07-10,21.26,25.1667,18.3758,14.7947,15.4349,1.3038,1.3602,3401600000.0,7.7859,14.9357,2.0,2.0,11.5,5.7745,13.381775862068968,3.2688962401764003,13.381775862068968,3.2688962401764003,16.650672102245366,10.112879621892567
2008-07-11,20.03,24.8333,23.9805,14.0119,15.4152,1.2288,1.3578,3204800000.0,7.7862,14.9355,2.0,2.0,11.5,5.7918,13.735066666666668,3.749885677276532,13.735066666666668,3.749885677276532,17.4849523439432,9.985180989390134
