date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2007-02-07,5.5,4.0,-27.2727,64.6179,64.5833,8.899,8.2264,137489511.5,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-02-08,5.04,4.0,-20.6349,64.6179,64.5833,8.1547,8.2264,125990388.72,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-02-09,5.05,4.0,-20.7921,64.6179,64.5833,8.1709,8.2264,126240369.65,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-02-12,5.06,4.0,-20.9486,64.6179,64.5833,8.1871,8.2318,126490350.58,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-02-13,5.05,4.0,-20.7921,64.6179,64.5833,8.1709,8.2291,126240369.65,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-02-14,5.04,4.0,-20.6349,64.6179,64.5833,8.1547,8.2264,125990388.72,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-02-15,5.09,4.0,-21.4145,64.6179,64.5833,8.2356,8.2318,127240293.37,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-02-16,5.11,4.0,-21.7221,64.6179,64.5833,8.268,8.232,127740255.23,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-02-20,5.1,4.0,-21.5686,64.6179,64.5833,8.2518,8.232,127490274.3,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-02-21,5.12,4.0,-21.875,64.6179,64.5833,8.2842,8.232,127990236.16,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-02-22,5.36,4.0,-25.3731,64.6179,64.5833,8.6725,8.2338,133989778.48,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-02-23,5.28,4.0,-24.2424,64.6179,64.5833,8.543,8.2374,131989931.04,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-02-26,5.54,4.0,-27.7978,64.6179,64.5833,8.9637,8.241,138489435.22,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-02-27,5.37,4.0,-25.5121,64.6179,64.5833,8.6887,8.2427,134239759.41,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-02-28,5.49,4.0,-27.1403,64.6179,64.5833,8.8828,8.2453,137239530.57,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-03-01,5.5,4.0,-27.2727,64.6179,64.5833,8.899,8.248,137489511.5,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-03-02,5.54,4.0,-27.7978,64.6179,64.5833,8.9637,8.2481,138489435.22,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-03-05,5.62,4.0,-28.8256,64.6179,64.5833,9.0932,8.2518,140489282.66,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-03-06,5.67,4.0,-29.4533,64.6179,64.5833,9.1741,8.2529,141739187.31,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-03-07,5.75,4.0,-30.4348,64.6179,64.5833,9.3035,8.2541,143739034.75,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-03-08,5.69,4.0,-29.7012,64.6179,64.5833,9.2064,8.2569,142239149.17,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-03-09,5.62,4.0,-28.8256,64.6179,64.5833,9.0932,8.2639,140489282.66,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-03-12,5.57,4.0,-28.1867,64.6179,64.5833,9.0123,8.265,139239378.01,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-03-13,5.44,4.0,-26.4706,64.6179,64.5833,8.8019,8.2665,135989625.92,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-03-14,5.45,4.0,-26.6055,64.6179,64.5833,8.8181,8.268,136239606.85,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-03-15,5.5,4.0,-27.2727,64.6179,64.5833,8.899,8.28,137489511.5,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-03-16,5.43,4.0,-26.3352,64.6179,64.5833,8.7857,8.2842,135739644.99,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-03-19,5.69,4.0,-29.7012,64.6179,64.5833,9.2064,8.2967,142239149.17,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-03-20,5.68,4.0,-29.5775,64.6179,64.5833,9.1902,8.2978,141989168.24,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-03-21,5.68,4.0,-29.5775,64.6179,64.5833,9.1902,8.2988,141989168.24,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-03-22,5.9,4.0,-32.2034,64.6179,64.5833,9.5462,8.3011,147488748.7,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-03-23,6.05,4.0,-33.8843,64.6179,64.5833,9.7889,8.3071,151238462.65,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-03-26,6.16,4.0,-35.0649,64.6179,64.5833,9.9669,8.3256,153988252.88,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-03-27,6.16,4.0,-35.0649,64.6179,64.5833,9.9669,8.3332,153988252.88,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-03-28,6.16,4.0,-35.0649,64.6179,64.5833,9.9669,8.3408,153988252.88,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-03-29,6.06,4.0,-33.9934,64.6179,64.5833,9.8051,8.3408,151488443.58,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-03-30,6.19,4.0,-35.3796,64.6179,64.5833,10.0154,8.3443,154738195.67,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-04-02,6.21,4.0,-35.5878,64.6179,64.5833,10.0478,8.3613,155238157.53,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-04-03,6.16,4.0,-35.0649,64.6179,64.5833,9.9669,8.3671,153988252.88,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-04-04,6.25,4.0,-36.0,64.6179,64.5833,10.1125,8.373,156238081.25,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-04-05,6.2578,4.0,-36.0798,64.6179,64.5833,10.1251,8.3775,156433066.3754,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-04-09,6.2,4.0,-35.4839,64.6179,64.5833,10.0316,8.3863,154988176.6,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-04-10,6.2,4.0,-35.4839,64.6179,64.5833,10.0316,8.3863,154988176.6,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-04-11,6.17,4.0,-35.1702,64.6179,64.5833,9.9831,8.3882,154238233.81,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-04-12,6.15,4.0,-34.9593,64.6179,64.5833,9.9507,8.392,153738271.95,-7.1221,-262.3563,1.0,1.0,25.0,-3.4703
2007-04-13,6.18,4.0,-35.2751,64.6179,64.5833,9.9992,8.3975,154488214.74,-7.1221,18.3333,1.0,1.0,25.0,-3.4703
2007-04-16,6.15,4.0,-34.9593,64.6179,64.5833,9.9507,8.4092,153738271.95,-7.1221,18.3333,1.0,1.0,25.0,-3.4703
2007-04-17,6.15,4.0,-34.9593,64.6179,64.5833,9.9507,8.4099,153738271.95,-7.1221,18.3333,1.0,1.0,25.0,-3.4703
2007-04-18,6.26,4.0,-36.1022,64.6179,64.5833,10.1287,8.4131,156488062.18,-7.1221,18.3333,1.0,1.0,25.0,-3.4703
2007-04-19,6.35,4.0,-37.0079,64.6179,64.5833,10.2743,8.4205,158737890.55,-7.1221,18.3333,1.0,1.0,25.0,-3.4703
2007-04-20,6.47,4.0,-38.1762,64.6179,64.5833,10.4685,8.4254,161737661.71,-7.1221,18.3333,1.0,1.0,25.0,-3.4703
2007-04-23,6.44,4.0,-37.8882,64.6179,64.5833,10.4199,8.4415,160987718.92,-7.1221,18.3333,1.0,1.0,25.0,-3.4703
2007-04-24,6.43,4.0,-37.7916,64.6179,64.5833,10.4037,8.4422,160737737.99,-7.1221,18.3333,1.0,1.0,25.0,-3.4703
2007-04-25,6.46,4.0,-38.0805,64.6179,64.5833,10.4523,8.4443,161487680.78,-7.1221,18.3333,1.0,1.0,25.0,-3.4703
2007-04-26,6.3,4.0,-36.5079,64.6179,64.5833,10.1934,8.4464,157487985.9,-7.1221,18.3333,1.0,1.0,25.0,-3.4703
2007-04-27,5.99,4.0,-33.222,64.6179,64.5833,9.6918,8.4549,149738577.07,-7.1221,18.3333,1.0,1.0,25.0,-3.4703
2007-04-30,5.82,4.0,-31.2715,19.4,19.4,4.0414,8.4569,145488901.26,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-05-01,5.96,4.0,-32.8859,19.8667,19.6334,4.1386,8.4559,148988634.28,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-05-02,6.08,4.0,-34.2105,20.2667,19.8667,4.2219,8.4549,151988405.44,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-05-03,6.13,4.0,-34.7471,20.4333,20.0667,4.0283,8.4549,145017410.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-05-04,5.93,4.0,-32.5464,19.7667,19.8667,3.8968,8.4549,140286010.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-05-07,5.87,4.0,-31.8569,19.5667,19.8167,3.8574,8.4559,138866590.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-05-08,5.75,4.0,-30.4348,19.1667,19.7667,3.7785,8.4549,136027750.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-05-09,5.66,4.0,-29.3286,18.8667,19.6667,3.7194,8.4506,133898620.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-05-10,5.5,4.0,-27.2727,18.3333,19.5667,3.6143,8.4506,130113500.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-05-11,5.57,4.0,-28.1867,18.5667,19.4834,3.6603,8.4506,131769490.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-05-14,5.11,4.0,-21.7221,17.0333,19.4,3.358,8.4559,120887270.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-05-15,5.04,4.0,-20.6349,16.8,19.2834,3.312,8.4549,119231280.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-05-16,5.14,4.0,-22.179,17.1333,19.1667,3.3777,8.4506,121596980.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-05-17,5.19,4.0,-22.9287,17.3,19.0167,3.4106,8.4506,122779830.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-05-18,5.16,4.0,-22.4806,17.2,18.8667,3.3908,8.4506,122070120.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-05-21,5.17,4.0,-22.6306,17.2333,18.7167,3.3974,8.4559,122306690.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-05-22,5.1301,4.0,-22.0288,17.1003,18.5667,3.3712,8.4549,121362775.7,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-05-23,5.15,4.0,-22.3301,17.1667,18.45,3.3843,8.4506,121833550.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-05-24,5.15,4.0,-22.3301,17.1667,18.3333,3.3843,8.4506,121833550.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-05-25,5.32,4.0,-24.812,17.7333,18.0333,3.496,8.4506,125855240.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-05-29,5.26,4.0,-23.9544,17.5333,17.7333,3.4566,8.4559,124435820.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-05-30,5.19,4.0,-22.9287,17.3,17.6333,3.4106,8.4549,122779830.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-05-31,5.29,4.0,-24.3856,17.6333,17.6333,3.4763,8.4506,125145530.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-06-01,5.4,4.0,-25.9259,18.0,17.6833,3.5486,8.4506,127747800.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-06-04,5.34,4.0,-25.0936,17.8,17.7333,3.5091,8.4559,126328380.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-06-05,5.22,4.0,-23.3716,17.4,17.6833,3.4303,8.4549,123489540.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-06-06,5.38,4.0,-25.6506,17.9333,17.7333,3.5354,8.4506,127274660.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-06-07,5.37,4.0,-25.5121,17.9,17.7666,3.5288,8.4506,127038090.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-06-08,5.39,4.0,-25.7885,17.9667,17.8,3.542,8.4506,127511230.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-06-11,5.34,4.0,-25.0936,17.8,17.8,3.5091,8.4559,126328380.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-06-12,5.27,4.0,-24.0987,17.5667,17.8,3.4631,8.4549,124672390.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-06-13,5.26,4.0,-23.9544,17.5333,17.7666,3.4566,8.4506,124435820.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-06-14,5.44,4.0,-26.4706,18.1333,17.8,3.5748,8.4506,128694080.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-06-15,5.4,4.0,-25.9259,18.0,17.8,3.5486,8.4506,127747800.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-06-18,5.39,4.0,-25.7885,17.9667,17.8,3.542,8.4559,127511230.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-06-19,5.38,4.0,-25.6506,17.9333,17.85,3.5354,8.4549,127274660.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-06-20,5.36,4.0,-25.3731,17.8667,17.8667,3.5223,8.4506,126801520.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-06-21,5.5,4.0,-27.2727,18.3333,17.8834,3.6143,8.4506,130113500.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-06-22,5.46,4.0,-26.7399,18.2,17.9,3.588,8.4506,129167220.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-06-25,5.39,4.0,-25.7885,17.9667,17.9166,3.542,8.4559,127511230.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-06-26,5.45,4.0,-26.6055,18.1667,17.9333,3.5814,8.4549,128930650.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-06-27,5.43,4.0,-26.3352,18.1,17.9333,3.5683,8.4506,128457510.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-06-28,5.38,4.0,-25.6506,17.9333,17.9333,3.5354,8.4506,127274660.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-06-29,5.4,4.0,-25.9259,18.0,17.9333,3.5486,8.4506,127747800.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-07-02,5.87,4.0,-31.8569,19.5667,17.9333,3.8574,8.4559,138866590.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-07-03,5.75,4.0,-30.4348,19.1667,17.95,3.7785,8.4549,136027750.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-07-05,5.75,4.0,-30.4348,19.1667,17.9667,3.7785,8.4549,136027750.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-07-06,5.72,4.0,-30.0699,19.0667,17.9667,3.7588,8.4549,135318040.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-07-09,5.78,4.0,-30.7958,19.2667,17.9667,3.7983,8.4569,136737460.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-07-10,5.74,4.0,-30.3136,19.1333,17.9667,3.772,8.4559,135791180.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-07-11,5.72,4.0,-30.0699,19.0667,17.9667,3.7588,8.4549,135318040.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-07-12,5.79,4.0,-30.9154,19.3,17.9834,3.8048,8.4549,136974030.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-07-13,5.97,4.0,-32.9983,19.9,18.0,3.9231,8.4549,141232290.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-07-16,6.01,4.0,-33.4443,20.0333,18.0,3.9494,8.4569,142178570.0,-4.1248,82.9762,1.0,1.0,25.0,-3.4703
2007-07-17,6.01,6.5,8.1531,21.8545,18.0,3.8662,8.4559,142178570.0,-3.5636,68.8068,1.0,1.0,25.0,13.0852
2007-07-18,5.91,6.5,9.9831,21.4909,18.0,3.8018,8.4549,139812870.0,-3.5636,68.8068,1.0,1.0,25.0,13.0852
2007-07-19,6.01,6.5,8.1531,21.8545,18.0,3.8662,8.4549,142178570.0,-3.5636,68.8068,1.0,1.0,25.0,13.0852
2007-07-20,6.0,6.5,8.3333,21.8182,18.05,3.8597,8.4549,141942000.0,-3.5636,68.8068,1.0,1.0,25.0,13.0852
2007-07-23,6.55,6.5,-0.7634,23.8182,18.1,4.2136,8.4569,154953350.0,-3.5636,68.8068,1.0,1.0,25.0,13.0852
2007-07-24,6.07,6.5,7.084,22.0727,18.1166,3.9048,8.4559,143597990.0,-3.5636,68.8068,1.0,1.0,25.0,13.0852
2007-07-25,6.27,6.5,3.6683,22.8,18.1333,4.0334,8.4549,148329390.0,-3.5636,68.8068,1.0,1.0,25.0,13.0852
2007-07-26,6.01,6.5,8.1531,21.8545,18.15,3.8662,8.4549,142178570.0,-3.5636,68.8068,1.0,1.0,25.0,13.0852
2007-07-27,6.06,6.5,7.2607,22.0364,18.1667,3.8983,8.4549,143361420.0,-3.5636,68.8068,1.0,1.0,25.0,13.0852
2007-07-30,6.06,6.5,7.2607,22.0364,18.1833,3.8983,8.4569,143361420.0,-3.5636,68.8068,1.0,1.0,25.0,13.0852
2007-07-31,6.125,6.5,6.1224,22.2727,18.2,3.9498,8.4559,145254375.0,-3.5636,68.8068,1.0,1.0,25.0,13.0852
2007-08-01,5.06,6.0,18.5771,22.4889,18.2666,3.5257,8.4549,119997900.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-08-02,4.83,6.0,24.2236,21.4667,18.3333,3.3655,8.4506,114543450.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-08-03,4.55,6.0,31.8681,20.2222,18.3333,3.1704,8.4506,107903250.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-08-06,4.27,6.0,40.5152,18.9778,18.3333,2.9753,8.4559,101263050.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-08-07,4.52,6.0,32.7434,20.0889,18.45,3.1495,8.4549,107191800.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-08-08,4.59,6.0,30.719,20.4,18.5667,3.1982,8.4506,108851850.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-08-09,4.66,6.0,28.7554,20.7111,18.7167,3.247,8.4506,110511900.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-08-10,4.33,6.0,38.5681,19.2444,18.8667,3.0171,8.4506,102685950.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-08-13,4.36,6.0,37.6147,19.3778,18.9222,3.038,8.4559,103397400.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-08-14,4.39,6.0,36.6743,19.5111,18.9778,3.0589,8.4549,104108850.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-08-15,4.16,6.0,44.2308,18.4889,18.9222,2.8986,8.4506,98654400.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-08-16,3.85,6.0,55.8442,17.1111,18.8667,2.6826,8.4506,91302750.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-08-17,4.01,6.0,49.6259,17.8222,18.7167,2.7941,8.4506,95097150.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-08-20,3.93,6.0,52.6718,17.4667,18.5667,2.7384,8.4559,93199950.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-08-21,3.9,6.0,53.8462,17.3333,18.5278,2.7175,8.4549,92488500.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-08-22,4.0,6.0,50.0,17.7778,18.4889,2.7871,8.4506,94860000.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-08-23,4.3,6.0,39.5349,19.1111,18.5278,2.9962,8.4506,101974500.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-08-24,4.3099,6.0,39.2144,19.1551,18.5667,3.0031,8.4506,102209278.5,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-08-27,4.52,6.0,32.7434,20.0889,18.7167,3.1495,8.4559,107191800.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-08-28,4.79,6.0,25.261,21.2889,18.8667,3.3376,8.4549,113594850.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-08-29,4.75,6.0,26.3158,21.1111,18.9222,3.3097,8.4506,112646250.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-08-30,4.71,6.0,27.3885,20.9333,18.9778,3.2818,8.4506,111697650.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-08-31,4.78,6.0,25.523,21.2444,19.0222,3.3306,8.4506,113357700.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-09-04,4.49,6.0,33.6303,19.9556,19.0667,3.1286,8.4559,106480350.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-09-05,4.58,6.0,31.0044,20.3556,19.0667,3.1913,8.4549,108614700.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-09-06,4.42,6.0,35.7466,19.6444,19.0667,3.0798,8.4549,104820300.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-09-07,4.18,6.0,43.5407,18.5778,19.0667,2.9126,8.4549,99128700.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-09-10,4.15,6.0,44.5783,18.4444,19.0667,2.8916,8.4569,98417250.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-09-11,4.35,6.0,37.931,19.3333,19.0667,3.031,8.4559,103160250.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-09-12,4.3,6.0,39.5349,19.1111,19.0667,2.9962,8.4549,101974500.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-09-13,4.28,6.0,40.1869,19.0222,19.0667,2.9822,8.4549,101500200.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-09-14,4.16,6.0,44.2308,18.4889,19.0667,2.8986,8.4549,98654400.0,-5.5129,32.786,1.0,1.0,25.0,13.0852
2007-09-17,4.32,6.0,38.8889,19.2,19.0667,3.0101,8.4569,102448800.0,-5.5129,94.1667,1.0,1.0,25.0,13.0852
2007-09-18,4.21,6.0,42.5178,18.7111,19.0667,2.9335,8.4559,99840150.0,-5.5129,94.1667,1.0,1.0,25.0,13.0852
2007-09-19,4.27,6.0,40.5152,18.9778,19.0444,2.9753,8.4549,101263050.0,-5.5129,94.1667,1.0,1.0,25.0,13.0852
2007-09-20,4.41,6.0,36.0544,19.6,19.0667,3.0728,8.4549,104583150.0,-5.5129,94.1667,1.0,1.0,25.0,13.0852
