date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2022-03-14,6.91,11.0,59.1896,12.6418,23.3716,0.9686,0.7161,378063222.98,8.7539,95.0884,1.0,1.0,20.0,9.1027,26.57075396825397,18.85636719639722,31.46929603174604,9.409377523423986,45.42712116465119,22.05991850832205
2022-03-15,6.77,11.0,62.4815,12.3857,23.3636,0.949,0.7161,370403476.06,8.7539,95.0884,1.0,1.0,20.0,9.1027,26.527961111111114,18.74983780727752,31.719642063492063,9.8063757914649,45.27779891838863,21.913266272027165
2022-03-16,6.88,11.0,59.8837,12.5869,23.33,0.9644,0.7184,376421848.64,8.7539,95.0884,1.0,1.0,20.0,9.1027,26.5028375,18.69646129347756,31.92607619047619,10.120803716436797,45.19929879347756,21.805272474039395
2022-03-17,6.96,11.0,58.046,12.7333,23.33,0.9757,0.7226,380798846.88,8.7539,95.0884,1.0,1.0,20.0,9.1027,26.40458630952381,18.39734843152725,32.14248412698413,10.384167302107487,44.80193474105106,21.758316824876644
2022-03-18,7.17,11.0,53.417,13.1175,23.33,1.0051,0.7266,392288467.26,8.7539,95.0884,1.0,1.0,20.0,9.1027,26.375829563492065,18.34359076718592,32.29361111111111,10.554092839556027,44.71942033067798,21.739518271555085
2022-03-21,7.26,11.0,51.5152,13.2821,23.3716,1.0177,0.7418,397212590.28,8.7539,95.0884,1.0,1.0,20.0,9.1027,26.35666369047619,18.312178999366385,32.43097619047619,10.69094555235601,44.66884268984258,21.74003063812017
2022-03-22,7.25,11.0,51.7241,13.2638,23.3636,1.0163,0.744,396665465.5,8.7539,95.0884,1.0,1.0,20.0,9.1027,26.35416170634921,18.308619334909213,32.56330793650794,10.82596763212364,44.66278104125842,21.7373403043843
2022-03-23,7.12,11.0,54.4944,13.026,23.33,0.9981,0.744,389552843.36,8.7539,95.0884,1.0,1.0,20.0,9.1027,26.374257341269843,18.333969577528496,32.734849999999994,11.000858721658602,44.70822691879834,21.733991278341392
2022-03-24,7.0,11.0,57.1429,12.8064,23.33,0.9813,0.7448,382987346.0,8.7539,95.0884,1.0,1.0,20.0,9.1027,26.39634365079365,18.36435250007716,32.97828095238095,11.198716735867835,44.7606961508708,21.779564216513112
2022-03-25,7.07,11.0,55.587,12.9345,23.33,0.9911,0.7456,386817219.46,8.7539,95.0884,1.0,1.0,20.0,9.1027,26.41451507936508,18.38872863370061,33.244682539682536,11.334387991510823,44.80324371306569,21.91029454817172
2022-03-28,7.03,11.0,56.4723,12.8613,23.3716,0.9855,0.7538,384628720.34,8.7539,95.0884,1.0,1.0,20.0,9.1027,26.394825,18.351107046491567,33.521396825396835,11.472738552663085,44.74593204649157,22.04865827273375
2022-03-29,7.01,11.0,56.9187,12.8247,23.3636,0.9827,0.7538,383534470.78,8.7539,95.0884,1.0,1.0,20.0,9.1027,26.34558115079365,18.235237572325733,33.801653968253966,11.609835123161572,44.58081872311938,22.191818845092392
2022-03-30,6.88,11.0,59.8837,12.5869,23.33,0.9644,0.7538,376421848.64,8.7539,95.0884,1.0,1.0,20.0,9.1027,26.30726349206349,18.14402486778534,34.09328174603174,11.799793375068736,44.45128835984883,22.293488370963004
2022-03-31,6.7,11.0,64.1791,12.2576,23.33,0.9392,0.7544,366573602.6,8.7539,95.0884,1.0,1.0,20.0,9.1027,26.164414285714283,17.55103243844859,34.39725714285714,12.076561372321194,43.71544672416288,22.32069577053595
2022-04-01,6.49,11.0,69.4915,11.8734,23.33,0.9098,0.7552,355083982.22,8.7539,95.0884,1.0,1.0,20.0,9.1027,26.178608333333333,17.583208275096744,34.75837380952381,12.437780281952254,43.76181660843008,22.32059352757156
2022-04-04,6.49,11.0,69.4915,11.8734,23.3716,0.9098,0.7788,355083982.22,8.7539,95.0884,1.0,1.0,20.0,9.1027,26.19280238095238,17.615313880040105,35.09812460317461,12.794977081544207,43.808116260992485,22.303147521630404
2022-04-05,6.5,11.0,69.2308,11.8917,23.3636,0.9112,0.7795,355631107.0,8.7539,95.0884,1.0,1.0,20.0,9.1027,26.2413007936508,17.700055412050965,35.42675,13.13391004372314,43.941356205701766,22.292839956276858
