date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2003-02-24,197.22,220.0,11.5506,31.8097,23.2381,1.9847,2.6184,239749506.9,1.7868,-1.8768,1.0,1.0,18.0,141.1761
2003-02-25,199.8,220.0,10.1101,27.0,23.248,2.0106,2.615,242885871.0,1.7626,-1.3578,1.0,1.0,18.0,141.1761
2003-02-26,201.0,220.0,9.4527,27.1622,23.2579,2.0227,2.6116,244344645.0,1.7626,-1.3578,1.0,1.0,18.0,141.1761
2003-02-27,200.0,220.0,10.0,27.027,23.2683,2.0127,2.6116,243129000.0,1.7626,-1.3578,1.0,1.0,18.0,141.1761
2003-02-28,198.4,220.0,10.8871,26.8108,23.2787,1.9966,2.6116,241183968.0,1.7626,-1.3578,1.0,1.0,18.0,141.1761
2003-03-03,208.8,220.0,5.364,28.2162,23.306,2.1012,2.6106,253826676.0,1.7626,-1.3578,1.0,1.0,18.0,141.1761
2003-03-04,205.4,220.0,7.1081,27.7568,23.3333,2.067,2.6095,249693483.0,1.7626,-1.3578,1.0,1.0,18.0,141.1761
2003-03-05,199.22,220.0,10.4307,26.9216,23.373,2.0048,2.6084,242180796.9,1.7626,-1.3578,1.0,1.0,18.0,141.1761
2003-03-06,199.8,220.0,10.1101,27.0,23.4127,2.0106,2.6073,242885871.0,1.7626,-1.3578,1.0,1.0,18.0,141.1761
2003-03-07,195.4,220.0,12.5896,26.4054,23.4258,1.9664,2.607,237537033.0,1.7626,-1.3578,1.0,1.0,18.0,141.1761
2003-03-10,188.8,220.0,16.5254,25.5135,23.4389,1.8999,2.6068,229513776.0,1.7626,-1.3578,1.0,1.0,18.0,141.1761
