date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2011-04-27,19.37,20.918,7.9917,7.5608,8.4038,1.1337,1.1337,62413515164.39,5.5376,22.4447,20.0,2.0,2.6087,62.3234,8.379284325396826,18.69481227326391,13.119567460317462,7.559288634191381,27.07409659866073,5.560278826126082
2011-04-28,19.09,20.9738,9.868,7.4582,8.4038,1.1177,1.1257,61511306375.23,5.4893,22.3839,20.0,2.0,2.6087,62.3234,8.479068849206348,18.56759115415237,13.057061904761904,7.553305711317359,27.04666000335872,5.503756193444547
2011-04-29,19.05,20.9896,10.1816,7.4231,8.4038,1.1143,1.1177,61382419405.35,5.5354,22.4996,20.0,2.0,2.6087,62.3234,8.581125198412698,18.43456961134835,12.989285714285714,7.540375670256528,27.01569480976105,5.448910044029186
2011-05-02,18.98,21.0646,10.9831,7.3841,8.4083,1.1105,1.1143,61156867208.06,5.4739,22.6792,19.0,2.0,2.6087,62.3234,8.686915873015874,18.29424915845736,12.920312698412696,7.518458419628304,26.981165031473232,5.401854278784393
2011-05-03,18.87,21.0815,11.7197,7.3461,8.4038,1.104,1.1143,60802428040.89,5.4739,22.6471,19.0,2.0,2.6087,62.3234,8.803410119047617,18.12513797894691,12.84982857142857,7.4874451066715295,26.92854809799453,5.362383464757041
2011-05-04,18.84,21.0876,11.9299,7.3565,8.3993,1.1028,1.1143,60705762813.48,5.4714,22.7405,19.0,2.0,2.6087,62.3234,8.91979841269841,17.955372414573954,12.791236507936508,7.465320817214676,26.875170827272363,5.325915690721833
2011-05-05,18.16,21.0658,16.0011,7.1129,8.3993,1.063,1.1124,58514684325.52,5.4714,22.6028,19.0,2.0,2.6087,62.3234,9.04048134920635,17.797144471736033,12.78466746031746,7.462103044304265,26.837625820942385,5.322564416013194
2011-05-06,18.05,21.0599,16.6753,7.0718,8.3993,1.0566,1.1105,58160245158.35,5.4714,22.6039,19.0,2.0,2.6087,62.3234,9.14819861111111,17.67810104091903,12.822594444444444,7.469693254813826,26.826299652030144,5.352901189630618
2011-05-09,18.01,21.3205,18.3815,7.1499,8.4083,1.0571,1.1072,58031358188.47,5.3581,22.5838,19.0,2.0,2.6087,62.3234,9.26568273809524,17.54152137806125,12.870768253968253,7.485926834039083,26.80720411615649,5.384841419929169
2011-05-10,18.33,21.317,16.2957,7.2606,8.4038,1.0759,1.104,59062453947.51,5.3581,22.7075,19.0,2.0,2.6087,62.3234,9.370079166666669,17.425870583801665,12.88635238095238,7.491035515374131,26.79594975046833,5.39531686557825
2011-05-11,18.18,21.317,17.2552,7.1989,8.3993,1.0671,1.1034,58579127810.46,5.3581,22.7243,19.0,2.0,2.6087,62.3234,9.47108234126984,17.323247551021833,12.926794444444443,7.500828792119653,26.79432989229167,5.425965652324792
2011-05-12,18.26,21.2491,16.3697,7.2391,8.3993,1.0725,1.1028,58836901750.22,5.358,22.7222,19.0,2.0,2.6087,62.3234,9.54973234126984,17.2641873498852,12.95939126984127,7.5068408806691425,26.813919691155043,5.452550389172127
2011-05-13,17.8,21.2061,19.1354,7.1055,8.3993,1.0476,1.0894,57354701596.6,5.3577,22.7361,19.0,2.0,2.6087,62.3234,9.641575396825395,17.191515393478458,12.99895,7.526278483763559,26.833090790303856,5.472671516236442
2011-05-16,17.61,21.1976,20.3725,7.0454,8.4083,1.0384,1.0742,56742488489.67,5.2676,22.5632,20.0,2.0,2.6087,62.3234,9.735508333333334,17.12026606690801,13.03369603174603,7.550285969984609,26.855774400241344,5.483410061761422
2011-05-17,17.81,21.1948,19.0051,7.1266,8.4038,1.0502,1.0725,57386923339.07,5.2676,22.5552,20.0,2.0,2.6087,62.3234,9.840307539682538,17.014490494048665,13.05764761904762,7.564503671614984,26.854798033731203,5.493143947432635
2011-05-18,17.67,20.9945,18.8144,7.1829,8.4038,1.0467,1.0698,56935818944.49,5.0094,22.1007,20.0,2.0,2.6087,62.3234,9.945810119047618,16.904378278978676,13.051718253968255,7.559656154661164,26.85018839802629,5.492062099307091
2011-05-19,18.09,20.9945,16.0558,7.3531,8.4038,1.0716,1.0716,58289132128.23,5.0094,22.1033,20.0,2.0,2.6087,62.3234,10.045765873015872,16.79066191713285,13.018431746031746,7.53690717832364,26.83642779014873,5.481524567708106
2011-05-20,17.78,20.9975,18.0962,7.2256,8.4038,1.0531,1.0694,57290258111.66,5.0137,22.1125,20.0,2.0,2.6087,62.3234,10.150209325396826,16.676078367798606,13.024283333333331,7.5405893553410195,26.826287693195432,5.483693977992312
2011-05-23,17.31,20.9961,21.2946,7.0346,8.4176,1.0241,1.065,55775836215.57,5.0137,22.1125,20.0,2.0,2.6087,62.3234,10.261652182539684,16.561887929160996,13.054696031746031,7.566316895139036,26.82354011170068,5.488379136606997
2011-05-24,17.31,20.9554,21.0595,7.0983,8.4083,1.0279,1.063,55775836215.57,4.8615,22.0469,20.0,2.0,2.6087,62.3234,10.377894246031744,16.430892094481838,13.063825396825395,7.575342146791268,26.80878634051358,5.488483250034129
2011-05-25,17.74,20.9622,18.1635,7.2911,8.4038,1.0546,1.06,57161371141.78,4.814,21.9617,20.0,2.0,2.6087,62.3234,10.483484722222222,16.308894525225714,13.018703174603177,7.527367874150441,26.792379247447936,5.491335300452734
2011-05-26,17.97,20.972,16.7056,7.3784,8.4038,1.0678,1.063,57902471218.59,4.8332,21.9793,20.0,2.0,2.6087,62.3234,10.592077182539684,16.166852346266463,12.97476111111111,7.4891567295015165,26.75892952880615,5.485604381609594
2011-05-27,18.13,20.9867,15.7568,7.4441,8.4038,1.0773,1.065,58418019098.11,4.8332,21.9793,20.0,2.0,2.6087,62.3234,10.702034722222225,16.01209701953212,12.886147619047618,7.388182806051605,26.714131741754343,5.497964812996012
2011-05-31,18.39,20.9962,14.1718,7.5508,8.4176,1.0928,1.0671,59255784402.33,4.8332,21.9793,20.0,2.0,2.6087,62.3234,10.813414087301586,15.839335374484302,12.797157142857143,7.303478297178055,26.652749461785888,5.493678845679089
2011-06-01,17.46,20.9538,20.0103,7.1819,8.4083,1.0379,1.065,56259162352.62,4.8302,21.8686,20.0,2.0,2.6087,62.3234,10.92260476190476,15.711908910828315,12.732581746031746,7.201939672609484,26.63451367273308,5.530642073422262
2011-06-02,17.56,20.8485,18.7272,7.2496,8.4083,1.0468,1.063,56581379777.32,4.6645,21.5944,20.0,2.0,2.6087,62.3234,11.014248214285711,15.622026754331229,12.70240873015873,7.168454676774169,26.63627496861694,5.533954053384561
2011-06-03,17.49,20.8087,18.9748,7.2189,8.4083,1.0426,1.06,56355827580.03,4.6645,21.7068,20.0,2.0,2.6087,62.3234,11.113397817460315,15.513061737478916,12.691181746031743,7.157418519208334,26.62645955493923,5.533763226823411
2011-06-06,17.0,21.0006,23.5329,6.934,8.4176,1.0133,1.0571,54776962199.0,4.684,21.7645,20.0,2.0,2.6087,62.3234,11.227475793650791,15.391857406026306,12.709973015873016,7.182907132702491,26.6193331996771,5.5270658831705255
2011-06-07,17.25,21.0229,21.8719,7.0359,8.4083,1.0282,1.0568,55582505760.75,4.684,21.7645,20.0,2.0,2.6087,62.3234,11.332191071428571,15.2837984149962,12.6936873015873,7.159566852261368,26.615989486424773,5.534120449325932
2011-06-08,17.23,20.8732,21.1445,7.0952,8.4038,1.027,1.0566,55518062275.81,4.684,21.7685,20.0,2.0,2.6087,62.3234,11.438573214285716,15.164426309140312,12.66832380952381,7.123547588256209,26.60299952342603,5.544776221267601
2011-06-09,17.17,20.8655,21.523,7.0734,8.4038,1.0239,1.0556,55324731820.99,4.6669,21.7536,20.0,2.0,2.6087,62.3234,11.541826984126985,15.054959139734446,12.66588492063492,7.120437634596141,26.596786123861428,5.545447286038779
2011-06-10,16.8,20.8513,24.1149,6.9256,8.4038,1.0031,1.0546,54132527349.6,4.6166,21.7404,20.0,2.0,2.6087,62.3234,11.65475734126984,14.93465769675996,12.710613492063493,7.17474092018233,26.5894150380298,5.535872571881162
2011-06-13,17.12,20.7382,21.1343,7.0755,8.4176,1.0236,1.0538,55163623108.64,4.5825,21.6337,21.0,2.0,2.6087,62.3234,11.752280952380952,14.835231866665584,12.72877619047619,7.193268978443032,26.587512819046538,5.535507212033157
2011-06-14,17.34,20.7394,19.6044,7.1659,8.4083,1.0367,1.0531,55872501442.98,4.5869,21.6385,21.0,2.0,2.6087,62.3234,11.837452976190477,14.75647770104319,12.731529365079366,7.195853715934829,26.593930677233665,5.535675649144537
2011-06-15,16.71,20.7095,23.9348,6.925,8.4038,1.0001,1.0526,53842531667.37,4.5574,21.4858,22.0,2.0,2.6087,62.3234,11.926060317460315,14.694521240569818,12.758861111111113,7.2320113943271584,26.62058155803013,5.5268497167839525
2011-06-16,16.42,20.7268,26.229,6.8113,8.4038,0.9837,1.052,52908101135.74,4.5311,21.468,22.0,2.0,2.6087,62.3234,12.01315257936508,14.64879471619329,12.762077777777778,7.237956575574664,26.66194729555837,5.524121202203114
2011-06-17,16.57,20.5475,24.0042,6.873,8.4038,0.9926,1.0511,53391427272.79,4.5357,21.4715,22.0,2.0,2.6087,62.3234,12.083657142857144,14.620742232467585,12.75967619047619,7.234144537062477,26.704399375324726,5.525531653413713
2011-06-20,16.49,20.5748,24.7714,6.8239,8.4176,0.987,1.0502,53133653333.03,4.5887,21.676,22.0,2.0,2.6087,62.3234,12.160338888888887,14.585625095730334,12.742101587301589,7.201925237556952,26.745963984619223,5.540176349744637
2011-06-21,16.92,20.2464,19.6596,7.0091,8.4083,1.0142,1.0489,54519188259.24,4.5124,21.6353,22.0,2.0,2.6087,62.3234,12.213545634920637,14.56391405519206,12.684176984126983,7.115504368137815,26.777459690112696,5.56867261598917
2011-06-22,16.28,20.235,24.2936,6.7454,8.4038,0.9759,1.0476,52456996741.16,4.5124,21.6341,22.0,2.0,2.6087,62.3234,12.27896865079365,14.543918957294606,12.689625396825395,7.124192595284896,26.82288760808826,5.565432801540501
2011-06-23,15.94,20.1048,26.128,6.6442,8.4038,0.9574,1.0476,51361457497.18,4.3308,21.1975,21.0,2.0,2.6087,62.3234,12.3535873015873,14.518232616772307,12.708296825396824,7.156488861926087,26.87181991835961,5.551807963470738
2011-06-24,15.33,20.1617,31.5179,6.3944,8.4038,0.9214,1.0476,49395931206.51,4.3317,21.2,21.0,2.0,2.6087,62.3234,12.436625396825397,14.507897155310197,12.77092619047619,7.286159045271444,26.94452255213559,5.484767145204747
2011-06-27,15.39,20.1634,31.0162,6.4189,8.4176,0.9291,1.0468,49589261661.33,4.3317,21.1994,21.0,2.0,2.6087,62.3234,12.510505555555556,14.50751361584635,12.823040476190476,7.393059406661824,27.018019171401903,5.429981069528652
2011-06-28,15.64,20.1646,28.9297,6.5232,8.4083,0.9442,1.0467,50394805223.08,4.3317,21.1994,21.0,2.0,2.6087,62.3234,12.578397222222222,14.504120910257134,12.85859523809524,7.459892538645544,27.08251813247936,5.398702699449695
2011-06-29,16.13,20.1593,24.9802,6.7276,8.4038,0.9737,1.0467,51973670604.11,4.3317,21.1994,21.0,2.0,2.6087,62.3234,12.639369841269842,14.49150509551322,12.86160793650794,7.464747587733883,27.130874936783066,5.396860348774056
2011-06-30,16.43,20.1149,22.4279,6.7845,8.4038,0.9878,1.0446,52940322878.21,4.296,21.2244,21.0,2.0,2.6087,62.3234,12.702305753968254,14.46492390986416,12.837726984126984,7.428922497454685,27.167229663832416,5.4088044866723
2011-07-01,17.09,20.1004,17.615,7.0605,8.4038,1.0281,1.0426,55066957881.23,4.2659,21.1195,21.0,2.0,2.6087,62.3234,12.754176587301586,14.43548551855156,12.78348253968254,7.36815989618134,27.189662105853145,5.4153226435012
2011-07-05,16.74,20.1081,20.1201,6.9142,8.4083,1.0071,1.0384,53939196894.78,4.2659,21.1195,21.0,2.0,2.6087,62.3234,12.812908333333333,14.405025864492986,12.763844444444445,7.34506301217976,27.21793419782632,5.418781432264683
2011-07-06,16.17,20.0702,24.12,6.7555,8.4038,0.9734,1.0381,52102557573.99,4.2657,21.1572,21.0,1.0,4.0,62.3234,12.876628968253968,14.383813380003636,12.794779365079366,7.384826852343466,27.260442348257605,5.4099525127359
2011-07-07,16.19,20.0633,23.924,6.7639,8.4038,0.9746,1.0379,52167001058.93,4.2657,21.1572,21.0,1.0,4.0,62.3234,12.935201190476189,14.368536733147527,12.843687301587302,7.438197259734362,27.30373792362372,5.40549004185294
2011-07-08,15.8,20.0712,27.0329,6.5993,8.4038,0.9512,1.0373,50910353102.6,4.2657,21.1665,21.0,1.0,4.0,62.3234,13.004798015873016,14.351659089085908,12.908484126984126,7.526143060606032,27.356457104958924,5.3823410663780935
2011-07-11,14.98,20.0543,33.8738,6.2599,8.4176,0.9018,1.0367,48268170220.06,4.2657,21.1442,21.0,1.0,4.0,62.3234,13.085423214285717,14.35453600426335,13.02821746031746,7.7374570209814415,27.439959218549063,5.290760439336019
2011-07-12,14.6,20.0543,37.3582,6.1011,8.4083,0.8789,1.0324,47043744006.2,4.2657,21.1442,21.0,1.0,4.0,62.3234,13.180848214285714,14.355721364858203,13.168963492063494,8.014724059395858,27.536569579143915,5.154239432667636
2011-07-13,14.69,20.0596,36.5528,6.1387,8.4038,0.8843,1.0282,47333739688.43,4.2657,21.1442,21.0,1.0,4.0,62.3234,13.27585,14.351636185019435,13.355494444444444,8.281005172768051,27.62748618501944,5.074489271676393
2011-07-14,14.56,20.0614,37.7843,6.0844,8.4038,0.8765,1.0282,46914857036.32,4.2657,21.1442,21.0,1.0,4.0,62.3234,13.382644444444445,14.33330382234706,13.588736507936508,8.54971071858334,27.7159482667915,5.039025789353168
2011-07-15,14.51,20.0712,38.3267,6.0607,8.4038,0.8735,1.0281,46753748323.97,4.2657,21.1421,21.0,1.0,4.0,62.3234,13.492424404761906,14.31198881435034,13.835638888888887,8.809486216137573,27.80441321911225,5.026152672751314
2011-07-18,13.48,20.0779,48.9458,5.6282,8.4176,0.8115,1.0281,43434908849.56,4.2657,21.1608,21.0,1.0,4.0,62.3234,13.620181746031744,14.340534363764707,14.185764285714288,9.311093058716397,27.96071610979645,4.874671226997892
2011-07-19,13.96,19.991,43.202,5.8261,8.4083,0.8416,1.028,44981552488.12,4.2053,21.1047,21.0,1.0,4.0,62.3234,13.738167261904762,14.338806987726496,14.481511904761906,9.633254471985026,28.076974249631256,4.84825743277688
2011-07-20,14.41,19.992,38.737,6.0144,8.4038,0.8687,1.0279,46431530899.27,4.2053,21.1006,21.0,1.0,4.0,62.3234,13.84228869047619,14.329404630464998,14.709771428571427,9.863636582923132,28.171693320941188,4.846134845648297
2011-07-21,15.81,19.8407,25.4946,6.607,8.4038,0.9534,1.0274,50942574845.07,4.2215,21.202,21.0,1.0,4.0,62.3234,13.917212896825395,14.291286375304663,14.84785634920635,9.89205036943513,28.208499272130062,4.955805979771219
2011-07-22,15.6,19.8041,26.9494,6.5384,8.4038,0.9442,1.027,50265918253.2,4.0734,20.9906,21.0,2.0,4.5,62.3234,14.00198988095238,14.24142543222096,14.996901587301588,9.93202220117534,28.24341531317334,5.064879386126249
2011-07-25,14.99,19.7153,31.523,6.334,8.4176,0.9087,1.0256,48300391962.53,4.0755,21.1344,23.0,2.0,4.5,62.3234,14.096643253968251,14.198880807279156,15.184018253968254,10.019829331108712,28.29552406124741,5.164188922859541
2011-07-26,15.06,19.6428,30.4303,6.405,8.4176,0.9133,1.0241,48525944159.82,4.0201,20.9788,23.0,2.0,4.5,62.3234,14.18257222222222,14.166320605555562,15.344624603174603,10.101057453805131,28.34889282777778,5.243567149369472
2011-07-27,14.36,19.6775,37.0299,6.1088,8.4083,0.8702,1.024,46270422186.92,4.0168,21.1114,23.0,2.0,4.5,62.3234,14.280030357142858,14.154177425452394,15.552511111111112,10.275563311252476,28.43420778259525,5.276947799858636
2011-07-28,14.69,19.6764,33.9442,6.2495,8.4038,0.8902,1.0239,47333739688.43,4.0168,21.1062,23.0,2.0,4.5,62.3234,14.37482123015873,14.125491682936197,15.74909365079365,10.388882503928984,28.500312913094923,5.360211146864666
2011-07-29,14.56,19.7408,35.5824,6.1894,8.4038,0.8813,1.0238,46914857036.32,4.0531,21.1045,23.0,2.0,4.5,62.3234,14.475053571428573,14.09630297847995,15.936981746031746,10.531959664650568,28.57135654990852,5.405022081381178
2011-08-01,14.35,19.7408,37.5666,6.1002,8.4176,0.8686,1.0236,46238200444.45,4.0531,21.1045,23.0,2.0,4.5,62.3234,14.583084920634922,14.064118926483214,16.14592380952381,10.697868517079042,28.64720384711813,5.448055292444769
2011-08-02,14.02,19.0096,35.5892,5.9743,8.4083,0.9027,1.0189,47766858805.4,3.8708,20.6418,23.0,2.0,4.5,62.3234,14.694821428571428,14.006626651070713,16.36791904761905,10.809126302081806,28.70144807964214,5.558792745537245
2011-08-03,14.27,19.0208,33.2922,6.077,8.4038,0.9188,1.0142,48618621622.9,3.8708,20.6554,23.0,2.0,4.5,62.3234,14.802918055555557,13.939211423136538,16.57409523809524,10.882556014509625,28.74212947869209,5.691539223585616
2011-08-04,12.6,19.0234,50.9794,5.3672,8.4038,0.8113,1.0138,42928846002.0,3.8708,20.6453,23.0,2.0,4.5,62.3234,14.95263234126984,13.921697588267488,16.922785714285713,11.271678975015067,28.87432992953733,5.651106739270645
2011-08-05,12.47,18.8668,51.2975,5.3297,8.4038,0.8043,1.0133,42485929336.9,3.8065,20.5602,23.0,2.0,4.5,62.3234,15.101449206349209,13.908502136277384,17.285298412698413,11.633975546984784,29.0099513426266,5.651322865713629
2011-08-08,10.84,18.5967,71.5563,4.6775,8.4176,0.7006,1.0102,36932435766.8,3.7298,20.3644,23.0,2.0,4.5,62.3234,15.292683134920631,14.020583034736177,17.818559523809522,12.54153449073402,29.31326616965681,5.277025033075503
2011-08-09,12.03,18.5938,54.5619,5.1923,8.4083,0.7775,1.0071,40986826778.1,3.7298,20.3529,23.0,2.0,4.5,62.3234,15.446200992063492,14.02613291793684,18.237457936507937,12.878512675966078,29.47233391000033,5.358945260541859
2011-08-10,10.61,18.573,75.0518,4.58,8.4083,0.6857,1.0051,36148813974.7,3.7298,20.3565,23.0,2.0,4.5,62.3234,15.628231746031746,14.20243322922249,18.824766666666665,13.746575256090605,29.83066497525424,5.078191410576061
2011-08-11,11.99,18.3771,53.2702,5.1672,8.4083,0.7766,1.0031,40850544727.3,3.6777,20.6243,23.0,2.0,4.5,62.3234,15.771815674603175,14.216476738821816,19.2210507936508,14.01368318583954,29.988292413425,5.207367607811253
2011-08-12,12.1,18.3788,51.8909,5.2139,8.4083,0.7837,1.0016,41225320367.0,3.6472,20.388,22.0,2.0,4.5,62.3234,15.915225793650794,14.215547100063608,19.606007936507936,14.239612937540787,30.1307728937144,5.366394998967149
2011-08-15,12.23,18.3788,50.2764,5.27,8.4083,0.7921,1.0001,41668237032.1,3.6472,20.388,22.0,2.0,4.5,62.3234,16.057074603174605,14.2009856649353,19.96869603174603,14.434422915186689,30.258060268109908,5.534273116559342
2011-08-16,11.84,18.3913,55.3319,5.1019,8.4038,0.7669,0.9964,40339487036.8,3.6472,20.388,22.0,2.0,4.5,62.3234,16.1967625,14.240390979967884,20.40743412698413,14.662511197555096,30.437153479967883,5.744922929429032
