date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2020-02-11,46.6,43.2727,-7.1401,4.107,4.4438,0.6104,0.5939,5008802398.0,-0.3871,37.5378,2.0,2.0,26.3059,40.8044
2020-02-12,46.03,43.2727,-5.9902,4.0523,4.4428,0.6029,0.594,4947535930.9,-0.3871,37.6949,2.0,2.0,26.3059,40.8044
2020-02-13,45.98,45.6364,-0.7473,4.036,4.4417,0.6028,0.594,4942161679.4,-0.3877,37.7296,2.0,2.0,26.3059,40.8044
2020-02-14,46.65,45.6364,-2.1728,4.0904,4.4408,0.613,0.5942,5014176649.5,-0.3889,38.0912,3.0,2.0,26.3059,41.5466
2020-02-18,47.04,45.6364,-1.6312,4.1231,4.436,0.6181,0.5944,5056095811.2,-0.3889,38.0912,3.0,2.0,26.3059,41.5466
2020-02-19,46.9,45.6364,-1.3375,4.1108,4.432,0.6163,0.5944,5041047907.0,-0.3889,38.0912,3.0,2.0,26.3059,41.5466
2020-02-20,47.37,45.6364,-2.3164,4.152,4.4311,0.6225,0.5944,5091565871.1,-0.3889,38.0912,3.0,2.0,26.3059,41.5466
2020-02-21,46.1,45.6364,0.3746,4.0407,4.4302,0.6058,0.5944,4955059883.0,-0.3889,38.0912,3.0,2.0,26.3059,41.5466
2020-02-24,43.12,45.6364,7.3115,3.7795,4.4274,0.5666,0.5944,4634754493.6,-0.3889,38.0912,3.0,2.0,26.3059,41.5466
2020-02-25,41.61,45.6364,11.2057,3.6472,4.4245,0.5468,0.5944,4472452098.3,-0.3889,38.0912,3.0,2.0,26.3059,41.5466
2020-02-26,40.81,45.6364,13.3857,3.577,4.4233,0.5363,0.5944,4386464074.3,-0.3889,38.0912,3.0,2.0,26.3059,41.5466
2020-02-27,37.91,45.6364,22.0594,3.3228,4.4221,0.4981,0.5942,4074757487.3,-0.3889,38.0912,3.0,2.0,26.3059,41.5466
2020-02-28,35.84,45.6364,29.1091,3.1288,4.4216,0.4693,0.594,3852263475.2,-0.3868,38.1513,3.0,2.0,26.3059,41.5466
2020-03-02,37.46,45.6364,23.5256,3.2702,4.421,0.4905,0.594,4026389223.8,-0.3868,38.1513,3.0,2.0,26.3059,41.5466
2020-03-03,34.16,45.6364,35.4587,2.9822,4.4175,0.4473,0.5939,3671688624.8,-0.3868,38.1513,3.0,2.0,26.3059,41.5466
