date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2011-07-07,54.66,47.3,-13.4651,43.1447,27.9187,2.2489,1.0689,1576230420.0,16.5315,26.3621,3.0,10.0,22.53,17.7554,-0.2620714285714285,9.934008145245109,-5.29965,3.928475147469661,9.67193671667368,-9.228125147469662
2011-07-08,54.28,48.6,-10.4643,42.7604,28.001,2.2333,1.0706,1565272360.0,16.2598,26.1604,4.0,10.0,22.53,17.7554,-0.3036156746031746,9.932802539238814,-5.363898412698412,3.946319209654009,9.62918686463564,-9.310217622352422
2011-07-11,53.65,48.6,-9.4129,42.2641,28.0476,2.2073,1.0738,1547105050.0,16.2598,26.1604,4.0,10.0,22.53,17.7554,-0.3392537698412698,9.933200378751897,-5.4284349206349205,3.945510290998819,9.593946608910628,-9.37394521163374
2011-07-12,53.73,48.6,-9.5477,42.3271,28.0476,2.2106,1.0746,1549412010.0,16.2598,26.1604,4.0,10.0,22.53,17.7554,-0.3760690476190476,9.93287575772103,-5.484861904761904,3.953231886098252,9.556806710101982,-9.438093790860156
2011-07-13,55.51,48.6,-12.4482,43.7293,28.0482,2.2839,1.0754,1600741870.0,16.2598,26.1604,4.0,10.0,22.53,17.7554,-0.419031746031746,9.938179253037692,-5.577690476190476,3.978447672637581,9.519147507005949,-9.556138148828056
2011-07-14,54.5,48.6,-10.8257,42.9337,28.065,2.2423,1.0768,1571616500.0,16.2598,26.1604,4.0,10.0,22.53,17.7554,-0.4591688492063492,9.93928009747703,-5.639974603174603,3.998799455396164,9.48011124827068,-9.638774058570768
2011-07-15,53.99,48.6,-9.9833,42.5319,28.0976,2.2213,1.0791,1556909630.0,16.2598,26.1604,4.0,10.0,22.53,17.7554,-0.4989573412698412,9.937184216996698,-5.690669841269841,4.01313965020531,9.438226875726857,-9.703809491475152
2011-07-18,54.39,48.6,-10.6453,42.847,28.1301,2.2378,1.0827,1568444430.0,16.2598,26.1604,4.0,10.0,22.53,17.7554,-0.5412636904761905,9.934897417729283,-5.736350793650794,4.0366370042160336,9.393633727253096,-9.772987797866827
2011-07-19,54.415,48.6,-10.6864,42.8667,28.1463,2.2388,1.0843,1569165355.0,16.2598,26.1604,4.0,10.0,22.53,17.7554,-0.5854148809523809,9.93042999364491,-5.766324603174604,4.059377119386258,9.34501511269253,-9.82570172256086
2011-07-20,54.0,48.6,-10.0,42.5398,28.1606,2.2217,1.0846,1557198000.0,16.2598,26.1604,4.0,10.0,22.53,17.7554,-0.6308327380952381,9.921015311787253,-5.826269047619048,4.065731083906205,9.290182573692016,-9.892000131525254
2011-07-21,52.0,48.6,-6.5385,40.9642,28.1928,2.1635,1.0856,1516372000.0,16.2598,26.1604,4.0,10.0,22.53,17.7554,-0.6716450396825396,9.902872917269988,-5.855028571428572,4.057780241322093,9.231227877587449,-9.912808812750663
2011-07-22,48.89,52.9,8.2021,37.0913,28.2184,2.0161,1.0865,1425681290.0,16.6653,26.6162,4.0,10.0,22.53,17.7585,-0.6736349206349206,9.900984942267437,-5.7635523809523805,4.241074824254002,9.227350021632516,-10.004627205206384
2011-07-25,49.56,52.9,6.7393,37.5996,28.2432,2.0437,1.0883,1445219160.0,16.6653,26.6162,4.0,10.0,22.53,17.7585,-0.685839880952381,9.888013908123868,-5.679826190476191,4.3817456985127965,9.202174027171488,-10.061571888988986
2011-07-26,48.53,52.9,9.0047,36.8181,28.245,2.0013,1.0883,1415183330.0,16.6653,26.6162,4.0,10.0,22.53,17.7585,-0.6911952380952381,9.88201942813244,-5.579402380952382,4.569639858028321,9.1908241900372,-10.149042238980702
2011-07-27,47.24,52.9,11.9814,35.6259,28.2578,1.9455,1.0885,1377565640.0,16.6671,26.6406,4.0,9.0,22.2556,17.7585,-0.6894176587301587,9.884222365408942,-5.45385873015873,4.827886746348755,9.194804706678784,-10.281745476507483
2011-07-28,46.77,52.9,13.1067,35.2715,28.2706,1.9262,1.0887,1363859970.0,16.6671,26.6406,4.0,9.0,22.2556,17.7585,-0.6852718253968254,9.889579103071185,-5.305565079365079,5.103151412472255,9.204307277674358,-10.408716491837334
2011-07-29,46.37,52.9,14.0824,34.9698,28.2818,1.9097,1.0887,1352195570.0,16.6671,26.6406,4.0,9.0,22.2556,17.7585,-0.6805523809523809,9.896068515430736,-5.179015873015873,5.379436400552831,9.215516134478356,-10.558452273568705
2011-08-01,46.32,52.9,14.2055,34.9321,28.3088,1.9076,1.089,1350737520.0,16.6667,26.6406,4.0,9.0,22.2556,17.7585,-0.6768291666666666,9.90132445534938,-5.054776984126984,5.6407025119246255,9.224495288682714,-10.69547949605161
2011-08-02,44.53,52.9,18.7963,33.5822,28.317,1.8339,1.0892,1298539330.0,16.6667,26.6406,4.0,9.0,22.2556,17.7585,-0.6580611111111111,9.929269353157265,-4.874673015873016,6.027030080395548,9.271208242046152,-10.901703096268564
2011-08-03,46.04,52.9,14.9001,34.721,28.3252,1.8961,1.0895,1342572440.0,16.6667,26.6406,4.0,9.0,22.2556,17.7585,-0.6340591269841269,9.95224706660088,-4.725070634920636,6.27885512912167,9.318187939616754,-11.003925764042306
2011-08-04,45.18,52.9,17.0872,34.0724,28.3252,1.8607,1.0902,1317493980.0,16.6667,26.6406,4.0,9.0,22.2556,17.7585,-0.6103480158730158,9.980219935969942,-4.544479365079365,6.571928670694584,9.369871920096926,-11.116408035773947
2011-08-05,44.28,52.6,18.7895,33.3937,28.3477,1.8236,1.0904,1291249080.0,16.6667,26.6406,4.0,9.0,22.2556,17.7585,-0.5951978174603175,10.003881214721789,-4.357751587301587,6.892793103974913,9.40868339726147,-11.2505446912765
2011-08-08,40.76,52.6,29.0481,30.7391,28.3733,1.6787,1.0946,1188602360.0,16.6667,26.6406,4.0,9.0,22.2556,17.7585,-0.5611964285714285,10.075340449494776,-4.076996031746032,7.505179757979868,9.514144020923348,-11.5821757897259
