date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2002-03-04,28.959999,28.9782,0.0628,44.4992,55.5611,19.0347,56.2692,2579320515.4151,26.785,-5.8356,4.0,1.0,20.0,-25.6546,22.45235172413793,43.85393038242932,19.793173015873016,44.34460082932019,66.30628210656725,-24.551427813447177
2002-03-05,28.950001,31.3738,8.3724,44.4992,55.5611,19.0282,56.2297,2578430044.1649,26.785,-5.8397,4.0,1.0,20.0,-25.6546,22.355913698630136,43.71798063260284,19.228651587301588,44.03004217066294,66.07389433123298,-24.80139058336135
2002-03-06,30.43,31.3738,3.1015,44.4992,55.5611,20.0009,56.1392,2710246063.34,26.7465,-6.0841,4.0,1.0,20.0,-25.6546,22.22493129251701,43.59693780038992,18.47003809523809,43.46994843012511,65.82186909290692,-24.99991033488701
2002-03-07,30.48,31.3738,2.9324,44.4992,55.5611,20.0338,56.0488,2714699310.24,26.7465,-6.0841,4.0,1.0,20.0,-25.6546,22.09457635135135,43.47732717287315,17.615314285714284,42.69528352354196,65.5719035242245,-25.07996923782768
2002-03-08,30.77,31.9968,3.987,44.4992,55.5611,20.2244,55.7828,2740528142.26,26.7465,-6.2656,4.0,1.0,20.0,-25.6546,21.97304899328859,43.355580903861714,16.540583333333334,41.28620444859662,65.32862989715031,-24.745621115263287
2002-03-11,31.280001,31.9968,2.2916,44.4992,55.5611,20.5596,55.5169,2785951349.7049,26.7465,-6.163,4.0,1.0,20.0,-25.6546,21.841839333333333,43.2397191546919,15.552185714285717,40.098387581628685,65.08155848802522,-24.54620186734297
2002-03-12,31.0,31.9968,3.2155,44.4992,55.5611,20.3756,55.2793,2761013078.0,26.7465,-6.163,4.0,1.0,20.0,-25.6546,21.71848609271523,43.12199488826714,14.52408095238095,38.70578246739825,64.84048098098236,-24.181701515017306
2002-03-13,29.870001,31.9968,7.1202,44.4992,55.5611,19.6329,55.0417,2660369787.1249,26.7465,-6.163,4.0,1.0,20.0,-25.6546,21.622444736842105,42.99527730027166,13.414977777777777,36.840447554746966,64.61772203711377,-23.425469776969187
2002-03-14,29.549999,31.9968,8.2802,44.4992,55.5611,19.4225,54.6834,2631868828.8351,26.7465,-6.163,4.0,1.0,20.0,-25.6546,21.535240522875817,42.86718521567429,12.203908730158728,34.38016364909281,64.40242573855011,-22.17625491893408
2002-03-15,28.969999,31.9968,10.4481,44.4992,55.5611,19.0413,54.3251,2580211164.7951,26.7465,-6.163,4.0,1.0,20.0,-25.6546,21.463246103896104,42.73620657011964,11.043599206349208,31.839480879601016,64.19945267401575,-20.79588167325181
2002-03-18,29.1,31.9968,9.9546,44.4992,55.5611,19.1268,54.1489,2591789695.8,26.7465,-6.163,4.0,1.0,20.0,-25.6546,21.388996774193547,42.60725559229397,9.965999206349206,29.452731028421773,63.996252366487525,-19.486731822072567
2002-03-19,29.6,31.9968,8.0973,44.4992,55.5611,19.4554,53.9727,2636322164.8,26.7465,-6.163,4.0,1.0,20.0,-25.6546,21.303793589743588,42.482921349547375,9.111578571428572,27.878775255551243,63.78671493929096,-18.76719668412268
2002-03-20,30.530001,31.9968,4.8045,44.4992,55.5611,20.0667,53.8826,2719152646.2049,26.7465,-5.9661,4.0,1.0,20.0,-25.6546,21.1987025477707,42.36700735845224,8.15688253968254,25.861870037248504,63.56570990622294,-17.704987497565966
2002-03-21,31.01,31.9968,3.1822,44.4992,55.5611,20.3822,53.7924,2761903727.38,26.7465,-5.9661,4.0,1.0,20.0,-25.6546,21.08467405063291,42.25618084824411,7.171954761904763,23.54841847500626,63.34085489887701,-16.3764637131015
2002-03-22,32.41,31.9968,-1.2749,44.4992,55.5611,21.3023,53.515,2886594640.58,26.7465,-5.9661,4.0,1.0,20.0,-25.6546,20.944047798742137,42.15955399700113,6.223414285714286,21.342466182417475,63.10360179574327,-15.119051896703189
2002-03-25,31.059999,31.9968,3.0161,44.4992,55.5611,20.415,53.2377,2766356885.2151,26.7465,-6.1167,4.0,1.0,20.0,-25.6546,20.831998125,42.05066017933063,5.482404761904762,19.74839815923449,62.88265830433063,-14.265993397329732
2002-03-26,30.42,31.9968,5.1834,44.4992,55.5611,19.9944,53.2132,2709355413.96,26.7465,-6.1167,4.0,1.0,20.0,-25.6546,20.73480186335404,41.9371839078497,4.988518253968254,18.94916308735727,62.67198577120374,-13.960644833389017
2002-03-27,30.379999,31.9968,5.3219,44.4992,55.5611,19.9681,53.1887,2705792727.3751,26.7465,-6.1167,4.0,1.0,20.0,-25.6546,20.63966049382716,41.82427555951424,4.309896825396826,17.31068606094597,62.4639360533414,-13.000789235549142
2002-03-28,30.76,31.9968,4.0208,44.4992,55.5611,20.2178,53.1496,2739637492.88,26.7465,-6.1167,4.0,1.0,20.0,-25.6546,20.537704294478527,41.715302453748265,3.788134126984127,16.28230147478744,62.2530067482268,-12.494167347803314
2002-04-01,31.0,31.9968,3.2155,44.4992,55.5611,20.3756,53.0075,2761013078.0,26.7465,-6.1167,4.0,1.0,20.0,-25.6546,20.43208109756097,41.609136227005386,3.3673801587301586,15.586401140568736,62.04121732456636,-12.21902098183858
2002-04-02,33.259998,31.9968,-3.7979,44.4992,55.5611,21.861,52.9046,2962299659.7501,26.7465,-6.1167,4.0,1.0,20.0,-25.6546,20.285232727272728,41.5249505743104,2.890330952380953,14.855760222531648,61.81018330158312,-11.965429270150697
2002-04-03,31.76,31.9968,0.7456,44.4992,55.5611,20.8751,52.9034,2828702430.88,26.7465,-6.1167,4.0,1.0,20.0,-25.6546,20.167524096385545,41.42669513924006,2.4076373015873016,13.890781811965686,61.5942192356256,-11.483144510378384
