date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2010-01-27,226.77,250.8,10.5966,17.2705,19.4648,3.4976,4.2378,35158475678.34,26.6278,26.6213,1.0,4.0,15.075,7.2889
2010-01-28,219.64,250.8,14.1869,16.7275,19.4648,3.3876,4.2378,34053038752.88,26.6278,26.6981,1.0,4.0,15.075,7.2889
2010-01-29,213.82,250.8,17.2949,16.2842,19.4648,3.2979,4.2378,33150704544.44,26.6278,26.6981,1.0,4.0,15.075,7.2889
2010-02-01,216.57,250.8,15.8055,16.4937,19.4886,3.3403,4.2392,33577065209.94,26.6278,26.6981,1.0,4.0,15.075,7.2889
2010-02-02,216.0,250.8,16.1111,16.4502,19.4711,3.3315,4.2385,33488692272.0,26.6278,26.6981,1.0,4.0,15.075,7.2889
2010-02-03,220.64,250.8,13.6693,16.7972,19.4648,3.4013,4.2378,34208078994.88,26.6366,26.7007,1.0,4.0,15.075,7.2889
2010-02-04,211.25,250.8,18.7219,16.0824,19.4648,3.2566,4.2378,32752251122.5,26.6366,26.7007,1.0,4.0,15.075,7.2889
2010-02-05,208.79,250.8,20.1207,15.8951,19.4648,3.2187,4.2378,32370852127.18,26.6366,26.7007,1.0,4.0,15.075,7.2889
2010-02-08,204.66,250.8,22.5447,15.5807,19.4886,3.155,4.2392,31730535927.72,26.6366,26.7007,1.0,4.0,15.075,7.2889
2010-02-09,208.88,250.8,20.0689,15.9019,19.4711,3.22,4.2385,32384805748.96,26.6366,26.7007,1.0,4.0,15.075,7.2889
2010-02-10,211.13,250.8,18.7894,16.0732,19.4648,3.2547,4.2378,32733646293.46,26.6366,26.7007,1.0,4.0,15.075,7.2889
2010-02-11,207.3,256.4444,23.7069,15.7817,19.4648,3.1957,4.2378,32139842166.6,27.0183,26.7908,1.0,4.0,15.075,7.2889
2010-02-12,207.16,256.4444,23.7905,15.771,19.4648,3.1935,4.2378,32118136532.72,27.0183,26.7908,1.0,4.0,15.075,7.2889
2010-02-16,210.41,256.4444,21.8784,16.0184,19.4886,3.2436,4.2392,32622017319.22,27.0183,26.7908,1.0,4.0,15.075,7.2889
2010-02-17,213.09,256.4444,20.3456,16.2489,19.4711,3.2279,4.2392,33037525167.78,27.7092,26.7558,1.0,4.0,15.075,7.2889
2010-02-18,213.73,256.4444,19.9852,16.2977,19.4711,3.2376,4.2392,33136750922.66,27.7092,26.7558,1.0,4.0,15.075,7.2889
2010-02-19,215.51,256.4444,18.9942,16.4335,19.4711,3.2645,4.2392,33412722553.42,27.7092,26.7558,1.0,4.0,15.075,7.2889
2010-02-22,217.23,256.4444,18.052,16.5646,19.506,3.2906,4.2415,33679391769.66,27.7092,26.7558,1.0,4.0,15.075,7.2889
2010-02-23,214.87,256.4444,19.3486,16.3847,19.4886,3.2548,4.2404,33313496798.54,27.7092,26.7558,1.0,4.0,15.075,7.2889
2010-02-24,218.36,256.4444,17.4411,16.6508,19.4711,3.3077,4.2392,33854587243.12,27.7092,26.7558,1.0,4.0,15.075,7.2889
2010-02-25,218.3,256.4444,17.4734,16.6462,19.4711,3.3068,4.2392,33845284828.6,27.709,26.7558,1.0,4.0,15.075,7.2889
2010-02-26,218.8,254.75,16.4305,16.6876,19.4711,3.2727,4.2392,33922804949.6,28.0814,26.747,1.0,3.0,14.3333,7.2889
2010-03-01,218.0,254.75,16.8578,16.6266,19.4886,3.2608,4.2404,33798772756.0,28.0814,26.747,1.0,3.0,14.3333,7.2889
2010-03-02,216.41,254.75,17.7164,16.5054,19.4711,3.237,4.2392,33552258771.22,28.0814,26.747,1.0,3.0,14.3333,7.2889
2010-03-03,216.08,254.75,17.8961,16.4802,19.4711,3.232,4.2392,33501095491.36,28.0814,26.747,1.0,3.0,14.3333,7.2889
2010-03-04,215.84,254.75,18.0272,16.4619,19.4711,3.2285,4.2392,33463885833.28,28.0814,26.747,1.0,3.0,14.3333,7.2889
2010-03-05,219.83,254.75,15.885,16.7662,19.4711,3.2881,4.2392,34082496398.86,28.0814,26.747,1.0,3.0,14.3333,7.2889
2010-03-08,218.12,254.75,16.7935,16.6358,19.506,3.2626,4.2415,33817377585.04,28.0814,26.747,1.0,3.0,14.3333,7.2889
2010-03-09,216.97,254.75,17.4125,16.5481,19.4886,3.2454,4.2404,33639081306.74,28.0814,26.747,1.0,3.0,14.3333,7.2889
2010-03-10,215.7,251.8571,16.7627,16.6399,19.4711,3.2553,4.2392,33442180199.4,27.8445,26.6607,1.0,2.0,14.0,7.2889
2010-03-11,210.41,253.2857,20.3772,16.135,19.4711,3.1755,4.2392,32622017319.22,27.8445,26.7846,1.0,2.0,14.0,7.2889
2010-03-12,210.0,253.2857,20.6122,16.1036,19.4711,3.1409,4.2378,32558450820.0,28.0261,26.7157,1.0,2.0,14.0,7.2889
2010-03-15,212.17,253.2857,19.3787,16.27,19.506,3.1734,4.2392,32894888145.14,28.0261,26.7157,1.0,2.0,14.0,7.2889
2010-03-16,212.35,254.7143,19.9502,16.2561,19.4886,3.1722,4.2385,32922795388.7,28.0502,26.746,1.0,2.0,14.0,7.2889
2010-03-17,222.8,254.7143,14.3242,17.0561,19.4711,3.3283,4.2378,34542965917.6,28.0502,26.746,1.0,2.0,14.0,7.2889
2010-03-18,225.66,254.7143,12.8753,17.275,19.4711,3.371,4.2378,34986381009.72,28.0502,26.746,1.0,2.0,14.0,7.2889
2010-03-19,224.35,254.7143,13.5343,17.1879,19.4711,3.3574,4.2378,34783278292.7,28.003,26.743,1.0,2.0,14.0,7.2889
