date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2021-03-11,69.76,70.1,0.4874,183.0491,183.0491,8.9971,9.5654,8046371349.76,23.6231,2349.3297,7.0,1.0,22.0,23.0793,14.013728571428572,10.656624069831604,14.013728571428572,10.656624069831604,24.670352641260177,3.357104501596968
2021-03-12,69.26,70.1,1.2128,181.7371,182.3931,8.9326,8.9971,7988699536.76,23.6231,2349.3297,7.0,1.0,22.0,23.0793,12.4136125,10.854641009716602,12.4136125,10.854641009716602,23.2682535097166,1.558971490283399
2021-03-15,73.47,70.1,-4.5869,192.784,183.0491,9.4756,9.2364,8474296202.22,23.6231,1881.6289,7.0,1.0,22.0,23.0793,10.524666666666668,11.627913603480206,10.524666666666668,11.627913603480206,22.15258027014688,-1.1032469368135374
2021-03-16,73.0,70.1,-3.9726,191.5508,187.3,9.4149,9.4149,8420084698.0,23.6231,1881.6289,7.0,1.0,22.0,23.0793,9.074940000000002,11.882857236297264,9.074940000000002,11.882857236297264,20.957797236297267,-2.8079172362972624
2021-03-17,72.67,70.1,-3.5365,190.6849,190.6849,9.3724,9.3937,8382021301.42,23.6231,1881.6289,7.0,1.0,22.0,23.0793,7.928445454545455,11.897101061129442,7.928445454545455,11.897101061129442,19.825546515674898,-3.968655606583988
2021-03-18,66.19,70.1,5.9072,173.6814,186.867,8.5366,9.3724,7634594604.94,23.6231,1881.6289,7.0,1.0,22.0,23.0793,7.760008333333334,11.358437460596765,7.760008333333334,11.358437460596765,19.1184457939301,-3.5984291272634303
2021-03-19,68.16,70.1,2.8462,178.8507,183.0491,8.7907,9.1848,7861821548.16,23.6231,1881.6289,7.0,1.0,22.0,23.0793,7.382023076923077,10.959939485246094,7.382023076923077,10.959939485246094,18.34196256216917,-3.5779164083230173
2021-03-22,68.37,70.1,2.5303,179.4017,182.3931,8.8178,8.9971,7886043709.62,23.6231,1881.6289,7.0,1.0,22.0,23.0793,7.035471428571428,10.609506355617594,7.035471428571428,10.609506355617594,17.644977784189024,-3.5740349270461653
2021-03-23,65.94,70.1,6.3088,173.0255,181.7371,8.5044,8.9648,7605758698.44,23.6231,1881.6289,7.0,1.0,22.0,23.0793,6.987026666666667,10.225297670725894,6.987026666666667,10.225297670725894,17.21232433739256,-3.238271004059227
2021-03-24,62.68,70.1,11.8379,164.4713,180.5694,8.084,8.9326,7229738477.68,23.6231,1881.6289,7.0,1.0,22.0,23.0793,7.29020625,9.952735840660011,7.29020625,9.952735840660011,17.242942090660012,-2.662529590660012
2021-03-25,61.72,70.1,13.5774,161.9522,179.4017,7.9601,8.8752,7119008596.72,23.6231,1881.6289,7.0,1.0,22.0,23.0793,7.660041176470588,9.756593418431123,7.660041176470588,9.756593418431123,17.416634594901712,-2.096552241960537
2021-03-26,62.6,69.6364,11.2403,161.5901,179.1262,8.078,8.8178,7220510987.6,23.5877,2090.3578,8.0,1.0,22.0,23.0793,7.858944444444445,9.502829207768924,7.858944444444445,9.502829207768924,17.36177365221337,-1.643884763324479
2021-03-29,62.06,69.6364,12.2082,160.1962,178.8507,8.0083,8.8042,7158225429.56,23.5877,2090.3578,8.0,1.0,22.0,23.0793,8.087852631578947,9.288835634086547,8.087852631578947,9.288835634086547,17.376688265665493,-1.2009830025076005
2021-03-30,59.4,68.5,15.3199,154.9296,176.266,7.6645,8.7907,6851411384.4,23.5928,1976.0705,9.0,1.0,22.0,23.0793,8.449455,9.184574589894847,8.449455,9.184574589894847,17.634029589894848,-0.7351195898948468
2021-03-31,62.38,68.5,9.8108,162.7021,173.6814,8.049,8.6636,7195135389.88,23.5928,1976.0705,9.0,1.0,22.0,23.0793,8.514280952380952,8.956943695458795,8.514280952380952,8.956943695458795,17.471224647839747,-0.4426627430778431
2021-04-01,61.48,68.1538,10.8552,160.3547,173.3534,7.9341,8.5366,7091326126.48,23.5928,1976.0705,9.0,1.0,22.0,23.0793,8.620686363636365,8.755318445721759,8.620686363636365,8.755318445721759,17.376004809358122,-0.1346320820853943
2021-04-05,63.99,68.1538,6.507,166.9014,173.0255,8.2581,8.5205,7380838627.74,23.5928,1976.0705,9.0,1.0,22.0,23.0793,8.52878695652174,8.565366431492071,8.52878695652174,8.565366431492071,17.09415338801381,-0.0365794749703312
2021-04-06,63.33,68.1538,7.6169,165.18,169.9634,8.1729,8.5044,7304711834.58,23.5928,1976.0705,9.0,1.0,22.0,23.0793,8.490791666666667,8.37916135872676,8.490791666666667,8.37916135872676,16.86995302539343,0.1116303079399063
2021-04-07,62.87,68.0769,8.282,164.3231,166.9014,8.1163,8.3813,7251653766.62,23.5675,2641.3423,9.0,1.0,22.0,23.0793,8.48244,8.202844493781816,8.48244,8.202844493781816,16.685284493781815,0.2795955062181843
2021-04-08,63.02,68.0769,8.0243,164.7151,166.0407,8.1357,8.2581,7268955310.52,23.5675,2641.3423,9.0,1.0,22.0,23.0793,8.464819230769232,8.03761558279664,8.464819230769232,8.03761558279664,16.50243481356587,0.4272036479725916
2021-04-09,60.21,68.7143,14.1244,160.6886,165.18,7.772,8.2155,6944839721.46,23.4055,2086.053,10.0,1.0,22.0,23.0793,8.674433333333333,7.956434582631362,8.674433333333333,7.956434582631362,16.630867915964693,0.7179987507019714
2021-04-12,58.5,68.7143,17.4603,156.1249,164.9476,7.5513,8.1729,6747602121.0,23.4055,2086.053,10.0,1.0,22.0,23.0793,8.988214285714287,7.982296959949898,8.988214285714287,7.982296959949898,16.970511245664184,1.005917325764389
2021-04-13,59.52,68.7143,15.4474,158.8471,164.7151,7.6829,8.1543,6865252619.52,23.4055,2086.053,10.0,1.0,22.0,23.0793,9.210944827586204,7.929698180600489,9.210944827586204,7.929698180600489,17.140643008186693,1.281246646985716
