date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2002-09-24,5.37,8.1092,51.0093,11.1875,11.3537,8.9646,5.061,1380067983.0,-13.4894,26.5812,1.0,1.0,20.0,17.7746
2002-09-25,5.5,8.1092,47.44,11.4583,11.3805,9.1816,5.069,1413477450.0,-13.4894,26.5812,1.0,1.0,20.0,17.7746
2002-09-26,5.33,8.1092,52.1426,11.1042,11.3537,8.8978,5.077,1369788147.0,-13.4894,26.5812,1.0,1.0,20.0,17.7746
2002-09-27,5.22,8.1092,55.3487,10.875,11.3269,8.7142,5.0894,1341518598.0,-13.4894,26.5812,1.0,1.0,20.0,17.7746
2002-09-30,5.35,8.1092,80.843,10.6957,11.3204,8.9312,5.1019,1374928065.0,-13.4894,26.5812,1.0,1.0,20.0,17.7746
2002-10-01,5.43,8.1092,78.1786,10.8557,11.3203,9.0647,5.105,1395487737.0,-13.4894,26.5812,1.0,1.0,20.0,17.7746
2002-10-02,5.34,8.1092,81.1816,10.8669,11.3202,8.9145,5.1081,1372358106.0,-13.4894,26.8047,1.0,1.0,20.0,17.0249
2002-10-03,5.43,8.1092,78.1786,11.0501,11.309,9.0647,5.1159,1395487737.0,-13.4894,26.8047,1.0,1.0,20.0,17.0249
2002-10-04,5.43,8.1092,78.1786,11.0501,11.2977,9.0647,5.1237,1395487737.0,-13.4894,26.8047,1.0,1.0,20.0,17.0249
2002-10-07,5.18,8.1092,86.778,10.5413,11.2752,8.6474,5.1246,1331238762.0,-13.4894,26.8047,1.0,1.0,20.0,17.0249
2002-10-08,5.14,8.1092,88.2315,10.4599,11.2528,8.5806,5.1255,1320958926.0,-13.4894,26.8047,1.0,1.0,20.0,17.0249
2002-10-09,5.22,8.1092,85.3467,10.6227,11.2516,8.7142,5.1255,1341518598.0,-13.4894,26.8047,1.0,1.0,20.0,17.0249
2002-10-10,5.08,8.1092,90.4547,10.3378,11.2504,8.4804,5.1255,1305539172.0,-13.4894,26.8047,1.0,1.0,20.0,17.0249
2002-10-11,5.12,8.1092,88.9668,10.4192,11.2446,8.5472,5.1402,1315819008.0,-13.4894,26.8047,1.0,1.0,20.0,17.0249
2002-10-14,5.37,8.1092,80.1695,10.928,11.2389,8.9646,5.1549,1380067983.0,-13.4894,26.8047,1.0,1.0,20.0,17.0249
2002-10-15,5.15,8.1092,87.866,10.4717,11.2384,8.5497,5.156,1323528885.0,-12.8935,27.042,1.0,1.0,20.0,17.3846
2002-10-16,5.1,8.1092,89.7078,10.3701,11.2378,8.4667,5.1571,1310679090.0,-12.8935,27.042,1.0,1.0,20.0,17.3846
2002-10-17,5.06,8.1092,91.2075,10.2887,11.2364,8.4003,5.1638,1300399254.0,-12.8935,27.042,1.0,1.0,20.0,17.3846
2002-10-18,5.15,8.1092,87.866,10.4717,11.235,8.5497,5.1705,1323528885.0,-12.8935,27.042,1.0,1.0,20.0,17.3846
2002-10-21,5.11,8.1092,89.3366,10.3904,11.2335,8.4833,5.1705,1313249049.0,-12.8935,27.042,1.0,1.0,20.0,17.3846
2002-10-22,5.33,8.1092,81.5216,10.8377,11.232,8.8482,5.1705,1369739990.45,-12.8935,27.042,1.0,1.0,20.0,17.3846
2002-10-23,5.43,8.1092,78.1786,11.0276,11.2221,8.8684,5.1783,1395438676.95,-13.0603,27.0036,1.0,1.0,20.0,17.507
2002-10-24,5.3,8.1092,82.5491,10.5326,11.2123,8.6561,5.1861,1362030384.5,-13.0603,27.3266,1.0,1.0,20.0,17.507
2002-10-25,5.23,8.1092,84.9924,10.3935,11.2012,8.5418,5.19,1344041303.95,-13.0603,27.3266,1.0,1.0,20.0,17.507
2002-10-28,5.29,8.1092,82.8941,10.5127,11.1901,8.6398,5.1939,1359460515.85,-13.0603,27.3266,1.0,1.0,20.0,17.507
2002-10-29,5.43,8.1092,78.1786,10.7909,11.1888,8.8684,5.1978,1395438676.95,-13.0603,27.3266,1.0,1.0,20.0,17.507
2002-10-30,5.48,8.1092,76.5529,10.8903,11.1875,8.9501,5.2017,1408288020.2,-13.0603,27.3266,1.0,1.0,20.0,17.507
2002-10-31,5.56,8.1092,74.0126,11.0493,11.1679,9.0808,5.2064,1428846969.4,-13.0603,27.3266,1.0,1.0,20.0,17.507
2002-11-01,5.69,8.1092,70.0369,11.3076,11.1875,9.2931,5.2112,1462255261.85,-13.0603,27.3266,1.0,1.0,20.0,17.507
2002-11-04,5.56,8.1092,74.0126,11.0493,11.1679,9.0808,5.2196,1428846969.4,-13.0603,27.3266,1.0,1.0,20.0,17.507
2002-11-05,5.56,8.1092,74.0126,11.0493,11.1483,9.0808,5.228,1428846969.4,-13.0603,27.3266,1.0,1.0,20.0,17.507
2002-11-06,5.65,8.1092,71.2407,11.2281,11.1679,9.2277,5.2395,1451975787.25,-13.0603,27.3266,1.0,1.0,20.0,17.507
2002-11-07,5.82,8.1092,66.2388,11.566,11.1875,9.5054,5.251,1495663554.3,-13.0603,27.3266,1.0,1.0,20.0,17.507
2002-11-08,6.08,8.1092,59.1299,12.0827,11.1888,9.93,5.2576,1562480139.2,-13.0603,27.3266,1.0,1.0,20.0,17.507
2002-11-11,6.13,8.1092,57.832,12.182,11.1901,10.0117,5.2641,1575329482.45,-13.0603,27.3266,1.0,1.0,20.0,17.507
2002-11-12,5.94,8.1092,62.8805,11.8045,11.2012,9.7014,5.2758,1526501978.1,-13.0603,27.3266,1.0,1.0,20.0,17.507
2002-11-13,5.88,8.1092,64.5425,11.6852,11.2123,9.6034,5.2875,1511082766.2,-13.0603,27.3266,1.0,1.0,20.0,17.507
2002-11-14,5.76,8.1092,67.9705,11.4467,11.2202,9.4074,5.2875,1480244342.4,-13.0603,27.3266,1.0,1.0,20.0,17.507
2002-11-15,5.88,8.1092,64.5425,11.6852,11.2281,9.6034,5.2875,1511082766.2,-13.0603,27.3266,1.0,1.0,20.0,17.507
2002-11-18,5.79,8.1092,67.1002,11.5064,11.23,9.4564,5.3212,1487953948.35,-13.0603,27.3266,1.0,1.0,20.0,17.507
2002-11-19,5.72,8.1092,69.1451,11.3672,11.232,9.3421,5.3549,1469964867.8,-13.0603,27.3266,1.0,1.0,20.0,17.507
2002-11-20,5.62,8.1092,72.1548,11.1685,11.23,9.1787,5.3559,1444266181.3,-13.0603,27.3266,1.0,1.0,20.0,17.507
2002-11-21,5.52,8.1092,75.2736,10.9698,11.2281,9.0154,5.3569,1418567494.8,-13.0603,27.3266,1.0,1.0,20.0,17.507
2002-11-22,5.5,8.1092,75.9109,12.1762,11.23,8.9828,5.377,1413427757.5,-13.0603,26.0208,1.0,1.0,20.0,17.507
