date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2002-03-01,6.7,6.1298,-8.5104,10.8449,8.6198,0.5062,0.3658,1418416800.0,12.976,29.9188,1.0,2.0,12.25,19.4797
2002-03-04,6.92,6.4046,-7.448,11.0033,8.638,0.5122,0.365,1464991680.0,12.9289,29.9537,1.0,2.0,12.25,19.3073
2002-03-05,6.72,6.4046,-4.6935,10.6853,8.6408,0.4974,0.3654,1422650880.0,12.9289,29.9537,1.0,2.0,12.25,19.3073
2002-03-06,6.82,6.4046,-6.0909,10.8443,8.6532,0.5048,0.3658,1443821280.0,12.9289,29.9537,1.0,2.0,12.25,19.3073
2002-03-07,7.12,6.4046,-10.0478,11.3214,8.6532,0.5271,0.3658,1507332480.0,12.9289,29.9537,1.0,2.0,12.25,19.3073
2002-03-08,7.13,6.4046,-10.1739,11.3373,8.6532,0.5278,0.3658,1509449520.0,12.9289,29.9537,1.0,2.0,12.25,19.3073
2002-03-11,7.06,6.4046,-9.2833,11.0003,8.638,0.5226,0.365,1494630240.0,12.9289,30.0248,1.0,3.0,13.1667,19.3073
2002-03-12,7.12,6.4046,-10.0478,10.9286,8.6408,0.5271,0.3654,1507332480.0,12.9289,30.1025,1.0,3.0,13.1667,19.3073
2002-03-13,7.07,6.4046,-9.4116,10.8519,8.6532,0.5234,0.3658,1496747280.0,12.9289,30.1025,1.0,3.0,13.1667,19.3073
2002-03-14,7.06,6.4046,-9.2833,10.8365,8.6532,0.5226,0.3658,1494630240.0,12.9289,30.1025,1.0,3.0,13.1667,19.3073
2002-03-15,6.98,6.4046,-8.2436,10.7137,8.6532,0.5167,0.3658,1477693920.0,12.9289,30.1025,1.0,3.0,13.1667,19.3073
2002-03-18,7.01,6.4046,-8.6362,10.7598,8.638,0.5189,0.365,1484045040.0,12.9289,30.1025,1.0,3.0,13.1667,19.3073
2002-03-19,7.05,6.4046,-9.1546,10.8212,8.6408,0.5219,0.3654,1492513200.0,12.9289,30.1025,1.0,3.0,13.1667,19.3073
2002-03-20,6.99,6.4046,-8.3748,10.8305,8.6532,0.5174,0.3658,1479810960.0,12.9289,30.073,1.0,3.0,13.1667,19.3073
2002-03-21,6.81,6.4046,-5.953,10.5516,8.6532,0.5041,0.3658,1441704240.0,12.9289,30.073,1.0,3.0,13.1667,19.3073
2002-03-22,6.7,6.4046,-4.409,10.3812,8.6532,0.496,0.3658,1418416800.0,12.9289,30.073,1.0,3.0,13.1667,19.3073
2002-03-25,6.43,6.4046,-0.395,9.9628,8.638,0.476,0.365,1361256720.0,12.9289,30.073,1.0,3.0,13.1667,19.3073
2002-03-26,6.68,6.5696,-1.6527,10.1767,8.6408,0.4945,0.3654,1414182720.0,12.9289,30.195,1.0,3.0,13.1667,19.3073
2002-03-27,6.94,6.9049,-0.5058,10.6507,8.6532,0.5137,0.3658,1469225760.0,12.9289,30.2875,1.0,3.0,13.1667,19.2394
2002-03-28,6.92,6.9049,-0.2182,10.5167,8.6532,0.5122,0.3658,1464991680.0,12.9289,30.3312,1.0,3.0,13.1667,19.2394
2002-04-01,6.86,6.9049,1.777,10.4255,8.6351,0.5078,0.3647,1452289440.0,12.9289,30.3312,1.0,3.0,13.1667,19.2394
2002-04-02,6.77,6.9049,3.13,10.2888,8.638,0.5011,0.365,1433236080.0,12.9289,30.3312,1.0,3.0,13.1667,19.2394
2002-04-03,6.65,6.9049,4.991,10.1064,8.6408,0.4923,0.3654,1407831600.0,12.9289,30.3312,1.0,3.0,13.1667,19.2394
2002-04-04,6.68,6.9049,4.5195,10.1922,8.6408,0.4945,0.3654,1414182720.0,12.9289,30.4456,1.0,3.0,14.0,19.2394
2002-04-05,6.82,6.9049,2.3739,10.3632,8.6408,0.5048,0.3654,1443821280.0,12.9289,30.4871,1.0,3.0,14.0,19.2394
2002-04-08,6.93,6.9049,0.7489,10.5303,8.6351,0.513,0.3647,1467108720.0,12.9289,30.4871,1.0,3.0,14.0,19.2394
2002-04-09,7.04,6.9049,-0.8253,10.6975,8.638,0.5211,0.365,1490396160.0,12.9289,30.4871,1.0,3.0,14.0,19.2394
2002-04-10,7.23,6.9049,-3.4315,10.9862,8.6408,0.5352,0.3654,1530619920.0,12.9289,30.4871,1.0,3.0,14.0,19.2394
2002-04-11,6.93,6.9049,0.7489,10.5303,8.6408,0.513,0.3654,1467108720.0,12.9289,30.4871,1.0,3.0,14.0,19.2394
2002-04-12,6.82,6.9049,2.3739,10.3632,8.6408,0.5048,0.3654,1443821280.0,12.9289,30.4871,1.0,3.0,14.0,19.2394
2002-04-15,6.82,6.9049,2.3739,10.3632,8.6351,0.5048,0.3647,1443821280.0,12.9289,30.4871,1.0,3.0,14.0,19.2394
2002-04-16,7.01,6.9049,-0.4009,10.6519,8.638,0.5189,0.365,1484045040.0,12.9289,30.4871,1.0,3.0,14.0,19.2394
2002-04-17,6.76,6.9049,3.2825,10.272,8.638,0.5004,0.3654,1431119040.0,12.9289,30.4871,1.0,3.0,14.0,19.2394
2002-04-18,6.61,6.9049,5.6263,10.0441,8.638,0.4893,0.3654,1399363440.0,12.9289,30.4871,1.0,3.0,14.0,19.2394
2002-04-19,6.68,6.9049,4.5195,10.1504,8.638,0.4945,0.3654,1414182720.0,12.9289,30.4871,1.0,3.0,14.0,19.2394
2002-04-22,6.65,7.2128,8.4632,10.1048,8.628,0.4923,0.3647,1407831600.0,12.9289,30.5897,1.0,4.0,13.0,19.2394
2002-04-23,6.74,7.2568,7.6677,9.9586,8.6351,0.4937,0.365,1426884960.0,12.1351,37.3871,1.0,4.0,13.0,17.0597
2002-04-24,6.88,7.2568,5.4767,10.1655,8.638,0.504,0.3654,1456523520.0,12.1351,37.3871,1.0,4.0,13.0,17.0597
2002-04-25,6.8,7.2568,6.7176,10.0473,8.638,0.4981,0.3658,1439587200.0,12.1351,37.3871,1.0,4.0,13.0,17.0597
2002-04-26,6.89,7.2568,5.3237,10.1803,8.638,0.5001,0.3658,1458640560.0,12.1233,37.406,1.0,4.0,13.0,17.3709
2002-04-29,6.74,7.2568,7.6677,9.9586,8.628,0.4892,0.365,1426884960.0,12.1233,37.406,1.0,4.0,13.0,17.3709
2002-04-30,6.87,7.2568,5.6303,10.0674,8.6351,0.4986,0.3654,1454406480.0,12.1233,37.3815,1.0,4.0,13.0,17.3709
2002-05-01,6.94,7.2568,4.5648,10.17,8.638,0.5037,0.3658,1469225760.0,12.1233,37.3915,1.0,4.0,13.0,17.3709
2002-05-02,7.0,7.2568,3.6686,10.2579,8.638,0.508,0.3658,1481928000.0,12.1233,37.3915,1.0,4.0,13.0,17.3709
2002-05-03,6.92,7.2568,4.8671,10.1407,8.638,0.5022,0.3658,1464991680.0,12.1233,37.3915,1.0,4.0,13.0,17.3709
2002-05-06,6.88,7.2568,5.4767,10.0821,8.628,0.4993,0.365,1456523520.0,12.1233,37.3915,1.0,4.0,13.0,17.3709
2002-05-07,6.9,7.2568,5.171,10.0466,8.6351,0.5008,0.3654,1460757600.0,12.1233,37.4614,1.0,4.0,14.0,17.3709
2002-05-08,6.97,7.2568,4.1148,10.1485,8.638,0.5059,0.3658,1475576880.0,12.1233,37.4614,1.0,4.0,14.0,17.3709
2002-05-09,6.93,7.2568,4.7157,10.0903,8.638,0.503,0.3658,1467108720.0,12.1233,37.4614,1.0,4.0,14.0,17.3709
2002-05-10,6.84,7.2568,6.0936,9.9592,8.638,0.4964,0.3658,1448055360.0,12.1233,37.4614,1.0,4.0,14.0,17.3709
2002-05-13,6.94,7.2568,4.5648,10.1048,8.628,0.5037,0.365,1469225760.0,12.1233,37.4614,1.0,4.0,14.0,17.3709
2002-05-14,7.03,7.2568,3.2262,10.2359,8.6351,0.5147,0.3654,1501439280.0,12.1233,37.4614,1.0,4.0,14.0,17.3709
2002-05-15,7.12,7.2568,1.9213,10.3669,8.638,0.5213,0.3658,1520661120.0,12.1233,37.4614,1.0,4.0,14.0,17.3709
2002-05-16,7.07,7.2568,2.6421,10.2941,8.638,0.5177,0.3658,1509982320.0,12.1233,37.4614,1.0,4.0,14.0,17.3709
2002-05-17,7.14,7.2568,1.6359,10.396,8.638,0.5228,0.3658,1524932640.0,12.1233,37.4614,1.0,4.0,14.0,17.3709
2002-05-20,6.9,7.4034,7.2957,10.0116,8.628,0.5052,0.365,1473674400.0,12.1233,37.6214,1.0,4.0,14.0,17.3709
2002-05-21,7.12,7.4034,3.9803,10.1977,8.6351,0.5194,0.3654,1520661120.0,12.1107,37.6894,1.0,4.0,14.0,17.3253
2002-05-22,7.22,7.4034,2.5402,10.3409,8.638,0.5266,0.3658,1542018720.0,12.1107,37.6894,1.0,4.0,14.0,17.3253
2002-05-23,7.53,7.4034,-1.6813,10.7849,8.638,0.5493,0.3658,1608227280.0,12.1107,37.6894,1.0,4.0,14.0,17.3253
2002-05-24,7.38,7.4034,0.3171,10.57,8.638,0.5383,0.3658,1576190880.0,12.1107,37.6894,1.0,4.0,14.0,17.3253
2002-05-28,7.39,7.4034,0.1813,10.5844,8.628,0.539,0.365,1578326640.0,12.1107,37.6894,1.0,4.0,14.0,17.3253
2002-05-29,7.35,7.9385,8.0068,10.5361,8.6351,0.5361,0.3654,1569783600.0,12.0375,37.9819,1.0,3.0,15.3333,19.4725
2002-05-30,7.01,7.9385,13.2454,10.0473,8.638,0.5113,0.3658,1497167760.0,12.0375,37.9791,1.0,3.0,15.3333,19.3623
2002-05-31,7.08,7.9385,12.1257,10.0883,8.638,0.5164,0.3658,1512118080.0,12.0901,38.2038,1.0,3.0,15.3333,19.3623
2002-06-03,6.83,7.9385,16.2299,9.7307,8.628,0.4982,0.365,1458724080.0,12.0901,38.2524,1.0,3.0,15.3333,19.3623
2002-06-04,6.42,7.9385,23.6526,9.1531,8.6351,0.4683,0.3654,1371157920.0,12.0901,38.281,1.0,3.0,15.3333,19.3623
2002-06-05,6.62,7.9385,19.9169,9.4383,8.638,0.4829,0.3658,1413873120.0,12.0901,38.281,1.0,3.0,15.3333,19.3623
2002-06-06,6.54,7.9385,21.3838,9.2871,8.638,0.477,0.3658,1396787040.0,12.0901,38.4113,1.0,3.0,15.3333,19.3623
2002-06-07,6.69,7.9385,18.6622,9.5001,8.638,0.488,0.3658,1428823440.0,12.0901,38.4113,1.0,3.0,15.3333,19.3623
2002-06-10,6.72,7.9385,18.1324,9.5427,8.6351,0.4902,0.365,1435230720.0,12.0901,38.4113,1.0,3.0,15.3333,19.3623
2002-06-11,6.65,7.9385,19.3759,9.3993,8.638,0.4851,0.3654,1420280400.0,12.0901,38.5133,1.0,3.0,17.0,19.3623
2002-06-12,6.71,7.9385,18.3085,9.4841,8.6408,0.4894,0.3658,1433094960.0,12.0901,38.5133,1.0,3.0,17.0,19.3623
2002-06-13,6.51,7.9385,21.9432,9.2014,8.6408,0.4749,0.3658,1390379760.0,12.0901,38.5133,1.0,3.0,17.0,19.3623
2002-06-14,6.36,7.9385,24.8192,8.9894,8.6408,0.4639,0.3658,1358343360.0,12.0901,38.5133,1.0,3.0,17.0,19.3623
2002-06-17,6.65,7.9385,19.3759,9.3993,8.6351,0.4851,0.365,1420280400.0,12.0901,38.5133,1.0,3.0,17.0,19.3623
2002-06-18,6.71,7.9385,18.3085,9.4841,8.6351,0.4894,0.3654,1433094960.0,12.0901,38.5133,1.0,3.0,17.0,19.3623
2002-06-19,6.61,7.9385,20.0983,9.3428,8.638,0.4822,0.3658,1411737360.0,12.0901,38.5133,1.0,3.0,17.0,19.3623
2002-06-20,6.41,7.9385,23.8456,9.0601,8.638,0.4676,0.3658,1369022160.0,12.0901,38.5133,1.0,3.0,17.0,19.3623
2002-06-21,6.38,7.9385,24.4279,9.0883,8.638,0.4655,0.3658,1362614880.0,10.6086,36.1105,1.0,3.0,17.0,15.5924
