date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2003-02-14,11.61,19.2,65.3747,7.6684,7.6776,0.5625,0.3033,767711250.0,3.5898,13.1534,5.0,4.0,23.0,13.8831,27.14015102040816,19.13349949384602,34.53091428571428,16.080913514049975,46.273650514254186,18.450000771664307
2003-02-18,12.42,19.2,54.5894,8.4203,7.6918,0.6018,0.3033,821272500.0,3.5898,12.9446,5.0,4.0,23.0,13.8831,27.2331993220339,19.16767336081608,34.79279603174604,16.137104127357702,46.40087268284998,18.65569190438833
2003-02-19,12.05,19.2,59.3361,8.1695,7.6933,0.5838,0.3036,796806250.0,3.5898,12.9446,5.0,4.0,23.0,13.8831,27.34165506756757,19.225920611895017,35.09371984126984,16.238938469449412,46.567575679462585,18.854781371820422
2003-02-20,11.92,19.2,61.0738,8.0814,7.7031,0.5775,0.304,788210000.0,3.5898,12.9446,5.0,4.0,23.0,13.8831,27.45523131313132,19.292963053970947,35.390725396825395,16.36968089933065,46.74819436710226,19.021044497494746
2003-02-21,11.8,18.6,57.6271,8.0,7.7092,0.5717,0.304,780275000.0,3.5898,12.9446,5.0,4.0,23.0,13.8831,27.55647919463087,19.339596699581445,35.68559841269841,16.4333250900041,46.89607589421232,19.25227332269431
2003-02-24,11.75,18.6,58.2979,7.9661,7.7236,0.5693,0.304,776968750.0,3.5898,12.9446,5.0,4.0,23.0,13.8831,27.659293311036787,19.388799649457443,35.98186984126984,16.502220812224152,47.04809296049423,19.47964902904569
2003-02-25,12.13,18.6,53.3388,8.2237,7.7261,0.5877,0.304,802096250.0,3.5898,12.9446,5.0,4.0,23.0,13.8831,27.744891666666668,19.413047141024244,36.215718253968255,16.53800017842257,47.15793880769091,19.677718075545684
2003-02-26,11.74,18.6,58.4327,7.9593,7.7285,0.5688,0.304,776307500.0,3.5898,12.9526,5.0,4.0,23.0,13.8831,27.846844518272427,19.46121495533476,36.492938095238095,16.615770606095225,47.30805947360718,19.87716748914287
2003-02-27,12.12,18.6,53.4653,8.2169,7.7509,0.5872,0.304,801435000.0,3.5898,12.9487,5.0,4.0,23.0,13.8831,27.9316738410596,19.484707209443823,36.719453968253966,16.651304284292717,47.41638105050343,20.06814968396125
2003-02-28,12.51,18.6,48.6811,8.4814,7.7539,0.6061,0.3042,827223750.0,3.5898,12.9487,5.0,4.0,23.0,13.8831,28.000153795379536,19.4889097426051,36.89707142857143,16.658645754432083,47.48906353798464,20.238425674139343
2003-03-03,12.39,18.6,50.1211,8.4,7.7661,0.6003,0.3067,819288750.0,3.5898,12.9487,5.0,4.0,23.0,13.8831,28.072920065789475,19.49804447288394,37.088566666666665,16.670970922693165,47.570964538673415,20.4175957439735
2003-03-04,12.3,18.6,51.2195,8.3271,7.7814,0.596,0.3073,813337500.0,3.5898,12.9588,5.0,4.0,23.0,13.8831,28.148810491803275,19.51101664627125,37.28448571428572,16.690979740267952,47.65982713807453,20.593505974017763
2003-03-05,12.55,18.6,48.2072,8.4964,7.7966,0.6081,0.3073,829868750.0,3.5898,12.9588,5.0,4.0,22.0,13.8831,28.21436078431373,19.512725936560216,37.42471746031746,16.70806114936421,47.72708672087394,20.71665631095325
2003-03-06,12.05,18.6,54.3568,8.1579,7.8,0.5838,0.3073,796806250.0,3.5898,12.9588,5.0,4.0,22.0,13.8831,28.299515309446253,19.53786966256471,37.69251746031746,16.706878175678835,47.837384972010966,20.985639284638623
2003-03-07,12.44,18.6,49.5177,8.3011,7.8051,0.6027,0.3074,822595000.0,3.5898,13.0703,5.0,4.0,22.0,13.8831,28.36840551948052,19.5434557161035,37.92803015873015,16.66234480268021,47.91186123558402,21.265685356049943
2003-03-10,12.28,18.6,51.4658,8.1943,7.8051,0.5949,0.3084,812015000.0,3.5901,13.0703,5.0,4.0,22.0,13.8831,28.44315436893204,19.55589625732593,38.205857142857134,16.593220023189883,47.99905062625797,21.61263711966725
2003-03-11,11.94,18.6,55.7789,7.9674,7.8084,0.5785,0.3085,789532500.0,3.5901,13.0703,5.0,4.0,22.0,13.8831,28.531334193548386,19.585859495559497,38.50735793650794,16.56439833967952,48.11719368910788,21.942959596828416
2003-03-12,12.14,18.6,53.2125,8.1009,7.8118,0.5882,0.3086,802757500.0,3.5901,13.0703,5.0,4.0,22.0,13.8831,28.610694855305468,19.60426401243525,38.79537936507937,16.50145785968415,48.21495886774072,22.29392150539521
2003-03-13,12.75,18.6,45.8824,8.6441,7.8422,0.6177,0.3089,843093750.0,3.5901,12.9526,5.0,4.0,22.0,13.8831,28.666052884615382,19.5971303091897,39.017802380952375,16.40557095229043,48.26318319380509,22.612231428661943
2003-03-14,12.75,18.6,45.8824,8.6441,7.8422,0.6177,0.3097,843093750.0,3.5901,12.9526,5.0,4.0,22.0,13.8831,28.721057188498403,19.58988432883338,39.256506349206354,16.283485219010103,48.31094151733178,22.97302113019625
2003-03-17,13.18,18.6,41.1229,8.9356,7.8489,0.6385,0.3107,871527500.0,3.5901,12.9526,5.0,4.0,22.0,13.8831,28.76055350318472,19.571083603533285,39.45691984126984,16.148193127896516,48.331637106718,23.30872671337333
2003-03-18,12.84,18.6,44.8598,8.7051,7.8556,0.6221,0.3107,849045000.0,3.5901,12.9526,5.0,4.0,22.0,13.8831,28.81166222222222,19.56093793952831,39.68440079365079,16.019281884866142,48.372600161750526,23.665118908784645
2003-03-19,13.18,18.6,41.1229,8.9356,7.8612,0.6385,0.3107,871527500.0,3.5901,12.9526,5.0,4.0,22.0,13.8831,28.85062183544304,19.54213997475909,39.884814285714285,15.876295499647124,48.39276181020213,24.008518786067164
2003-03-20,13.66,18.6,36.164,9.261,7.8667,0.6618,0.3107,903267500.0,3.5901,12.9526,5.0,4.0,22.0,13.8831,28.87369242902208,19.515517660169127,40.05558412698413,15.717586986142216,48.38921008919121,24.33799714084192
2003-03-21,13.97,18.6,33.1424,9.4712,7.8702,0.6768,0.3108,923766250.0,3.5901,12.9526,5.0,4.0,22.0,13.8831,28.887116037735847,19.48618213807568,40.18062222222222,15.598026091420138,48.37329817581153,24.58259613080208
2003-03-24,13.18,18.6,41.1229,8.9356,7.8832,0.6383,0.3112,871527500.0,3.5908,12.9599,5.0,4.0,22.0,13.8831,28.925472727272727,19.467577091435484,40.360435714285714,15.475815646327517,48.39304981870821,24.8846200679582
2003-03-25,13.1,18.6,41.9847,8.8814,7.8865,0.6345,0.3113,866237500.0,3.5908,12.9599,5.0,4.0,22.0,13.8831,28.9662828125,19.450744467840167,40.562493650793655,15.327620505019055,48.41702728034016,25.2348731457746
2003-03-26,13.0,18.6,43.0769,8.8136,7.9032,0.6296,0.3113,859625000.0,3.5908,12.9599,5.0,4.0,22.0,13.8831,29.010241121495326,19.43629217237829,40.77269682539683,15.177122401899217,48.44653329387363,25.59557442349761
2003-03-27,13.02,18.6,42.8571,8.8271,7.9593,0.6306,0.3114,860947500.0,3.5908,12.9599,5.0,4.0,22.0,13.8831,29.05324378881988,19.42132985652924,41.01004047619048,14.97100535131124,48.47457364534912,26.03903512487924
2003-03-28,13.1,18.6,41.9847,8.8814,7.96,0.6345,0.3114,866237500.0,3.5908,12.9599,5.0,4.0,22.0,13.8831,29.093279256965943,19.404493779255485,41.255899206349206,14.726709452634712,48.49777303622143,26.52918975371449
2003-03-31,12.75,18.6,45.8824,8.6441,7.9661,0.6175,0.3119,843093750.0,3.5908,12.9599,5.0,4.0,22.0,13.8831,29.1450975308642,19.396871422356032,41.53411269841269,14.476259378162531,48.54196895322024,27.05785332025016
2003-04-01,12.95,18.6,43.6293,8.7797,7.9668,0.6272,0.3122,856318750.0,3.5908,12.9599,5.0,4.0,22.0,13.8831,29.189664307692308,19.383573068006186,41.79727142857144,14.205921682987642,48.5732373756985,27.59134974558379
2003-04-02,13.21,18.6,40.8024,8.9559,7.9723,0.6398,0.3124,873511250.0,3.5908,12.9599,5.0,4.0,22.0,13.8831,29.225286196319026,19.364413287875657,42.03422142857143,13.933609456697802,48.58969948419468,28.100611971873622
2003-04-03,12.99,18.6,43.1871,8.8068,7.9782,0.6291,0.3146,858963750.0,3.5908,12.9599,5.0,4.0,22.0,13.8831,29.267982874617736,19.35010020949497,42.23525317460317,13.763687835975906,48.61808308411271,28.471565338627265
2003-04-04,13.15,18.6,41.4449,8.9153,7.9804,0.6369,0.3146,869543750.0,3.5908,13.0014,5.0,4.0,22.0,13.8831,29.305107621951223,19.3321858126186,42.39720714285714,13.631702397679824,48.63729343456982,28.76550474517732
2003-04-07,13.61,18.6,36.6642,9.3456,7.9908,0.6592,0.3146,899961250.0,3.5908,12.911,5.0,4.0,22.0,13.8831,29.327475683890576,19.30695692761796,42.51839206349207,13.510835307717205,48.63443261150853,29.00755675577487
