date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2002-01-25,134.21666,134.9993,0.5831,8.0671,5.0687,0.3493,0.1504,754003157.848,0.1084,-6.34,1.0,1.0,16.0,-7.7855,4.171531481481481,9.22396421669539,4.171531481481481,9.22396421669539,13.39549569817687,-5.052432735213908
2002-01-28,136.0,134.9993,-0.7358,8.1743,5.0758,0.354,0.15,764021616.0,0.1084,-6.34,1.0,1.0,16.0,-7.7855,4.082307272727272,9.162084097636756,4.082307272727272,9.162084097636756,13.244391370364028,-5.079776824909484
2002-01-29,135.833328,134.9993,-0.614,8.1643,5.0782,0.3535,0.1502,763085285.0384,0.1084,-6.34,1.0,1.0,16.0,-7.7855,3.998444642857143,9.100075771890726,3.998444642857143,9.100075771890726,13.098520414747869,-5.101631129033583
2002-01-30,135.333328,134.9993,-0.2468,8.1342,5.0806,0.3522,0.1504,760276382.0384,0.1084,-6.34,1.0,1.0,16.0,-7.7855,3.923966666666667,9.035971539221393,3.923966666666667,9.035971539221393,12.95993820588806,-5.112004872554726
2002-01-31,133.5,134.9993,1.1231,8.024,5.0824,0.3474,0.1504,749977101.0,0.1084,-6.34,1.0,1.0,16.0,-7.7855,3.875675862068965,8.963905566024227,3.875675862068965,8.963905566024227,12.839581428093192,-5.088229703955262
2002-02-01,138.666672,134.9993,-2.6447,8.3346,5.0824,0.3609,0.1504,779002461.9616,0.1084,-6.34,1.0,1.0,16.0,-7.7855,3.765161016949152,8.9267479442214,3.765161016949152,8.9267479442214,12.691908961170553,-5.161586927272248
2002-02-04,143.266663,134.9993,-5.7706,8.6111,5.0884,0.3729,0.15,804844319.0014,0.1084,-6.34,1.0,1.0,16.0,-7.7855,3.6062316666666665,8.935978790517211,3.6062316666666665,8.935978790517211,12.542210457183876,-5.329747123850545
2002-02-05,144.050003,145.5547,1.0446,8.0157,5.0952,0.3603,0.1502,809244971.1534,0.6365,-4.9708,1.0,1.0,16.0,-7.7855,3.5642377049180327,8.867267226024108,3.5642377049180327,8.867267226024108,12.43150493094214,-5.303029521106075
2002-02-06,141.0,145.5547,3.2303,7.846,5.102,0.3527,0.1504,792110646.0,0.6365,-4.9708,1.0,1.0,16.0,-7.7855,3.5588516129032257,8.794386621762209,3.5588516129032257,8.794386621762209,12.353238234665437,-5.235535008858983
2002-02-07,138.0,145.5547,5.4744,7.6791,5.102,0.3452,0.1504,775257228.0,0.6365,-4.9708,1.0,1.0,16.0,-7.7855,3.589257142857143,8.7265136237626,3.589257142857143,8.7265136237626,12.315770766619742,-5.137256480905457
2002-02-08,140.5,145.5547,3.5977,7.8182,5.1064,0.3514,0.1504,789301743.0,0.6365,-4.9708,1.0,1.0,16.0,-7.7855,3.5893890625,8.656978606846748,3.5893890625,8.656978606846748,12.246367669346748,-5.067589544346747
2002-02-11,143.833328,145.5547,1.1968,8.0037,5.1075,0.3598,0.15,808027733.0384,0.6365,-4.9708,1.0,1.0,16.0,-7.7855,3.55258,8.594204956342674,3.55258,8.594204956342674,12.146784956342676,-5.041624956342674
2002-02-12,145.833328,145.5547,-0.1911,8.115,5.1092,0.3648,0.1502,819263345.0384,0.6365,-4.9708,1.0,1.0,16.0,-7.7855,3.495857575757576,8.540280804752184,3.495857575757576,8.540280804752184,12.03613838050976,-5.044423228994608
2002-02-13,147.050003,145.5547,-1.0169,8.1827,5.1109,0.3678,0.1504,826098389.1534,0.6365,-4.9708,1.0,1.0,16.0,-7.7855,3.4285029850746267,8.49324756797422,3.4285029850746267,8.49324756797422,11.921750553048849,-5.0647445828995945
2002-02-14,143.866669,145.5547,1.1733,8.0055,5.121,0.3598,0.1504,808215036.3082,0.6365,-4.9708,1.0,1.0,16.0,-7.7855,3.3953382352941177,8.43406200521255,3.3953382352941177,8.43406200521255,11.829400240506668,-5.038723769918432
2002-02-15,142.416672,145.5547,2.2034,7.9248,5.1273,0.3562,0.1504,800069234.4616,0.6365,-4.9708,1.0,1.0,16.0,-7.7855,3.378063768115942,8.37304679109545,3.378063768115942,8.37304679109545,11.75111055921139,-4.994983022979508
2002-02-19,139.833328,145.5547,4.0916,7.8051,5.131,0.3498,0.15,785556509.0384,0.6365,-4.9708,1.0,1.0,16.0,-7.7855,3.388257142857143,8.312588598278131,3.388257142857143,8.312588598278131,11.700845741135272,-4.9243314554209885
2002-02-20,136.633331,145.5547,6.5294,7.6265,5.1344,0.3417,0.1502,767579546.6918,0.6365,-4.9708,1.0,1.0,16.0,-7.7855,3.432498591549296,8.261414376338315,3.432498591549296,8.261414376338315,11.693912967887613,-4.82891578478902
2002-02-21,139.166672,145.5547,4.5902,7.7679,5.1344,0.3481,0.1502,781811364.9616,0.6365,-4.9708,1.0,1.0,16.0,-7.7855,3.448577777777777,8.20416364791395,3.448577777777777,8.20416364791395,11.652741425691726,-4.755585870136172
2002-02-22,137.350006,145.5547,5.9736,7.6665,5.1344,0.3435,0.1502,771605687.8068,0.6365,-4.9708,1.0,1.0,16.0,-7.7855,3.483167123287671,8.152349508680418,3.483167123287671,8.152349508680418,11.63551663196809,-4.669182385392746
2002-02-25,145.083328,145.5547,0.3249,8.0982,5.1388,0.3629,0.15,815049990.5384,0.6365,-4.9708,1.0,1.0,16.0,-7.7855,3.440487837837838,8.104638989094374,3.440487837837838,8.104638989094374,11.545126826932211,-4.664151151256537
2002-02-26,151.666672,145.5547,-4.0299,8.4656,5.1403,0.3794,0.1502,852033939.9616,0.6365,-4.9708,1.0,1.0,16.0,-7.7855,3.340882666666667,8.095778216326007,3.340882666666667,8.095778216326007,11.436660882992674,-4.75489554965934
2002-02-27,149.833328,145.5547,-2.8556,8.3633,5.1406,0.3748,0.1504,841734569.0384,0.6365,-4.9708,1.0,1.0,16.0,-7.7855,3.25935,8.072976672289677,3.25935,8.072976672289677,11.332326672289676,-4.813626672289677
2002-02-28,150.916672,145.5547,-3.5529,8.4238,5.141,0.3775,0.1504,847820585.4616,0.6365,-4.9708,1.0,1.0,16.0,-7.7855,3.170879220779221,8.057176836234389,3.170879220779221,8.057176836234389,11.22805605701361,-4.886297615455168
2002-03-01,155.166672,145.5547,-6.1946,8.661,5.1444,0.3881,0.1504,871696260.9616,0.6365,-4.9708,1.0,1.0,16.0,-7.7855,3.0508089743589744,8.07462208273609,3.0508089743589744,8.07462208273609,11.125431057095064,-5.023813108377116
2002-03-04,155.100006,145.5547,-6.1543,8.6573,5.1528,0.3879,0.15,871321744.3068,0.6365,-4.9708,1.0,1.0,16.0,-7.7855,2.9342886075949366,8.08926530334773,2.9342886075949366,8.08926530334773,11.023553910942669,-5.154976695752794
