date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2017-05-18,21.88,22.8613,4.4849,19.4161,16.838,1.6748,0.7166,1274702565.88,23.8507,100.7337,5.0,1.0,65.1774,31.9403
2017-05-19,21.69,22.8613,5.4002,19.2475,16.8652,1.6602,0.7192,1263633393.69,23.8507,100.7337,5.0,1.0,65.1774,31.9403
2017-05-22,21.2,22.8613,7.8363,18.8127,16.8923,1.6227,0.7219,1235086581.2,23.8507,100.7337,5.0,1.0,65.1774,31.9403
2017-05-23,20.78,22.8613,10.0159,18.44,16.898,1.5906,0.7223,1210617884.78,23.8507,100.7337,5.0,1.0,65.1774,31.9403
2017-05-24,21.14,23.6465,11.8567,18.6865,16.9036,1.6121,0.7227,1231591053.14,23.5652,100.7022,4.0,1.0,65.1774,31.9403
2017-05-25,20.96,23.6465,12.8173,18.5274,16.9145,1.5984,0.725,1221104468.96,23.5652,100.7022,4.0,1.0,65.1774,31.9403
2017-05-26,21.12,24.7952,17.4015,19.5068,16.9254,1.6117,0.7272,1230425877.12,23.4465,94.8202,4.0,1.0,65.1774,38.5721
2017-05-30,21.06,24.7952,17.736,19.4514,16.9363,1.6072,0.7284,1226930349.06,23.4465,94.8202,4.0,1.0,65.1774,38.5721
2017-05-31,20.55,24.7952,20.6579,18.9803,16.9473,1.5682,0.7295,1197218360.55,23.4465,94.8202,4.0,1.0,65.1774,38.5721
2017-06-01,20.62,24.7952,20.2483,19.045,16.9618,1.5736,0.7356,1201296476.62,23.4465,94.8202,4.0,1.0,65.1774,38.5721
2017-06-02,20.89,24.7952,18.6941,19.2944,16.9764,1.5942,0.7418,1217026352.89,23.4465,94.8202,4.0,1.0,65.1774,38.5721
2017-06-05,20.53,24.7952,20.7755,18.9619,16.9969,1.5667,0.7443,1196053184.53,23.4465,94.8202,4.0,1.0,65.1774,38.5721
2017-06-06,20.96,24.7952,18.2977,19.359,17.0174,1.5995,0.7467,1221104468.96,23.4465,94.8202,4.0,1.0,65.1774,38.5721
2017-06-07,22.78,24.9661,9.5966,20.5614,17.0324,1.7255,0.7482,1327135486.78,23.4608,95.4119,4.0,1.0,65.1774,38.5721
2017-06-08,23.43,24.9661,6.5561,21.1481,17.0475,1.7747,0.7497,1365003707.43,23.4608,95.4119,4.0,1.0,65.1774,38.5721
2017-06-09,21.46,24.9661,16.3378,19.37,17.0626,1.6255,0.751,1250233869.46,23.4608,95.4119,4.0,1.0,65.1774,38.5721
2017-06-12,20.9,24.9661,19.455,18.8645,17.0776,1.5831,0.7523,1217608940.9,23.4608,95.4119,4.0,1.0,65.1774,38.5721
2017-06-13,20.26,24.9661,23.2285,18.2868,17.1176,1.5346,0.7606,1180323308.26,23.4608,95.4119,4.0,1.0,65.1774,38.5721
2017-06-14,20.23,24.9661,23.4113,18.2598,17.1576,1.5323,0.7689,1178575544.23,23.4608,95.4119,4.0,1.0,65.1774,38.5721
2017-06-15,19.82,24.9661,25.9642,17.8897,17.1822,1.5013,0.7724,1154689435.82,23.4608,95.4119,4.0,1.0,65.1774,38.5721
2017-06-16,20.49,24.9661,21.8453,18.4944,17.2068,1.552,0.7758,1193722832.49,23.4608,95.4119,4.0,1.0,65.1774,38.5721
2017-06-19,21.24,24.9661,17.5428,19.1714,17.2082,1.6089,0.7819,1237416933.24,23.4608,95.4119,4.0,1.0,65.1774,38.5721
2017-06-20,20.71,24.9661,20.5509,18.693,17.2097,1.5687,0.788,1206539768.71,23.4608,95.4119,4.0,1.0,65.1774,38.5721
2017-06-21,21.56,25.2532,17.1299,19.8435,17.2512,1.6396,0.7895,1256059749.56,23.7944,94.4767,3.0,1.0,65.1774,38.5721
2017-06-22,21.94,25.2766,15.2078,19.8696,17.2928,1.667,0.791,1278198093.94,23.8316,96.8794,3.0,1.0,66.1813,38.9422
2017-06-23,23.05,25.2766,9.6599,20.8748,17.3011,1.7513,0.7937,1342865363.05,23.8316,96.8794,3.0,1.0,66.1813,38.9422
2017-06-26,22.67,25.2766,11.498,20.5307,17.3094,1.7224,0.7964,1320727018.67,23.8316,96.8794,3.0,1.0,66.1813,38.9422
2017-06-27,22.18,25.2766,13.9612,20.0869,17.3146,1.6852,0.7988,1292180206.18,23.8316,96.8794,3.0,1.0,66.1813,38.9422
2017-06-28,22.38,25.2766,12.9428,20.2681,17.3199,1.7004,0.8012,1303831966.38,23.8316,96.8794,3.0,1.0,66.1813,38.9422
2017-06-29,21.9,25.4356,16.1443,19.8334,17.349,1.6501,0.8017,1275867741.9,23.8474,96.8794,3.0,1.0,66.1813,38.9422
2017-06-30,22.17,25.4356,14.7298,20.0779,17.3782,1.6704,0.8022,1291597618.17,23.8474,96.8794,3.0,1.0,66.1813,38.9422
2017-07-03,22.53,25.4356,12.8966,20.4039,17.4083,1.6976,0.8022,1312570786.53,23.8474,96.8794,3.0,1.0,66.1813,38.9422
2017-07-05,24.56,25.4356,3.5651,22.2423,17.4383,1.8505,0.8022,1430836152.56,23.8474,96.8794,3.0,1.0,66.1813,38.9508
2017-07-06,24.78,25.4356,2.6457,22.4416,17.4488,1.8671,0.8022,1443653088.78,23.8474,96.8794,3.0,1.0,66.1813,38.9508
2017-07-07,25.12,25.4356,1.2564,22.7495,17.4594,1.8927,0.8022,1463461081.12,23.8474,96.8794,3.0,1.0,66.1813,38.9508
2017-07-10,26.69,25.4356,-4.6999,24.1713,17.5003,2.011,0.8046,1554927398.69,23.8474,96.8794,3.0,1.0,66.1813,38.9508
2017-07-11,27.2,25.4356,-6.4868,24.6332,17.5412,2.0494,0.8069,1584639387.2,23.8474,96.8794,3.0,1.0,66.1813,38.9508
