date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2015-10-12,10.96,19.2,75.1825,4.134,9.6182,0.8845,3.2216,234522080.0,9.7143,0.9739,2.0,3.0,5.9333,2.6719,-55.42965515873016,42.51846474372417,-27.03626031746032,77.99309075185168,-12.911190415005995,-105.029351069312
2015-10-13,10.67,19.2,79.9438,4.0552,9.6182,0.8646,3.2162,228316660.0,9.721,1.0192,2.0,3.0,5.9333,2.6719,-55.1417005952381,42.94159866829098,-25.768038095238094,78.42539530591233,-12.20010192694712,-104.19343340115044
2015-10-14,10.7,19.2,79.4393,4.0666,9.6182,0.867,3.2109,228958600.0,9.721,1.0192,2.0,3.0,5.9333,2.6719,-54.85531746031746,43.355709352217616,-24.50233015873016,78.82837679497938,-11.499608108099842,-103.33070695370954
2015-10-15,10.74,19.2,78.7709,4.1631,9.6182,0.8788,3.2107,229814520.0,8.4097,-1.2266,2.0,3.0,5.9333,2.6719,-54.57056388888889,43.76003639111304,-23.24088015873016,79.20125733560043,-10.810527497775851,-102.44213749433058
2015-10-16,10.79,19.2,77.9425,4.1825,9.6182,0.8829,3.2104,230884420.0,8.4097,-1.2266,2.0,3.0,5.9333,2.6719,-54.28682142857142,44.15372216590708,-21.98596984126985,79.54384533975738,-10.133099262664343,-101.52981518102725
2015-10-19,10.18,19.2,88.6051,3.946,9.6171,0.8329,3.2084,217831640.0,8.4097,-1.2266,2.0,3.0,5.9333,2.6719,-53.98155456349207,44.60730357014851,-20.6419253968254,79.97265147049102,-9.374250993343558,-100.61457686731642
2015-10-20,10.35,19.2,85.5072,4.0119,9.6161,0.8468,3.2065,221469300.0,8.4097,-1.2266,2.0,3.0,5.9333,2.6719,-53.68295972222222,45.03513781806108,-19.323587301587303,80.34457748256565,-8.647821904161141,-99.66816478415296
2015-10-21,10.11,19.2,89.911,3.9741,9.6146,0.8272,3.2052,216333780.0,8.4097,-1.2117,2.0,3.0,5.9333,2.6719,-53.37539900793652,45.48408763074328,-17.969374603174604,80.73849248479382,-7.891311377193233,-98.70786708796842
2015-10-22,10.33,19.2,85.8664,4.0605,9.6131,0.8452,3.2038,221041340.0,8.4097,-1.2117,2.0,3.0,5.9333,2.6719,-53.07495138888889,45.9016551503346,-16.649861904761902,81.06806521498521,-7.173296238554293,-97.71792711974712
2015-10-23,10.28,19.2,86.7704,4.0409,9.6131,0.8411,3.2038,219971440.0,8.4097,-1.2117,2.0,3.0,5.9333,2.6719,-52.773002182539685,46.3189827672137,-15.321964285714284,81.38279536250639,-6.4540194153259804,-96.70475964822069
2015-10-26,10.15,19.2,89.1626,3.9898,9.5065,0.8305,3.1936,217189700.0,8.4097,-1.2117,2.0,3.0,5.9333,2.6719,-52.46692638888889,46.7450889610966,-13.972843650793653,81.69659741083123,-5.721837427792295,-95.66944106162488
2015-10-27,10.05,19.2,91.0448,3.9505,9.4078,0.8093,3.1915,211642950.0,8.4097,-1.2117,2.0,3.0,5.9333,2.6719,-52.15737301587302,47.17671133222876,-12.612470634920635,82.00876708973992,-4.980661683644264,-94.62123772466056
2015-10-28,11.9,15.8,32.7731,4.8178,9.3789,0.9107,3.1904,250602100.0,8.2938,-1.4308,4.0,3.0,5.9667,3.946,-51.96410317460317,47.324787087914224,-11.709855555555556,81.87629880870439,-4.63931608668895,-93.58615436425995
2015-10-29,11.77,15.8,34.2396,4.7648,9.35,0.9007,3.1892,247864430.0,8.2938,-1.4301,4.0,3.0,5.9667,3.946,-51.76832003968254,47.47695635903162,-10.801793650793652,81.74525570779088,-4.2913636806509246,-92.54704935858452
2015-10-30,11.62,15.8,35.9725,4.6932,9.3053,0.8819,3.1892,244705580.0,8.3087,-1.4569,4.0,3.0,5.9667,3.946,-51.56954424603175,47.63422192338289,-9.895012698412698,81.6243355830355,-3.935322322648858,-91.5193482814482
