date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2002-03-01,22.7,21.8333,-3.8181,27.9247,25.235,2.0451,2.6374,1698992055.5,16.2734,15.7945,1.0,1.0,30.0,9.5982,4.925760344827586,18.156486372044565,4.925760344827586,18.156486372044565,23.082246716872152,-13.230726027216978
2002-03-04,23.31,21.8333,-6.335,28.6751,25.28,2.1001,2.6363,1744647789.15,16.2734,15.7945,1.0,1.0,30.0,9.5982,4.82951452991453,18.10800704512855,4.82951452991453,18.10800704512855,22.93752157504308,-13.27849251521402
2002-03-05,23.47,21.8333,-6.9736,28.8719,25.28,2.1145,2.6352,1756623063.55,16.2734,15.7945,1.0,1.0,30.0,9.5982,4.729488135593221,18.063166353746126,4.729488135593221,18.063166353746126,22.79265448933935,-13.333678218152905
2002-03-06,23.77,21.8333,-8.1477,29.241,25.28,2.1415,2.6352,1779076703.05,16.2734,15.7945,1.0,1.0,30.0,9.5982,4.621276470588236,18.02515944660528,4.621276470588236,18.02515944660528,22.646435917193514,-13.403882976017044
2002-03-07,23.55,21.8333,-7.2896,28.9704,25.2815,2.1217,2.6352,1762610700.75,16.2734,15.7945,1.0,1.0,30.0,9.5982,4.5220191666666665,17.982166413012088,4.5220191666666665,17.982166413012088,22.504185579678754,-13.46014724634542
2002-03-08,23.47,21.8333,-6.9736,28.8719,25.2815,2.1145,2.634,1756623063.55,16.2734,15.7945,1.0,1.0,30.0,9.5982,4.427014049586776,17.937552758832084,4.427014049586776,17.937552758832084,22.36456680841886,-13.510538709245306
2002-03-11,22.69,21.8333,-3.7757,27.7147,25.2905,2.0442,2.6328,1698243600.85,16.2734,15.8562,1.0,2.0,27.5,9.5982,4.359778688524591,17.878707240239347,4.359778688524591,17.878707240239347,22.238485928763936,-13.518928551714756
2002-03-12,22.0,21.8333,-0.7577,26.8719,25.2924,1.9821,2.6284,1646600230.0,16.2734,15.8562,1.0,2.0,27.5,9.5982,4.318173170731708,17.811261071143683,4.318173170731708,17.811261071143683,22.12943424187539,-13.493087900411975
2002-03-13,22.17,21.8333,-1.5187,27.0795,25.2943,1.9974,2.6239,1659323959.05,16.2734,15.8562,1.0,2.0,27.5,9.5982,4.271101612903226,17.746452500857764,4.271101612903226,17.746452500857764,22.01755411376099,-13.475350887954535
2002-03-14,22.83,21.8333,-4.3657,27.8857,25.3017,2.0568,2.6226,1708721965.95,16.2734,15.8562,1.0,2.0,27.5,9.5982,4.2020072,17.69162287644315,4.2020072,17.69162287644315,21.893630076443152,-13.489615676443153
2002-03-15,23.34,21.8333,-6.4554,28.5086,25.3161,2.1028,2.6214,1746893153.1,16.2734,15.8562,1.0,2.0,27.5,9.5982,4.1174246031746025,17.646274479863166,4.1174246031746025,17.646274479863166,21.763699083037768,-13.528849876688565
2002-03-18,23.63,21.8333,-7.6035,28.8628,25.3378,2.1289,2.6204,1768598337.95,16.2734,15.8562,1.0,2.0,27.5,9.5982,4.025133858267717,17.606856014475714,3.886153174603175,17.607063355336404,21.631989872743432,-13.72091018073323
