date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2013-07-24,91.88,102.1905,11.2217,11.1458,9.3621,1.8073,1.3002,31616024228.2,-7.1109,3.968,7.0,2.0,10.0,4.8259
2013-07-25,92.43,101.9524,10.3023,11.1977,9.363,1.8006,1.3003,31805279923.95,-6.7516,3.9654,7.0,2.0,10.0,4.8259
2013-07-26,92.33,101.9524,10.4217,11.186,9.3654,1.7987,1.3007,31770869797.45,-6.7519,3.9659,7.0,2.0,10.0,4.8259
2013-07-29,91.79,101.9524,11.0714,11.1205,9.3698,1.7882,1.3009,31585055114.35,-6.7519,3.9659,7.0,2.0,10.0,4.8259
2013-07-30,91.33,101.9524,11.6308,11.0648,9.372,1.7792,1.301,31426768532.45,-6.7519,3.9659,7.0,2.0,10.0,4.8259
2013-07-31,91.38,101.9524,11.5697,11.071,9.372,1.7802,1.3012,31443973595.7,-6.7519,3.992,7.0,2.0,10.0,4.8259
2013-08-01,92.33,101.9524,10.4217,11.1861,9.3721,1.7943,1.3014,31770869797.45,-6.6508,3.992,7.0,2.0,10.0,4.8259
2013-08-02,91.95,101.9524,10.8781,11.1401,9.3732,1.7869,1.3016,31640111316.75,-6.6508,3.992,7.0,2.0,10.0,4.8259
2013-08-05,90.96,101.9524,12.0849,11.0201,9.3771,1.7677,1.302,31299451064.4,-6.6508,3.992,7.0,2.0,10.0,4.8259
2013-08-06,90.1,101.9524,13.1547,10.9159,9.3782,1.751,1.3021,31003523976.5,-6.6508,3.992,7.0,2.0,10.0,4.8259
2013-08-07,89.77,101.9524,13.5707,10.8759,9.3793,1.691,1.3022,30889970559.05,4.9402,4.0826,7.0,3.0,7.3667,5.7268
2013-08-08,89.87,101.9524,13.4443,10.8881,9.3799,1.6929,1.3024,30924380685.55,4.9402,4.0826,7.0,3.0,7.3667,5.7268
2013-08-09,89.74,101.9524,13.6086,10.8723,9.3802,1.6904,1.3026,30879647521.1,4.9402,4.0826,7.0,3.0,7.3667,5.7268
2013-08-12,89.82,101.9524,13.5075,10.882,9.3829,1.6919,1.3028,30907175622.3,4.5746,4.0826,7.0,3.0,7.3667,5.7268
2013-08-13,90.35,101.9524,12.8416,10.9462,9.3829,1.7019,1.3028,31089549292.75,4.5746,4.0826,7.0,3.0,7.3667,5.7268
2013-08-14,90.54,101.9524,12.6048,10.9692,9.3829,1.7055,1.3028,31154928533.1,4.5746,4.0826,7.0,3.0,7.3667,5.7268
2013-08-15,89.64,101.9524,13.7354,10.8602,9.3842,1.6885,1.3032,30845237394.6,4.5746,4.0826,7.0,3.0,7.3667,5.7268
2013-08-16,89.55,101.9524,13.8497,10.8493,9.3906,1.6869,1.3037,30814268280.75,4.5746,4.0826,7.0,3.0,7.3667,5.7268
2013-08-19,88.87,101.9524,14.7208,10.7669,9.3922,1.6231,1.3038,30580279420.55,4.1501,4.0826,7.0,3.0,7.3667,5.7268
2013-08-20,89.44,101.9524,13.9897,10.836,9.3934,1.6335,1.304,30776417141.6,4.1501,4.0826,7.0,3.0,7.3667,5.7268
2013-08-21,89.36,101.9524,14.0918,10.8263,9.3945,1.6321,1.304,30748889040.4,4.1501,4.0826,7.0,3.0,7.3667,5.7268
2013-08-22,90.6,101.9524,12.5302,10.9765,9.3952,1.6547,1.3044,31175574609.0,4.1501,4.0826,7.0,3.0,7.3667,5.7268
2013-08-23,90.44,101.9524,12.7293,10.9571,9.3979,1.6518,1.3045,31120518406.6,4.1501,4.0826,7.0,3.0,7.3667,5.7268
2013-08-26,89.76,101.9524,13.5833,10.8747,9.4036,1.6394,1.3051,30886529546.4,4.1501,4.0826,7.0,3.0,7.3667,5.7268
2013-08-27,88.45,101.9524,15.2656,10.716,9.4037,1.6155,1.3054,30435756889.25,4.1501,4.0826,7.0,3.0,7.3667,5.7268
2013-08-28,87.94,101.9524,15.934,10.6542,9.4037,1.6061,1.3056,30260265244.1,4.1501,4.0826,7.0,3.0,7.3667,5.7268
2013-08-29,88.26,102.475,16.1058,10.693,9.4078,1.612,1.3056,30370377648.9,4.1501,4.0826,7.0,3.0,7.3667,5.7268
2013-08-30,87.72,102.475,16.8206,10.6276,9.411,1.6021,1.3064,30184562965.8,4.1501,4.0826,7.0,3.0,7.3667,5.7268
2013-09-03,88.28,102.475,16.0795,10.6954,9.4126,1.6123,1.3076,30377259674.2,4.1501,4.0826,7.0,3.0,7.3667,5.7268
2013-09-04,88.23,102.475,16.1453,10.6804,9.4128,1.6114,1.3076,30360054610.95,4.1501,3.6425,8.0,3.0,7.3667,5.7268
2013-09-05,88.19,102.575,16.3114,10.6756,9.4141,1.6107,1.3082,30346290560.35,4.1501,3.6413,8.0,3.0,7.3667,5.7268
2013-09-06,88.19,102.575,16.3114,10.6756,9.4175,1.6107,1.3088,30346290560.35,4.1501,3.6413,8.0,3.0,7.3667,5.7268
2013-09-09,89.5,102.575,14.6089,10.8342,9.4245,1.6346,1.3098,30797063217.5,4.1501,3.6413,8.0,3.0,7.3667,5.7268
