date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2002-10-29,13.28,15.4642,16.4473,12.1323,11.5675,3.4364,3.0258,2672179196.64,-7.1728,10.667,1.0,1.0,9.0,9.0749,15.286895652173913,11.226277474110155,25.5568373015873,7.489126185832189,26.51317312628407,18.06771111575511
2002-10-30,13.38,15.4642,15.577,12.2236,11.5684,3.4623,3.0265,2692301027.94,-7.1728,10.667,1.0,1.0,9.0,9.0749,15.287793808049535,11.208843433852572,25.56689365079365,7.4747399633244305,26.496637241902107,18.09215368746922
2002-10-31,13.54,15.4642,14.2112,12.3698,11.5995,3.5037,3.0265,2724495958.02,-7.1728,10.667,1.0,1.0,9.0,9.0749,15.284470987654322,11.19163865510597,25.56426904761905,7.478699146375272,26.47610964276029,18.085569901243773
2002-11-01,13.98,15.4642,10.6166,12.7718,11.601,3.6175,3.0265,2813032015.74,-7.1728,10.667,1.0,1.0,9.0,9.0749,15.270108307692308,11.177353724484412,25.519379365079367,7.551536675038448,26.44746203217672,17.967842690040918
2002-11-04,13.56,15.4642,14.0428,12.3881,11.6221,3.5089,3.0265,2728520324.28,-7.1728,10.667,1.0,1.0,9.0,9.0749,15.26634355828221,11.160351555066775,25.49850238095238,7.579771556551966,26.426695113348988,17.918730824400413
2002-11-05,13.51,15.4642,14.4648,12.3424,11.6246,3.4959,3.028,2718459408.63,-7.1728,10.667,1.0,1.0,9.0,9.0749,15.263892354740062,11.143309463137976,25.47969603174603,7.604340055956471,26.40720181787804,17.87535597578956
2002-11-06,13.12,15.4642,17.8674,11.9861,11.6272,3.395,3.0296,2639984266.56,-7.1728,10.667,1.0,1.0,9.0,9.0749,15.27182987804878,11.127186355564431,25.4795,7.604537536665852,26.399016233613214,17.874962463334146
2002-11-07,12.81,15.4642,20.7198,11.7029,11.6286,3.3148,3.0315,2577606589.53,-7.1728,10.667,1.0,1.0,9.0,9.0749,15.28838905775076,11.114270446518542,25.49735873015873,7.590572971092703,26.4026595042693,17.906785759066025
2002-11-08,12.86,15.4642,20.2504,11.7486,11.6388,3.3277,3.0358,2587667505.18,-7.1728,10.667,1.0,1.0,9.0,9.0749,15.303425454545454,11.100727737167956,25.49109523809524,7.594605334608051,26.40415319171341,17.896489903487186
2002-11-11,12.59,15.4642,22.8292,11.5019,11.6416,3.2579,3.0384,2533338560.67,-7.1728,10.667,1.0,1.0,9.0,9.0749,15.326161933534744,11.091611844755851,25.524916666666662,7.572984578447254,26.417773778290595,17.95193208821941
2002-11-12,12.91,15.4642,19.7847,11.7943,11.6494,3.3407,3.0456,2597728420.83,-7.1728,10.667,1.0,1.0,9.0,9.0749,15.339591265060244,11.07754734712011,25.53713015873016,7.56238464018613,26.417138612180352,17.97474551854403
2002-11-13,13.02,15.4642,18.7727,11.8948,11.6572,3.3691,3.0527,2619862435.26,-7.1728,10.667,1.0,1.0,9.0,9.0749,15.3499009009009,11.062451568452929,25.540674603174605,7.559081773463611,26.412352469353827,17.981592829710994
2002-11-14,13.3,15.4642,16.2722,12.1506,11.6663,3.4416,3.0551,2676203562.9,-7.1728,10.667,1.0,1.0,9.0,9.0749,15.352662275449102,11.04594407520274,25.52181507936508,7.579352158099709,26.39860635065184,17.94246292126537
2002-11-15,13.48,15.4642,14.7196,12.315,11.6824,3.4882,3.0553,2712422859.24,-7.1728,10.667,1.0,1.0,9.0,9.0749,15.350772537313432,11.029450068291895,25.4841746031746,7.6213458140665535,26.38022260560533,17.862828789108047
2002-11-18,13.29,15.4642,16.3597,12.1414,11.703,3.439,3.0553,2674191379.77,-7.1728,10.667,1.0,1.0,9.0,9.0749,15.353775297619046,11.013113443668836,25.46085,7.644888570612389,26.366888741287884,17.815961429387606
2002-11-19,13.36,15.4642,15.75,12.2054,11.7031,3.4571,3.0553,2688276661.68,-7.1728,10.667,1.0,1.0,9.0,9.0749,15.354951038575669,10.9967338516026,25.42746984126984,7.678226824857619,26.351684890178262,17.749243016412223
2002-11-20,13.56,15.4642,14.0428,12.3881,11.705,3.5089,3.0561,2728520324.28,-7.1728,10.667,1.0,1.0,9.0,9.0749,15.35106893491124,10.980638053089129,25.387698412698413,7.724343950777788,26.33170698800037,17.663354461920626
2002-11-21,13.91,15.4642,11.1733,12.7078,11.7069,3.5994,3.0588,2798946733.83,-7.1728,10.667,1.0,1.0,9.0,9.0749,15.338745132743362,10.96673009702817,25.324507142857144,7.808016872586054,26.30547522977153,17.51649027027109
2002-11-22,13.83,15.4541,11.7433,12.6846,11.7087,3.5787,3.0606,2782849268.79,-7.1728,10.6658,1.0,1.0,9.0,9.0749,15.328170294117648,10.952278939258862,25.2677753968254,7.880761898199297,26.28044923337651,17.3870134986261
2002-11-25,13.9,15.4541,11.1806,12.7383,11.7219,3.5968,3.0662,2796934550.7,-7.1728,10.6658,1.0,1.0,9.0,9.0749,15.316007331378298,10.938466962455946,25.212339682539685,7.955335313582492,26.25447429383424,17.257004368957194
2002-11-26,13.48,15.4541,14.6447,12.3534,11.7254,3.4882,3.0666,2712422859.24,-7.1728,10.6658,1.0,1.0,9.0,9.0749,15.314044444444445,10.922476699415746,25.19071587301588,7.9804876115226175,26.236521143860188,17.210228261493256
2002-11-27,13.72,15.4541,12.6392,12.5733,11.729,3.5503,3.0689,2760715254.36,-7.1728,10.6658,1.0,1.0,9.0,9.0749,15.306246064139945,10.907452720053891,25.145581746031745,8.035513047002292,26.21369878419384,17.110068699029455
2002-11-29,13.67,15.4541,13.0512,12.4431,11.7301,3.5373,3.0712,2750654338.71,-7.1728,10.6686,1.0,1.0,9.0,9.0749,15.29969069767442,10.89221964617656,25.103717460317466,8.0849151632811,26.19191034385097,17.018802297036363
