date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2015-08-06,11.1,15.8333,42.6423,7.3022,8.8131,0.343,0.3879,2009064846.3,-1.4468,17.2193,5.0,1.0,-27.4,-2.4361
2015-08-07,11.01,16.0,45.3224,7.0872,8.7539,0.3409,0.3853,1992775131.33,-1.5261,14.2756,5.0,1.0,-27.4,-2.4361
2015-08-10,11.1,16.0,44.1441,7.1452,8.6947,0.3437,0.3827,2009064846.3,-1.5261,14.2756,5.0,1.0,-27.4,-2.4361
2015-08-11,10.69,15.6667,46.5547,6.8852,8.6564,0.3327,0.381,1934856144.77,-1.4931,16.4964,5.0,1.0,-27.4,-1.4745
2015-08-12,10.02,15.6667,56.3543,6.4537,8.6182,0.3118,0.3793,1813588266.66,-1.4931,16.4964,5.0,1.0,-27.4,-1.4745
2015-08-13,10.79,15.6667,45.1965,6.9496,8.4998,0.3358,0.3767,1952955828.07,-1.4931,16.4964,5.0,1.0,-27.4,-1.4745
2015-08-14,10.61,15.0714,42.049,6.8981,8.3815,0.3302,0.374,1920376398.13,-1.4931,15.3735,6.0,1.0,-27.4,-1.4745
2015-08-17,10.98,15.0714,37.2623,7.1387,8.3783,0.3417,0.3714,1987345226.34,-1.4931,15.3735,6.0,1.0,-27.4,-1.4745
2015-08-18,10.02,15.0714,50.4132,6.5145,8.3751,0.3118,0.3689,1813588266.66,-1.4931,15.3735,6.0,1.0,-27.4,-1.4745
2015-08-19,9.76,15.0714,54.4201,6.3455,8.3121,0.3037,0.368,1766529090.08,-1.4931,15.3735,6.0,1.0,-27.4,-1.4745
2015-08-20,9.62,15.0714,56.6674,6.2545,8.2492,0.2994,0.3671,1741189533.46,-1.4931,15.3735,6.0,1.0,-27.4,-1.4745
2015-08-21,9.2,15.0714,63.8196,5.9814,8.2305,0.2863,0.3651,1665170863.6,-1.4931,15.3735,6.0,1.0,-27.4,-1.4745
2015-08-24,9.2,15.0714,63.8196,5.9814,8.2117,0.2863,0.3631,1665170863.6,-1.4931,15.3735,6.0,1.0,-27.4,-1.4745
2015-08-25,8.31,15.0714,81.3646,5.4028,8.1596,0.2586,0.3628,1504083682.23,-1.4931,15.3735,6.0,1.0,-27.4,-1.4745
2015-08-26,9.12,15.0714,65.2566,5.9294,8.1074,0.2838,0.3624,1650691116.96,-1.4931,15.3735,6.0,1.0,-27.4,-1.4745
2015-08-27,9.57,15.0714,57.4859,6.222,8.0352,0.2978,0.359,1732139691.81,-1.4931,15.3735,6.0,1.0,-27.4,-1.4745
2015-08-28,9.68,15.0714,55.6963,6.2935,7.9629,0.3012,0.3556,1752049343.44,-1.4931,15.3735,6.0,1.0,-27.4,-1.4745
2015-08-31,9.67,15.0714,55.8573,6.287,7.9448,0.3009,0.355,1750239375.11,-1.4931,15.3735,6.0,1.0,-27.4,-1.4745
2015-09-01,9.37,15.0714,60.8474,6.0919,7.9266,0.2916,0.3543,1695940325.21,-1.4931,15.3735,6.0,1.0,-27.4,-1.4745
2015-09-02,8.67,15.0714,73.8339,5.6368,7.8486,0.2698,0.3506,1569242542.11,-1.4931,15.3735,6.0,1.0,-27.4,-1.4745
2015-09-03,9.39,15.0714,60.5048,6.1049,7.7705,0.2922,0.347,1699560261.87,-1.4931,15.3735,6.0,1.0,-27.4,-1.4745
2015-09-04,8.97,15.0714,68.0201,5.8319,7.7671,0.2791,0.3468,1623541592.01,-1.4931,15.3735,6.0,1.0,-27.4,-1.4745
2015-09-08,9.12,15.0714,65.2566,5.9294,7.7637,0.2838,0.3467,1650691116.96,-1.4931,15.3735,6.0,1.0,-27.4,-1.4745
2015-09-09,9.3,15.0714,62.0581,6.0464,7.6332,0.2894,0.3452,1683270546.9,-1.4931,15.3735,6.0,1.0,-27.4,-1.4745
2015-09-10,9.16,15.0714,64.5349,5.9554,7.5026,0.2851,0.3437,1657930990.28,-1.4931,15.3735,6.0,1.0,-27.4,-1.4745
2015-09-11,9.07,15.0714,66.1676,5.8969,7.4617,0.2823,0.3434,1641641275.31,-1.4931,15.3735,6.0,1.0,-27.4,-1.4745
2015-09-14,8.96,15.0714,68.2076,5.8254,7.4208,0.2788,0.343,1621731623.68,-1.4931,15.3735,6.0,1.0,-27.4,-1.4745
2015-09-15,9.4,15.0714,60.334,6.1114,7.4033,0.2925,0.3424,1701370230.2,-1.4931,15.3735,6.0,1.0,-27.4,-1.4745
2015-09-16,9.61,15.0714,56.8304,6.248,7.3858,0.2991,0.3417,1739379565.13,-1.4931,15.3735,6.0,1.0,-27.4,-1.4745
2015-09-17,9.45,15.0714,59.4857,6.2016,7.344,0.2964,0.3413,1710420071.85,-1.8372,15.5888,6.0,1.0,-27.4,-1.8243
2015-09-18,8.76,15.0714,72.0479,5.7841,7.3022,0.2747,0.3409,1585532257.08,-1.8372,15.7563,6.0,1.0,-27.4,-1.8243
2015-09-21,9.14,15.0714,64.895,6.0852,7.2237,0.2867,0.3384,1654311053.62,-1.8372,15.7776,6.0,1.0,-27.4,-1.8243
2015-09-22,8.69,15.0714,73.4338,5.7856,7.1452,0.2726,0.3358,1572862478.77,-1.8372,15.7776,6.0,1.0,-27.4,-1.8243
2015-09-23,7.98,15.0714,88.8647,5.3129,7.142,0.2503,0.3355,1444354727.34,-1.8372,15.7776,6.0,1.0,-27.4,-1.8243
2015-09-24,7.58,15.0714,98.8311,5.0466,7.1387,0.2377,0.3351,1371955994.14,-1.8372,15.7711,6.0,1.0,-27.4,-1.8381
2015-09-25,7.06,12.9375,83.2507,4.9929,7.113,0.2203,0.3339,1277837640.98,-1.9864,14.9246,6.0,2.0,-17.2,-1.8381
2015-09-28,6.48,12.9375,99.6528,4.5827,7.0872,0.2022,0.3327,1172859477.84,-1.9864,14.9246,6.0,2.0,-17.2,-1.8381
2015-09-29,6.18,12.9375,109.3447,4.3706,7.0204,0.1928,0.3314,1118560427.94,-1.9864,14.9246,6.0,2.0,-17.2,-1.8381
2015-09-30,6.47,12.9375,99.9614,4.5757,6.9536,0.2019,0.3302,1171049509.51,-1.9864,16.5925,6.0,2.0,-17.2,-1.8381
2015-10-01,6.57,12.9375,96.9178,4.6464,6.9516,0.205,0.33,1189149192.81,-1.9864,16.5925,6.0,2.0,-17.2,-1.8381
2015-10-02,7.08,12.9375,82.7331,5.0071,6.9496,0.2209,0.3298,1281457577.64,-1.9864,16.5925,6.0,2.0,-17.2,-1.8381
2015-10-05,7.56,12.5625,66.1706,5.3465,6.9238,0.2359,0.3282,1368336057.48,-1.9864,16.5925,6.0,2.0,-17.2,-1.8381
2015-10-06,8.21,12.125,47.6857,6.0716,6.8981,0.2562,0.3265,1485983998.93,-1.9864,15.9164,6.0,2.0,-17.2,-1.8381
2015-10-07,7.87,12.125,54.0661,5.8201,6.8916,0.2456,0.3192,1424445075.71,-1.9864,17.9916,6.0,2.0,-17.2,-1.8381
2015-10-08,8.43,12.125,43.8316,6.2343,6.8852,0.2631,0.3118,1525803302.19,-1.9864,17.9916,6.0,1.0,-7.0,-1.8381
2015-10-09,8.03,12.125,50.9963,5.9385,6.745,0.2506,0.3118,1453404568.99,-1.9864,17.9916,6.0,1.0,-7.0,-1.8381
2015-10-12,8.05,11.875,47.5155,6.0782,6.6048,0.2517,0.3118,1457024505.65,-2.167,16.8652,6.0,1.0,-7.0,-1.8381
2015-10-13,7.34,11.875,61.7847,5.5421,6.5596,0.2295,0.3088,1328516754.22,-2.167,16.8652,6.0,1.0,-7.0,-1.8381
2015-10-14,7.21,11.875,64.7018,5.444,6.5145,0.2255,0.3059,1304987165.93,-2.167,16.8652,6.0,1.0,-7.0,-1.8381
2015-10-15,7.07,11.875,67.9632,5.3383,6.4841,0.2211,0.3048,1279647609.31,-2.167,16.8652,6.0,1.0,-7.0,-1.8381
2015-10-16,6.39,11.875,85.8372,4.8248,6.4537,0.1998,0.3037,1156569762.87,-2.167,16.8652,6.0,1.0,-7.0,-1.8381
2015-10-19,6.08,11.875,95.3125,4.5908,6.3996,0.1901,0.3024,1100460744.64,-2.167,16.8652,6.0,1.0,-7.0,-1.8381
2015-10-20,6.41,11.875,85.2574,4.8399,6.3455,0.2004,0.3012,1160189699.53,-2.167,16.8652,6.0,1.0,-7.0,-1.8381
2015-10-21,6.26,11.875,89.6965,4.7267,6.3195,0.1957,0.3011,1133040174.58,-2.167,16.8652,6.0,1.0,-7.0,-1.8381
2015-10-22,6.35,11.875,87.0079,4.7946,6.2935,0.1986,0.3009,1149329889.55,-2.167,16.8652,6.0,1.0,-7.0,-1.8381
2015-10-23,6.56,11.875,81.0213,4.9532,6.2902,0.2051,0.3002,1187339224.48,-2.167,16.8652,6.0,1.0,-7.0,-1.8381
2015-10-26,6.45,11.875,84.1085,4.8701,6.2707,0.2017,0.2992,1167429572.85,-2.167,16.8652,6.0,1.0,-7.0,-1.8381
2015-10-27,6.56,11.875,81.0213,4.9532,6.2545,0.2051,0.2991,1187339224.48,-2.167,16.8652,6.0,1.0,-7.0,-1.8381
2015-10-28,6.66,11.875,78.3033,5.0287,6.2513,0.2083,0.2984,1205438907.78,-2.167,16.8652,6.0,1.0,-7.0,-1.8381
2015-10-29,6.91,11.875,71.8524,5.2175,6.248,0.2161,0.2978,1250688116.03,-2.167,16.8652,6.0,1.0,-7.0,-1.8381
2015-10-30,6.93,11.875,71.3564,5.2326,6.2412,0.2167,0.2971,1254308052.69,-2.167,16.8652,6.0,1.0,-7.0,-1.8381
2015-11-02,7.6,11.875,56.25,5.7384,6.2343,0.2376,0.2964,1375575930.8,-2.167,16.8652,6.0,1.0,-7.0,-1.8381
2015-11-03,8.48,11.875,40.0354,6.4029,6.2412,0.2652,0.2944,1534853143.84,-2.167,16.8652,6.0,1.0,-7.0,-1.8381
2015-11-04,8.13,11.875,46.064,6.1386,6.2343,0.2542,0.2925,1471504252.29,-2.167,16.8652,6.0,1.0,-7.0,-1.8381
2015-11-05,7.52,10.5,39.6277,5.8741,6.2282,0.2346,0.2924,1360879728.48,-2.3031,13.4181,6.0,1.0,-7.0,-1.7591
2015-11-06,6.73,9.75,44.8737,5.423,6.222,0.2115,0.2922,1217914969.77,-2.4106,11.4952,6.0,1.0,-7.0,-1.7591
2015-11-09,6.43,9.625,49.689,5.1846,6.2118,0.2022,0.2919,1163624555.07,-2.4518,11.0148,6.0,1.0,-7.0,0.8106
2015-11-10,6.15,9.625,56.5041,4.9589,6.2016,0.1934,0.2916,1112953501.35,-2.4518,11.0148,6.0,1.0,-7.0,0.8106
2015-11-11,5.9,9.625,63.1356,4.7573,6.1701,0.1856,0.2911,1067711489.1,-2.4518,11.0148,6.0,1.0,-7.0,0.8106
2015-11-12,5.85,9.625,64.5299,4.717,6.1386,0.184,0.2906,1058663086.65,-2.4518,11.0148,6.0,1.0,-7.0,0.8106
