date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2023-03-02,8.72,11.7778,35.0665,26.1548,31.178,6.111,6.8904,5615167054.72,8.2847,9.9257,3.0,2.0,-9.5254,6.5262
2023-03-03,8.79,11.7778,33.9909,26.3647,31.1383,6.16,6.888,5660242937.04,8.2847,9.9257,3.0,2.0,-9.5254,6.5262
2023-03-06,8.88,11.7778,32.6329,26.6347,31.1294,6.2231,6.8855,5718197642.88,8.2847,9.9257,3.0,2.0,-9.5254,6.5262
2023-03-07,8.84,11.7778,33.233,26.5147,31.1205,6.1951,6.8855,5692439995.84,8.2847,9.9257,3.0,2.0,-9.5254,6.5262
2023-03-08,8.73,11.7778,34.9118,26.1848,31.0963,6.118,6.8855,5621606466.48,8.2847,9.9257,3.0,2.0,-9.5254,6.5262
2023-03-09,8.65,11.7778,36.1595,25.9448,31.0721,6.0619,6.8849,5570091172.4,8.2847,9.9257,3.0,2.0,-9.5254,6.5262
2023-03-10,8.45,11.7778,39.3822,25.3449,31.0225,5.9218,6.8843,5441302937.2,8.2847,9.9257,3.0,2.0,-9.5254,6.5262
2023-03-13,8.6,11.7778,36.9512,25.7948,30.9729,6.0269,6.8809,5537894113.6,8.2847,9.9257,3.0,2.0,-9.5254,6.5262
2023-03-14,8.61,11.7778,36.7921,25.8248,30.9729,6.0339,6.8775,5544333525.36,8.2847,9.9257,3.0,2.0,-9.5254,6.5262
2023-03-15,8.78,11.7778,34.1435,26.3347,30.9729,6.153,6.8727,5653803525.28,8.2847,9.9257,3.0,2.0,-9.5254,6.5262
2023-03-16,8.94,11.7778,31.7427,26.8146,30.9564,6.2652,6.8679,5756834113.44,8.2847,9.9257,3.0,2.0,-9.5254,6.5262
2023-03-17,8.88,11.7778,32.6329,26.6347,30.9398,6.2231,6.8679,5718197642.88,8.2847,9.9257,3.0,2.0,-9.5254,6.5262
2023-03-20,8.86,11.7778,32.9323,26.5747,30.9398,6.2091,6.8679,5705318819.36,8.2847,9.9257,3.0,2.0,-9.5254,6.5262
2023-03-21,8.86,11.7778,32.9323,26.5747,30.9398,6.2091,6.8641,5705318819.36,8.2847,9.9257,3.0,2.0,-9.5254,6.5262
2023-03-22,8.71,11.7778,35.2216,26.1248,30.9067,6.104,6.8603,5608727642.96,8.2847,9.9257,3.0,2.0,-9.5254,6.5262
2023-03-23,8.7,11.7778,35.377,26.0948,30.8736,6.097,6.8577,5602288231.2,8.2847,9.9257,3.0,2.0,-9.5254,6.5262
2023-03-24,8.74,11.7778,34.7574,26.2148,30.8405,6.125,6.8551,5628045878.24,8.2847,9.9257,3.0,2.0,-9.5254,6.5262
2023-03-27,8.52,11.7778,38.2371,25.5549,30.8074,5.9708,6.8524,5486378819.52,8.2847,9.9257,3.0,2.0,-9.5254,6.5262
2023-03-28,8.4,11.7778,40.2119,25.195,30.7772,5.8867,6.8496,5409105878.4,8.2847,9.9257,3.0,2.0,-9.5254,6.5262
2023-03-29,8.65,11.7778,36.1595,25.9448,30.7469,6.0619,6.8413,5570091172.4,8.2847,9.9257,3.0,2.0,-9.5254,6.5262
2023-03-30,8.68,11.7778,35.6889,26.0348,30.7275,6.083,6.833,5589409407.68,8.2847,9.9257,3.0,2.0,-9.5254,6.5262
2023-03-31,8.97,11.7778,31.3021,26.9046,30.7081,6.2862,6.8314,5776152348.72,8.2847,9.9257,3.0,2.0,-9.5254,6.5262
2023-04-03,8.94,11.7778,31.7427,26.8146,30.6585,6.2652,6.8299,5756834113.44,8.2847,9.9257,3.0,2.0,-9.5254,6.5262
2023-04-04,8.81,11.7778,33.6867,26.4247,30.6089,6.1741,6.8272,5673121760.56,8.2847,9.9257,3.0,2.0,-9.5254,6.5262
2023-04-05,8.7,11.7778,35.377,26.0948,30.6089,6.097,6.8246,5602288231.2,8.2847,9.9257,3.0,2.0,-9.5254,6.5262
