date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2017-10-27,24.08,18.3198,-23.9211,22.842,19.1905,1.7819,1.7819,426297438.56,3.5372,7.1572,2.0,1.0,0.8,4.8291,-10.222554365079366,20.44266221191265,-23.465244444444444,3.650152192500681,10.220107846833288,-27.115396636945125
2017-10-30,24.01,18.3198,-23.6993,22.7756,19.1905,1.7767,1.7793,425058201.82,3.5372,7.1572,2.0,1.0,0.8,4.8291,-10.232854166666666,20.448152140195308,-23.48314365079365,3.645688262450314,10.215297973528642,-27.128831913243964
2017-10-31,23.94,18.3198,-23.4762,22.7092,19.1905,1.7715,1.7767,423818965.08,3.5372,7.1572,2.0,1.0,0.8,4.8291,-10.242865476190476,20.45340814317783,-23.515678571428573,3.62699322277086,10.210542666987353,-27.14267179419944
2017-11-01,23.66,18.3198,-22.5706,22.4436,19.1905,1.7508,1.7741,418862018.12,3.5372,7.1572,2.0,1.0,0.8,4.8291,-10.249351388888888,20.456804484295898,-23.55245238095238,3.593312925905963,10.20745309540701,-27.145765306858344
2017-11-02,23.24,18.3198,-21.1713,22.0452,19.1905,1.7197,1.7715,411426597.68,3.5372,7.1572,2.0,1.0,0.8,4.8291,-10.25544742063492,20.459605851885545,-23.568571428571428,3.5778846076174284,10.204158431250624,-27.14645603618885
2017-11-03,22.89,18.3198,-19.9659,21.7131,19.1905,1.6938,1.7612,405230413.98,3.5372,7.1572,2.0,1.0,0.8,4.8291,-10.270961507936509,20.464006931757314,-23.58274047619048,3.5598662811792723,10.193045423820807,-27.142606757369748
2017-11-06,23.17,18.3198,-20.9331,21.9788,19.1905,1.7146,1.7508,410187360.94,3.5372,7.1572,2.0,1.0,0.8,4.8291,-10.28663888888889,20.469152091647874,-23.593226984126986,3.550007733004901,10.182513202758985,-27.14323471713188
2017-11-07,23.38,18.3198,-21.6433,22.178,19.1905,1.7301,1.7404,413905071.16,3.5372,7.1572,2.0,1.0,0.8,4.8291,-10.306757142857142,20.47533262353618,-23.60199523809524,3.543761317220123,10.168575480679037,-27.14575655531536
2017-11-08,22.96,18.3198,-20.2099,21.7795,19.1905,1.699,1.7301,406469650.72,3.5372,7.1572,2.0,1.0,0.8,4.8291,-10.32960138888889,20.47995464373989,-23.612082539682536,3.5321716448923106,10.150353254851003,-27.144254184574848
2017-11-09,22.96,18.3198,-20.2099,21.7795,19.1905,1.699,1.7249,406469650.72,3.5372,7.1572,2.0,1.0,0.8,4.8291,-10.355506746031748,20.484186395476133,-23.618396825396825,3.525311912736005,10.128679649444386,-27.14370873813283
2017-11-10,22.82,18.3198,-19.7204,21.6467,19.1905,1.6887,1.7197,403991177.24,3.5372,7.1572,2.0,1.0,0.8,4.8291,-10.385380555555557,20.486848324762185,-23.615248412698413,3.5286394670759456,10.10146776920663,-27.14388787977436
2017-11-13,22.4,18.3198,-18.2152,21.2483,19.1905,1.6576,1.7172,396555756.8,3.5372,7.1572,2.0,1.0,0.8,4.8291,-10.41377142857143,20.48776631770984,-23.59831587301588,3.5494970007924493,10.073994889138408,-27.147812873808324
2017-11-14,22.61,18.3198,-18.9748,21.4475,19.1905,1.6731,1.7146,400273467.02,3.5372,7.1572,2.0,1.0,0.8,4.8291,-10.43638115079365,20.49091980067655,-23.59670873015873,3.5515600088541004,10.0545386498829,-27.14826873901283
2017-11-15,22.4,18.3198,-18.2152,21.2483,19.1905,1.6576,1.7068,396555756.8,3.5372,7.1572,2.0,1.0,0.8,4.8291,-10.452042261904763,20.493848363973747,-23.59286825396825,3.5571556261643504,10.041806102068984,-27.1500238801326
2017-11-16,22.4,18.3198,-18.2152,21.2483,19.1905,1.6576,1.699,396555756.8,3.5372,7.1572,2.0,1.0,0.8,4.8291,-10.47230753968254,20.496470060353708,-23.590942857142856,3.560021844168535,10.024162520671169,-27.15096470131139
2017-11-17,22.54,18.3198,-18.7232,21.3811,19.1905,1.6679,1.699,399034230.28,3.5372,7.1572,2.0,1.0,0.8,4.8291,-10.493303373015872,20.49949714636747,-23.587338888888887,3.564752425692999,10.006193773351598,-27.152091314581885
2017-11-20,22.54,18.3198,-18.7232,21.3811,19.1905,1.6679,1.699,399034230.28,3.5372,7.1572,2.0,1.0,0.8,4.8291,-10.513746825396828,20.50256253707795,-23.585626984126986,3.5670536590629807,9.988815711681122,-27.152680643189964
2017-11-21,22.4,18.3198,-18.2152,21.2483,19.1905,1.6576,1.6964,396555756.8,3.5372,7.1572,2.0,1.0,0.8,4.8291,-10.535694444444443,20.5048788997936,-23.58178650793651,3.572613001653702,9.969184455349156,-27.154399509590213
2017-11-22,22.61,18.3198,-18.9748,21.4475,19.1905,1.6731,1.6938,400273467.02,3.5372,7.1572,2.0,1.0,0.8,4.8291,-10.566200595238096,20.505976482853256,-23.58781587301588,3.564114338849779,9.93977588761516,-27.15193021186565
2017-11-24,22.96,18.3198,-20.2099,21.7795,19.1905,1.699,1.6964,406469650.72,3.5372,7.1572,2.0,1.0,0.8,4.8291,-10.599769444444444,20.507891529385844,-23.60172142857143,3.547317596622228,9.9081220849414,-27.14903902519366
2017-11-27,22.4,18.3198,-18.2152,21.2483,19.1905,1.6576,1.6938,396555756.8,3.5372,7.1572,2.0,1.0,0.8,4.8291,-10.629688095238096,20.50798065603075,-23.60365952380952,3.544282023117958,9.878292560792657,-27.14794154692748
2017-11-28,22.19,18.3198,-17.4412,21.0491,19.1905,1.642,1.6912,392838046.58,3.5372,7.1572,2.0,1.0,0.8,4.8291,-10.657456944444446,20.50770913943991,-23.60336507936508,3.5447964675985766,9.850252194995464,-27.148161546963657
2017-11-29,22.19,18.3198,-17.4412,21.0491,19.1905,1.642,1.6887,392838046.58,3.5372,7.1572,2.0,1.0,0.8,4.8291,-10.684009523809523,20.507811909861328,-23.587705555555555,3.567734142569686,9.823802386051804,-27.15543969812524
2017-11-30,22.05,18.3198,-16.917,20.9163,19.1905,1.6317,1.6809,390359573.1,3.5372,7.1572,2.0,1.0,0.8,4.8291,-10.709220238095238,20.50764843546996,-23.577403174603177,3.585203941356532,9.798428197374715,-27.16260711595971
2017-12-01,22.05,18.3198,-16.917,20.9163,19.1905,1.6317,1.6731,390359573.1,3.5372,7.1572,2.0,1.0,0.8,9.3388,-10.735906746031748,20.506956631382163,-23.56135634920635,3.610566411311104,9.771049885350417,-27.17192276051745
2017-12-04,22.54,18.3198,-18.7232,21.3811,19.1905,1.6679,1.6731,399034230.28,3.5372,7.1572,2.0,1.0,0.8,9.3388,-10.76775992063492,20.506870044907185,-23.557752380952383,3.615201124734676,9.739110124272264,-27.17295350568705
2017-12-05,22.33,18.3198,-17.9588,21.1819,19.1905,1.6524,1.6731,395316520.06,3.5372,7.1572,2.0,1.0,0.8,9.3388,-10.798736904761904,20.5059154926252,-23.55765555555556,3.615352111152863,9.707178587863291,-27.17300766670842
2017-12-06,21.84,18.3198,-16.1181,20.7171,19.1905,1.6161,1.6705,386641862.88,3.5372,7.1572,2.0,1.0,0.8,9.3388,-10.827551984126984,20.50316063028652,-23.53337619047619,3.655058475690528,9.675608646159535,-27.18843466616672
2017-12-07,22.61,17.9459,-20.6285,20.8753,19.1905,1.6665,1.6679,400273467.02,3.6063,10.7614,3.0,1.0,0.8,-2.7271,-10.86699365079365,20.50285594083659,-23.543012698412696,3.645700343100904,9.635862290042938,-27.1887130415136
2017-12-08,23.17,17.9459,-22.5468,21.3607,19.1905,1.7077,1.6705,410187360.94,3.6064,10.6117,3.0,1.0,13.8635,9.9562,-10.898470634920637,20.508595873210574,-23.56600317460317,3.63005417812991,9.61012523828994,-27.19605735273308
2017-12-11,24.01,17.9459,-25.2566,22.1352,19.1905,1.7697,1.6731,425058201.82,3.6064,10.6117,3.0,1.0,13.8635,9.9562,-10.941187301587302,20.51604966590201,-23.601311904761904,3.624642838386383,9.574862364314708,-27.22595474314829
2017-12-12,24.22,17.9459,-25.9046,22.3288,19.1905,1.7851,1.6731,428775912.04,3.6064,10.6117,3.0,1.0,13.8635,9.9562,-10.993148809523811,20.520726559430592,-23.652822222222223,3.610755281853196,9.52757774990678,-27.263577504075418
2017-12-13,23.38,17.9459,-23.2425,21.5543,19.1905,1.7232,1.6731,413905071.16,3.6064,10.6117,3.0,1.0,13.8635,9.9562,-11.048479563492062,20.51607461968781,-23.692722222222223,3.577812919959724,9.467595056195748,-27.27053514218195
2017-12-14,23.38,17.9459,-23.2425,21.5543,19.1905,1.7232,1.6809,413905071.16,3.6064,10.6117,3.0,1.0,13.8635,9.9562,-11.100844047619049,20.513445374774665,-23.732622222222226,3.5441116493235234,9.41260132715562,-27.276733871545744
2017-12-15,23.52,17.9459,-23.6994,21.6834,19.1905,1.7335,1.6887,416383544.64,3.6064,10.6117,3.0,1.0,13.8635,9.9562,-11.148776190476193,20.51460588388974,-23.772307142857144,3.515175380096565,9.365829693413549,-27.28748252295371
2017-12-18,23.73,17.9459,-24.3746,21.877,19.1905,1.749,1.6912,420101254.86,3.6064,10.6117,3.0,1.0,13.8635,9.9562,-11.225228373015874,20.49189596518884,-23.829011904761902,3.46607611790993,9.266667592172968,-27.29508802267184
2017-12-19,23.66,17.9459,-24.1509,21.8125,19.1905,1.7439,1.6938,418862018.12,3.6064,10.6117,3.0,1.0,13.8635,9.9562,-11.30168511904762,20.46803178672404,-23.88993174603175,3.402663619147876,9.166346667676416,-27.292595365179626
2017-12-20,23.66,17.9459,-24.1509,21.8125,19.1905,1.7439,1.6964,418862018.12,3.6064,10.6117,3.0,1.0,13.8635,9.9562,-11.376358333333332,20.4460656724515,-23.94486111111111,3.3497409345326874,9.069707339118168,-27.2946020456438
2017-12-21,23.87,17.9459,-24.8182,22.0061,19.1905,1.7593,1.699,422579728.34,3.6064,10.6117,3.0,1.0,13.8635,9.9562,-11.448443452380952,20.4292446572312,-23.987749206349207,3.3257787237469225,8.980801204850248,-27.31352793009613
2017-12-22,23.73,17.9459,-24.3746,21.877,19.1905,1.749,1.699,420101254.86,3.6064,10.6117,3.0,1.0,13.8635,9.9562,-11.506020436507937,20.424691829748635,-24.027116666666668,3.3004708226506594,8.918671393240698,-27.327587489317327
2017-12-26,23.8,17.9459,-24.5971,21.9416,19.1905,1.7542,1.699,421340491.6,3.6064,10.6117,3.0,1.0,13.8635,9.9562,-11.565554365079366,20.41902147121288,-24.07013095238095,3.271952917595634,8.853467106133513,-27.342083869976584
2017-12-27,23.59,17.9459,-23.9258,21.7479,19.1905,1.7387,1.699,417622781.38,3.6064,10.6117,3.0,1.0,13.8635,9.9562,-11.62685476190476,20.40963977495729,-24.10593650793651,3.245171206174612,8.782785013052534,-27.35110771411112
