date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2012-05-15,20.16,24.0,19.0476,5.7191,7.4786,5.8631,5.8631,942480000.0,46.7882,51.2397,1.0,1.0,0.0,42.2935,-9.389635294117648,9.166427813609198,-9.389635294117648,9.166427813609198,-0.2232074805084494,-18.55606310772685
2012-05-16,19.5,24.0,23.0769,5.5319,7.466,5.6711,5.7671,911625000.0,46.7882,51.2397,1.0,1.0,0.0,42.2935,-9.074426213592233,9.66609470197967,-9.074426213592233,9.66609470197967,0.5916684883874375,-18.740520915571903
2012-05-17,18.1,24.0,32.5967,5.1348,7.4534,5.264,5.6711,846175000.0,46.7882,51.2397,1.0,1.0,0.0,42.2935,-8.673742307692308,10.45099115596584,-8.673742307692308,10.45099115596584,1.7772488482735316,-19.124733463658146
2012-05-18,18.0,24.0,33.3333,4.6392,7.4308,5.1117,5.4676,841500000.0,47.3069,53.2915,1.0,1.0,0.0,42.2935,-8.273675238095239,11.179384027236,-8.273675238095239,11.179384027236,2.9057087891407622,-19.45305926533124
2012-05-21,18.98,24.0,26.4489,4.8918,7.4083,5.39,5.39,887315000.0,47.3069,53.2915,1.0,1.0,0.0,42.2935,-7.946103773584906,11.62593993664434,-7.946103773584906,11.62593993664434,3.6798361630594334,-19.572043710229245
2012-05-22,19.17,24.0,25.1956,4.9407,7.4075,5.444,5.417,896197500.0,47.3069,53.2915,1.0,1.0,0.0,42.2935,-7.636368224299066,12.006353547299629,-7.636368224299066,12.006353547299629,4.369985323000561,-19.64272177159869
2012-05-23,18.68,24.0,28.4797,4.8144,7.4067,5.3048,5.39,873290000.0,47.3069,53.2915,1.0,1.0,0.0,42.2935,-7.301960185185186,12.445192212000329,-7.301960185185186,12.445192212000329,5.1432320268151415,-19.74715239718552
2012-05-24,18.55,24.0,29.3801,4.7809,7.4014,5.2679,5.3474,867212500.0,47.3069,53.2915,1.0,1.0,0.0,42.2935,-6.965427522935779,12.876079390848002,-6.965427522935779,12.876079390848002,5.910651867912223,-19.841506913783785
2012-05-25,19.46,24.0,23.3299,5.6735,7.396,5.7671,5.39,909755000.0,48.2176,49.9593,1.0,1.0,0.0,42.2935,-6.690015454545454,13.1383438355151,-6.690015454545454,13.1383438355151,6.448328380969647,-19.82835929006056
2012-05-29,19.94,24.0,20.3611,5.8134,7.3898,5.9094,5.417,932195000.0,48.2176,49.9593,1.0,1.0,0.0,42.2935,-6.446311711711712,13.328139395461829,-6.446311711711712,13.328139395461829,6.881827683750116,-19.77445110717354
2012-05-30,19.3,24.0,24.3523,5.6268,7.3837,5.7197,5.444,902275000.0,48.2176,49.9593,1.0,1.0,0.0,42.2935,-6.1713241071428575,13.583378893035269,-6.1713241071428575,13.583378893035269,7.412054785892409,-19.754703000178125
2012-05-31,19.48,24.0,23.2033,5.6793,7.3776,5.7731,5.5576,910690000.0,48.2176,49.9593,1.0,1.0,0.0,42.2935,-5.911371681415929,13.802057544428898,-5.911371681415929,13.802057544428898,7.890685863012969,-19.713429225844827
2012-06-01,18.9,24.0,26.9841,5.5102,7.3716,5.6012,5.6012,883575000.0,48.2176,49.9593,1.0,1.0,0.0,42.2935,-5.622814912280702,14.082016587287594,-5.622814912280702,14.082016587287594,8.459201675006891,-19.704831499568296
2012-06-04,18.39,24.0,30.5057,5.3615,7.3684,5.45,5.5256,859732500.0,48.2176,49.9593,1.0,1.0,0.0,42.2935,-5.308653913043479,14.419218419649493,-5.308653913043479,14.419218419649493,9.110564506606012,-19.727872332692968
2012-06-05,18.92,24.0,26.8499,5.516,7.3652,5.6071,5.6012,884510000.0,48.2176,49.9593,1.0,1.0,0.0,42.2935,-5.0314250000000005,14.663600996094852,-5.0314250000000005,14.663600996094852,9.632175996094851,-19.69502599609485
2012-06-06,19.63,24.0,22.2618,5.723,7.3606,5.8175,5.6042,917702500.0,48.2176,49.9593,1.0,1.0,0.0,42.2935,-4.798149572649573,14.81669335290682,-4.798149572649573,14.81669335290682,10.018543780257248,-19.614842925556395
2012-06-07,19.6,24.0,22.449,5.7143,7.3561,5.8086,5.6071,916300000.0,48.2176,49.9593,1.0,1.0,0.0,42.2935,-4.567241525423729,14.964946562044322,-4.567241525423729,14.964946562044322,10.397705036620591,-19.53218808746805
2012-06-08,19.9,24.0,20.603,5.8017,7.3498,5.8975,5.6391,930325000.0,48.2176,49.9593,1.0,1.0,0.0,42.2935,-4.355726890756302,15.07897947019264,-4.355726890756302,15.07897947019264,10.723252579436338,-19.434706360948944
2012-06-11,19.76,24.0,21.4575,5.7609,7.3436,5.8157,5.6711,923780000.0,47.4483,49.9593,1.0,1.0,0.0,46.3069,-4.140616666666667,15.199262856204207,-4.140616666666667,15.199262856204207,11.05864618953754,-19.33987952287088
2012-06-12,19.91,24.0,20.5424,5.8047,7.3097,5.8599,5.6954,930792500.0,47.4483,49.9593,1.0,1.0,0.0,46.3069,-3.9366247933884297,15.30122804173618,-3.9366247933884297,15.30122804173618,11.364603248347748,-19.23785283512461
2012-06-13,19.31,24.0,24.2879,5.6297,7.2758,5.6833,5.6833,902742500.0,47.4483,49.9593,1.0,1.0,0.0,46.3069,-3.705276229508197,15.45064219338821,-3.705276229508197,15.45064219338821,11.745365963880014,-19.15591842289641
2012-06-14,19.39,24.0,23.7751,5.6531,7.2676,5.7068,5.695,906482500.0,47.4483,49.9593,1.0,1.0,0.0,46.3069,-3.481858536585366,15.585416449996584,-3.481858536585366,15.585416449996584,12.10355791341122,-19.06727498658195
2012-06-15,19.4,24.0,23.7113,5.656,7.2593,5.7098,5.7068,906950000.0,47.4483,49.9593,1.0,1.0,0.0,46.3069,-3.2625588709677418,15.712855164528994,-3.2625588709677418,15.712855164528994,12.450296293561252,-18.975414035496737
2012-06-18,18.82,24.0,27.5239,5.4869,7.2568,5.5391,5.695,879835000.0,47.4483,49.9593,1.0,1.0,0.0,46.3069,-3.0162672,15.889782460663897,-3.0162672,15.889782460663897,12.873515260663895,-18.906049660663896
2012-06-19,19.45,24.0,23.3933,5.6706,7.2542,5.7245,5.7068,909287500.0,47.4483,49.9593,1.0,1.0,0.0,46.3069,-2.8066674603174606,16.000023236367277,-2.8066674603174606,16.000023236367277,13.193355776049817,-18.806690696684736
2012-06-20,19.95,24.0,20.3008,5.8163,7.2425,5.8716,5.7083,932662500.0,47.4483,49.9593,1.0,1.0,0.0,46.3069,-2.624718897637796,16.067774025135364,-2.73593253968254,16.082766752943126,13.44305512749757,-18.818699292625663
2012-06-21,19.61,24.0,22.3865,5.7172,7.2308,5.7716,5.7098,916767500.0,47.4483,49.9593,1.0,1.0,0.0,46.3069,-2.42931875,16.156351595237616,-2.587046825396826,16.228316301091432,13.727032845237616,-18.815363126488258
2012-06-22,19.36,24.0,23.9669,5.6443,7.2222,5.698,5.7083,905080000.0,47.4483,49.9593,1.0,1.0,0.0,46.3069,-2.2246968992248064,16.26006337998842,-2.3953928571428573,16.39865324856248,14.035366480763614,-18.79404610570533
2012-06-25,19.26,24.0,24.6106,5.6152,7.2137,5.6686,5.7068,900405000.0,47.4483,49.9593,1.0,1.0,0.0,46.3069,-2.0182715384615384,16.367028279687748,-2.1893936507936504,16.574040571017058,14.34875674122621,-18.76343422181071
2012-06-26,19.4,24.0,23.7113,5.656,7.2137,5.7098,5.7083,906950000.0,47.4483,49.9593,1.0,1.0,0.0,46.3069,-1.8218625954198475,16.458205255678756,-1.995123015873016,16.73353982612962,14.636342660258908,-18.728662842002635
2012-06-27,19.84,24.0,20.9677,5.7843,7.2137,5.8393,5.7098,927520000.0,47.4483,49.9593,1.0,1.0,0.0,46.3069,-1.649214393939394,16.514822677538948,-1.8107309523809525,16.858078980351063,14.865608283599554,-18.668809932732017
2012-06-28,19.58,24.0,22.5741,5.7085,7.197,5.7627,5.7098,915365000.0,47.4483,49.9593,1.0,1.0,0.0,46.3069,-1.4670842105263158,16.5856853168667,-1.6050698412698412,16.996777993101023,15.118601106340384,-18.601847834370865
2012-06-29,19.69,24.0,21.8893,5.7405,7.1803,5.7951,5.7098,920507500.0,47.4483,49.9593,1.0,1.0,0.0,46.3069,-1.2927828358208957,16.645951440382373,-1.377225396825397,17.118309734933234,15.353168604561477,-18.49553513175863
2012-07-02,19.8,24.0,21.2121,5.7726,7.1714,5.8275,5.7148,925650000.0,47.4483,49.9593,1.0,1.0,0.0,46.3069,-1.12608,16.69645197316511,-1.1085134920634925,17.205526882084623,15.570371973165113,-18.31404037414812
2012-07-03,20.2,24.0,18.8119,5.8892,7.1624,5.9452,5.7197,944350000.0,47.4483,49.9593,1.0,1.0,0.0,46.3069,-0.979477205882353,16.72212599917521,-0.8649603174603174,17.268974199867596,15.742648793292856,-18.133934517327912
2012-07-05,20.54,24.0,16.8452,5.9883,7.1396,6.0453,5.7221,960245000.0,47.4483,49.9593,1.0,1.0,0.0,46.3069,-0.8493700729927007,16.729988533430927,-0.6349674603174603,17.310616287205168,15.880618460438226,-17.94558374752263
2012-07-06,20.91,24.0,14.7776,6.0962,7.1168,6.1542,5.7245,977542500.0,47.4483,49.9593,1.0,1.0,0.0,46.3069,-0.7361311594202898,16.721814685438048,-0.4070944444444443,17.323119619783526,15.985683526017755,-17.73021406422797
2012-07-09,21.16,24.0,13.4216,6.1691,7.1158,6.2278,5.7436,989230000.0,47.4483,49.9593,1.0,1.0,0.0,46.3069,-0.6342769784172663,16.704337317674554,-0.1922301587301587,17.325430091073738,16.07006033925729,-17.517660249803896
2012-07-10,20.9,24.0,14.8325,6.0933,7.1149,6.1512,5.7627,977075000.0,47.4483,49.9593,1.0,1.0,0.0,46.3069,-0.5238,16.695393460222935,0.0235349206349206,17.34203826713489,16.171593460222933,-17.31850334649997
2012-07-11,21.89,24.0,9.6391,6.3819,7.1144,6.4426,5.7649,1023357500.0,47.4483,49.9593,1.0,1.0,0.0,46.3069,-0.451722695035461,16.657662040121654,0.1992420634920634,17.326284442828953,16.205939345086193,-17.12704237933689
2012-07-12,21.88,24.0,9.6892,6.5509,7.114,6.4397,5.7671,1022890000.0,47.4483,48.9275,1.0,1.0,0.0,46.3069,-0.3803077464788733,16.620288539378887,0.3454682539682539,17.328024859061813,16.239980792900013,-16.98255660509356
2012-07-13,22.09,24.0,8.6464,6.6138,7.1024,6.5015,5.7694,1032707500.0,47.4483,48.9275,1.0,1.0,0.0,46.3069,-0.3171839160839161,16.578856465520083,0.4686428571428571,17.331459151747975,16.261672549436167,-16.862816294605118
2012-07-16,21.8,24.0,10.0917,6.5269,7.0909,6.4161,5.7716,1019150000.0,47.4483,48.9275,1.0,1.0,0.0,46.3069,-0.2449,16.543542223816182,0.614584126984127,17.33447879173718,16.29864222381618,-16.719894664753053
2012-07-17,22.3,24.0,7.6233,6.6766,7.0825,6.5633,5.7724,1042525000.0,47.4483,48.9275,1.0,1.0,0.0,46.3069,-0.1906365517241379,16.498943250477414,0.7534293650793651,17.31987546700296,16.308306698753277,-16.566446101923592
2012-07-18,22.46,24.0,6.8566,6.7583,7.0741,6.5938,5.7731,1050005000.0,46.4816,47.1842,2.0,1.0,0.0,46.3069,-0.1423678082191781,16.452292968550783,0.8934825396825397,17.297117660304355,16.309925160331606,-16.403635120621814
2012-07-19,22.59,24.0,6.2417,6.7975,7.0656,6.632,5.7841,1056082500.0,46.4816,47.1842,2.0,1.0,0.0,46.3069,-0.0989387755102041,16.40430551083051,1.0188984126984129,17.277989824036755,16.305366735320305,-16.259091411338343
2012-07-20,22.23,24.0,7.9622,6.6891,7.057,6.5263,5.7951,1039252500.0,46.4816,47.1842,2.0,1.0,0.0,46.3069,-0.0444716216216216,16.361836263189012,1.154552380952381,17.264762525188537,16.31736464156739,-16.110210144236156
2012-07-23,21.61,24.0,11.0597,6.5026,7.0399,6.3443,5.8018,1010267500.0,46.4816,47.1842,2.0,1.0,0.0,46.3069,0.0300530201342281,16.331820813565972,1.3359928571428572,17.247631724334468,16.3618738337002,-15.911638867191613
2012-07-24,21.34,24.0,12.4649,6.4213,7.0228,6.265,5.8086,997645000.0,46.4816,47.1842,2.0,1.0,0.0,46.3069,0.1129519999999999,16.308558609514286,1.537868253968254,17.227679154883987,16.421510609514286,-15.689810900915733
2012-07-25,21.05,24.0,14.0143,6.3341,7.0184,6.1799,5.8122,984087500.0,46.4816,47.1842,2.0,1.0,0.0,46.3069,0.2050139072847682,16.29342632181883,1.7644071428571426,17.202359755006544,16.4984402291036,-15.4379526121494
2012-07-26,21.66,24.0,10.8033,6.5176,7.0139,6.359,5.8157,1012605000.0,46.4816,47.1842,2.0,1.0,0.0,46.3069,0.2747394736842105,16.26212148869678,1.9550928571428567,17.16802664607988,16.53686096238099,-15.212933788937024
2012-07-27,21.6,24.0,11.1111,6.4996,6.9816,6.3413,5.8166,1009800000.0,46.4816,47.1842,2.0,1.0,0.0,46.3069,0.3455653594771242,16.232197760142782,2.147081746031746,17.133777522325435,16.577763119619906,-14.986695776293688
2012-07-30,22.13,24.0,8.4501,7.2677,7.0184,6.9169,5.8225,1034577500.0,46.4816,47.1842,2.0,1.0,0.0,46.3069,0.3981922077922077,16.192240147580954,2.323896031746032,17.08247316410783,16.59043235537316,-14.7585771323618
2012-07-31,22.33,24.0,7.4787,7.3333,7.0228,6.9794,5.8275,1043927500.0,46.4816,47.1842,2.0,1.0,0.0,46.3069,0.4438729032258064,16.149599371936947,2.497184126984127,17.02256008175698,16.593472275162753,-14.525375954772851
2012-08-01,22.14,24.0,8.4011,7.2709,7.0399,6.92,5.8334,1035045000.0,46.4816,47.1842,2.0,1.0,0.0,46.3069,0.4948807692307692,16.110021686075452,2.684109523809524,16.9563962112823,16.60490245530622,-14.272286687472777
2012-08-02,21.7,24.0,10.5991,7.1264,7.057,6.7825,5.8393,1014475000.0,46.4816,47.1842,2.0,1.0,0.0,46.3069,0.5592388535031847,16.0785389613571,2.8931722222222223,16.889644289964853,16.637777814860286,-13.99647206774263
2012-08-03,22.0,24.0,9.0909,7.225,7.0656,6.8762,5.8496,1028500000.0,46.4816,47.1842,2.0,1.0,0.0,46.3069,0.6132367088607594,16.041617314282234,3.1081857142857148,16.793698628605743,16.654854023142995,-13.685512914320029
