date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2020-02-06,112.84,109.5,-2.9599,28.0278,23.9637,3.0857,2.447,18652452000.0,2.1407,-5.2561,1.0,1.0,-5.4751,-1.2348,-1.0178757936507934,5.763025137601701,-2.9204531746031748,5.115649760219115,4.745149343950908,-8.036102934822289
2020-02-07,112.83,110.5,-2.0651,28.0253,23.9694,3.0643,2.447,18650799000.0,2.1517,-5.2561,1.0,1.0,-5.4751,-1.2348,-1.0334515873015873,5.75520521080924,-2.882674603174603,5.104146400846069,4.721753623507652,-7.986821004020673
2020-02-10,114.08,110.5,-3.1381,28.3358,23.9755,3.0982,2.4467,18857424000.0,2.1517,-5.2561,1.0,1.0,-5.4751,-1.2348,-1.0510696428571429,5.748011180246706,-2.851865079365079,5.090670809083106,4.696941537389564,-7.942535888448185
2020-02-11,114.92,110.5,-3.8462,28.5445,23.976,3.121,2.4468,18996276000.0,2.1517,-5.2561,1.0,1.0,-5.4751,-1.2348,-1.0757948412698413,5.733130860515042,-2.8355722222222224,5.084120985557117,4.657336019245201,-7.919693207779339
2020-02-12,113.74,110.5,-2.8486,28.2514,23.9766,3.089,2.447,18801222000.0,2.1517,-5.2561,1.0,1.0,-5.4751,-1.2348,-1.093163492063492,5.7251941562479445,-2.79753253968254,5.065771978284528,4.632030664184453,-7.863304517967068
2020-02-13,114.85,110.5,-3.7875,28.5271,23.9771,3.1191,2.447,18984705000.0,2.1517,-5.2561,1.0,1.0,-5.4751,-1.2348,-1.10625873015873,5.7237908897222205,-2.792785714285714,5.064552067248823,4.61753215956349,-7.857337781534538
2020-02-14,115.21,110.5,-4.0882,28.6165,23.9797,3.1289,2.4471,19044213000.0,2.1517,-5.2561,1.0,1.0,-5.4751,-1.2348,-1.1208882936507938,5.7219671045062,-2.778963492063492,5.058570173360903,4.601078810855407,-7.837533665424395
2020-02-18,113.85,110.5,-2.9425,28.2787,23.9892,3.092,2.4483,18819405000.0,2.1517,-5.2561,1.0,1.0,-5.4751,-1.2348,-1.128905753968254,5.72168237898524,-2.748418253968254,5.045752802338238,4.592776625016986,-7.794171056306492
2020-02-19,113.02,110.5,-2.2297,28.0725,23.9908,3.0694,2.4483,18682206000.0,2.1517,-5.2561,1.0,1.0,-5.4751,-1.2348,-1.1338765873015872,5.721548023656268,-2.7065277777777776,5.027801080880415,4.587671436354681,-7.734328858658193
2020-02-20,112.12,110.5,-1.4449,27.849,23.9962,3.045,2.4525,18533436000.0,2.1517,-5.2561,1.0,1.0,-5.4751,-1.2348,-1.1347128968253966,5.721562648338189,-2.665921428571429,5.017068977841265,4.586849751512792,-7.682990406412694
2020-02-21,111.32,110.5,-0.7366,27.6503,24.0016,3.0233,2.4526,18401196000.0,2.1517,-5.2561,1.0,1.0,-5.4751,-1.2348,-1.138035515873016,5.7208427825776,-2.612646031746032,5.001485051392654,4.5828072667045845,-7.614131083138686
2020-02-24,107.48,110.5,2.8098,26.3929,24.0109,2.919,2.4543,17766444000.0,2.1517,-5.2561,1.0,1.0,-5.4751,-1.2348,-1.1347194444444444,5.7226490909742,-2.5275857142857148,5.001847029147768,4.587929646529756,-7.529432743433482
2020-02-25,104.72,110.5,5.5195,25.7152,24.0111,2.844,2.4548,17310216000.0,2.1517,-5.2561,1.0,1.0,-5.4751,-1.2348,-1.1276875,5.728652709496872,-2.4399285714285712,5.045481427826012,4.600965209496872,-7.485409999254583
2020-02-26,103.13,110.5,7.1463,25.3248,24.0113,2.8008,2.4553,17047389000.0,2.1517,-5.2561,1.0,1.0,-5.4751,-1.2348,-1.1150789682539684,5.739867621968932,-2.3250888888888888,5.097838880078069,4.624788653714964,-7.422927768966958
2020-02-27,97.66,110.5,13.1477,23.9815,24.0113,2.6523,2.4555,16143198000.0,2.1517,-5.2561,1.0,1.0,-5.4751,-1.2348,-1.08678373015873,5.774920368503565,-2.162219047619048,5.260471088056121,4.688136638344835,-7.422690135675169
2020-02-28,93.24,110.5,18.5114,22.8962,24.0113,2.5322,2.4562,15412572000.0,2.1517,-5.2561,1.0,1.0,-5.4751,-1.2348,-1.051414484126984,5.840017527705257,-1.955653968253968,5.551526560082749,4.788603043578273,-7.507180528336717
2020-03-02,101.36,112.0,10.4972,24.8901,24.0162,2.7528,2.4591,16754808000.0,2.1516,-5.229,1.0,1.0,-5.4751,-1.2348,-1.0354013888888889,5.860601420597625,-1.8024015873015875,5.626741496574864,4.825200031708736,-7.429143083876451
2020-03-03,99.77,112.0,12.2582,24.4997,24.0188,2.7096,2.4593,16491981000.0,2.1516,-5.229,1.0,1.0,-5.4751,-1.2348,-1.0193579365079364,5.885898910618488,-1.6363960317460318,5.730444748399919,4.866540974110552,-7.366840780145951
2020-03-04,104.43,112.0,7.2489,25.644,24.0213,2.8362,2.4596,17262279000.0,2.1516,-5.229,1.0,1.0,-5.4751,-1.2348,-1.0097353174603174,5.895455333907435,-1.5089238095238096,5.748149485800509,4.8857200164471175,-7.257073295324318
2020-03-05,101.14,112.0,10.7376,24.8361,24.0268,2.7468,2.4598,16718442000.0,2.1516,-5.229,1.0,1.0,-5.4751,-1.2348,-0.9897638888888888,5.918169046624011,-1.3475238095238091,5.804413333020716,4.928405157735122,-7.151937142544526
2020-03-06,98.21,112.0,14.0413,24.1166,24.0309,2.6672,2.4599,16234113000.0,2.1516,-5.229,1.0,1.0,-5.4751,-1.2348,-0.9628434523809524,5.955578333999301,-1.1582039682539682,5.914076283842155,4.9927348816183486,-7.072280252096123
2020-03-09,90.7,112.0,23.484,22.1452,24.0315,2.4583,2.46,14992710000.0,4.9396,-2.6931,2.0,1.0,-5.4751,-0.3986,-0.9180299603174604,6.053774375118852,-0.8876523809523809,6.2487125919852,5.135744414801392,-7.136364972937581
2020-03-10,95.99,109.8571,14.4464,23.5599,24.0309,2.6017,2.4601,15867147000.0,4.9396,-2.7028,2.0,1.0,-5.4751,-0.3986,-0.8923718253968252,6.091393461550391,-0.6984626984126984,6.349241835378266,5.1990216361535655,-7.047704533790965
2020-03-11,90.0,109.8571,22.0634,22.0897,24.0309,2.4393,2.46,14877000000.0,4.9396,-2.7028,2.0,1.0,-5.4751,-0.3986,-0.8469470238095238,6.1766211032563305,-0.4663420634920634,6.638290683883663,5.329674079446807,-7.104632747375726
2020-03-12,80.56,109.8571,36.3668,19.7727,24.0309,2.1835,2.46,13316568000.0,4.9396,-2.7028,2.0,1.0,-5.4751,-0.3986,-0.7778496031746032,6.394351240953477,-0.1226849206349206,7.380152858222581,5.616501637778874,-7.502837778857502
2020-03-13,90.58,107.8571,19.0739,22.301,24.0309,2.4551,2.46,14972874000.0,4.9396,-3.3046,2.0,1.0,-5.4751,-1.5742,-0.7434928571428571,6.454242226464762,0.0952063492063492,7.537993891393087,5.710749369321905,-7.442787542186738
2020-03-16,78.52,107.8571,37.3626,19.3318,24.0321,2.1282,2.4606,12979356000.0,4.9396,-3.3046,2.0,1.0,-5.4751,-1.5742,-0.6756573412698412,6.671503347954984,0.456379365079365,8.20106682410837,5.9958460066851424,-7.744687459029005
2020-03-17,84.98,107.8571,26.9206,20.9223,24.0315,2.3033,2.4601,14047194000.0,4.9396,-3.3046,2.0,1.0,-5.4751,-1.5742,-0.6278513888888889,6.782057737535562,0.7335801587301588,8.497640386780517,6.154206348646674,-7.764060228050359
2020-03-18,85.37,107.8571,26.3408,21.0183,24.0309,2.3138,2.46,14111661000.0,4.9396,-3.3046,2.0,1.0,-5.4751,-1.5742,-0.5789418650793651,6.886883653530762,1.014309523809524,8.752913716585395,6.307941788451397,-7.738604192775871
2020-03-19,81.93,107.8571,31.6454,20.1714,24.0309,2.2206,2.46,13543029000.0,4.9396,-3.3046,2.0,1.0,-5.4751,-1.5742,-0.5195611111111111,7.034172220475642,1.340290476190476,9.118120772882357,6.514611109364531,-7.777830296691881
2020-03-20,75.03,107.8571,43.752,18.4726,24.0309,2.0336,2.46,12402459000.0,4.9396,-3.3046,2.0,1.0,-5.4751,-1.5742,-0.4353831349206349,7.304948180077061,1.7607833333333334,9.821306291493013,6.869565045156426,-8.060522958159677
2020-03-23,66.78,107.8571,61.5111,16.4414,24.0321,1.81,2.4606,11038734000.0,4.9396,-3.3046,2.0,1.0,-5.4751,-1.5742,-0.3155696428571428,7.808457128015132,2.319119841269841,11.12680242921224,7.492887485157989,-8.807682587942399
