date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2005-02-24,12.86,14.6667,14.049,16.9211,15.8496,1.3994,1.2426,739732920.0,0.8594,3.7384,2.0,1.0,45.0,9.0717
2005-02-25,13.53,15.1667,12.0968,17.8026,15.8804,1.4723,1.2432,778272660.0,0.8594,3.7445,2.0,1.0,45.0,9.0717
2005-02-28,13.45,15.1667,12.7636,17.6974,15.9384,1.4636,1.2456,773670900.0,0.8594,3.7445,2.0,1.0,45.0,9.0717
2005-03-01,13.1,15.1667,15.7763,17.2368,15.9436,1.4255,1.2456,753538200.0,0.8594,3.7445,2.0,1.0,45.0,9.0717
2005-03-02,13.18,15.1667,15.0736,17.3421,15.9762,1.4342,1.2456,758139960.0,0.8594,3.7445,2.0,1.0,45.0,9.0717
2005-03-03,13.67,15.1667,10.9488,17.9868,16.0412,1.4876,1.2456,786325740.0,0.8594,3.7445,2.0,1.0,45.0,9.0717
2005-03-04,13.67,15.1667,10.9488,17.9868,16.0924,1.4876,1.2456,786325740.0,0.8594,3.7445,2.0,1.0,45.0,9.0717
2005-03-07,13.43,15.1667,12.9315,17.6711,16.1299,1.4614,1.2482,772520460.0,0.8594,3.7445,2.0,1.0,45.0,9.0717
2005-03-08,13.36,15.1667,13.5232,17.5789,16.1427,1.4538,1.2492,768493920.0,0.8594,3.7445,2.0,1.0,45.0,9.0717
2005-03-09,13.05,15.1667,16.2199,17.1711,16.1516,1.4201,1.2498,750662100.0,0.8594,3.7445,2.0,1.0,45.0,9.0717
2005-03-10,12.32,15.1667,23.1063,16.2105,16.1622,1.3407,1.2504,708671040.0,0.8594,3.7445,2.0,1.0,45.0,9.0717
2005-03-11,12.73,15.1667,19.1414,16.75,16.1657,1.3853,1.2506,732255060.0,0.8594,3.7445,2.0,1.0,45.0,9.0717
2005-03-14,12.62,15.1667,20.1799,16.6053,16.1752,1.3733,1.2504,725927640.0,0.8594,3.7445,2.0,1.0,45.0,9.0717
2005-03-15,12.62,15.1667,20.1799,16.6053,16.1822,1.3733,1.2504,725927640.0,0.8594,3.7445,2.0,1.0,45.0,9.0717
2005-03-16,12.69,15.25,20.1734,16.6974,16.1857,1.3809,1.2506,729954180.0,0.8594,3.7555,2.0,1.0,45.0,9.0717
2005-03-17,12.9,15.25,18.2171,16.9737,16.1904,1.4038,1.2506,742033800.0,0.8594,3.7555,2.0,1.0,45.0,9.0717
2005-03-18,13.06,15.25,16.7688,17.1842,16.1978,1.4212,1.2506,751237320.0,0.8594,3.7663,2.0,1.0,45.0,9.0274
2005-03-21,13.06,15.25,16.7688,17.1842,16.2072,1.4212,1.2512,751237320.0,0.8594,3.7663,2.0,1.0,45.0,9.0274
2005-03-22,13.08,15.25,16.5902,17.2105,16.2105,1.4234,1.2514,752387760.0,0.8594,3.7663,2.0,1.0,45.0,9.0274
2005-03-23,12.5,15.25,22.0,16.4474,16.218,1.3602,1.2518,719025000.0,0.8594,3.7663,2.0,1.0,45.0,9.0274
2005-03-24,12.73,15.25,19.7958,16.75,16.2319,1.3853,1.2518,732255060.0,0.8594,3.7663,2.0,1.0,45.0,9.0274
