date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2010-05-17,31.43,34.4583,9.6351,20.9701,20.4038,1.0722,1.0855,1657681060.0,18.2074,35.7732,2.0,2.0,18.0,8.2923
2010-05-18,32.8,34.9167,6.4534,21.8842,20.4076,1.118,1.0861,1729937600.0,18.3994,36.5523,2.0,2.0,18.0,8.2923
2010-05-19,32.205,35.2917,9.5845,21.3745,20.4113,1.095,1.0867,1698556110.0,19.0435,37.4086,2.0,2.0,18.0,8.4765
2010-05-20,30.755,35.5833,15.6992,20.4122,20.4122,1.0457,1.0867,1622080210.0,19.0851,37.5195,2.0,2.0,18.0,8.4765
2010-05-21,30.32,35.6667,17.6342,20.1234,20.4122,1.031,1.0867,1599137440.0,19.0851,37.5195,2.0,2.0,18.0,8.4765
2010-05-24,31.055,35.6667,14.8501,20.5717,20.4213,1.0566,1.0873,1637902810.0,19.1664,37.9461,2.0,2.0,18.0,8.4765
2010-05-25,30.85,35.6667,15.6133,20.4359,20.4286,1.0496,1.0873,1627090700.0,19.1664,37.9461,2.0,2.0,18.0,8.4765
2010-05-26,31.035,35.6667,14.9241,20.5584,20.4359,1.0559,1.087,1636847970.0,19.1664,37.9461,2.0,2.0,18.0,8.4765
2010-05-27,30.695,35.6667,16.1971,20.3332,20.4359,1.0443,1.087,1618915690.0,19.1664,37.9461,2.0,2.0,18.0,8.4765
2010-05-28,31.695,35.6667,12.531,20.9956,20.4359,1.0784,1.087,1671657690.0,19.1664,37.9461,2.0,2.0,18.0,8.4765
2010-06-01,33.09,35.6667,7.7869,21.9197,20.4286,1.1258,1.0898,1745232780.0,19.1664,37.9461,2.0,2.0,18.0,8.4765
2010-06-02,33.165,35.6667,7.5432,21.9694,20.4359,1.1284,1.0899,1749188430.0,19.1664,37.9461,2.0,2.0,18.0,8.4765
2010-06-03,32.74,35.6667,8.9392,21.6879,20.4359,1.1139,1.0909,1726773080.0,19.1664,37.9461,2.0,2.0,18.0,8.4765
2010-06-04,31.54,35.6667,13.084,20.75,20.4385,1.0692,1.0909,1663482680.0,20.0983,39.6816,2.0,2.0,18.0,10.6835
2010-06-07,31.17,35.6667,14.4264,20.5066,20.4359,1.0566,1.0899,1643968140.0,20.0983,39.6816,2.0,2.0,18.0,10.6835
2010-06-08,32.555,35.6667,9.5583,21.4178,20.4372,1.1036,1.0899,1717015810.0,20.0983,39.6816,2.0,2.0,18.0,10.6835
2010-06-09,32.53,35.6667,9.6425,21.4013,20.4385,1.1027,1.0909,1715697260.0,20.0983,39.6816,2.0,2.0,18.0,10.6835
2010-06-10,32.945,35.6667,8.2613,21.6743,20.4385,1.1168,1.0909,1737585190.0,20.0983,39.6816,2.0,2.0,18.0,10.6835
2010-06-11,33.88,35.875,5.8884,21.1578,20.4385,1.1218,1.0909,1786898960.0,21.7026,43.3945,2.0,2.0,18.0,10.6835
2010-06-14,33.92,35.875,5.7636,21.1828,20.4359,1.1231,1.0899,1789008640.0,21.7026,43.3945,2.0,2.0,18.0,10.6835
2010-06-15,33.75,35.875,6.2963,21.0766,20.4372,1.1175,1.0899,1780042500.0,21.7026,43.3945,2.0,2.0,18.0,10.6835
2010-06-16,34.14,36.0417,5.5703,21.1446,20.4385,1.1291,1.0909,1800611880.0,21.7035,43.4254,2.0,2.0,18.0,10.9821
