date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2006-05-11,32.25,26.0,-19.3798,11.1719,10.0105,0.4686,0.4794,842757000.0,12.2881,41.67,1.0,1.0,5.0,163.1691
2006-05-12,32.1,26.0,-19.0031,11.12,10.0175,0.4664,0.4686,838837200.0,12.2881,41.67,1.0,1.0,5.0,163.1691
2006-05-15,32.458,26.0,-19.8965,11.244,10.0175,0.4716,0.4701,848192456.0,12.2881,41.67,1.0,1.0,5.0,163.1691
2006-05-16,33.24,26.0,-21.781,11.5149,10.0175,0.4829,0.4716,868627680.0,12.2881,41.67,1.0,1.0,5.0,163.1691
2006-05-17,33.542,26.0,-22.4852,11.6195,10.0263,0.4873,0.4772,876519544.0,12.2881,41.67,1.0,1.0,5.0,163.1691
2006-05-18,33.39,26.0,-22.1324,11.5668,10.035,0.4806,0.4806,872547480.0,12.326,41.67,1.0,1.0,5.0,163.1691
2006-05-19,31.99,26.0,-18.7246,11.0819,10.0385,0.4605,0.4761,835962680.0,12.326,41.67,1.0,1.0,5.0,163.1691
2006-05-22,30.02,26.0,-13.3911,10.3994,10.042,0.4321,0.4716,784482640.0,12.326,41.67,1.0,1.0,5.0,163.1691
2006-05-23,30.7,26.0,-15.3094,10.635,10.0542,0.4419,0.4701,802252400.0,12.326,41.67,1.0,1.0,5.0,163.1691
2006-05-24,31.42,26.0,-17.2502,10.8844,10.0665,0.4523,0.4686,821067440.0,12.326,41.67,1.0,1.0,5.0,163.1691
2006-05-25,31.7,26.0,-17.9811,10.9814,10.112,0.4563,0.4675,828384400.0,12.326,41.67,1.0,1.0,5.0,163.1691
2006-05-26,32.144,26.0,-19.114,11.1352,10.1576,0.4627,0.4664,839987008.0,12.326,41.67,1.0,1.0,5.0,163.1691
2006-05-30,32.42,26.0,-19.8026,11.2308,10.1646,0.4667,0.4666,847199440.0,12.326,41.67,1.0,1.0,5.0,163.1691
2006-05-31,32.0,26.0,-18.75,11.0853,10.1716,0.4606,0.4664,836224000.0,12.326,41.67,1.0,1.0,5.0,163.1691
2006-06-01,32.0,26.0,-18.75,11.0853,10.1753,0.4606,0.4646,836224000.0,12.326,41.67,1.0,1.0,5.0,163.1691
2006-06-02,33.01,26.0,-21.236,11.4352,10.179,0.4752,0.4664,862617320.0,12.326,41.67,1.0,1.0,5.0,163.1691
