date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2007-02-06,6.225,6.5,4.4177,13.3584,15.5263,0.3665,0.6087,1111314813.3,11.6839,25.8162,1.0,1.0,14.0,-8.5325,20.28845833333333,18.566657185974027,8.01570873015873,9.197349394854978,38.85511551930736,-1.181640664696248
2007-02-07,6.125,6.5,6.1224,13.1438,15.5254,0.3606,0.6086,1093462366.5,11.6839,25.8162,1.0,1.0,14.0,-8.5325,20.314652777777777,18.53725830559476,7.920207142857142,9.153588376003402,38.85191108337254,-1.23338123314626
2007-02-08,5.875,6.5,10.6383,12.6073,15.5254,0.3459,0.6086,1048831249.5,11.6839,25.8162,1.0,1.0,14.0,-8.5325,20.33695575396825,18.518794954641464,7.858378571428571,9.108238230091104,38.85575070860972,-1.249859658662534
2007-02-09,5.87,6.5,10.7325,12.5966,15.5254,0.3456,0.6086,1047938627.16,11.6839,25.8162,1.0,1.0,14.0,-8.5325,20.34616984126984,18.51284588263291,7.783524603174603,9.0448324510444,38.85901572390275,-1.2613078478697988
2007-02-12,5.925,6.5,9.7046,12.7146,15.5263,0.3489,0.6079,1057757472.9,11.6839,25.8162,1.0,1.0,14.0,-8.5325,20.352238293650792,18.50884696633914,7.711016666666667,8.99194903912361,38.861085259989935,-1.2809323724569426
2007-02-13,5.95,6.5,9.2437,12.7682,15.5263,0.3503,0.6074,1062220584.6,11.6839,25.8162,1.0,1.0,14.0,-8.5325,20.36268551587301,18.501070788350468,7.626020634920635,8.925675880606846,38.863756304223486,-1.2996552456862114
2007-02-14,5.945,6.5,9.3356,12.7575,15.5254,0.35,0.607,1061327962.26,11.6839,25.8162,1.0,1.0,14.0,-8.5325,20.378349801587305,18.48835613450536,7.550584126984127,8.870129689229014,38.86670593609266,-1.3195455622448868
2007-02-15,6.0075,6.5,8.1981,12.8916,15.5254,0.3537,0.607,1072485741.51,11.6839,25.8162,1.0,1.0,14.0,-8.5325,20.395588690476192,18.47290328620173,7.464476984126984,8.81008684240638,38.86849197667792,-1.3456098582793956
2007-02-16,6.0225,6.5,7.9286,12.9238,15.5254,0.3546,0.607,1075163608.53,11.6839,25.8162,1.0,1.0,14.0,-8.5325,20.41286071428572,18.457131057147524,7.399249206349206,8.775644331195021,38.869991771433234,-1.376395124845815
2007-02-20,6.175,6.5,5.2632,13.2511,15.5263,0.3636,0.6079,1102388589.9,11.6839,25.8162,1.0,1.0,14.0,-8.5325,20.42535257936508,18.444714123645696,7.327768253968254,8.755892240594335,38.87006670301078,-1.4281239866260806
2007-02-21,6.16,6.5,5.5195,13.2189,15.5263,0.3627,0.6074,1099710722.88,11.6839,25.8162,1.0,1.0,14.0,-8.5325,20.43479742063492,18.435840485495994,7.263848412698413,8.739314952683271,38.87063790613091,-1.4754665399848583
2007-02-22,6.195,6.5,4.9233,13.294,15.5263,0.3648,0.6074,1105959079.26,11.6839,25.8162,1.0,1.0,14.0,-8.5325,20.44027678571429,18.430808396981373,7.1871349206349215,8.716893536725495,38.87108518269566,-1.5297586160905734
2007-02-23,6.0825,6.5,6.864,13.0526,15.5263,0.3581,0.6059,1085875076.61,11.6839,25.8162,1.0,1.0,14.0,-8.5325,20.439723412698413,18.431212618247688,7.127853174603174,8.693271050026322,38.8709360309461,-1.5654178754231485
2007-02-26,6.0425,6.5,7.5714,12.9667,15.5263,0.3558,0.5999,1078734097.89,11.6839,25.8162,1.0,1.0,14.0,-8.5325,20.44221150793651,18.42938695580365,7.065499999999999,8.661379230778197,38.87159846374016,-1.5958792307781977
2007-02-27,5.9525,6.5,9.1978,12.7736,15.5263,0.3505,0.5994,1062666895.77,11.6839,25.8162,1.0,1.0,14.0,-8.5325,20.45068531746032,18.42321972031826,7.022711111111112,8.63719687028329,38.87390503777858,-1.6144857591721786
2007-02-28,6.0225,6.5,7.9286,12.9238,15.5263,0.3546,0.5989,1075163608.53,11.6839,25.8162,1.0,1.0,14.0,-8.5325,20.463142857142856,18.41260136296228,6.925887301587301,8.557114721362181,38.87574422010513,-1.6312274197748795
2007-03-01,6.15,6.5,5.6911,13.1974,15.5263,0.3621,0.5986,1097925478.2,11.6839,25.8162,1.0,1.0,14.0,-8.5325,20.467654365079365,18.408694590661963,6.770350793650794,8.397290139817441,38.87634895574133,-1.6269393461666477
2007-03-02,5.9625,6.5,9.0147,12.7951,15.5263,0.3511,0.598,1064452140.45,11.6839,25.8162,1.0,1.0,14.0,-8.5325,20.48333095238096,18.39553975724852,6.625236507936508,8.195249571927162,38.87887070962948,-1.570013063990654
