date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2020-02-13,24.32,29.2,20.0658,13.4924,11.8313,1.3279,1.3849,1007066880.0,8.8771,369.3691,4.0,2.0,14.1569,77.105
2020-02-14,23.71,29.2,23.1548,13.2288,11.8313,1.2944,1.3849,981807390.0,8.8768,376.2394,1.0,1.0,20.0,71.3821
2020-02-18,23.14,29.2,26.1884,12.9108,11.8217,1.2633,1.3864,958204260.0,8.8768,376.2394,1.0,1.0,20.0,71.3821
2020-02-19,22.9,29.2,27.5109,12.7769,11.8265,1.2502,1.3856,948266100.0,8.8768,376.2394,1.0,1.0,20.0,71.3821
2020-02-20,22.53,29.2,29.605,12.5704,11.8265,1.23,1.3856,932944770.0,8.8768,376.2394,1.0,1.0,20.0,71.3821
2020-02-21,21.72,29.2,34.4383,12.1185,11.8265,1.1858,1.3856,899403480.0,8.8768,376.2394,1.0,1.0,20.0,71.3821
2020-02-24,21.59,29.2,35.2478,12.046,11.8161,1.1787,1.3864,894020310.0,8.8768,376.2394,1.0,1.0,20.0,71.3821
2020-02-25,21.63,29.2,34.9977,12.0683,11.8217,1.1809,1.3864,895676670.0,8.8768,376.2394,1.0,1.0,20.0,71.3821
2020-02-26,20.96,29.2,39.313,11.6945,11.8161,1.1443,1.3832,867932640.0,8.8768,376.2394,1.0,1.0,20.0,71.3821
2020-02-27,20.78,29.2,40.5197,11.594,11.8095,1.1345,1.3832,860479020.0,8.8768,376.2394,1.0,1.0,20.0,71.3821
2020-02-28,20.47,29.2,42.6478,11.4211,11.8078,1.1175,1.3832,847642230.0,8.8768,376.2394,1.0,1.0,20.0,71.3821
