date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2010-03-10,11.29,16.5,46.147,11.1078,32.2921,1.6931,3.057,216582911.74,65.1057,119.586,1.0,1.0,75.0,125.0436
2010-03-11,11.79,18.0,52.6718,11.1132,32.2353,1.7916,3.057,226174714.74,61.2822,118.4812,2.0,1.0,75.0,125.0436
2010-03-12,11.5,18.0,56.5217,10.8399,32.2126,1.7475,3.057,220611469.0,61.2822,118.4812,2.0,1.0,75.0,125.0436
2010-03-15,11.46,18.0,57.0681,10.8021,32.1899,1.7415,3.0565,219844124.76,61.2822,118.4812,2.0,1.0,75.0,125.0436
2010-03-16,11.35,18.0,58.5903,10.6985,32.1739,1.7247,3.056,217733928.1,61.2822,118.4812,2.0,1.0,75.0,125.0436
2010-03-17,11.35,18.0,58.5903,10.6985,32.1579,1.7247,3.053,217733928.1,61.2822,118.4812,2.0,1.0,75.0,125.0436
2010-03-18,11.39,18.0,58.0334,10.7362,32.1398,1.7308,3.0501,218501272.34,61.2822,118.4812,2.0,1.0,75.0,125.0436
2010-03-19,11.44,18.0,57.3427,10.7833,32.1218,2.6218,3.0491,330978648.0,61.2822,118.4812,2.0,1.0,75.0,125.0436
2010-03-22,11.5,18.0,56.5217,10.8399,32.0422,2.6355,3.0481,332714550.0,61.2822,118.4812,2.0,1.0,75.0,125.0436
2010-03-23,11.57,18.0,55.5748,10.9058,31.9627,2.6516,3.042,334739769.0,61.2822,118.4812,2.0,1.0,75.0,125.0436
2010-03-24,11.4,18.0,57.8947,10.7456,31.9514,2.6126,3.0359,329821380.0,61.2822,118.4812,2.0,1.0,75.0,125.0436
2010-03-25,11.4,18.0,57.8947,10.7456,31.94,2.6126,3.0342,329821380.0,61.2822,118.4812,2.0,1.0,75.0,125.0436
2010-03-26,11.29,18.0,59.4331,10.6419,31.9286,2.5874,3.0324,326638893.0,61.2822,118.4812,2.0,1.0,75.0,125.0436
2010-03-29,11.24,18.0,60.1423,10.5948,31.9173,2.576,3.0274,325192308.0,61.2822,118.4812,2.0,1.0,75.0,125.0436
2010-03-30,10.88,18.0,65.4412,10.2874,31.8946,2.5033,3.0225,314776896.0,61.2836,118.3265,2.0,1.0,75.0,125.0436
2010-03-31,10.53,18.0,70.9402,9.9565,31.8719,2.4184,3.0186,304650801.0,61.7309,118.3265,2.0,1.0,75.0,125.0436
2010-04-01,10.55,18.0,70.6161,9.9754,31.8492,2.423,3.0147,305229435.0,61.7309,118.3265,2.0,1.0,75.0,125.0436
2010-04-05,10.23,18.0,75.9531,9.6728,31.8264,2.3495,3.0078,295971291.0,61.7309,118.3265,2.0,1.0,75.0,125.0436
2010-04-06,10.5,18.0,71.4286,9.9281,31.815,2.4115,3.0009,303782850.0,61.7309,118.3265,2.0,1.0,75.0,125.0436
2010-04-07,10.61,18.0,69.6513,10.0321,31.8037,2.4368,2.9645,306965337.0,61.7309,118.3265,2.0,1.0,75.0,125.0436
2010-04-08,10.66,18.0,68.8555,10.0794,31.781,2.4483,2.9281,308411922.0,61.7309,118.3265,2.0,1.0,75.0,125.0436
2010-04-09,10.84,18.0,66.0517,10.2496,31.7583,2.4896,2.9232,313619628.0,61.7309,118.3265,2.0,1.0,75.0,125.0436
2010-04-12,10.99,18.0,63.7853,10.3915,31.7475,2.5241,2.9182,317959383.0,61.7309,118.3265,2.0,1.0,75.0,125.0436
2010-04-13,10.6,18.0,69.8113,10.0227,31.7368,2.4345,2.9074,306676020.0,61.7309,118.3265,2.0,1.0,75.0,125.0436
2010-04-14,10.8,18.0,66.6667,10.2118,31.7134,2.4804,2.8966,312462360.0,61.7309,118.3265,2.0,1.0,75.0,125.0436
2010-04-15,10.97,18.0,64.0839,10.3725,31.6901,2.5195,2.8925,317380749.0,61.7309,118.3265,2.0,1.0,75.0,125.0436
2010-04-16,10.9,18.0,65.1376,10.3064,31.6872,2.5034,2.8883,315355530.0,61.7309,118.3265,2.0,1.0,75.0,125.0436
2010-04-19,10.84,18.0,66.0517,10.2496,31.6842,2.4896,2.8837,313619628.0,61.7309,118.3265,2.0,1.0,75.0,125.0436
2010-04-20,10.94,18.0,64.5338,10.3442,31.6758,2.5126,2.879,316512798.0,61.7309,118.3265,2.0,1.0,75.0,125.0436
2010-04-21,10.95,18.0,64.3836,10.3536,31.6674,2.5149,2.8778,316802115.0,61.7309,118.3265,2.0,1.0,75.0,125.0436
2010-04-22,10.71,18.0,68.0672,10.1267,31.622,2.4598,2.8766,309858507.0,61.7309,118.3265,2.0,1.0,75.0,125.0436
2010-04-23,10.57,18.0,70.2933,9.9943,31.5766,2.4276,2.8731,305808069.0,61.7309,118.3265,2.0,1.0,75.0,125.0436
2010-04-26,10.59,18.0,69.9717,10.0132,31.5766,2.4322,2.8696,306386703.0,61.7309,118.3265,2.0,1.0,75.0,125.0436
