date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2018-06-19,141.09,137.4,-2.6154,11.5063,9.3572,0.7022,0.5319,2611732933.17,3.559,9.988,2.0,1.0,-11.9822,13.4399
2018-06-20,140.52,137.4,-2.2203,11.4598,9.3597,0.6994,0.532,2601181598.76,3.559,9.988,2.0,1.0,-11.9822,13.4399
2018-06-21,138.82,137.4,-1.0229,11.3212,9.3634,0.6909,0.5322,2569712706.66,3.559,9.988,2.0,1.0,-11.9822,13.4399
2018-06-22,135.92,137.4,1.0889,11.0504,9.3652,0.6756,0.5322,2516030478.96,3.614,10.1866,2.0,1.0,-11.9822,13.4399
2018-06-25,136.09,137.4,0.9626,11.0642,9.3672,0.6765,0.5324,2519177368.17,3.614,10.1866,2.0,1.0,-11.9822,13.4399
2018-06-26,138.65,137.4,-0.9016,11.2724,9.3675,0.6892,0.5326,2566565817.45,3.614,10.1866,2.0,1.0,-11.9822,13.4399
2018-06-27,136.43,137.4,0.711,11.0919,9.3696,0.6782,0.5329,2525471146.59,3.614,10.1866,2.0,1.0,-11.9822,13.4399
2018-06-28,130.75,137.4,5.086,10.6301,9.371,0.65,0.5333,2420328024.75,3.614,10.1866,2.0,1.0,-11.9822,13.4399
2018-06-29,130.67,137.4,5.1504,10.6236,9.3777,0.6496,0.5336,2418847135.71,3.614,10.1866,2.0,1.0,-11.9822,13.4399
2018-07-02,130.91,137.4,4.9576,10.6431,9.3822,0.6507,0.534,2423289802.83,3.614,10.1866,2.0,1.0,-11.9822,13.4399
2018-07-03,127.92,137.4,7.4109,10.4,9.3832,0.6359,0.5342,2367941574.96,3.614,10.1866,2.0,1.0,-11.9822,13.4399
2018-07-05,133.03,137.4,3.285,10.8154,9.3851,0.6613,0.5346,2462533362.39,3.614,10.1866,2.0,1.0,-11.9822,13.4399
2018-07-06,132.54,137.4,3.6668,10.7756,9.387,0.6588,0.5355,2453462917.02,3.614,10.1866,2.0,1.0,-11.9822,13.4399
2018-07-09,135.55,137.4,1.3648,11.0203,9.3944,0.6738,0.5363,2509181367.15,3.614,10.1866,2.0,1.0,-11.9822,13.4399
2018-07-10,135.94,137.4,1.074,11.052,9.3972,0.6757,0.5364,2516400701.22,3.614,10.1866,2.0,1.0,-11.9822,13.4399
2018-07-11,134.96,137.4,1.8079,10.9724,9.3972,0.6709,0.5364,2498259810.48,3.614,10.1866,2.0,1.0,-11.9822,13.4399
2018-07-12,133.48,136.8,2.4873,10.8415,9.3972,0.6633,0.5367,2470863363.24,3.6521,10.3046,2.0,1.0,-11.9822,13.4399
2018-07-13,134.19,136.8,1.945,10.8991,9.4038,0.6668,0.5375,2484006253.47,3.6521,10.3046,2.0,1.0,-11.9822,13.4399
2018-07-16,133.17,136.8,2.7258,10.8163,9.4129,0.6617,0.5383,2465124918.21,3.6521,10.3046,2.0,1.0,-11.9822,13.4399
2018-07-17,134.91,136.8,1.4009,10.9558,9.4132,0.6702,0.5383,2497334254.83,3.6516,10.2936,2.0,1.0,-11.9822,13.4399
2018-07-18,137.67,136.8,-0.6319,11.18,9.4139,0.684,0.5384,2548424926.71,3.6516,10.2936,2.0,1.0,-11.9822,13.4399
2018-07-19,136.04,136.8,0.5587,11.0476,9.4183,0.6759,0.5384,2518251812.52,3.6516,10.2936,2.0,1.0,-11.9822,13.4399
2018-07-20,133.94,136.8,2.1353,10.8771,9.4225,0.6654,0.5389,2479378475.22,3.6516,10.2936,2.0,1.0,-11.9822,13.4399
2018-07-23,133.85,136.8,2.204,10.8697,9.4283,0.665,0.5398,2477712475.05,3.6516,10.2936,2.0,1.0,-11.9822,13.4399
2018-07-24,134.5,136.8,1.71,10.9225,9.4337,0.6682,0.5401,2489744698.5,3.6516,10.2936,2.0,1.0,-11.9822,13.4399
2018-07-25,133.99,136.8,2.0972,10.8811,9.4346,0.6657,0.5406,2480304030.87,3.6516,10.2936,2.0,1.0,-11.9822,13.4399
