date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2010-12-20,19.0,20.8,9.4737,20.0,15.4941,1.8133,0.841,1659498304.0,16.1469,112.0033,4.0,2.0,15.0,-2.2373
2010-12-21,19.36,20.8,7.438,20.3789,15.4945,1.8476,0.841,1690941429.76,16.1469,112.0033,4.0,2.0,15.0,-2.2373
2010-12-22,18.69,20.8,11.2895,19.6737,15.4949,1.7837,0.8411,1632422279.04,16.1469,112.0033,4.0,2.0,15.0,-2.2373
2010-12-23,17.695,20.8,17.5473,18.6263,15.5114,1.6887,0.8411,1545516973.12,16.1469,112.0033,4.0,2.0,15.0,-2.2373
2010-12-27,17.62,21.0,19.1827,18.3542,15.5682,1.6816,0.8405,1538966321.92,16.1469,112.028,4.0,2.0,15.0,-2.2373
2010-12-28,17.58,21.0,19.4539,18.3125,15.5861,1.6777,0.841,1535472641.28,16.1469,112.028,4.0,2.0,15.0,-2.2373
2010-12-29,17.52,21.0,19.863,18.25,15.5892,1.672,0.841,1530232120.32,16.1469,112.028,4.0,2.0,15.0,-2.2373
2010-12-30,17.46,21.0,20.2749,18.1875,15.5952,1.6663,0.841,1524991599.36,16.1469,112.028,4.0,2.0,15.0,-2.2373
2010-12-31,17.12,21.0,22.6636,17.8333,15.6041,1.6338,0.841,1495295313.92,16.1469,112.028,4.0,2.0,15.0,-2.2373
2011-01-03,17.54,21.0,19.7263,18.2708,15.6209,1.6739,0.8405,1531978960.64,16.1469,112.028,4.0,2.0,15.0,-2.2373
2011-01-04,16.97,21.0,23.7478,17.6771,15.6221,1.6195,0.841,1482194011.52,16.1469,112.028,4.0,2.0,15.0,-2.2373
2011-01-05,17.19,21.0,22.164,17.9063,15.6358,1.6405,0.841,1501409255.04,16.1469,112.028,4.0,2.0,15.0,-2.2373
2011-01-06,16.75,21.0,25.3731,17.4479,15.6515,1.5985,0.841,1462978768.0,16.1469,112.028,4.0,2.0,15.0,-2.2373
2011-01-07,16.61,21.0,26.4299,17.3021,15.6552,1.5852,0.841,1450750885.76,16.1469,112.028,4.0,2.0,15.0,-2.2373
2011-01-10,17.58,21.0,19.4539,18.3125,15.6636,1.6777,0.8405,1535472641.28,16.1469,112.028,4.0,2.0,15.0,-2.2373
2011-01-11,17.31,21.0,21.3172,18.0312,15.6684,1.652,0.841,1511890296.96,16.1469,112.028,4.0,2.0,15.0,-2.2373
2011-01-12,17.12,21.0,22.6636,17.8333,15.6742,1.6338,0.841,1495295313.92,16.1469,112.028,4.0,2.0,15.0,-2.2373
