date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2021-02-09,44.7,46.8889,4.8969,27.4435,31.711,2.0614,1.9483,4109494500.0,8.4909,6.997,7.0,1.0,5.0,7.0908,2.705175,11.045006948516816,2.705175,11.045006948516816,13.750181948516817,-8.339831948516816
2021-02-10,42.675,48.3333,13.2591,25.3309,31.5452,1.9226,1.948,3923326125.0,9.2589,7.7729,8.0,1.0,5.0,8.3433,2.8354703703703703,11.038224668322396,2.8354703703703703,11.038224668322396,13.873695038692766,-8.202754297952026
2021-02-11,42.25,48.3333,14.3983,25.0786,31.3795,1.9034,1.9478,3884253750.0,9.2589,7.7729,8.0,1.0,5.0,8.3433,2.9764804878048783,11.043941895199955,2.9764804878048783,11.043941895199955,14.020422383004831,-8.067461407395077
2021-02-12,43.05,48.3333,12.2725,25.5535,31.3648,1.9395,1.9436,3957801750.0,9.2589,7.7729,8.0,1.0,5.0,8.3433,3.0884807228915663,11.023719261791571,3.0884807228915663,11.023719261791571,14.112199984683135,-7.935238538900005
2021-02-16,40.04,48.3333,20.7125,23.7668,31.3501,1.8039,1.9395,3681077400.0,9.2589,7.7729,8.0,1.0,5.0,8.3433,3.298290476190476,11.124565266227654,3.298290476190476,11.124565266227654,14.422855742418127,-7.826274790037178
2021-02-17,40.53,48.3333,19.2531,24.0577,31.3458,1.826,1.9354,3726125550.0,9.2589,7.7729,8.0,1.0,5.0,8.3433,3.485994117647059,11.19274064122593,3.485994117647059,11.19274064122593,14.678734758872988,-7.706746523578871
2021-02-18,38.47,48.3333,25.6389,22.8349,31.3416,1.7331,1.9312,3536739450.0,9.2589,7.7729,8.0,1.0,5.0,8.3433,3.743586046511628,11.380246067050855,3.743586046511628,11.380246067050855,15.123832113562486,-7.636660020539229
2021-02-19,39.02,48.3333,23.868,23.1614,31.335,1.7579,1.9269,3587303700.0,9.2589,7.7729,8.0,1.0,5.0,8.3433,3.9749011494252873,11.517775444609104,3.9749011494252873,11.517775444609104,15.492676594034393,-7.542874295183816
2021-02-22,40.71,48.3333,18.7259,24.1645,31.3285,1.8341,1.9226,3742673850.0,9.2589,7.7729,8.0,1.0,5.0,8.3433,4.142526136363636,11.55884809798526,4.142526136363636,11.55884809798526,15.701374234348895,-7.416321961621624
2021-02-23,38.35,48.3333,26.0321,22.7637,31.2979,1.7277,1.9212,3525707250.0,9.2589,7.7729,8.0,1.0,5.0,8.3433,4.388476404494383,11.724864813632587,4.388476404494383,11.724864813632587,16.113341218126973,-7.336388409138206
2021-02-24,38.66,48.3333,25.0215,22.9477,31.2673,1.7417,1.9198,3554207100.0,9.2589,7.7729,8.0,1.0,5.0,8.3433,4.617732222222222,11.85993512924286,4.617732222222222,11.85993512924286,16.477667351465083,-7.242202907020638
2021-02-25,36.31,48.3333,33.1129,21.5528,31.2188,1.6358,1.9164,3338159850.0,9.2589,7.7729,8.0,1.0,5.0,8.3433,4.930865934065934,12.166264487437012,4.930865934065934,12.166264487437012,17.097130421502946,-7.23539855337108
2021-02-26,35.84,48.3333,34.8585,21.2738,31.1704,1.6147,1.9129,3294950400.0,9.2589,7.7729,8.0,1.0,5.0,8.3433,5.256166304347826,12.49507465706209,5.256166304347826,12.49507465706209,17.751240961409916,-7.238908352714264
2021-03-01,36.95,48.3333,30.8073,21.9327,31.0824,1.6647,1.911,3396998250.0,9.2589,7.7729,8.0,1.0,5.0,8.3433,5.530909677419355,12.706292296433498,5.530909677419355,12.706292296433498,18.23720197385285,-7.175382619014143
2021-03-02,35.45,48.3333,36.3422,21.0423,30.9943,1.5971,1.9091,3259095750.0,9.2589,7.7729,8.0,1.0,5.0,8.3433,5.858689361702128,13.031237811294412,5.858689361702128,13.031237811294412,18.88992717299654,-7.172548449592284
2021-03-03,34.41,48.3333,40.4629,20.425,30.9926,1.5502,1.9062,3163483350.0,9.2589,7.7729,8.0,1.0,5.0,8.3433,6.222944210526316,13.439173614559785,6.222944210526316,13.439173614559785,19.6621178250861,-7.216229404033466
2021-03-04,32.7,48.3333,47.8083,19.41,30.991,1.4732,1.9034,3006274500.0,9.2589,7.7729,8.0,1.0,5.0,8.3433,6.656125,14.025840160015932,6.656125,14.025840160015932,20.68196516001593,-7.369715160015931
2021-03-05,31.84,48.3333,51.8006,18.8995,30.827,1.4345,1.901,2927210400.0,9.2589,7.7729,8.0,1.0,5.0,8.3433,7.121531958762886,14.686236232393084,7.121531958762886,14.686236232393084,21.80776819115597,-7.564704273630197
2021-03-08,31.83,48.3333,51.8483,18.8936,30.663,1.434,1.8987,2926291050.0,9.2589,7.7729,8.0,1.0,5.0,8.3433,7.577927551020408,15.292974604388451,7.577927551020408,15.292974604388451,22.87090215540886,-7.715047053368045
2021-03-09,33.6,48.3333,43.8491,19.9442,30.6402,1.5137,1.8984,3089016000.0,9.2589,7.7729,8.0,1.0,5.0,8.3433,7.94430303030303,15.645365451516984,7.94430303030303,15.645365451516984,23.589668481820013,-7.701062421213954
