date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2014-02-12,38.76,46.1667,19.1091,43.9805,82.7804,4.4842,5.4198,2001067132.44,30.5121,72.6461,2.0,3.0,39.9333,38.3195
2014-02-13,38.95,46.1667,18.5281,44.1961,82.6516,4.5062,5.4197,2010876285.05,30.5121,72.6461,2.0,3.0,39.9333,38.3195
2014-02-14,39.33,46.1667,17.3829,44.6273,82.5874,4.5501,5.4192,2030494590.27,30.5121,72.6461,2.0,3.0,39.9333,38.3195
2014-02-18,39.15,46.5,18.7739,42.8337,82.5231,4.5217,5.4188,2021201708.85,30.5205,73.0674,2.0,3.0,39.9333,38.7754
2014-02-19,40.27,46.5,15.4706,45.2269,82.4137,4.6509,5.4137,2079024082.13,30.5206,72.7011,2.0,3.0,39.9333,38.7754
2014-02-20,42.79,46.5,8.6703,47.987,82.3043,4.9355,5.4086,2209124422.01,30.5273,72.727,2.0,3.0,39.9333,38.7754
2014-02-21,45.03,46.5,3.2645,50.499,82.28,5.1938,5.407,2324769168.57,30.5273,72.727,2.0,3.0,39.9333,38.7754
2014-02-24,46.84,46.5,-0.7259,52.5289,82.2557,5.4026,5.4054,2418214253.96,30.5273,72.727,2.0,3.0,39.9333,38.7754
2014-02-25,47.15,46.5,-1.3786,52.8765,82.1585,5.4383,5.407,2434218660.85,30.5273,72.727,2.0,3.0,39.9333,38.7754
2014-02-26,48.37,46.5,-3.866,54.2447,82.0613,5.5791,5.4086,2497203746.03,30.5273,72.727,2.0,3.0,39.9333,38.7754
2014-02-27,51.09,46.5,-8.9841,57.2951,82.0412,5.8928,5.4137,2637629509.71,30.5273,72.727,2.0,3.0,39.9333,38.7754
2014-02-28,53.47,46.5,-13.0353,59.9641,82.0211,6.1673,5.4188,2760502052.93,30.5273,72.727,2.0,3.0,39.9333,38.7754
2014-03-03,53.44,46.5,-12.9865,59.9305,81.9016,6.1638,5.4192,2758953239.36,30.5273,72.727,2.0,3.0,39.9333,38.7754
2014-03-04,57.32,46.5,-18.8765,64.7245,81.7821,6.6114,5.4197,2959266461.08,30.5273,72.7519,2.0,3.0,39.9333,38.537
2014-03-05,58.9,46.5,-21.0526,66.5086,81.5074,6.7936,5.4198,3040837309.1,30.5273,72.7519,2.0,3.0,39.9333,38.537
2014-03-06,57.38,46.5,-18.9613,64.7922,81.2328,6.6183,5.4198,2962364088.22,30.5273,72.7519,2.0,3.0,39.9333,38.537
2014-03-07,52.41,46.5,-11.2765,59.1802,81.0874,6.045,5.429,2705777306.79,30.5273,72.7519,2.0,3.0,39.9333,38.537
2014-03-10,49.73,46.5,-6.4951,56.154,80.942,5.7359,5.4383,2567416627.87,30.5273,72.7519,2.0,3.0,39.9333,38.537
2014-03-11,50.91,46.5,-8.6623,57.4864,80.8798,5.872,5.4394,2628336628.29,30.5273,72.7519,2.0,3.0,39.9333,38.537
2014-03-12,49.5,46.5,-6.0606,55.8943,80.8175,5.7094,5.4404,2555542390.5,30.5273,72.7519,2.0,3.0,39.9333,38.537
2014-03-13,50.31,46.5,-7.573,56.8089,80.5882,5.8028,5.4453,2597360356.89,30.5273,72.7519,2.0,3.0,39.9333,38.537
2014-03-14,52.0,46.5,-10.5769,58.7173,80.3589,5.9977,5.4502,2684610188.0,30.5273,72.7519,2.0,3.0,39.9333,38.537
2014-03-17,52.32,46.5,-11.1239,58.6876,80.25,6.0347,5.4544,2701130866.08,30.5273,72.5949,3.0,3.0,39.9333,51.2446
2014-03-18,49.91,46.5,-6.8323,55.9843,80.141,5.7567,5.4585,2576709509.29,30.5273,72.5949,3.0,3.0,39.9333,51.2446
2014-03-19,49.13,46.5,-5.3531,55.1094,80.1044,5.6667,5.4615,2536440356.47,30.5273,72.5949,3.0,3.0,39.9333,51.2446
2014-03-20,45.5,46.5,2.1978,51.0376,80.0679,5.248,5.4585,2349033914.5,30.5273,72.5949,3.0,3.0,39.9333,51.2446
2014-03-21,43.89,46.5,5.9467,49.2316,80.029,5.0623,5.4544,2265914252.91,30.5273,72.5949,3.0,3.0,39.9333,51.2446
2014-03-24,44.39,46.5,4.7533,49.7925,79.99,5.12,5.4502,2291727812.41,30.5273,72.5949,3.0,3.0,39.9333,51.2446
2014-03-25,46.02,46.5,1.043,51.6209,79.9863,5.308,5.4453,2375880016.38,30.5273,72.5949,3.0,3.0,39.9333,51.2446
2014-03-26,40.34,46.5,15.2702,45.2496,79.9826,4.6529,5.4404,2082637980.46,30.5273,72.5949,3.0,3.0,39.9333,51.2446
2014-03-27,39.9,46.5,16.5414,44.756,79.9612,4.6021,5.4394,2059922048.1,30.5273,72.5949,3.0,3.0,39.9333,51.2446
2014-03-28,39.96,46.5,16.3664,44.8233,79.9398,4.609,5.4383,2063019675.24,30.5273,72.5949,3.0,3.0,39.9333,51.2446
2014-03-31,40.55,46.5,14.6732,45.7727,79.8641,4.657,5.4198,2093479675.45,30.5273,72.6326,3.0,3.0,39.9333,51.259
2014-04-01,41.09,46.5,13.1662,46.1737,79.7883,4.719,5.4198,2121358319.71,30.5273,72.419,3.0,3.0,37.3333,50.6656
2014-04-02,37.96,46.5,22.4974,42.6565,79.4674,4.3596,5.4197,1959765437.24,30.5273,72.419,3.0,3.0,37.3333,50.6656
2014-04-03,38.27,46.5,21.5051,43.0048,79.1465,4.3952,5.4192,1975769844.13,30.5273,72.419,3.0,3.0,37.3333,50.6656
2014-04-04,39.24,46.5,18.5015,44.0948,78.6858,4.5066,5.4188,2025848149.56,30.5273,72.419,3.0,3.0,37.3333,50.6656
2014-04-07,36.18,46.5,28.524,40.5787,78.225,4.1471,5.4137,1867869165.42,30.609,72.4547,3.0,3.0,37.3333,50.6656
2014-04-08,37.26,46.5,24.7987,41.79,78.1671,4.2709,5.4086,1923626453.94,30.609,72.4547,3.0,3.0,37.3333,50.6656
2014-04-09,38.23,46.5,21.6322,42.878,78.1093,4.3821,5.407,1973704759.37,30.609,72.4547,3.0,3.0,37.3333,50.6656
2014-04-10,36.92,46.5,25.948,41.4087,77.922,4.2319,5.4054,1906073233.48,30.609,72.4547,3.0,3.0,37.3333,50.6656
