date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2003-10-15,26.44,30.0,13.4644,16.2708,14.1823,0.7451,0.6257,1628598240.0,4.0562,17.5558,1.0,2.0,12.0,-4.2314
2003-10-16,26.02,30.0,15.2959,16.0123,14.1833,0.7333,0.6257,1602727920.0,4.0562,17.5558,1.0,2.0,12.0,-4.2314
2003-10-17,26.19,30.0,14.5475,16.1169,14.1935,0.7381,0.6257,1613199240.0,4.0562,17.5558,1.0,2.0,12.0,-4.2314
2003-10-20,26.52,30.0,13.1222,16.32,14.1935,0.7474,0.6257,1633525920.0,4.0562,17.5558,1.0,2.0,12.0,-4.2314
2003-10-21,26.89,30.0,11.5656,16.5477,14.1935,0.7578,0.6257,1656316440.0,4.0562,17.5558,1.0,2.0,12.0,-4.2314
2003-10-22,26.35,30.0,13.852,16.2154,14.2016,0.7426,0.6257,1623054600.0,4.0562,17.5558,1.0,2.0,12.0,-4.2314
2003-10-23,26.69,30.0,12.4016,16.4246,14.2114,0.7522,0.6257,1643997240.0,4.0562,17.5558,1.0,2.0,12.0,-4.2314
2003-10-24,26.84,30.0,11.7735,16.5169,14.216,0.7564,0.6257,1653236640.0,4.0562,17.5558,1.0,2.0,12.0,-4.2314
2003-10-27,27.85,30.0,7.7199,17.1385,14.2298,0.7849,0.6257,1715448600.0,4.0562,17.5558,1.0,2.0,12.0,-4.2314
2003-10-28,28.85,30.0,3.9861,17.7538,14.2323,0.8131,0.6257,1777044600.0,4.0562,17.5558,1.0,2.0,12.0,-4.2314
2003-10-29,28.56,30.0,5.042,17.5754,14.2332,0.8049,0.6257,1759181760.0,4.0562,17.5558,1.0,2.0,12.0,-4.2314
2003-10-30,29.1,30.0,3.0928,17.9077,14.2362,0.8201,0.6257,1792443600.0,4.0562,17.5558,1.0,2.0,12.0,-4.2314
2003-10-31,28.68,30.0,4.6025,17.6492,14.2386,0.8083,0.6257,1766573280.0,4.0562,17.5558,1.0,2.0,12.0,-4.2314
2003-11-03,28.92,32.5,12.379,17.6341,14.2406,0.815,0.6257,1781356320.0,4.0562,17.5542,1.0,2.0,12.0,-4.2314
2003-11-04,28.68,32.5,13.3194,17.4878,14.2426,0.8083,0.6257,1766573280.0,4.0562,17.5542,1.0,2.0,12.0,-4.2314
2003-11-05,28.85,32.5,12.6516,17.5915,14.2463,0.8131,0.6257,1777044600.0,4.0562,17.5542,1.0,2.0,12.0,-4.2314
2003-11-06,29.29,32.5,10.9594,17.8598,14.2532,0.8255,0.6257,1804146840.0,4.0562,17.5542,1.0,2.0,12.0,-4.2314
2003-11-07,28.83,32.5,12.7298,17.5258,14.2572,0.8125,0.6257,1775812680.0,4.0562,17.5551,1.0,2.0,12.0,-4.2314
2003-11-10,28.41,32.5,14.3963,17.2705,14.2646,0.8007,0.6257,1749942360.0,4.0562,17.5551,1.0,2.0,12.0,-4.2314
2003-11-11,28.46,32.5,14.1954,17.3009,14.271,0.8021,0.6257,1753022160.0,4.0562,17.5551,1.0,2.0,12.0,-4.2314
2003-11-12,29.04,32.5,11.9146,17.6535,14.2742,0.8184,0.6257,1788747840.0,4.0562,17.5551,1.0,2.0,12.0,-4.2314
