date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2024-02-09,22.5,24.5556,9.136,20.6063,20.3792,11.5611,9.4431,2737890000.0,6.9657,34.1857,1.0,1.0,2.0,6.1242
2024-02-12,22.94,24.5556,7.0427,21.0092,20.3774,11.7524,9.4426,2791430960.0,6.9551,34.1857,1.0,1.0,2.0,6.1242
2024-02-13,22.55,24.5556,8.894,20.6521,20.3774,11.5526,9.4428,2743974200.0,6.9551,34.1857,1.0,1.0,2.0,6.1242
2024-02-14,22.94,24.5556,7.0427,21.0092,20.3792,11.7524,9.4431,2791430960.0,6.9551,34.1857,1.0,1.0,2.0,6.1242
2024-02-15,22.7,24.5556,8.1744,20.7894,20.3792,11.6295,9.4431,2762226800.0,6.9551,34.1857,1.0,1.0,2.0,6.1242
2024-02-16,22.67,24.6667,8.8077,20.3318,20.3774,10.8714,9.4431,2758576280.0,6.8832,34.8853,1.0,1.0,2.0,6.1242
2024-02-20,23.04,24.6667,7.0603,20.6637,20.3719,11.0487,9.4428,2803599360.0,6.8832,34.8853,1.0,1.0,2.0,6.1242
2024-02-21,22.98,24.6667,7.3399,20.6099,20.3719,11.0199,9.4428,2796298320.0,6.8832,34.8853,1.0,1.0,2.0,6.1242
2024-02-22,23.07,24.6667,6.9211,20.6906,20.3719,11.0631,9.4428,2807249880.0,6.8832,34.8853,1.0,1.0,2.0,6.1242
2024-02-23,23.09,24.6667,6.8285,20.7085,20.3719,11.0726,9.4428,2809683560.0,6.8832,34.8853,1.0,1.0,2.0,6.1242
2024-02-26,23.01,24.6667,7.1999,20.6368,20.3663,11.0343,9.4426,2799948840.0,6.8832,34.8853,1.0,1.0,2.0,6.1242
2024-02-27,22.96,24.6667,7.4334,20.4708,20.3719,10.9819,9.4428,2793864640.0,7.0912,37.6688,2.0,1.0,2.0,6.1242
2024-02-28,22.68,24.6667,8.7597,20.2211,20.3663,10.848,9.4431,2759793120.0,7.0912,37.6688,2.0,1.0,2.0,6.1242
2024-02-29,22.56,24.6667,9.3382,20.1141,20.3658,10.7906,9.4431,2745191040.0,7.0912,37.6688,2.0,1.0,2.0,6.1242
2024-03-01,22.8,24.6667,8.1873,20.3281,20.3516,10.9054,9.4431,2774395200.0,7.0912,37.6688,2.0,1.0,2.0,6.1242
2024-03-04,23.49,24.75,5.364,21.0126,20.3361,11.1821,9.4426,2858357160.0,7.1036,37.5476,2.0,1.0,2.0,6.1242
2024-03-05,23.36,24.75,5.9503,20.8963,20.3438,11.1202,9.4428,2842538240.0,7.1036,37.5476,2.0,1.0,2.0,6.1242
2024-03-06,23.54,24.75,5.1402,21.0573,20.3516,11.2059,9.4431,2864441360.0,7.1036,37.5476,2.0,1.0,2.0,6.1242
2024-03-07,23.48,24.75,5.4089,21.0037,20.3516,11.1774,9.4431,2857140320.0,7.1036,37.5476,2.0,1.0,2.0,6.1242
2024-03-08,23.27,24.75,6.3601,20.8158,20.3516,11.0774,9.4431,2831586680.0,7.1036,37.5476,2.0,1.0,2.0,6.1242
2024-03-11,23.42,24.75,5.6789,20.95,20.3361,11.1488,9.4426,2849839280.0,7.1036,37.5476,2.0,1.0,2.0,6.1242
2024-03-12,23.61,24.75,4.8285,21.12,20.3438,11.2392,9.4428,2872959240.0,7.1036,37.5476,2.0,1.0,2.0,6.1242
2024-03-13,23.65,24.75,4.6512,21.1557,20.3516,11.2583,9.4431,2877826600.0,7.1036,37.5476,2.0,1.0,2.0,6.1242
2024-03-14,23.58,24.75,4.9618,21.0931,20.3516,11.225,9.4431,2869308720.0,7.1036,37.5476,2.0,1.0,2.0,6.1242
2024-03-15,23.48,24.75,5.4089,21.0037,20.3516,11.1774,9.4431,2857140320.0,7.1036,37.5476,2.0,1.0,2.0,6.1242
2024-03-18,23.97,24.75,4.297,21.442,20.3361,11.4233,9.4428,2916765480.0,7.1036,37.5476,2.0,1.0,2.0,6.1242
2024-03-19,24.02,25.0,4.0799,21.4867,20.3438,11.4471,9.4431,2922849680.0,7.1036,37.5476,2.0,1.0,2.0,6.1242
2024-03-20,24.19,25.0,3.3485,21.6388,20.3516,11.5281,9.444,2943535960.0,7.1036,37.5476,2.0,1.0,2.0,6.1242
2024-03-21,24.21,25.0,3.2631,21.6567,20.3516,11.5271,9.444,2945969640.0,8.2872,37.5476,2.0,1.0,2.0,6.1242
2024-03-22,23.98,25.0,4.2535,21.4509,20.3516,11.4176,9.444,2917982320.0,8.2872,37.5476,2.0,1.0,2.0,6.1242
2024-03-25,24.17,25.0,3.434,21.6209,20.3361,11.5081,9.4428,2941102280.0,8.2872,37.5476,2.0,1.0,2.0,6.1242
2024-03-26,24.3,25.0,2.8807,21.7372,20.3438,11.57,9.4431,2956921200.0,8.2872,37.5476,2.0,1.0,2.0,6.1242
2024-03-27,24.19,25.0,3.3485,21.6388,20.3516,11.5176,9.444,2943535960.0,8.2872,37.5476,2.0,1.0,2.0,6.1242
2024-03-28,24.37,25.0,2.5851,21.7998,20.3516,11.6033,9.444,2965439080.0,8.2872,37.5476,2.0,1.0,2.0,6.1242
2024-04-01,24.24,25.0,3.1353,21.6835,20.334,11.5414,9.4426,2949620160.0,8.2872,37.5476,2.0,1.0,2.0,6.1242
2024-04-02,24.05,25.0,3.9501,21.5136,20.3361,11.4509,9.4428,2926500200.0,8.2872,37.5476,2.0,1.0,2.0,6.1242
2024-04-03,24.19,25.0,3.3485,21.6388,20.3438,11.5176,9.4431,2943535960.0,8.2872,37.5476,2.0,1.0,2.0,6.1242
2024-04-04,24.18,25.125,3.9082,21.5527,20.3438,11.4368,9.4431,2942319120.0,8.2873,37.6892,2.0,1.0,2.0,6.1242
2024-04-05,24.52,25.125,2.4674,21.8558,20.3438,11.5976,9.4431,2983691680.0,8.2873,37.6892,2.0,1.0,2.0,6.1242
2024-04-08,24.41,25.125,2.9291,21.7577,20.334,11.5455,9.4426,2970306440.0,8.2873,37.6892,2.0,1.0,2.0,6.1242
