date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2024-05-13,24.73,29.1667,17.9406,27.7242,28.7014,0.7114,0.7209,2189038294.33,4.5516,26.454,5.0,3.0,25.8177,11.2875,16.5717,1.9359169455325296,16.5717,1.9359169455325296,18.50761694553253,14.63578305446747
2024-05-14,24.79,29.1667,17.6551,27.7915,27.7915,0.7131,0.7131,2194349345.59,4.5516,26.454,5.0,3.0,25.8177,11.2875,16.932833333333335,1.5050378943180578,16.932833333333335,1.5050378943180578,18.437871227651392,15.427795439015275
2024-05-15,25.11,29.1667,16.1557,28.1502,27.9708,0.7223,0.7177,2222674952.31,4.5516,26.454,5.0,3.0,25.8177,11.2875,16.73855,1.2888276701457546,16.73855,1.2888276701457546,18.02737767014576,15.449722329854245
2024-05-16,25.94,29.1667,12.4391,29.0807,28.1502,0.7462,0.7223,2296144494.74,4.5516,26.454,5.0,3.0,25.8177,11.2875,15.87866,2.223254738665815,15.87866,2.223254738665815,18.10191473866581,13.655405261334185
2024-05-17,26.77,29.1667,8.9529,30.0112,28.6154,0.7701,0.7264,2369614037.17,4.5516,26.454,5.0,3.0,25.8177,11.2875,14.724366666666668,3.456681631661595,14.724366666666668,3.456681631661595,18.18104829832826,11.267685035005073
2024-05-20,27.25,29.1667,7.0338,30.5493,29.0807,0.7839,0.7304,2412102447.25,4.5516,26.454,5.0,3.0,25.8177,11.2875,13.625714285714285,4.290275744606856,13.625714285714285,4.290275744606856,17.91599003032114,9.335438541107427
2024-05-21,27.19,29.1667,7.27,30.4821,29.3796,0.7821,0.7383,2406791395.99,4.5516,26.454,5.0,3.0,25.8177,11.2875,12.83125,4.563590564143858,12.83125,4.563590564143858,17.39484056414386,8.267659435856142
2024-05-22,26.31,29.1667,10.8578,29.5187,29.5187,0.7568,0.7462,2328895977.51,4.5515,26.4885,5.0,3.0,25.8177,11.2875,12.611977777777778,4.319234509660762,12.611977777777778,4.319234509660762,16.93121228743854,8.292743268117015
2024-05-23,25.28,29.1667,15.3746,28.3631,29.2997,0.7272,0.7383,2237722930.88,4.5515,26.4885,5.0,3.0,25.8177,11.2875,12.88824,4.164868510449439,12.88824,4.164868510449439,17.05310851044944,8.72337148955056
2024-05-24,26.4,29.1667,10.4799,29.6197,29.5187,0.7594,0.7462,2336862554.4,4.5515,26.4885,5.0,3.0,25.8177,11.2875,12.6693,4.017312372469933,12.6693,4.017312372469933,16.68661237246993,8.651987627530067
2024-05-28,26.55,29.1667,9.8557,29.788,29.5692,0.7637,0.7515,2350140182.55,4.5515,26.4885,5.0,3.0,25.8177,11.2875,12.434833333333332,3.9155243063136935,12.434833333333332,3.9155243063136935,16.350357639647026,8.519309027019638
2024-05-29,26.57,29.1667,9.7731,29.8104,29.6197,0.7643,0.7568,2351910532.97,4.5515,26.4885,5.0,3.0,25.8177,11.2875,12.230084615384614,3.820825329438252,12.230084615384614,3.820825329438252,16.050909944822866,8.409259285946362
2024-05-30,27.03,29.1667,7.9049,30.3265,29.6492,0.7775,0.7581,2392628592.63,4.5515,26.4885,5.0,3.0,25.8177,11.2875,11.921142857142856,3.848630787438824,11.921142857142856,3.848630787438824,15.76977364458168,8.072512069704032
2024-05-31,27.45,29.1667,6.2539,30.7977,29.6786,0.7896,0.7594,2429805951.45,4.5515,26.4885,5.0,3.0,25.8177,11.2875,11.543326666666667,3.986870699911088,11.543326666666667,3.986870699911088,15.530197366577754,7.55645596675558
2024-06-03,27.46,29.1667,6.2152,30.8089,29.7333,0.7899,0.7615,2430691126.66,4.5515,26.4885,5.0,3.0,25.8177,11.2875,11.21031875,4.075508615329503,11.21031875,4.075508615329503,15.285827365329505,7.134810134670498
2024-06-04,26.15,29.1667,11.5361,29.3392,29.6786,0.7522,0.7594,2314733174.15,4.5515,26.4885,5.0,3.0,25.8177,11.2875,11.229482352941176,3.946885222747696,11.229482352941176,3.946885222747696,15.17636757568887,7.282597130193482
2024-06-05,26.17,29.1667,11.4509,29.3616,29.6492,0.7528,0.7581,2316503524.57,4.5515,26.4885,5.0,3.0,25.8177,11.2875,11.241783333333334,3.829396738736672,11.241783333333334,3.829396738736672,15.071180072070009,7.412386594596662
2024-06-06,25.99,29.1667,12.2228,29.1597,29.6197,0.7476,0.7568,2300570370.79,4.5515,26.4885,5.0,3.0,25.8177,11.2875,11.293415789473684,3.728303836161538,11.293415789473684,3.728303836161538,15.021719625635225,7.565111953312146
2024-06-07,25.92,29.1667,12.5258,29.0811,29.5692,0.7456,0.7548,2294374144.32,4.5515,26.4885,5.0,3.0,25.8177,11.2875,11.355035,3.6393125667059993,11.355035,3.6393125667059993,14.994347566706,7.715722433293999
2024-06-10,25.97,29.1667,12.3092,29.1372,29.5187,0.747,0.7528,2298800020.37,4.5515,26.4885,5.0,3.0,25.8177,11.2875,11.400471428571429,3.553268918917179,11.400471428571429,3.553268918917179,14.953740347488608,7.84720250965425
2024-06-11,26.24,29.1667,11.1536,29.4401,29.4794,0.7548,0.7538,2322699751.04,4.5515,26.4885,5.0,3.0,25.8177,11.2875,11.38925,3.468034817855372,11.38925,3.468034817855372,14.857284817855373,7.921215182144628
2024-06-12,26.05,29.1667,11.9643,29.227,29.4401,0.7493,0.7528,2305881422.05,4.5515,26.4885,5.0,3.0,25.8177,11.2875,11.414252173913043,3.390420196922441,11.414252173913043,3.390420196922441,14.804672370835483,8.023831976990602
2024-06-13,26.38,29.1667,10.5637,29.5972,29.4794,0.7588,0.7538,2335092203.98,4.5515,26.4885,5.0,3.0,25.8177,11.2875,11.3788125,3.3204385263438114,11.3788125,3.3204385263438114,14.699251026343813,8.058373973656188
2024-06-14,25.89,29.1667,12.6562,29.0475,29.4401,0.7447,0.7528,2291718618.69,4.5515,26.4885,5.0,3.0,25.8177,11.2875,11.429908,3.2605509902366707,11.429908,3.2605509902366707,14.690458990236673,8.169357009763331
2024-06-17,26.07,29.1667,11.8784,29.2494,29.4008,0.7499,0.7525,2307651772.47,4.5515,26.4885,5.0,3.0,25.8177,11.2875,11.447157692307693,3.195885072798842,11.447157692307693,3.195885072798842,14.643042765106536,8.25127261950885
