date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2011-03-11,23.87,24.6,3.0582,14.0247,14.9286,0.4198,0.524,346998190.0,9.7452,3.4744,2.0,4.0,16.875,10.1624,10.162577976190477,14.67442763170371,21.581519047619043,10.790414195821482,24.837005607894184,10.79110485179756
2011-03-14,23.06,22.25,-3.5126,13.004,14.946,0.4024,0.5244,335223220.0,9.7881,3.8071,2.0,4.0,16.875,10.1624,10.19169146825397,14.632569571467974,21.2542007936508,10.921387473924309,24.824261039721943,10.332813319726489
2011-03-15,23.31,22.25,-4.5474,13.145,14.9336,0.4067,0.5242,338857470.0,9.7881,3.8071,2.0,4.0,16.875,10.1624,10.213462301587304,14.60237040656452,20.932186507936507,11.079360066482536,24.815832708151824,9.85282644145397
2011-03-16,22.79,22.25,-2.3695,12.8517,14.9286,0.3977,0.524,331298230.0,9.7881,3.8071,2.0,4.0,16.875,10.1624,10.247420634920635,14.552986698456952,20.63277142857143,11.195581532714078,24.80040733337759,9.437189895857353
2011-03-17,21.95,22.25,1.3667,12.3781,14.9286,0.383,0.524,319087150.0,9.7881,3.8071,2.0,4.0,16.875,10.1624,10.288681746031749,14.498056655354189,20.36344841269841,11.247934630085153,24.786738401385936,9.115513782613265
2011-03-18,22.12,22.25,0.5877,12.4739,14.9286,0.386,0.524,321558440.0,9.7881,3.8071,2.0,4.0,16.875,10.1624,10.328397222222222,14.443802370823091,20.152496825396828,11.367913037914269,24.772199593045315,8.78458378748256
2011-03-21,22.34,22.25,-0.4029,12.598,14.9204,0.3898,0.5244,324756580.0,9.7881,3.8071,2.0,4.0,16.875,10.1624,10.353262698412696,14.41443131531662,19.906289682539683,11.474847434417766,24.76769401372932,8.431442248121916
2011-03-22,22.27,22.25,-0.0898,12.5585,14.9172,0.3886,0.5242,323738990.0,9.7881,3.8071,2.0,4.0,16.875,10.1624,10.373099404761906,14.393108925191664,19.665199206349204,11.57368178316609,24.76620832995357,8.091517423183113
2011-03-23,22.44,22.25,-0.8467,12.6544,14.911,0.3916,0.524,326210280.0,9.7881,3.8071,2.0,4.0,16.875,10.1624,10.391199206349208,14.373199242277863,19.423756349206347,11.68210614615321,24.76439844862708,7.741650203053137
2011-03-24,22.82,22.25,-2.4978,12.8687,14.8892,0.3982,0.524,331734340.0,9.7881,3.8071,2.0,4.0,16.875,10.1624,10.41389742063492,14.343705271261236,19.16573650793651,11.804741776872874,24.75760269189616,7.360994731063638
2011-03-25,22.62,22.25,-1.6357,12.7559,14.8686,0.3947,0.5238,328826940.0,9.7881,3.8071,2.0,4.0,16.875,10.1624,10.445312896825396,14.29978658908513,18.943761904761903,11.93117306903761,24.74509948591053,7.0125888357242925
2011-03-28,22.73,22.25,-2.1117,12.8179,14.8572,0.3966,0.5238,330426010.0,9.7881,3.8071,2.0,4.0,16.875,10.1624,10.442448015873016,14.302161905716872,18.68837063492064,12.035110548783589,24.744609921589888,6.653260086137047
2011-03-29,22.29,22.25,-0.1795,12.5698,14.8532,0.3889,0.5237,324029730.0,9.7881,3.8071,2.0,4.0,16.875,10.1624,10.457373214285711,14.287106678000702,18.474238095238096,12.129266040896631,24.744479892286414,6.344972054341463
2011-03-30,22.33,22.25,-0.3583,12.5923,14.8422,0.3896,0.5237,324611210.0,9.7881,3.8071,2.0,4.0,16.875,10.1624,10.478824007936508,14.26266645030898,18.26157857142857,12.223076765584365,24.741490458245487,6.038501805844209
2011-03-31,22.29,22.25,-0.1795,12.5698,14.8313,0.3889,0.5237,324029730.0,9.7881,3.8071,2.0,4.0,16.875,10.1624,10.501166865079364,14.237058465350398,18.044120634920635,12.305871411948116,24.738225330429763,5.738249222972518
2011-04-01,22.17,22.25,0.3608,12.5021,14.8294,0.3868,0.5237,322285290.0,9.7881,3.8071,2.0,4.0,16.875,10.1624,10.526324603174604,14.207826931985805,17.842087301587302,12.38594302426378,24.734151535160407,5.4561442773235225
2011-04-04,22.24,22.25,0.045,12.5416,14.827,0.3881,0.5238,323302880.0,9.7881,3.8071,2.0,4.0,16.875,10.1624,10.553150595238096,14.175145385448957,17.611600793650794,12.445098133619938,24.72829598068705,5.166502660030856
2011-04-05,23.11,22.25,-3.7213,13.0322,14.8265,0.4032,0.5237,335950070.0,9.7881,3.8071,2.0,4.0,16.875,10.1624,10.56792876984127,14.15632363384209,17.379205555555554,12.568265163092317,24.72425240368336,4.8109403924632375
2011-04-06,23.75,22.25,-6.3158,13.3931,14.8212,0.4144,0.5237,345253750.0,9.7881,3.8071,2.0,4.0,16.875,10.1624,10.57740496031746,14.143388475560528,17.1322753968254,12.726005514150184,24.720793435877987,4.4062698826752165
2011-04-07,23.63,22.25,-5.84,13.3254,14.8212,0.4123,0.5237,343509310.0,9.7881,3.8071,2.0,4.0,16.875,10.1624,10.59248134920635,14.121770767564048,16.88912142857143,12.870252131053538,24.7142521167704,4.01886929751789
2011-04-08,22.99,22.25,-3.2188,12.9645,14.8108,0.4012,0.5234,334205630.0,9.7881,3.8278,2.0,4.0,16.875,10.1624,10.618209722222222,14.084649949818353,16.663953174603176,12.972303473931714,24.70285967204057,3.691649700671462
2011-04-11,23.16,22.25,-3.9292,13.0604,14.797,0.4041,0.5237,336676920.0,9.7881,3.8278,2.0,4.0,16.875,10.1624,10.640235317460318,14.053105826192889,16.4525373015873,13.089532717518544,24.693341143653207,3.3630045840687544
2011-04-12,22.52,22.25,-1.1989,12.6995,14.7883,0.393,0.5237,327373240.0,9.7881,3.8278,2.0,4.0,16.875,10.1624,10.653179365079366,14.039156001320068,16.25575634920635,13.167431215671122,24.69233536639944,3.0883251335352284
2011-04-13,22.33,22.25,-0.3583,12.5923,14.7876,0.3896,0.5234,324611210.0,9.7881,3.8278,2.0,4.0,16.875,10.1624,10.668257936507937,14.02319933334214,16.07654603174603,13.23904448588096,24.69145726985008,2.83750154586507
2011-04-14,22.07,22.25,0.8156,12.4457,14.7876,0.3851,0.5234,320831590.0,9.7881,3.8278,2.0,4.0,16.875,10.1624,10.679157936507938,14.013378830725404,15.88500873015873,13.284151630998274,24.692536767233342,2.600857099160457
2011-04-15,22.08,22.25,0.7699,12.4514,14.7876,0.3853,0.5234,320976960.0,9.7881,3.8278,2.0,4.0,16.875,10.1624,10.686060515873017,14.007626727777511,15.671738888888887,13.309574479099869,24.69368724365053,2.362164409789022
2011-04-18,22.25,22.25,0.0,12.5472,14.797,0.3882,0.5237,323448250.0,9.7881,3.8278,2.0,4.0,16.875,10.1624,10.69383253968254,14.000593088865193,15.44814285714286,13.33450158908009,24.69442562854773,2.113641268062768
2011-04-19,22.14,22.25,0.4968,12.4852,14.7883,0.3863,0.5237,321849180.0,9.7881,3.8278,2.0,4.0,16.875,10.1624,10.708726785714283,13.985706901550852,15.20687380952381,13.327765531899916,24.69443368726514,1.879108277623894
2011-04-20,22.53,22.25,-1.2428,12.7051,14.7876,0.3931,0.5234,327518610.0,9.7881,3.8278,2.0,4.0,16.875,10.1624,10.726884126984128,13.964178988189309,14.922751587301589,13.293509760442811,24.691063115173435,1.6292418268587756
2011-04-21,22.16,22.25,0.4061,12.4965,14.7869,0.3867,0.5232,322139920.0,9.7881,3.8278,2.0,4.0,16.875,10.1624,10.751702976190478,13.934607652046724,14.608514285714284,13.163312082886476,24.6863106282372,1.445202202827808
2011-04-25,22.0,22.25,1.1364,12.4062,14.7876,0.3839,0.5234,319814000.0,9.7881,3.8278,2.0,4.0,16.875,10.1624,10.771514285714284,13.913768325876502,14.298555555555556,13.01507335444252,24.685282611590782,1.283482201113035
