date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2015-04-30,23.07,25.6111,11.0147,72.1614,78.9066,8.3891,8.3891,3856496550.0,5.2275,47.5476,3.0,2.0,6.7111,10.4847
2015-05-01,23.58,25.6667,8.8494,78.1312,78.8608,8.5626,8.4758,3941750700.0,5.5556,46.5924,3.0,2.0,7.2162,10.4847
2015-05-04,23.46,25.6667,9.4062,77.2219,78.8441,8.5261,8.5261,3921690900.0,5.5503,46.4055,3.0,2.0,7.2162,10.4847
2015-05-05,22.9,25.6667,12.0817,75.3785,78.8274,8.3226,8.4576,3828078500.0,5.5503,46.4055,3.0,2.0,7.2162,10.4847
2015-05-06,22.77,25.6667,12.7216,74.9506,78.8274,8.2753,8.3891,3806347050.0,5.5503,46.4055,3.0,2.0,7.2162,10.4847
2015-05-07,23.21,25.7778,11.0633,76.3989,78.8274,8.4352,8.4122,3879899650.0,5.5503,46.4055,3.0,2.0,7.2162,10.4847
2015-05-08,23.77,25.7778,8.4468,78.2423,78.784,8.6387,8.4352,3973512050.0,5.5503,46.4055,3.0,2.0,7.2162,10.4847
2015-05-11,23.61,26.0,10.1228,77.7156,78.7405,8.5806,8.4806,3946765650.0,5.5503,46.4055,3.0,2.0,7.2162,10.4847
2015-05-12,23.79,26.0,9.2896,80.155,78.784,8.646,8.5261,3976855350.0,5.5087,44.6019,3.0,2.0,7.2162,9.8825
2015-05-13,23.47,26.0,10.7797,79.0768,78.8274,8.5297,8.5279,3923362550.0,5.5087,44.6019,3.0,2.0,7.2162,9.8825
2015-05-14,24.05,26.0,8.1081,81.031,78.8274,8.7405,8.5297,4020318250.0,5.5087,44.6019,3.0,2.0,7.2162,9.8825
2015-05-15,24.45,26.0,6.3395,82.3787,78.8274,8.8859,8.5462,4087184250.0,5.5087,44.6019,3.0,2.0,7.2162,9.8825
2015-05-18,24.62,26.0,5.6052,82.9515,78.8441,8.9477,8.5716,4115602300.0,5.5087,44.6019,3.0,2.0,7.2162,9.8825
2015-05-19,24.41,26.0,6.5137,82.2439,78.8608,8.8713,8.5806,4080497650.0,5.5087,44.6019,3.0,2.0,7.2162,9.8825
2015-05-20,24.42,26.0,6.4701,82.2776,78.9066,8.875,8.6096,4082169300.0,5.5087,44.6019,3.0,2.0,7.2162,9.8825
2015-05-21,24.17,26.0,7.5714,81.4353,78.9525,8.7841,8.6387,4040378050.0,5.5087,44.6019,3.0,2.0,7.2162,9.8825
2015-05-22,24.26,26.0,7.1723,81.7385,79.004,8.8466,8.6424,4055422900.0,5.4854,44.6019,3.0,2.0,7.2162,9.8825
2015-05-26,23.99,26.0,8.3785,80.8288,79.0554,8.7481,8.6933,4010288350.0,5.4854,44.6019,3.0,2.0,7.2162,9.8825
2015-05-27,24.1,26.0,7.8838,81.1995,79.0661,8.7882,8.7405,4028676500.0,5.4854,44.6019,3.0,2.0,7.2162,9.8825
2015-05-28,24.06,26.0,8.0632,81.0647,79.0768,8.7736,8.7443,4021989900.0,5.4854,44.6019,3.0,2.0,7.2162,9.8825
2015-05-29,23.79,26.0,9.2896,80.155,79.0824,8.6752,8.7405,3976855350.0,5.4854,44.6019,3.0,2.0,7.2162,9.8825
2015-06-01,24.15,26.0,7.6605,81.3679,79.0879,8.8065,8.7443,4037034750.0,5.4854,44.6019,3.0,2.0,7.2162,9.8825
2015-06-02,23.81,26.0,9.1978,80.2224,79.1512,8.6825,8.7405,3980198650.0,5.4854,44.6019,3.0,2.0,7.2162,9.8825
2015-06-03,23.46,26.0,10.8269,79.0431,79.0879,8.5548,8.7115,3921690900.0,5.4854,44.6019,3.0,2.0,7.2162,9.8825
2015-06-04,23.22,26.0,11.9724,78.2345,79.0824,8.4673,8.6825,3881571300.0,5.4854,44.6019,3.0,2.0,7.2162,9.8825
2015-06-05,22.83,25.9444,13.6417,74.9016,79.0768,8.3095,8.6788,3816376950.0,5.6574,46.9398,3.0,2.0,7.2076,9.8825
2015-06-08,22.75,25.9444,14.0413,74.6391,79.0661,8.2801,8.6752,3803003750.0,5.6645,46.9398,3.0,2.0,7.2076,9.8825
2015-06-09,22.74,25.9444,14.0915,74.6063,79.0554,8.2765,8.6606,3801332100.0,5.6645,46.9398,3.0,2.0,7.2076,9.8825
2015-06-10,23.2,25.9444,11.8293,76.1155,79.0492,8.4439,8.646,3878228000.0,5.6645,46.9398,3.0,2.0,7.2076,9.8825
2015-06-11,23.34,25.9444,11.1585,76.5748,79.0431,8.4649,8.6424,3901631100.0,5.6858,46.9398,3.0,2.0,7.2076,9.8825
