date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2019-08-14,35.2,37.0366,5.2176,14.5209,17.4957,0.5951,0.3998,3537600000.0,-5.3802,-7.3003,5.0,1.0,-11.0,-7.444
2019-08-15,32.7,37.0366,13.2618,13.4895,17.4428,0.5528,0.3999,3286350000.0,-5.3802,-7.3003,5.0,1.0,-11.0,-7.444
2019-08-16,33.29,37.0366,11.2544,13.7329,17.4268,0.5628,0.4,3345645000.0,-5.3802,-7.3003,5.0,1.0,-11.0,-7.444
2019-08-19,33.9,37.0366,9.2525,13.9846,17.3515,0.5731,0.4004,3406950000.0,-5.3802,-7.3003,5.0,1.0,-11.0,-7.444
2019-08-20,33.46,37.0366,10.6892,13.8031,17.3493,0.5657,0.4004,3362730000.0,-5.3802,-7.3003,5.0,1.0,-11.0,-7.444
2019-08-21,33.28,37.0366,11.2879,13.7288,17.3471,0.5626,0.4006,3344640000.0,-5.3802,-7.3003,5.0,1.0,-11.0,-7.444
2019-08-22,33.62,37.0366,10.1624,13.8691,17.3234,0.5684,0.401,3378810000.0,-5.3802,-7.3003,5.0,1.0,-11.0,-7.444
2019-08-23,31.74,37.0366,16.6875,13.0935,17.3061,0.5366,0.4013,3189870000.0,-5.3802,-7.3003,5.0,1.0,-11.0,-7.444
2019-08-26,32.08,35.9287,11.9972,13.5136,17.2735,0.5439,0.4019,3224040000.0,-5.3648,-8.1936,5.0,1.0,-11.0,-7.444
2019-08-27,31.66,35.9287,13.4829,13.3367,17.2638,0.5368,0.402,3181830000.0,-5.3648,-8.1936,5.0,1.0,-11.0,-7.444
2019-08-28,30.54,35.9287,17.6447,12.8649,17.254,0.5178,0.4021,3069270000.0,-5.3648,-8.1936,5.0,1.0,-11.0,-7.444
2019-08-29,30.79,35.9287,16.6895,12.9702,17.2487,0.522,0.4024,3094395000.0,-5.3648,-8.1936,5.0,1.0,-11.0,-7.444
2019-08-30,31.48,35.7704,13.629,13.2252,17.2409,0.5337,0.4028,3163740000.0,-5.3648,-8.1992,5.0,1.0,-11.0,-7.577
2019-09-03,32.12,35.7704,11.3649,13.4941,17.1396,0.5446,0.403,3228060000.0,-5.3648,-8.1992,5.0,1.0,-11.0,-7.577
2019-09-04,31.78,35.7704,12.5563,13.3513,17.1138,0.5388,0.403,3193890000.0,-5.3648,-8.1992,5.0,1.0,-11.0,-7.577
