date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2015-02-13,52.52,45.8571,-12.6864,146.5811,688.9098,11.0916,10.0398,1821075328.8,21.8814,-5.8771,1.0,3.0,12.2,3.4637
2015-02-17,58.86,45.8571,-22.0912,164.2757,684.9154,12.4305,10.0618,2040908108.4,21.8814,-5.8771,1.0,3.0,12.2,3.4637
2015-02-18,60.32,45.8571,-23.977,168.3505,680.9211,12.7389,10.0837,2091532060.8,21.8814,-5.8771,1.0,3.0,12.2,3.4637
2015-02-19,64.28,45.8571,-28.6604,179.4027,679.9342,13.5752,10.1188,2228840863.2,21.8814,-5.8771,1.0,3.0,12.2,3.4637
2015-02-20,70.35,45.8571,-34.8158,189.1129,678.9474,14.8571,10.154,2439311679.0,21.8814,-5.4559,1.0,3.0,12.2,3.4637
2015-02-23,58.42,45.8571,-21.5045,157.043,678.6654,12.3376,10.1657,2025651574.8,21.8814,-5.4559,1.0,3.0,12.2,3.4637
2015-02-24,60.11,45.8571,-23.7114,161.586,678.3835,12.6945,10.1774,2084250533.4,21.8814,-5.4559,1.0,3.0,12.2,3.4637
2015-02-25,60.31,45.8571,-23.9644,162.1237,678.1015,12.7367,10.206,2091185321.4,21.8814,-5.4559,1.0,3.0,12.2,3.4637
2015-02-26,62.46,45.8571,-26.5817,167.9032,677.8195,13.1908,10.2346,2165734292.4,21.8814,-5.4559,1.0,3.0,12.2,3.4637
2015-02-27,59.27,45.8571,-22.6302,159.328,677.1543,12.5171,10.2366,2055124423.8,21.8814,-5.4559,1.0,3.0,12.2,3.4637
2015-03-02,57.74,45.8571,-20.58,155.2151,676.489,12.194,10.2386,2002073295.6,21.8814,-5.4559,1.0,3.0,12.2,3.4637
2015-03-03,58.02,45.8571,-20.9633,155.9677,675.3918,12.178,10.2502,2011781998.8,21.9086,-5.4559,1.0,2.0,25.0,3.4637
2015-03-04,59.31,46.875,-20.9661,157.4462,674.2947,12.3201,10.2618,2056511381.4,21.9633,-5.0111,1.0,2.0,25.0,3.4637
2015-03-05,62.87,46.875,-25.4414,166.8967,673.7029,13.0596,10.276,2179950607.8,21.9633,-5.0111,1.0,2.0,25.0,3.4637
2015-03-06,59.78,46.875,-21.5875,158.6939,673.1111,12.4178,10.2902,2072808133.2,21.9633,-5.0111,1.0,2.0,25.0,3.4637
2015-03-09,57.79,46.875,-18.8874,153.4112,673.0217,12.0044,10.391,2003806992.6,21.9633,-5.0111,1.0,2.0,25.0,3.4637
2015-03-10,54.7,46.875,-14.3053,145.2084,672.9323,11.3625,10.4917,1896664518.0,21.9633,-5.0111,1.0,2.0,25.0,3.4637
