date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2006-02-22,38.04,44.9,18.0336,14.871,15.63,0.8172,0.8222,3742717560.0,6.8063,8.637,6.0,7.0,15.7143,-8.5648
2006-02-23,39.65,45.1,13.7453,15.5022,15.63,0.84,0.8233,3901123850.0,6.8658,8.6491,6.0,7.0,15.7143,-9.7019
2006-02-24,38.75,45.6,17.6774,15.1747,15.63,0.8163,0.8233,3812573750.0,6.8928,8.6418,6.0,7.0,15.7143,-8.6327
2006-02-27,38.45,45.6,18.5956,15.0572,15.6306,0.81,0.8237,3783057050.0,6.8928,8.6418,6.0,7.0,15.7143,-8.6327
2006-02-28,37.92,45.6,20.2532,14.8085,15.6303,0.7952,0.8235,3730910880.0,9.7528,13.1563,1.0,7.0,15.7143,-8.6327
2006-03-01,38.3,45.6,19.0601,14.9568,15.6303,0.8031,0.8233,3768298700.0,9.7528,13.1563,1.0,7.0,15.7143,-8.6327
2006-03-02,37.93,45.6,20.2215,14.8124,15.6303,0.7954,0.8233,3731894770.0,9.7528,13.1563,1.0,7.0,15.7143,-8.6327
2006-03-03,37.52,45.6,21.5352,14.6832,15.6303,0.7868,0.8233,3691555280.0,9.7528,13.1552,1.0,7.0,15.7143,-8.6327
2006-03-06,37.52,45.6,21.5352,14.6815,15.6408,0.7868,0.8237,3691555280.0,9.7528,13.1555,1.0,7.0,15.7143,-8.6327
2006-03-07,37.75,45.6,20.7947,14.8214,15.6306,0.7916,0.8235,3714184750.0,9.7528,13.1589,1.0,7.0,15.7143,-8.6674
2006-03-08,38.38,45.6,18.8119,15.0687,15.6303,0.8048,0.8233,3776169820.0,9.7528,13.1589,1.0,7.0,15.7143,-8.6674
2006-03-09,38.0,45.6,20.0,14.9195,15.6303,0.7968,0.8233,3738782000.0,9.7528,13.1589,1.0,7.0,15.7143,-8.6674
2006-03-10,38.5,45.6,18.4416,15.1479,15.6303,0.8073,0.8233,3787976500.0,9.7528,13.1649,1.0,7.0,15.7143,-8.6674
2006-03-13,38.96,45.6,17.0431,15.3289,15.6306,0.817,0.8235,3833235440.0,9.7528,13.1649,1.0,7.0,15.7143,-8.6674
2006-03-14,39.12,46.0,17.5869,15.4076,15.6303,0.8206,0.8233,3848977680.0,9.7513,13.1645,1.0,7.0,15.7143,-8.6674
2006-03-15,38.71,46.0,18.8323,15.2462,15.63,0.812,0.8228,3808638190.0,9.7513,13.1645,1.0,7.0,15.7143,-8.6674
2006-03-16,37.91,46.0,21.34,14.9311,15.63,0.7952,0.8228,3729926990.0,9.7513,13.1645,1.0,7.0,15.7143,-8.6674
2006-03-17,37.48,46.0,22.7321,14.7617,15.63,0.7862,0.8228,3687619720.0,9.7513,13.1645,1.0,7.0,15.7143,-8.6674
2006-03-20,37.39,46.0,23.0275,14.7298,15.6306,0.7845,0.8235,3678764710.0,9.7509,13.1649,1.0,7.0,15.7143,-8.6674
2006-03-21,37.23,46.0,23.5563,14.6667,15.6303,0.7811,0.8233,3663022470.0,9.7509,13.1649,1.0,7.0,15.7143,-8.6674
2006-03-22,36.95,46.0,24.4926,14.5564,15.63,0.7752,0.8228,3635473550.0,9.7509,13.1649,1.0,7.0,15.7143,-8.6674
2006-03-23,36.61,46.0,25.6487,14.4225,15.63,0.7681,0.8228,3602021290.0,9.7509,13.1649,1.0,7.0,15.7143,-8.6674
2006-03-24,36.86,46.0,24.7965,14.521,15.63,0.7733,0.8228,3626618540.0,9.7509,13.1649,1.0,7.0,15.7143,-8.6674
2006-03-27,36.51,46.0,25.9929,14.3831,15.6306,0.766,0.8235,3592182390.0,9.7505,13.1649,1.0,7.0,15.7143,-8.6674
2006-03-28,36.51,46.0,25.9929,14.3831,15.6303,0.766,0.8233,3592182390.0,9.7509,13.1649,1.0,7.0,15.7143,-8.6674
2006-03-29,36.27,46.0,26.8266,14.2885,15.63,0.761,0.8228,3568569030.0,9.7509,13.1649,1.0,7.0,15.7143,-8.6674
2006-03-30,36.34,46.0,26.5823,14.3161,15.63,0.7624,0.8228,3575456260.0,9.7509,13.1649,1.0,7.0,15.7143,-8.6674
2006-03-31,36.15,45.7778,26.6329,14.2413,15.63,0.7585,0.8228,3556762350.0,9.751,13.1717,1.0,6.0,16.0,-8.334
2006-04-03,36.07,45.7778,26.9138,14.2097,15.6306,0.7568,0.8235,3548891230.0,9.751,13.1717,1.0,6.0,16.0,-8.334
2006-04-04,36.3,45.7778,26.1096,14.3003,15.6303,0.7616,0.8233,3571520700.0,9.751,13.1717,1.0,6.0,16.0,-8.334
2006-04-05,36.48,45.7778,25.4874,14.3713,15.63,0.7654,0.8228,3589230720.0,9.751,13.1717,1.0,6.0,16.0,-8.334
2006-04-06,36.69,45.7778,24.7691,14.454,15.63,0.7698,0.8228,3609892410.0,9.751,13.1717,1.0,6.0,16.0,-8.334
2006-04-07,37.02,45.7778,23.6569,14.584,15.63,0.7767,0.8228,3642360780.0,9.7512,13.1769,1.0,6.0,16.0,-8.334
2006-04-10,36.31,45.7778,26.0749,14.3043,15.6306,0.7618,0.8235,3572504590.0,9.7512,13.1769,1.0,6.0,16.0,-8.334
2006-04-11,36.01,46.0,27.7423,14.1682,15.6303,0.7544,0.8233,3542987890.0,9.7541,13.1732,1.0,7.0,15.7143,-7.9712
2006-04-12,36.46,46.0,26.1657,14.3453,15.63,0.7639,0.8228,3587262940.0,9.7541,13.1732,1.0,7.0,15.7143,-7.9712
2006-04-13,37.16,46.0,23.789,14.6207,15.63,0.7785,0.8228,3656135240.0,9.7541,13.1732,1.0,7.0,15.7143,-7.9712
2006-04-17,36.85,45.7273,24.0904,14.4987,15.6408,0.772,0.8237,3625634650.0,9.7541,13.1722,1.0,8.0,14.8125,-7.9712
2006-04-18,37.19,45.7273,22.9559,14.6325,15.6306,0.7792,0.8235,3659086910.0,9.7541,13.1722,1.0,8.0,14.8125,-7.9712
2006-04-19,37.55,45.7273,21.7771,14.7742,15.6303,0.7867,0.8233,3694506950.0,9.7541,13.1722,1.0,8.0,14.8125,-7.9712
2006-04-20,37.25,45.7273,22.7579,14.6561,15.63,0.7804,0.8228,3664990250.0,9.7541,13.1722,1.0,8.0,14.8125,-7.9712
2006-04-21,37.44,45.7273,22.1349,14.7309,15.63,0.784,0.8228,3683684160.0,9.7553,13.1722,1.0,8.0,14.8125,-7.9712
2006-04-24,37.47,46.0833,22.9872,14.7589,15.6306,0.7854,0.8235,3686635830.0,9.7529,13.1721,1.0,8.0,14.8125,-7.9712
2006-04-25,37.59,46.0833,22.5946,14.7736,15.6303,0.7884,0.8233,3698442510.0,9.7516,13.1708,1.0,8.0,14.8125,-7.9712
2006-04-26,37.86,46.0,21.5003,14.8599,15.63,0.789,0.8228,3718203000.06,9.763,13.1652,1.0,9.0,14.8333,-7.9712
2006-04-27,35.63,45.6923,28.2411,14.0006,15.63,0.7419,0.8228,3499196325.73,9.7652,13.1612,1.0,9.0,14.8333,-7.924
2006-04-28,36.24,45.2308,24.8091,14.2352,15.63,0.7545,0.8228,3559103981.04,9.7655,13.1576,1.0,9.0,14.8333,-7.924
2006-05-01,35.53,45.2308,27.3031,13.9563,15.6306,0.7397,0.8235,3489375398.63,9.7655,13.1576,1.0,9.0,14.8333,-7.924
2006-05-02,35.5,45.2308,27.4107,13.9445,15.6306,0.7391,0.8233,3486429120.5,9.7655,13.1576,1.0,9.0,14.8333,-7.924
2006-05-03,35.1,45.2308,28.8627,13.7874,15.6306,0.7308,0.8228,3447145412.1,9.7655,13.1576,1.0,9.0,14.8333,-7.924
2006-05-04,35.14,45.2308,28.716,13.8031,15.6306,0.7316,0.8228,3451073782.94,9.7655,13.1576,1.0,9.0,14.8333,-7.924
2006-05-05,35.1,45.2308,28.8627,13.775,15.6306,0.7308,0.8228,3447145412.1,9.7655,13.1581,1.0,9.0,14.8333,-7.924
2006-05-08,35.16,45.2308,28.6428,13.7985,15.651,0.732,0.8235,3453037968.36,9.7655,13.1581,1.0,9.0,14.8333,-7.924
2006-05-09,35.46,45.2308,27.5544,13.9163,15.6408,0.7383,0.8233,3482500749.66,9.7655,13.1581,1.0,9.0,14.8333,-7.9843
2006-05-10,36.03,45.2308,25.5365,14.1399,15.6306,0.7501,0.8228,3538480034.13,9.7655,13.1581,1.0,9.0,14.8333,-7.9843
2006-05-11,36.16,45.2308,25.0852,14.191,15.6306,0.7528,0.8228,3551247239.36,9.7655,13.1581,1.0,9.0,14.8333,-7.9843
2006-05-12,35.96,45.2308,25.7809,14.1125,15.6306,0.7487,0.8228,3531605385.16,9.7655,13.1581,1.0,9.0,14.8333,-7.9843
2006-05-15,36.17,45.2308,25.0506,14.1949,15.6408,0.7531,0.8233,3552229332.07,9.7655,13.1581,1.0,9.0,14.8333,-7.9843
2006-05-16,36.51,45.2308,23.8861,14.3283,15.6306,0.7601,0.8228,3585620484.21,9.7655,13.1581,1.0,9.0,14.8333,-7.9843
2006-05-17,36.4,45.2308,24.2604,14.2852,15.6303,0.7578,0.8222,3574817464.4,9.7655,13.1581,1.0,9.0,14.8333,-7.9843
2006-05-18,36.62,45.2308,23.5139,14.3715,15.6303,0.7624,0.8222,3596423504.02,9.7655,13.1581,1.0,9.0,14.8333,-7.9843
2006-05-19,36.69,45.2308,23.2783,14.399,15.6303,0.7639,0.8222,3603298152.99,9.7655,13.1581,1.0,9.0,14.8333,-7.9843
2006-05-22,36.7,45.2308,23.2447,14.4029,15.6408,0.7641,0.8233,3604280245.7,9.7655,13.1581,1.0,9.0,14.8333,-7.9843
2006-05-23,36.48,45.2308,23.9879,14.3165,15.6306,0.7595,0.8228,3582674206.08,9.7655,13.1581,1.0,9.0,14.8333,-7.9843
2006-05-24,36.78,45.2308,22.9766,14.4343,15.6303,0.7658,0.8222,3612136987.38,9.7655,13.1581,1.0,9.0,14.8333,-7.9843
2006-05-25,36.67,45.2308,23.3455,14.3911,15.6303,0.7635,0.8222,3601333967.57,9.7655,13.1581,1.0,9.0,14.8333,-7.9843
2006-05-26,36.89,45.2308,22.6099,14.4775,15.6303,0.768,0.8222,3622940007.19,9.7655,13.1581,1.0,9.0,14.8333,-7.9843
2006-05-30,37.42,45.2308,20.8733,14.6855,15.6408,0.7791,0.8228,3674990920.82,9.7655,13.1581,1.0,9.0,14.8333,-7.9843
2006-05-31,37.7,45.2308,19.9756,14.7953,15.6306,0.7849,0.8222,3702489516.7,9.7655,13.1581,1.0,9.0,14.8333,-7.9843
2006-06-01,38.22,45.2308,18.3433,14.9994,15.6306,0.7957,0.8222,3753558337.62,9.7655,13.1581,1.0,9.0,14.8333,-7.9843
2006-06-02,38.28,45.2308,18.1578,15.0235,15.6306,0.7946,0.8222,3759450893.88,9.7729,13.158,1.0,9.0,14.8333,-7.9843
2006-06-05,37.46,45.2308,20.7443,14.726,15.6408,0.7776,0.8233,3678919291.66,9.7729,13.158,1.0,9.0,14.8333,-7.9843
2006-06-06,37.41,45.2308,20.9056,14.7063,15.6306,0.7765,0.8228,3674008828.11,9.7729,13.158,1.0,9.0,14.8333,-7.9843
2006-06-07,37.48,45.2308,20.6798,14.7339,15.6303,0.778,0.8222,3680883477.08,9.7729,13.158,1.0,9.0,14.8333,-7.9843
2006-06-08,37.86,45.2308,19.4686,14.9243,15.6303,0.7812,0.8222,3718203000.06,9.7909,13.1594,1.0,9.0,14.8333,-7.9843
